verse_reference,strong,question_code,status,live_node_count
1Cor.1.4,G5485,M0.1.1,UNEXPECTED,1
1Cor.1.4,G5485,M0.5.1,UNEXPECTED,1
1Cor.10.24,G2212,M0.1.1,UNEXPECTED,1
1Cor.10.24,G2212,M0.5.11,UNEXPECTED,1
1Cor.10.24,G2212,M0.5.2,UNEXPECTED,1
1Cor.10.24,G2212,M0.5.3,UNEXPECTED,1
1Cor.10.24,G2212,M0.5.7,UNEXPECTED,1
1Cor.10.24,G2212,M0.6.5,UNEXPECTED,1
1Cor.10.30,G0987,M0.1.1,UNEXPECTED,1
1Cor.10.30,G0987,M0.5.1,UNEXPECTED,1
1Cor.10.30,G2168,M0.5.11,UNEXPECTED,1
1Cor.10.30,G2168,M0.5.3,UNEXPECTED,1
1Cor.10.30,G2168,M0.6.5,UNEXPECTED,1
1Cor.10.30,G3348,M0.1.1,UNEXPECTED,1
1Cor.10.30,G3348,M0.5.1,UNEXPECTED,1
1Cor.10.33,G2212,D7.7.1,UNEXPECTED,1
1Cor.10.33,G2212,M0.1.1,UNEXPECTED,1
1Cor.10.33,G2212,M0.5.11,UNEXPECTED,1
1Cor.10.33,G2212,M0.5.2,UNEXPECTED,1
1Cor.10.33,G2212,M0.6.5,UNEXPECTED,1
1Cor.10.33,G4982,M0.1.1,UNEXPECTED,1
1Cor.10.33,G4982,M0.5.1,UNEXPECTED,1
1Cor.11.24,G2168,D7.7.1,UNEXPECTED,1
1Cor.11.24,G2168,M0.5.1,UNEXPECTED,1
1Cor.11.24,G2168,M0.5.10,UNEXPECTED,2
1Cor.11.24,G2168,M0.5.11,UNEXPECTED,2
1Cor.11.24,G2168,M0.5.4,UNEXPECTED,1
1Cor.11.24,G2168,M0.5.6,UNEXPECTED,1
1Cor.11.24,G2168,M0.5.8,UNEXPECTED,1
1Cor.11.24,G2168,M0.5.9,UNEXPECTED,1
1Cor.11.24,G2168,M0.6.5,UNEXPECTED,2
1Cor.13.5,G2212,D7.7.1,UNEXPECTED,1
1Cor.13.5,G2212,M0.5.1,UNEXPECTED,1
1Cor.13.5,G2212,M0.5.10,UNEXPECTED,1
1Cor.13.5,G2212,M0.5.11,UNEXPECTED,1
1Cor.13.5,G2212,M0.5.2,UNEXPECTED,1
1Cor.13.5,G2212,M0.5.3,UNEXPECTED,1
1Cor.13.5,G2212,M0.5.4,UNEXPECTED,1
1Cor.13.5,G2212,M0.6.5,UNEXPECTED,1
1Cor.13.5,G2556H,M0.1.1,UNEXPECTED,1
1Cor.13.5,G2556H,M0.5.1,UNEXPECTED,1
1Cor.13.5,G3049,M0.1.1,UNEXPECTED,1
1Cor.13.5,G3049,M0.5.1,UNEXPECTED,1
1Cor.14.12,G2207,M0.1.1,UNEXPECTED,1
1Cor.14.12,G2207,M0.5.1,UNEXPECTED,1
1Cor.14.12,G2212,D7.7.1,UNEXPECTED,1
1Cor.14.12,G2212,M0.1.1,UNEXPECTED,1
1Cor.14.12,G2212,M0.5.11,UNEXPECTED,1
1Cor.14.12,G2212,M0.6.5,UNEXPECTED,1
1Cor.14.12,G3619,M0.1.1,UNEXPECTED,1
1Cor.14.12,G3619,M0.5.1,UNEXPECTED,1
1Cor.14.16,G2127,M0.1.1,UNEXPECTED,1
1Cor.14.16,G2127,M0.5.1,UNEXPECTED,1
1Cor.14.16,G2169,D7.7.1,UNEXPECTED,2
1Cor.14.16,G2169,M0.1.1,UNEXPECTED,3
1Cor.14.16,G2169,M0.1.2,UNEXPECTED,3
1Cor.14.16,G2169,M0.1.3,UNEXPECTED,2
1Cor.14.16,G2169,M0.5.1,UNEXPECTED,3
1Cor.14.16,G2169,M0.5.10,UNEXPECTED,3
1Cor.14.16,G2169,M0.5.11,UNEXPECTED,3
1Cor.14.16,G2169,M0.5.2,UNEXPECTED,3
1Cor.14.16,G2169,M0.5.3,UNEXPECTED,3
1Cor.14.16,G2169,M0.5.4,UNEXPECTED,2
1Cor.14.16,G2169,M0.5.5,UNEXPECTED,3
1Cor.14.16,G2169,M0.5.6,UNEXPECTED,3
1Cor.14.16,G2169,M0.5.7,UNEXPECTED,3
1Cor.14.16,G2169,M0.5.8,UNEXPECTED,2
1Cor.14.16,G2169,M0.5.9,UNEXPECTED,3
1Cor.14.16,G2169,M0.6.5,UNEXPECTED,3
1Cor.14.16,G4151G,M0.1.1,UNEXPECTED,1
1Cor.14.16,G4151G,M0.5.1,UNEXPECTED,1
1Cor.14.16,G6063,M0.1.1,UNEXPECTED,1
1Cor.14.16,G6063,M0.5.1,UNEXPECTED,1
1Cor.14.17,G2168,D7.7.1,UNEXPECTED,1
1Cor.14.17,G2168,M0.5.11,UNEXPECTED,1
1Cor.14.17,G2168,M0.6.5,UNEXPECTED,1
1Cor.14.17,G3618,M0.1.1,UNEXPECTED,1
1Cor.14.17,G3618,M0.5.1,UNEXPECTED,1
1Cor.14.18,G2168,M0.5.1,UNEXPECTED,1
1Cor.14.18,G2168,M0.5.11,UNEXPECTED,1
1Cor.14.18,G2168,M0.6.5,UNEXPECTED,1
1Cor.4.2,G2212,M0.1.1,UNEXPECTED,1
1Cor.4.2,G2212,M0.5.11,UNEXPECTED,1
1Cor.4.2,G2212,M0.6.5,UNEXPECTED,1
1Cor.7.27,G2212,D7.7.1,UNEXPECTED,1
1Cor.7.27,G2212,M0.1.2,UNEXPECTED,1
1Cor.7.27,G2212,M0.5.11,UNEXPECTED,1
1Cor.7.27,G2212,M0.5.2,UNEXPECTED,1
1Cor.7.27,G2212,M0.5.4,UNEXPECTED,1
1Cor.7.27,G2212,M0.5.6,UNEXPECTED,1
1Cor.7.27,G2212,M0.5.9,UNEXPECTED,1
1Cor.7.27,G2212,M0.6.5,UNEXPECTED,1
1Kgs.1.2,H1245,D7.7.1,UNEXPECTED,1
1Kgs.1.2,H1245,M0.5.1,UNEXPECTED,1
1Kgs.1.2,H1245,M0.5.9,UNEXPECTED,1
1Kgs.1.2,H1245,M0.6.5,UNEXPECTED,1
1Kgs.1.2,H2436G,M0.1.1,UNEXPECTED,1
1Kgs.1.2,H2436G,M0.5.1,UNEXPECTED,1
1Kgs.1.3,H1245,D7.7.1,UNEXPECTED,1
1Kgs.1.3,H1245,M0.5.11,UNEXPECTED,1
1Kgs.1.3,H1245,M0.5.6,UNEXPECTED,1
1Kgs.1.3,H1245,M0.6.5,UNEXPECTED,1
1Kgs.10.24,H1245,D7.7.1,UNEXPECTED,1
1Kgs.10.24,H1245,M0.5.1,UNEXPECTED,1
1Kgs.10.24,H1245,M0.5.11,UNEXPECTED,1
1Kgs.10.24,H1245,M0.5.7,UNEXPECTED,1
1Kgs.10.24,H1245,M0.6.5,UNEXPECTED,1
1Kgs.11.22,H1245,D7.7.1,UNEXPECTED,1
1Kgs.11.22,H1245,M0.5.11,UNEXPECTED,1
1Kgs.11.22,H1245,M0.6.5,UNEXPECTED,1
1Kgs.11.40,H1245,D7.7.1,UNEXPECTED,1
1Kgs.11.40,H1245,M0.1.3,UNEXPECTED,1
1Kgs.11.40,H1245,M0.5.11,UNEXPECTED,1
1Kgs.11.40,H1245,M0.5.6,UNEXPECTED,1
1Kgs.11.40,H1245,M0.6.5,UNEXPECTED,1
1Kgs.14.5,H1875,D7.7.1,UNEXPECTED,1
1Kgs.14.5,H1875,M0.5.11,UNEXPECTED,1
1Kgs.14.5,H1875,M0.6.5,UNEXPECTED,1
1Kgs.18.10,H1245,D7.7.1,UNEXPECTED,1
1Kgs.18.10,H1245,M0.5.11,UNEXPECTED,1
1Kgs.18.10,H1245,M0.6.5,UNEXPECTED,1
1Kgs.19.10,H1245,D7.7.1,UNEXPECTED,1
1Kgs.19.10,H1245,M0.5.11,UNEXPECTED,1
1Kgs.19.10,H1245,M0.5.4,UNEXPECTED,1
1Kgs.19.10,H1245,M0.6.5,UNEXPECTED,1
1Kgs.19.10,H7065,M0.1.1,UNEXPECTED,1
1Kgs.19.14,H1245,D7.7.1,UNEXPECTED,1
1Kgs.19.14,H1245,M0.5.11,UNEXPECTED,1
1Kgs.19.14,H1245,M0.5.6,UNEXPECTED,1
1Kgs.19.14,H1245,M0.6.5,UNEXPECTED,1
1Kgs.19.14,H7065,M0.5.1,UNEXPECTED,1
1Kgs.2.40,H1245,D7.7.1,UNEXPECTED,1
1Kgs.2.40,H1245,M0.1.1,UNEXPECTED,1
1Kgs.2.40,H1245,M0.5.11,UNEXPECTED,1
1Kgs.2.40,H1245,M0.5.7,UNEXPECTED,1
1Kgs.2.40,H1245,M0.6.5,UNEXPECTED,1
1Kgs.20.7,H1245,D7.7.1,UNEXPECTED,1
1Kgs.20.7,H1245,M0.5.11,UNEXPECTED,1
1Kgs.20.7,H1245,M0.5.2,UNEXPECTED,1
1Kgs.20.7,H1245,M0.5.8,UNEXPECTED,1
1Kgs.20.7,H1245,M0.6.5,UNEXPECTED,1
1Kgs.22.5,H1875,D7.7.1,UNEXPECTED,1
1Kgs.22.5,H1875,M0.5.11,UNEXPECTED,1
1Kgs.22.5,H1875,M0.6.5,UNEXPECTED,1
1Kgs.22.7,H1875,D7.7.1,UNEXPECTED,1
1Kgs.22.7,H1875,M0.5.11,UNEXPECTED,1
1Kgs.22.7,H1875,M0.6.5,UNEXPECTED,1
1Kgs.22.8,H1875,D7.7.1,UNEXPECTED,1
1Kgs.22.8,H1875,M0.1.1,UNEXPECTED,1
1Kgs.22.8,H1875,M0.1.2,UNEXPECTED,1
1Kgs.22.8,H1875,M0.1.3,UNEXPECTED,1
1Kgs.22.8,H1875,M0.5.1,UNEXPECTED,1
1Kgs.22.8,H1875,M0.5.10,UNEXPECTED,1
1Kgs.22.8,H1875,M0.5.11,UNEXPECTED,1
1Kgs.22.8,H1875,M0.5.2,UNEXPECTED,1
1Kgs.22.8,H1875,M0.5.3,UNEXPECTED,1
1Kgs.22.8,H1875,M0.5.5,UNEXPECTED,1
1Kgs.22.8,H1875,M0.5.6,UNEXPECTED,1
1Kgs.22.8,H1875,M0.5.8,UNEXPECTED,1
1Kgs.22.8,H1875,M0.5.9,UNEXPECTED,1
1Kgs.22.8,H1875,M0.6.5,UNEXPECTED,1
1Kgs.22.8,H7451B,M0.1.1,UNEXPECTED,1
1Kgs.22.8,H8130,M0.1.1,UNEXPECTED,1
1Kgs.8.33,H0341,M0.1.1,UNEXPECTED,1
1Kgs.8.33,H2603A,M0.1.1,UNEXPECTED,1
1Kgs.8.33,H2603A,M0.5.1,UNEXPECTED,1
1Kgs.8.33,H3034,M0.1.3,UNEXPECTED,1
1Kgs.8.33,H3034,M0.5.11,UNEXPECTED,1
1Kgs.8.33,H3034,M0.5.7,UNEXPECTED,1
1Kgs.8.33,H3034,M0.6.5,UNEXPECTED,1
1Kgs.8.33,H7725J,M0.1.1,UNEXPECTED,1
1Kgs.8.33,H7725J,M0.5.1,UNEXPECTED,1
1Kgs.8.35,H3034,D7.7.1,UNEXPECTED,1
1Kgs.8.35,H3034,M0.1.1,UNEXPECTED,1
1Kgs.8.35,H3034,M0.1.2,UNEXPECTED,1
1Kgs.8.35,H3034,M0.1.3,UNEXPECTED,1
1Kgs.8.35,H3034,M0.5.1,UNEXPECTED,1
1Kgs.8.35,H3034,M0.5.10,UNEXPECTED,1
1Kgs.8.35,H3034,M0.5.11,UNEXPECTED,1
1Kgs.8.35,H3034,M0.5.2,UNEXPECTED,2
1Kgs.8.35,H3034,M0.5.3,UNEXPECTED,1
1Kgs.8.35,H3034,M0.5.4,UNEXPECTED,1
1Kgs.8.35,H3034,M0.5.5,UNEXPECTED,1
1Kgs.8.35,H3034,M0.5.6,UNEXPECTED,1
1Kgs.8.35,H3034,M0.5.7,UNEXPECTED,1
1Kgs.8.35,H3034,M0.5.8,UNEXPECTED,1
1Kgs.8.35,H3034,M0.5.9,UNEXPECTED,1
1Kgs.8.35,H3034,M0.6.5,UNEXPECTED,1
1Kgs.8.35,H6031B,M0.1.1,UNEXPECTED,1
1Kgs.8.35,H6031B,M0.5.1,UNEXPECTED,1
1Kgs.8.35,H6031B,M0.6.5,UNEXPECTED,1
1Kgs.8.35,H6113,M0.1.1,UNEXPECTED,1
1Kgs.8.35,H6113,M0.5.1,UNEXPECTED,1
1Kgs.8.35,H7725O,M0.1.1,UNEXPECTED,1
1Kgs.8.35,H7725O,M0.5.1,UNEXPECTED,1
1Pet.1.10,G1567,D7.7.1,UNEXPECTED,1
1Pet.1.10,G1567,M0.1.2,UNEXPECTED,1
1Pet.1.10,G1567,M0.5.10,UNEXPECTED,1
1Pet.1.10,G1567,M0.5.11,UNEXPECTED,1
1Pet.1.10,G1567,M0.5.2,UNEXPECTED,1
1Pet.1.10,G1567,M0.6.5,UNEXPECTED,1
1Pet.1.10,G4395,M0.1.1,UNEXPECTED,1
1Pet.1.10,G4395,M0.5.1,UNEXPECTED,1
1Pet.3.11,G2212,D7.7.1,UNEXPECTED,1
1Pet.3.11,G2212,M0.1.1,UNEXPECTED,1
1Pet.3.11,G2212,M0.5.11,UNEXPECTED,1
1Pet.3.11,G2212,M0.6.5,UNEXPECTED,1
1Pet.3.11,G2556G,M0.1.1,UNEXPECTED,1
1Pet.3.11,G2556G,M0.5.1,UNEXPECTED,1
1Pet.5.8,G0476,M0.1.1,UNEXPECTED,1
1Pet.5.8,G0476,M0.5.1,UNEXPECTED,1
1Pet.5.8,G1228G,M0.1.1,UNEXPECTED,1
1Pet.5.8,G1228G,M0.5.1,UNEXPECTED,1
1Pet.5.8,G2212,D7.7.1,UNEXPECTED,1
1Pet.5.8,G2212,M0.1.1,UNEXPECTED,1
1Pet.5.8,G2212,M0.5.11,UNEXPECTED,1
1Pet.5.8,G2212,M0.6.5,UNEXPECTED,1
1Pet.5.8,G3525,M0.1.1,UNEXPECTED,1
1Pet.5.8,G3525,M0.5.1,UNEXPECTED,1
1Pet.5.8,G5612,M0.1.1,UNEXPECTED,1
1Pet.5.8,G5612,M0.5.1,UNEXPECTED,1
1Sam.10.14,H1245,M0.5.11,UNEXPECTED,1
1Sam.10.14,H1245,M0.5.9,UNEXPECTED,1
1Sam.10.2,H1245,D7.7.1,UNEXPECTED,1
1Sam.10.2,H1245,M0.1.3,UNEXPECTED,1
1Sam.10.2,H1245,M0.5.10,UNEXPECTED,1
1Sam.10.2,H1245,M0.5.11,UNEXPECTED,1
1Sam.10.2,H1245,M0.5.2,UNEXPECTED,1
1Sam.10.2,H1245,M0.5.5,UNEXPECTED,1
1Sam.10.2,H1245,M0.5.7,UNEXPECTED,1
1Sam.10.2,H1245,M0.6.5,UNEXPECTED,1
1Sam.10.2,H1672,M0.1.1,UNEXPECTED,1
1Sam.10.2,H1672,M0.5.1,UNEXPECTED,1
1Sam.10.2,H1697I,M0.1.1,UNEXPECTED,1
1Sam.10.2,H1697I,M0.5.1,UNEXPECTED,1
1Sam.10.2,H5203,M0.1.1,UNEXPECTED,1
1Sam.10.2,H5203,M0.5.1,UNEXPECTED,1
1Sam.10.21,H1245,D7.7.1,UNEXPECTED,1
1Sam.10.21,H1245,M0.5.4,UNEXPECTED,1
1Sam.10.21,H1245,M0.6.5,UNEXPECTED,1
1Sam.13.14,H1245,D7.7.1,UNEXPECTED,1
1Sam.13.14,H1245,M0.5.1,UNEXPECTED,1
1Sam.13.14,H1245,M0.6.5,UNEXPECTED,1
1Sam.14.4,H1245,D7.7.1,UNEXPECTED,1
1Sam.14.4,H1245,M0.5.11,UNEXPECTED,1
1Sam.14.4,H1245,M0.6.5,UNEXPECTED,1
1Sam.16.16,H1245,D7.7.1,UNEXPECTED,1
1Sam.16.16,H1245,M0.1.2,UNEXPECTED,1
1Sam.16.16,H1245,M0.5.10,UNEXPECTED,1
1Sam.16.16,H1245,M0.5.11,UNEXPECTED,1
1Sam.16.16,H1245,M0.5.8,UNEXPECTED,1
1Sam.16.16,H1245,M0.6.5,UNEXPECTED,1
1Sam.16.16,H7307G,M0.1.1,UNEXPECTED,1
1Sam.16.16,H7307G,M0.1.2,UNEXPECTED,1
1Sam.16.16,H7307G,M0.1.3,UNEXPECTED,1
1Sam.16.16,H7307G,M0.5.1,UNEXPECTED,1
1Sam.16.16,H7307G,M0.5.10,UNEXPECTED,1
1Sam.16.16,H7307G,M0.5.11,UNEXPECTED,1
1Sam.16.16,H7307G,M0.5.2,UNEXPECTED,1
1Sam.16.16,H7307G,M0.5.3,UNEXPECTED,1
1Sam.16.16,H7307G,M0.5.4,UNEXPECTED,1
1Sam.16.16,H7307G,M0.5.5,UNEXPECTED,1
1Sam.16.16,H7307G,M0.5.6,UNEXPECTED,1
1Sam.16.16,H7307G,M0.5.7,UNEXPECTED,1
1Sam.16.16,H7307G,M0.5.8,UNEXPECTED,1
1Sam.16.16,H7307G,M0.5.9,UNEXPECTED,1
