verse_reference,strong,surface,morph_code,is_home_strong,question_code,expected_reason
2Cor.7.11,G3076,grief,V-APN,N,M0.7.14,"per-occurrence, always expected"
2Cor.7.11,G3076,grief,V-APN,N,M0.7.15,"per-occurrence, always expected"
2Cor.7.11,G3076,grief,V-APN,N,M0.7.16,"per-occurrence, always expected"
2Cor.7.11,G3076,grief,V-APN,N,M0.7.2,"per-occurrence, always expected"
2Cor.7.11,G3076,grief,V-APN,N,M0.7.3,"per-occurrence, always expected"
2Cor.7.11,G3076,grief,V-APN,N,M0.7.4,"per-occurrence, always expected"
2Cor.7.11,G3076,grief,V-APN,N,M0.7.5,"per-occurrence, always expected"
2Cor.7.11,G3076,grief,V-APN,N,M0.7.6,"per-occurrence, always expected"
2Cor.7.11,G3076,grief,V-APN,N,M0.7.7,"per-occurrence, always expected"
2Cor.7.11,G3076,grief,V-APN,N,M0.7.8,"per-occurrence, always expected"
2Cor.7.11,G3076,grief,V-APN,N,M0.7.9,"per-occurrence, always expected"
2Cor.7.11,G0024,indignation,N-ASF,N,M0.7.1,"per-occurrence, always expected"
2Cor.7.11,G0024,indignation,N-ASF,N,M0.7.10,"per-occurrence, always expected"
2Cor.7.11,G0024,indignation,N-ASF,N,M0.7.11,"per-occurrence, always expected"
2Cor.7.11,G0024,indignation,N-ASF,N,M0.7.12,"per-occurrence, always expected"
2Cor.7.11,G0024,indignation,N-ASF,N,M0.7.13,"per-occurrence, always expected"
2Cor.7.11,G0024,indignation,N-ASF,N,M0.7.14,"per-occurrence, always expected"
2Cor.7.11,G0024,indignation,N-ASF,N,M0.7.15,"per-occurrence, always expected"
2Cor.7.11,G0024,indignation,N-ASF,N,M0.7.16,"per-occurrence, always expected"
2Cor.7.11,G0024,indignation,N-ASF,N,M0.7.2,"per-occurrence, always expected"
2Cor.7.11,G0024,indignation,N-ASF,N,M0.7.3,"per-occurrence, always expected"
2Cor.7.11,G0024,indignation,N-ASF,N,M0.7.4,"per-occurrence, always expected"
2Cor.7.11,G0024,indignation,N-ASF,N,M0.7.5,"per-occurrence, always expected"
2Cor.7.11,G0024,indignation,N-ASF,N,M0.7.6,"per-occurrence, always expected"
2Cor.7.11,G0024,indignation,N-ASF,N,M0.7.7,"per-occurrence, always expected"
2Cor.7.11,G0024,indignation,N-ASF,N,M0.7.8,"per-occurrence, always expected"
2Cor.7.11,G0024,indignation,N-ASF,N,M0.7.9,"per-occurrence, always expected"
2Cor.7.11,G5401,fear,N-ASM,N,M0.7.1,"per-occurrence, always expected"
2Cor.7.11,G5401,fear,N-ASM,N,M0.7.10,"per-occurrence, always expected"
2Cor.7.11,G5401,fear,N-ASM,N,M0.7.11,"per-occurrence, always expected"
2Cor.7.11,G5401,fear,N-ASM,N,M0.7.12,"per-occurrence, always expected"
2Cor.7.11,G5401,fear,N-ASM,N,M0.7.13,"per-occurrence, always expected"
2Cor.7.11,G5401,fear,N-ASM,N,M0.7.14,"per-occurrence, always expected"
2Cor.7.11,G5401,fear,N-ASM,N,M0.7.15,"per-occurrence, always expected"
2Cor.7.11,G5401,fear,N-ASM,N,M0.7.16,"per-occurrence, always expected"
2Cor.7.11,G5401,fear,N-ASM,N,M0.7.2,"per-occurrence, always expected"
2Cor.7.11,G5401,fear,N-ASM,N,M0.7.3,"per-occurrence, always expected"
2Cor.7.11,G5401,fear,N-ASM,N,M0.7.4,"per-occurrence, always expected"
2Cor.7.11,G5401,fear,N-ASM,N,M0.7.5,"per-occurrence, always expected"
2Cor.7.11,G5401,fear,N-ASM,N,M0.7.6,"per-occurrence, always expected"
2Cor.7.11,G5401,fear,N-ASM,N,M0.7.7,"per-occurrence, always expected"
2Cor.7.11,G5401,fear,N-ASM,N,M0.7.8,"per-occurrence, always expected"
2Cor.7.11,G5401,fear,N-ASM,N,M0.7.9,"per-occurrence, always expected"
2Cor.7.11,G1972,longing,N-ASF,N,M0.7.1,"per-occurrence, always expected"
2Cor.7.11,G1972,longing,N-ASF,N,M0.7.10,"per-occurrence, always expected"
2Cor.7.11,G1972,longing,N-ASF,N,M0.7.11,"per-occurrence, always expected"
2Cor.7.11,G1972,longing,N-ASF,N,M0.7.12,"per-occurrence, always expected"
2Cor.7.11,G1972,longing,N-ASF,N,M0.7.13,"per-occurrence, always expected"
2Cor.7.11,G1972,longing,N-ASF,N,M0.7.14,"per-occurrence, always expected"
2Cor.7.11,G1972,longing,N-ASF,N,M0.7.15,"per-occurrence, always expected"
2Cor.7.11,G1972,longing,N-ASF,N,M0.7.16,"per-occurrence, always expected"
2Cor.7.11,G1972,longing,N-ASF,N,M0.7.2,"per-occurrence, always expected"
2Cor.7.11,G1972,longing,N-ASF,N,M0.7.3,"per-occurrence, always expected"
2Cor.7.11,G1972,longing,N-ASF,N,M0.7.4,"per-occurrence, always expected"
2Cor.7.11,G1972,longing,N-ASF,N,M0.7.5,"per-occurrence, always expected"
2Cor.7.11,G1972,longing,N-ASF,N,M0.7.6,"per-occurrence, always expected"
2Cor.7.11,G1972,longing,N-ASF,N,M0.7.7,"per-occurrence, always expected"
2Cor.7.11,G1972,longing,N-ASF,N,M0.7.8,"per-occurrence, always expected"
2Cor.7.11,G1972,longing,N-ASF,N,M0.7.9,"per-occurrence, always expected"
2Cor.7.11,G2205,zeal,N-ASM,N,M0.7.1,"per-occurrence, always expected"
2Cor.7.11,G2205,zeal,N-ASM,N,M0.7.10,"per-occurrence, always expected"
2Cor.7.11,G2205,zeal,N-ASM,N,M0.7.11,"per-occurrence, always expected"
2Cor.7.11,G2205,zeal,N-ASM,N,M0.7.12,"per-occurrence, always expected"
2Cor.7.11,G2205,zeal,N-ASM,N,M0.7.13,"per-occurrence, always expected"
2Cor.7.11,G2205,zeal,N-ASM,N,M0.7.14,"per-occurrence, always expected"
2Cor.7.11,G2205,zeal,N-ASM,N,M0.7.15,"per-occurrence, always expected"
2Cor.7.11,G2205,zeal,N-ASM,N,M0.7.16,"per-occurrence, always expected"
2Cor.7.11,G2205,zeal,N-ASM,N,M0.7.2,"per-occurrence, always expected"
2Cor.7.11,G2205,zeal,N-ASM,N,M0.7.3,"per-occurrence, always expected"
2Cor.7.11,G2205,zeal,N-ASM,N,M0.7.4,"per-occurrence, always expected"
2Cor.7.11,G2205,zeal,N-ASM,N,M0.7.5,"per-occurrence, always expected"
2Cor.7.11,G2205,zeal,N-ASM,N,M0.7.6,"per-occurrence, always expected"
2Cor.7.11,G2205,zeal,N-ASM,N,M0.7.7,"per-occurrence, always expected"
2Cor.7.11,G2205,zeal,N-ASM,N,M0.7.8,"per-occurrence, always expected"
2Cor.7.11,G2205,zeal,N-ASM,N,M0.7.9,"per-occurrence, always expected"
2Cor.7.11,G1557,punishment,N-ASF,N,M0.7.1,"per-occurrence, always expected"
2Cor.7.11,G1557,punishment,N-ASF,N,M0.7.10,"per-occurrence, always expected"
2Cor.7.11,G1557,punishment,N-ASF,N,M0.7.11,"per-occurrence, always expected"
2Cor.7.11,G1557,punishment,N-ASF,N,M0.7.12,"per-occurrence, always expected"
2Cor.7.11,G1557,punishment,N-ASF,N,M0.7.13,"per-occurrence, always expected"
2Cor.7.11,G1557,punishment,N-ASF,N,M0.7.14,"per-occurrence, always expected"
2Cor.7.11,G1557,punishment,N-ASF,N,M0.7.15,"per-occurrence, always expected"
2Cor.7.11,G1557,punishment,N-ASF,N,M0.7.16,"per-occurrence, always expected"
2Cor.7.11,G1557,punishment,N-ASF,N,M0.7.2,"per-occurrence, always expected"
2Cor.7.11,G1557,punishment,N-ASF,N,M0.7.3,"per-occurrence, always expected"
2Cor.7.11,G1557,punishment,N-ASF,N,M0.7.4,"per-occurrence, always expected"
2Cor.7.11,G1557,punishment,N-ASF,N,M0.7.5,"per-occurrence, always expected"
2Cor.7.11,G1557,punishment,N-ASF,N,M0.7.6,"per-occurrence, always expected"
2Cor.7.11,G1557,punishment,N-ASF,N,M0.7.7,"per-occurrence, always expected"
2Cor.7.11,G1557,punishment,N-ASF,N,M0.7.8,"per-occurrence, always expected"
2Cor.7.11,G1557,punishment,N-ASF,N,M0.7.9,"per-occurrence, always expected"
2Cor.7.11,G0053,innocent,A-APM,N,M0.7.1,"per-occurrence, always expected"
2Cor.7.11,G0053,innocent,A-APM,N,M0.7.10,"per-occurrence, always expected"
2Cor.7.11,G0053,innocent,A-APM,N,M0.7.11,"per-occurrence, always expected"
2Cor.7.11,G0053,innocent,A-APM,N,M0.7.12,"per-occurrence, always expected"
2Cor.7.11,G0053,innocent,A-APM,N,M0.7.13,"per-occurrence, always expected"
2Cor.7.11,G0053,innocent,A-APM,N,M0.7.14,"per-occurrence, always expected"
2Cor.7.11,G0053,innocent,A-APM,N,M0.7.15,"per-occurrence, always expected"
2Cor.7.11,G0053,innocent,A-APM,N,M0.7.16,"per-occurrence, always expected"
2Cor.7.11,G0053,innocent,A-APM,N,M0.7.2,"per-occurrence, always expected"
2Cor.7.11,G0053,innocent,A-APM,N,M0.7.3,"per-occurrence, always expected"
2Cor.7.11,G0053,innocent,A-APM,N,M0.7.4,"per-occurrence, always expected"
2Cor.7.11,G0053,innocent,A-APM,N,M0.7.5,"per-occurrence, always expected"
2Cor.7.11,G0053,innocent,A-APM,N,M0.7.6,"per-occurrence, always expected"
2Cor.7.11,G0053,innocent,A-APM,N,M0.7.7,"per-occurrence, always expected"
2Cor.7.11,G0053,innocent,A-APM,N,M0.7.8,"per-occurrence, always expected"
2Cor.7.11,G0053,innocent,A-APM,N,M0.7.9,"per-occurrence, always expected"
2Cor.7.11,G4710,earnestness,N-ASF,Y,M0.6.5,"home relational, always expected"
2Cor.7.11,G4710,earnestness,N-ASF,Y,M0.6.6,"home whole-network, other M-code strong present in verse"
2Cor.7.11,G4710,earnestness,N-ASF,Y,D7.7.1,"home operation-permeability, T3 + party tag both present in verse"
Matt.12.36,G2920,judgment,N-GSF,N,M0.7.1,"per-occurrence, always expected"
Matt.12.36,G2920,judgment,N-GSF,N,M0.7.10,"per-occurrence, always expected"
Matt.12.36,G2920,judgment,N-GSF,N,M0.7.11,"per-occurrence, always expected"
Matt.12.36,G2920,judgment,N-GSF,N,M0.7.12,"per-occurrence, always expected"
Matt.12.36,G2920,judgment,N-GSF,N,M0.7.13,"per-occurrence, always expected"
Matt.12.36,G2920,judgment,N-GSF,N,M0.7.14,"per-occurrence, always expected"
Matt.12.36,G2920,judgment,N-GSF,N,M0.7.15,"per-occurrence, always expected"
Matt.12.36,G2920,judgment,N-GSF,N,M0.7.16,"per-occurrence, always expected"
Matt.12.36,G2920,judgment,N-GSF,N,M0.7.2,"per-occurrence, always expected"
Matt.12.36,G2920,judgment,N-GSF,N,M0.7.3,"per-occurrence, always expected"
Matt.12.36,G2920,judgment,N-GSF,N,M0.7.4,"per-occurrence, always expected"
Matt.12.36,G2920,judgment,N-GSF,N,M0.7.5,"per-occurrence, always expected"
Matt.12.36,G2920,judgment,N-GSF,N,M0.7.6,"per-occurrence, always expected"
Matt.12.36,G2920,judgment,N-GSF,N,M0.7.7,"per-occurrence, always expected"
Matt.12.36,G2920,judgment,N-GSF,N,M0.7.8,"per-occurrence, always expected"
Matt.12.36,G2920,judgment,N-GSF,N,M0.7.9,"per-occurrence, always expected"
Matt.12.36,G3056,account,N-ASM,N,M0.7.1,"per-occurrence, always expected"
Matt.12.36,G3056,account,N-ASM,N,M0.7.10,"per-occurrence, always expected"
Matt.12.36,G3056,account,N-ASM,N,M0.7.11,"per-occurrence, always expected"
Matt.12.36,G3056,account,N-ASM,N,M0.7.12,"per-occurrence, always expected"
Matt.12.36,G3056,account,N-ASM,N,M0.7.13,"per-occurrence, always expected"
Matt.12.36,G3056,account,N-ASM,N,M0.7.14,"per-occurrence, always expected"
Matt.12.36,G3056,account,N-ASM,N,M0.7.15,"per-occurrence, always expected"
Matt.12.36,G3056,account,N-ASM,N,M0.7.16,"per-occurrence, always expected"
Matt.12.36,G3056,account,N-ASM,N,M0.7.2,"per-occurrence, always expected"
Matt.12.36,G3056,account,N-ASM,N,M0.7.3,"per-occurrence, always expected"
Matt.12.36,G3056,account,N-ASM,N,M0.7.4,"per-occurrence, always expected"
Matt.12.36,G3056,account,N-ASM,N,M0.7.5,"per-occurrence, always expected"
Matt.12.36,G3056,account,N-ASM,N,M0.7.6,"per-occurrence, always expected"
Matt.12.36,G3056,account,N-ASM,N,M0.7.7,"per-occurrence, always expected"
Matt.12.36,G3056,account,N-ASM,N,M0.7.8,"per-occurrence, always expected"
Matt.12.36,G3056,account,N-ASM,N,M0.7.9,"per-occurrence, always expected"
Matt.12.36,G0692,careless,A-ASN,Y,M0.7.1,"per-occurrence, always expected"
Matt.12.36,G0692,careless,A-ASN,Y,M0.7.10,"per-occurrence, always expected"
Matt.12.36,G0692,careless,A-ASN,Y,M0.7.11,"per-occurrence, always expected"
Matt.12.36,G0692,careless,A-ASN,Y,M0.7.12,"per-occurrence, always expected"
Matt.12.36,G0692,careless,A-ASN,Y,M0.7.13,"per-occurrence, always expected"
Matt.12.36,G0692,careless,A-ASN,Y,M0.7.14,"per-occurrence, always expected"
Matt.12.36,G0692,careless,A-ASN,Y,M0.7.15,"per-occurrence, always expected"
Matt.12.36,G0692,careless,A-ASN,Y,M0.7.16,"per-occurrence, always expected"
Matt.12.36,G0692,careless,A-ASN,Y,M0.7.2,"per-occurrence, always expected"
Matt.12.36,G0692,careless,A-ASN,Y,M0.7.3,"per-occurrence, always expected"
Matt.12.36,G0692,careless,A-ASN,Y,M0.7.4,"per-occurrence, always expected"
Matt.12.36,G0692,careless,A-ASN,Y,M0.7.5,"per-occurrence, always expected"
Matt.12.36,G0692,careless,A-ASN,Y,M0.7.6,"per-occurrence, always expected"
Matt.12.36,G0692,careless,A-ASN,Y,M0.7.7,"per-occurrence, always expected"
Matt.12.36,G0692,careless,A-ASN,Y,M0.7.8,"per-occurrence, always expected"
Matt.12.36,G0692,careless,A-ASN,Y,M0.7.9,"per-occurrence, always expected"
Matt.12.36,G0692,careless,A-ASN,Y,M0.6.5,"home relational, always expected"
Matt.12.36,G0692,careless,A-ASN,Y,M0.6.6,"home whole-network, other M-code strong present in verse"
Matt.12.36,G0692,careless,A-ASN,Y,D7.7.1,"home operation-permeability, T3 + party tag both present in verse"
Matt.20.6,G0692,idle,A-NPM,Y,M0.7.1,"per-occurrence, always expected"
Matt.20.6,G0692,idle,A-NPM,Y,M0.7.10,"per-occurrence, always expected"
Matt.20.6,G0692,idle,A-NPM,Y,M0.7.11,"per-occurrence, always expected"
Matt.20.6,G0692,idle,A-NPM,Y,M0.7.12,"per-occurrence, always expected"
Matt.20.6,G0692,idle,A-NPM,Y,M0.7.13,"per-occurrence, always expected"
Matt.20.6,G0692,idle,A-NPM,Y,M0.7.14,"per-occurrence, always expected"
Matt.20.6,G0692,idle,A-NPM,Y,M0.7.15,"per-occurrence, always expected"
Matt.20.6,G0692,idle,A-NPM,Y,M0.7.16,"per-occurrence, always expected"
Matt.20.6,G0692,idle,A-NPM,Y,M0.7.2,"per-occurrence, always expected"
Matt.20.6,G0692,idle,A-NPM,Y,M0.7.3,"per-occurrence, always expected"
Matt.20.6,G0692,idle,A-NPM,Y,M0.7.4,"per-occurrence, always expected"
Matt.20.6,G0692,idle,A-NPM,Y,M0.7.5,"per-occurrence, always expected"
Matt.20.6,G0692,idle,A-NPM,Y,M0.7.6,"per-occurrence, always expected"
Matt.20.6,G0692,idle,A-NPM,Y,M0.7.7,"per-occurrence, always expected"
Matt.20.6,G0692,idle,A-NPM,Y,M0.7.8,"per-occurrence, always expected"
Matt.20.6,G0692,idle,A-NPM,Y,M0.7.9,"per-occurrence, always expected"
Matt.20.6,G0692,idle,A-NPM,Y,M0.6.5,"home relational, always expected"
Mark.6.25,G4710,haste,N-GSF,Y,M0.7.1,"per-occurrence, always expected"
Mark.6.25,G4710,haste,N-GSF,Y,M0.7.10,"per-occurrence, always expected"
Mark.6.25,G4710,haste,N-GSF,Y,M0.7.11,"per-occurrence, always expected"
Mark.6.25,G4710,haste,N-GSF,Y,M0.7.12,"per-occurrence, always expected"
Mark.6.25,G4710,haste,N-GSF,Y,M0.7.13,"per-occurrence, always expected"
Mark.6.25,G4710,haste,N-GSF,Y,M0.7.14,"per-occurrence, always expected"
Mark.6.25,G4710,haste,N-GSF,Y,M0.7.15,"per-occurrence, always expected"
Mark.6.25,G4710,haste,N-GSF,Y,M0.7.16,"per-occurrence, always expected"
Mark.6.25,G4710,haste,N-GSF,Y,M0.7.2,"per-occurrence, always expected"
Mark.6.25,G4710,haste,N-GSF,Y,M0.7.3,"per-occurrence, always expected"
Mark.6.25,G4710,haste,N-GSF,Y,M0.7.4,"per-occurrence, always expected"
Mark.6.25,G4710,haste,N-GSF,Y,M0.7.5,"per-occurrence, always expected"
Mark.6.25,G4710,haste,N-GSF,Y,M0.7.6,"per-occurrence, always expected"
Mark.6.25,G4710,haste,N-GSF,Y,M0.7.7,"per-occurrence, always expected"
Mark.6.25,G4710,haste,N-GSF,Y,M0.7.8,"per-occurrence, always expected"
Mark.6.25,G4710,haste,N-GSF,Y,M0.7.9,"per-occurrence, always expected"
Mark.6.25,G0154,asked,V-AMI-3S,N,M0.7.1,"per-occurrence, always expected"
Mark.6.25,G0154,asked,V-AMI-3S,N,M0.7.10,"per-occurrence, always expected"
Mark.6.25,G0154,asked,V-AMI-3S,N,M0.7.11,"per-occurrence, always expected"
Mark.6.25,G0154,asked,V-AMI-3S,N,M0.7.12,"per-occurrence, always expected"
Mark.6.25,G0154,asked,V-AMI-3S,N,M0.7.13,"per-occurrence, always expected"
Mark.6.25,G0154,asked,V-AMI-3S,N,M0.7.14,"per-occurrence, always expected"
Mark.6.25,G0154,asked,V-AMI-3S,N,M0.7.15,"per-occurrence, always expected"
Mark.6.25,G0154,asked,V-AMI-3S,N,M0.7.16,"per-occurrence, always expected"
Mark.6.25,G0154,asked,V-AMI-3S,N,M0.7.2,"per-occurrence, always expected"
Mark.6.25,G0154,asked,V-AMI-3S,N,M0.7.3,"per-occurrence, always expected"
Mark.6.25,G0154,asked,V-AMI-3S,N,M0.7.4,"per-occurrence, always expected"
Mark.6.25,G0154,asked,V-AMI-3S,N,M0.7.5,"per-occurrence, always expected"
Mark.6.25,G0154,asked,V-AMI-3S,N,M0.7.6,"per-occurrence, always expected"
Mark.6.25,G0154,asked,V-AMI-3S,N,M0.7.7,"per-occurrence, always expected"
Mark.6.25,G0154,asked,V-AMI-3S,N,M0.7.8,"per-occurrence, always expected"
Mark.6.25,G0154,asked,V-AMI-3S,N,M0.7.9,"per-occurrence, always expected"
Mark.6.25,G2309,want,V-PAI-1S,N,M0.7.1,"per-occurrence, always expected"
Mark.6.25,G2309,want,V-PAI-1S,N,M0.7.10,"per-occurrence, always expected"
Mark.6.25,G2309,want,V-PAI-1S,N,M0.7.11,"per-occurrence, always expected"
Mark.6.25,G2309,want,V-PAI-1S,N,M0.7.12,"per-occurrence, always expected"
Mark.6.25,G2309,want,V-PAI-1S,N,M0.7.13,"per-occurrence, always expected"
Mark.6.25,G2309,want,V-PAI-1S,N,M0.7.14,"per-occurrence, always expected"
Mark.6.25,G2309,want,V-PAI-1S,N,M0.7.15,"per-occurrence, always expected"
Mark.6.25,G2309,want,V-PAI-1S,N,M0.7.16,"per-occurrence, always expected"
Mark.6.25,G2309,want,V-PAI-1S,N,M0.7.2,"per-occurrence, always expected"
Mark.6.25,G2309,want,V-PAI-1S,N,M0.7.3,"per-occurrence, always expected"
Mark.6.25,G2309,want,V-PAI-1S,N,M0.7.4,"per-occurrence, always expected"
Mark.6.25,G2309,want,V-PAI-1S,N,M0.7.5,"per-occurrence, always expected"
Mark.6.25,G2309,want,V-PAI-1S,N,M0.7.6,"per-occurrence, always expected"
Mark.6.25,G2309,want,V-PAI-1S,N,M0.7.7,"per-occurrence, always expected"
Mark.6.25,G2309,want,V-PAI-1S,N,M0.7.8,"per-occurrence, always expected"
Mark.6.25,G2309,want,V-PAI-1S,N,M0.7.9,"per-occurrence, always expected"
Mark.6.25,G4710,haste,N-GSF,Y,M0.6.5,"home relational, always expected"
Mark.6.25,G4710,haste,N-GSF,Y,M0.6.6,"home whole-network, other M-code strong present in verse"
Luke.7.4,G3870,pleaded,V-IAI-3P,N,M0.7.1,"per-occurrence, always expected"
Luke.7.4,G3870,pleaded,V-IAI-3P,N,M0.7.10,"per-occurrence, always expected"
Luke.7.4,G3870,pleaded,V-IAI-3P,N,M0.7.11,"per-occurrence, always expected"
Luke.7.4,G3870,pleaded,V-IAI-3P,N,M0.7.12,"per-occurrence, always expected"
Luke.7.4,G3870,pleaded,V-IAI-3P,N,M0.7.13,"per-occurrence, always expected"
Luke.7.4,G3870,pleaded,V-IAI-3P,N,M0.7.14,"per-occurrence, always expected"
Luke.7.4,G3870,pleaded,V-IAI-3P,N,M0.7.15,"per-occurrence, always expected"
Luke.7.4,G3870,pleaded,V-IAI-3P,N,M0.7.16,"per-occurrence, always expected"
Luke.7.4,G3870,pleaded,V-IAI-3P,N,M0.7.2,"per-occurrence, always expected"
Luke.7.4,G3870,pleaded,V-IAI-3P,N,M0.7.3,"per-occurrence, always expected"
Luke.7.4,G3870,pleaded,V-IAI-3P,N,M0.7.4,"per-occurrence, always expected"
Luke.7.4,G3870,pleaded,V-IAI-3P,N,M0.7.5,"per-occurrence, always expected"
Luke.7.4,G3870,pleaded,V-IAI-3P,N,M0.7.6,"per-occurrence, always expected"
Luke.7.4,G3870,pleaded,V-IAI-3P,N,M0.7.7,"per-occurrence, always expected"
Luke.7.4,G3870,pleaded,V-IAI-3P,N,M0.7.8,"per-occurrence, always expected"
Luke.7.4,G3870,pleaded,V-IAI-3P,N,M0.7.9,"per-occurrence, always expected"
Luke.7.4,G4709,earnestly,ADV,Y,M0.7.1,"per-occurrence, always expected"
Luke.7.4,G4709,earnestly,ADV,Y,M0.7.10,"per-occurrence, always expected"
Luke.7.4,G4709,earnestly,ADV,Y,M0.7.11,"per-occurrence, always expected"
Luke.7.4,G4709,earnestly,ADV,Y,M0.7.12,"per-occurrence, always expected"
Luke.7.4,G4709,earnestly,ADV,Y,M0.7.13,"per-occurrence, always expected"
Luke.7.4,G4709,earnestly,ADV,Y,M0.7.14,"per-occurrence, always expected"
Luke.7.4,G4709,earnestly,ADV,Y,M0.7.15,"per-occurrence, always expected"
Luke.7.4,G4709,earnestly,ADV,Y,M0.7.16,"per-occurrence, always expected"
Luke.7.4,G4709,earnestly,ADV,Y,M0.7.2,"per-occurrence, always expected"
Luke.7.4,G4709,earnestly,ADV,Y,M0.7.3,"per-occurrence, always expected"
