folder_path,top_level_root,depth,parent_path,direct_file_count,recursive_file_count,direct_subfolder_count,top_ext_direct,last_modified_direct,governed_by_setting,manifest_category,manifest_currency,type,status,usage_description,added_at,last_reviewed_at
Workflow/Programme/prose-edits/archive,Workflow,4,Workflow/Programme/prose-edits,10,10,0,.md:10,2026-08-27T09:42:01Z,,,,,,,2026-08-28T05:41:51Z,
Workflow/Programme/prose-edits/chapters-4-6,Workflow,4,Workflow/Programme/prose-edits,39,39,0,.md:39,2026-08-14T20:17:03Z,,,,,,,2026-08-28T05:41:51Z,
Workflow/Programme/prose-edits/programme-chapters-4-6,Workflow,4,Workflow/Programme/prose-edits,31,31,0,.md:31,2026-08-14T20:20:05Z,,,,,,,2026-08-28T05:41:51Z,
Workflow/SQLite,Workflow,2,Workflow,2,2,0,".sqlite3-query:1, .md:1",2026-08-20T13:31:15Z,,,,,,,2026-08-28T05:41:51Z,
Workflow/Sciences,Workflow,2,Workflow,3,12,1,.md:3,2026-07-12T05:00:00Z,,,,,,,2026-08-28T05:41:51Z,
Workflow/Sciences/archive,Workflow,3,Workflow/Sciences,9,9,0,".md:7, .zip:1, .html:1",2026-07-12T05:00:00Z,,,,,,,2026-08-28T05:41:51Z,
Workflow/Tiers,Workflow,2,Workflow,2,36,1,.md:2,2026-07-12T05:02:55Z,,,,,,,2026-08-28T05:41:51Z,
Workflow/Tiers/archive,Workflow,3,Workflow/Tiers,34,34,0,".md:30, .json:4",2026-07-12T05:02:55Z,,,,,,,2026-08-28T05:41:51Z,
Workflow/archive,Workflow,2,Workflow,87,87,0,".md:74, .json:10, .docx:3",2026-07-14T04:44:51Z,,,,,,,2026-08-28T05:41:51Z,
Workflow/methodology,Workflow,2,Workflow,56,135,2,".md:55, .zip:1",2026-08-11T03:43:39Z,,,,,,,2026-08-28T05:41:51Z,
Workflow/methodology/archive,Workflow,3,Workflow/methodology,65,65,0,".md:55, .docx:5, .json:4, .html:1",2026-07-12T05:02:55Z,,,,,,,2026-08-28T05:41:51Z,
Workflow/methodology/lexical analysis test - cycle 1,Workflow,3,Workflow/methodology,14,14,0,".md:12, .csv:2",2026-07-14T04:17:36Z,,,,,,,2026-08-28T05:41:51Z,
Workflow/reference,Workflow,2,Workflow,8,8,1,".json:4, .md:3, .docx:1",2026-07-12T05:02:55Z,,,,,,,2026-08-28T05:41:51Z,
Workflow/reference/archive,Workflow,3,Workflow/reference,0,0,0,,,,,,,,,2026-08-28T05:41:51Z,
Workflow/registry,Workflow,2,Workflow,4,4,0,".md:3, .json:1",2026-07-12T05:02:55Z,,,,,,,2026-08-28T05:41:51Z,
Workflow/schema,Workflow,2,Workflow,43,328,1,".csv:35, .json:4, .md:3, .sql:1",2026-08-28T05:40:44Z,configmaint.csv_export_dir; report.schema_overview_path; table_export.output_dir,,,operations,authoritative,,2026-08-28T05:41:51Z,2026-08-28T05:43:10Z
Workflow/schema/archive,Workflow,3,Workflow/schema,285,285,0,".csv:272, .json:12, .pre_dbr_bak:1",2026-08-28T03:57:11Z,,,,,,,2026-08-28T05:41:51Z,
_analytics,_analytics,1,,0,6577,12,,,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books,_analytics,2,_analytics,4,3109,71,".md:2, .base:1, .canvas:1",2026-08-26T06:20:29Z,report.verse_analysis_output_dir,,,operations,authoritative,,2026-08-28T05:41:51Z,2026-08-28T05:41:57Z
_analytics/bible_books/1Chr,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T13:47:52Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/1Cor,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T06:08:53Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/1John,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T07:07:51Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/1Kgs,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T13:45:48Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/1Pet,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T07:06:48Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/1Sam,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T13:43:56Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/1Thess,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T06:12:46Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/1Tim,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T06:14:14Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/2Chr,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T13:49:05Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/2Cor,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T07:44:09Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/2John,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T07:08:25Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/2Kgs,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T13:46:54Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/2Pet,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T07:07:13Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/2Sam,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T13:44:45Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/2Thess,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T06:13:39Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/2Tim,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T06:14:42Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/3John,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T07:08:48Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Acts,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T06:06:52Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Amos,_analytics,3,_analytics/bible_books,3,22,4,.md:3,2026-08-09T13:59:47Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Amos/_seg,_analytics,4,_analytics/bible_books/Amos,1,1,0,.json:1,2026-07-04T09:57:51Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Amos/archive,_analytics,4,_analytics/bible_books/Amos,1,1,0,.md:1,2026-08-02T12:39:10Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Amos/phase1-views,_analytics,4,_analytics/bible_books/Amos,9,9,0,.md:9,2026-07-12T05:02:57Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Amos/readings,_analytics,4,_analytics/bible_books/Amos,8,8,0,.md:8,2026-07-12T05:00:51Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Col,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T08:48:21Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Dan,_analytics,3,_analytics/bible_books,27,158,4,".md:26, .pdf:1",2026-08-08T07:12:18Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Dan/_seg,_analytics,4,_analytics/bible_books/Dan,1,1,0,.json:1,2026-07-04T10:46:17Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Dan/archive,_analytics,4,_analytics/bible_books/Dan,106,106,0,".md:105, .html:1",2026-08-08T05:57:47Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Dan/phase1-views,_analytics,4,_analytics/bible_books/Dan,12,12,0,.md:12,2026-08-04T14:05:21Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Dan/readings,_analytics,4,_analytics/bible_books/Dan,12,12,0,.md:12,2026-07-12T05:00:52Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Deut,_analytics,3,_analytics/bible_books,2,2,0,.md:2,2026-08-09T13:41:01Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Eccl,_analytics,3,_analytics/bible_books,2,27,3,.md:2,2026-08-09T13:53:40Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Eccl/_seg,_analytics,4,_analytics/bible_books/Eccl,1,1,0,.json:1,2026-07-03T17:07:26Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Eccl/phase1-views,_analytics,4,_analytics/bible_books/Eccl,12,12,0,.md:12,2026-07-12T05:02:57Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Eccl/readings,_analytics,4,_analytics/bible_books/Eccl,12,12,0,.md:12,2026-07-12T05:00:52Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Eph,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T06:10:59Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Esth,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T13:50:38Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Exod,_analytics,3,_analytics/bible_books,6,68,4,.md:6,2026-08-09T13:38:17Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Exod/_reports,_analytics,4,_analytics/bible_books/Exod,3,3,0,.md:3,2026-07-12T05:02:57Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Exod/_seg,_analytics,4,_analytics/bible_books/Exod,6,6,0,".json:5, .md:1",2026-07-12T05:00:52Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Exod/_synthesis,_analytics,4,_analytics/bible_books/Exod,5,5,0,.md:5,2026-07-12T05:00:52Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Exod/readings,_analytics,4,_analytics/bible_books/Exod,48,48,0,.md:48,2026-07-12T05:02:57Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Ezek,_analytics,3,_analytics/bible_books,2,83,3,.md:2,2026-08-09T13:59:26Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Ezek/_seg,_analytics,4,_analytics/bible_books/Ezek,7,7,0,.json:7,2026-07-04T12:15:45Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Ezek/phase1-views,_analytics,4,_analytics/bible_books/Ezek,48,48,0,.md:48,2026-07-12T05:02:57Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Ezek/readings,_analytics,4,_analytics/bible_books/Ezek,26,26,0,.md:26,2026-07-12T05:00:53Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Ezra,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T13:49:33Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Gal,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T06:10:14Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Gen,_analytics,3,_analytics/bible_books,6,89,3,.md:6,2026-08-09T13:37:10Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Gen/_seg,_analytics,4,_analytics/bible_books/Gen,6,6,0,".json:4, .md:2",2026-07-12T05:00:53Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Gen/_synthesis,_analytics,4,_analytics/bible_books/Gen,8,8,0,".md:4, .txt:4",2026-07-12T05:00:53Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Gen/readings,_analytics,4,_analytics/bible_books/Gen,69,69,0,.md:69,2026-07-12T05:02:57Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Hab,_analytics,3,_analytics/bible_books,1,8,4,.md:1,2026-08-09T14:00:17Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Hab/Habakkuk,_analytics,4,_analytics/bible_books/Hab,0,0,0,,,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Hab/_seg,_analytics,4,_analytics/bible_books/Hab,1,1,0,.json:1,2026-07-04T07:38:22Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Hab/phase1-views,_analytics,4,_analytics/bible_books/Hab,3,3,0,.md:3,2026-07-12T05:02:57Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Hab/readings,_analytics,4,_analytics/bible_books/Hab,3,3,0,.md:3,2026-07-12T05:00:55Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Hag,_analytics,3,_analytics/bible_books,1,6,3,.md:1,2026-08-09T14:00:50Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Hag/_seg,_analytics,4,_analytics/bible_books/Hag,1,1,0,.json:1,2026-07-04T10:07:02Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Hag/phase1-views,_analytics,4,_analytics/bible_books/Hag,2,2,0,.md:2,2026-07-12T05:02:57Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Hag/readings,_analytics,4,_analytics/bible_books/Hag,2,2,0,.md:2,2026-07-12T05:00:55Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Heb,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T06:17:42Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Hos,_analytics,3,_analytics/bible_books,35,64,3,".md:33, .json:1, .pdf:1",2026-08-09T14:03:35Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Hos/_seg,_analytics,4,_analytics/bible_books/Hos,1,1,0,.json:1,2026-07-04T06:30:43Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Hos/phase1-views,_analytics,4,_analytics/bible_books/Hos,14,14,0,.md:14,2026-07-12T05:02:57Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Hos/readings,_analytics,4,_analytics/bible_books/Hos,14,14,0,.md:14,2026-07-12T05:00:55Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Isa,_analytics,3,_analytics/bible_books,2,140,3,.md:2,2026-08-09T13:55:39Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Isa/_seg,_analytics,4,_analytics/bible_books/Isa,8,8,0,.json:8,2026-07-04T08:43:22Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Isa/phase1-views,_analytics,4,_analytics/bible_books/Isa,66,66,0,.md:66,2026-07-12T05:02:57Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Isa/readings,_analytics,4,_analytics/bible_books/Isa,64,64,0,.md:64,2026-07-12T05:00:56Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Jas,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T06:27:24Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Jer,_analytics,3,_analytics/bible_books,3,107,3,.md:3,2026-08-09T13:57:25Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Jer/_seg,_analytics,4,_analytics/bible_books/Jer,8,8,0,.json:8,2026-07-04T11:40:07Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Jer/phase1-views,_analytics,4,_analytics/bible_books/Jer,52,52,0,.md:52,2026-07-12T05:02:57Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Jer/readings,_analytics,4,_analytics/bible_books/Jer,44,44,0,.md:44,2026-07-12T05:00:56Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Job,_analytics,3,_analytics/bible_books,1,86,3,.md:1,2026-08-09T13:51:18Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Job/_seg,_analytics,4,_analytics/bible_books/Job,1,1,0,.json:1,2026-07-03T17:35:46Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Job/phase1-views,_analytics,4,_analytics/bible_books/Job,42,42,0,.md:42,2026-07-12T05:02:57Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Job/readings,_analytics,4,_analytics/bible_books/Job,42,42,0,.md:42,2026-07-12T05:00:57Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Joel,_analytics,3,_analytics/bible_books,10,17,3,.md:10,2026-08-09T14:04:00Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Joel/_seg,_analytics,4,_analytics/bible_books/Joel,1,1,0,.json:1,2026-07-04T08:59:56Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Joel/phase1-views,_analytics,4,_analytics/bible_books/Joel,3,3,0,.md:3,2026-07-12T05:02:57Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Joel/readings,_analytics,4,_analytics/bible_books/Joel,3,3,0,.md:3,2026-07-12T05:00:57Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/John,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T06:05:36Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Jonah,_analytics,3,_analytics/bible_books,13,22,3,".md:12, .json:1",2026-08-09T14:04:11Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Jonah/_seg,_analytics,4,_analytics/bible_books/Jonah,1,1,0,.json:1,2026-07-04T07:34:44Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Jonah/phase1-views,_analytics,4,_analytics/bible_books/Jonah,4,4,0,.md:4,2026-07-12T05:02:58Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Jonah/readings,_analytics,4,_analytics/bible_books/Jonah,4,4,0,.md:4,2026-07-12T05:00:57Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Josh,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T13:41:48Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Jude,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T07:09:17Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Judg,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T13:42:41Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Lam,_analytics,3,_analytics/bible_books,1,12,3,.md:1,2026-08-09T13:57:47Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Lam/_seg,_analytics,4,_analytics/bible_books/Lam,1,1,0,.json:1,2026-07-03T19:10:26Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Lam/phase1-views,_analytics,4,_analytics/bible_books/Lam,5,5,0,.md:5,2026-07-12T05:02:58Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Lam/readings,_analytics,4,_analytics/bible_books/Lam,5,5,0,.md:5,2026-07-12T05:00:58Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Lev,_analytics,3,_analytics/bible_books,4,30,3,.md:4,2026-08-09T13:39:02Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Lev/_coding,_analytics,4,_analytics/bible_books/Lev,17,17,0,.json:17,2026-07-05T17:40:44Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Lev/_discoveries,_analytics,4,_analytics/bible_books/Lev,4,4,0,".json:3, .md:1",2026-07-12T05:00:58Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Lev/_reports,_analytics,4,_analytics/bible_books/Lev,5,5,0,.md:5,2026-07-12T05:02:58Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Luke,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T06:04:28Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Mal,_analytics,3,_analytics/bible_books,2,11,3,.md:2,2026-08-09T14:01:34Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Mal/_seg,_analytics,4,_analytics/bible_books/Mal,1,1,0,.json:1,2026-07-04T06:11:58Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Mal/phase1-views,_analytics,4,_analytics/bible_books/Mal,4,4,0,.md:4,2026-07-12T05:02:58Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Mal/readings,_analytics,4,_analytics/bible_books/Mal,4,4,0,.md:4,2026-07-12T05:00:58Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Mark,_analytics,3,_analytics/bible_books,4,4,0,.md:4,2026-08-09T06:03:21Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Matt,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T06:00:45Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Mic,_analytics,3,_analytics/bible_books,18,33,3,.md:18,2026-08-09T14:03:50Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Mic/_seg,_analytics,4,_analytics/bible_books/Mic,1,1,0,.json:1,2026-07-04T06:39:35Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Mic/phase1-views,_analytics,4,_analytics/bible_books/Mic,7,7,0,.md:7,2026-07-12T05:02:58Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Mic/readings,_analytics,4,_analytics/bible_books/Mic,7,7,0,.md:7,2026-07-12T05:00:58Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Nah,_analytics,3,_analytics/bible_books,1,8,3,.md:1,2026-08-09T14:00:01Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Nah/_seg,_analytics,4,_analytics/bible_books/Nah,1,1,0,.json:1,2026-07-04T10:04:25Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Nah/phase1-views,_analytics,4,_analytics/bible_books/Nah,3,3,0,.md:3,2026-07-12T05:02:57Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Nah/readings,_analytics,4,_analytics/bible_books/Nah,3,3,0,.md:3,2026-07-12T05:00:58Z,,,,,,,2026-08-28T05:41:51Z,
_analytics/bible_books/Neh,_analytics,3,_analytics/bible_books,1,1,0,.md:1,2026-08-09T13:50:12Z,,,,,,,2026-08-28T05:41:51Z,
