dqf_id,file_id,word,registry_id,term_id,flag_code,flag_description,analyst_note,category,researcher_decision,resolution_term_inv_id,resolution_notes
1399,6,anointing,006,G3040,NO_WORD_ANALYSIS,meaning field is null for G3040. STEP returned no word analysis block for this term.,,NOT_IN_DB,,,
2859,6,anointing,006,G3040,THIN_DATA,,,NOT_IN_DB,,,
1392,6,anointing,006,G5545B,NO_VERSES,Zero confirmed verse records for G5545B.,,NOT_IN_DB,,,
1393,6,anointing,006,G5545B,NO_WORD_ANALYSIS,meaning field is null for G5545B. STEP returned no word analysis block for this term.,,NOT_IN_DB,,,
2858,6,anointing,006,G5545B,THIN_DATA,,,NOT_IN_DB,,,
1377,6,anointing,006,H5258,NO_VERSES,Zero confirmed verse records for H5258.,,NOT_IN_DB,,,
1378,6,anointing,006,H5258,NO_WORD_ANALYSIS,meaning field is null for H5258. STEP returned no word analysis block for this term.,,NOT_IN_DB,,,
2843,6,anointing,006,H5258,THIN_DATA,,,NOT_IN_DB,,,
1409,7,anxiety,007,G0253,THIN_DATA,Low occurrence count: 1. Statistical patterns unreliable with fewer than 20 occurrences.,,NOT_IN_DB,,,
1410,7,anxiety,007,G0253,SMALL_VERSE_SAMPLE,Only 1 confirmed verse records for G0253. Threshold is 5.,,NOT_IN_DB,,,
1544,10,desire,043,G3715,THIN_DATA,Low occurrence count: 1. Statistical patterns unreliable with fewer than 20 occurrences.,,NOT_IN_DB,,,
1545,10,desire,043,G3715,SMALL_VERSE_SAMPLE,Only 1 confirmed verse records for G3715. Threshold is 5.,,NOT_IN_DB,,,
2922,10,desire,043,NO STRONG-043-epithumema,THIN_DATA,,,NO_STRONG,,,
2923,10,desire,043,NO STRONG-043-epithumema,NO_WORD_ANALYSIS,,,NO_STRONG,,,
2919,10,desire,043,NO STRONG-043-epithumetos,THIN_DATA,,,NO_STRONG,,,
2920,10,desire,043,NO STRONG-043-epithumetos,NO_WORD_ANALYSIS,,,NO_STRONG,,,
2210,27,repentance,135,H7725,NO_VERSES,Zero confirmed verse records for H7725.,,NOT_IN_DB,,,
2211,27,repentance,135,H7725,NO_WORD_ANALYSIS,meaning field is null for H7725. STEP returned no word analysis block for this term.,,NOT_IN_DB,,,
3200,27,repentance,135,H7725,THIN_DATA,,,NOT_IN_DB,,,
3201,27,repentance,135,H7725,SMALL_VERSE_SAMPLE,,,NOT_IN_DB,,,
3202,27,repentance,135,H7725,HIGH_FREQUENCY_ANCHOR,,,NOT_IN_DB,,,
3203,27,repentance,135,NO STRONG-135-metameleia,THIN_DATA,,,NO_STRONG,,,
3204,27,repentance,135,NO STRONG-135-metameleia,NO_WORD_ANALYSIS,,,NO_STRONG,,,
2538,51,gladness,186,G2165,THIN_DATA,Low occurrence count: 15. Statistical patterns unreliable with fewer than 20 occurrences.,,NOT_IN_DB,,,
2534,51,gladness,186,G2174,THIN_DATA,Low occurrence count: 1. Statistical patterns unreliable with fewer than 20 occurrences.,,NOT_IN_DB,,,
2535,51,gladness,186,G2174,SMALL_VERSE_SAMPLE,Only 1 confirmed verse records for G2174. Threshold is 5.,,NOT_IN_DB,,,
2536,51,gladness,186,G9320,NO_VERSES,Zero confirmed verse records for G9320.,,NOT_IN_DB,,,
3520,51,gladness,186,G9320,THIN_DATA,,,NOT_IN_DB,,,
2539,51,gladness,186,H2302,THIN_DATA,Low occurrence count: 3. Statistical patterns unreliable with fewer than 20 occurrences.,,NOT_IN_DB,,,
2540,51,gladness,186,H2302,SMALL_VERSE_SAMPLE,Only 3 confirmed verse records for H2302. Threshold is 5.,,NOT_IN_DB,,,
2537,51,gladness,186,H2868,NO_VERSES,Zero confirmed verse records for H2868.,,NOT_IN_DB,,,
3521,51,gladness,186,H2868,THIN_DATA,,,NOT_IN_DB,,,
3522,51,gladness,186,H2868,SMALL_VERSE_SAMPLE,,,NOT_IN_DB,,,
