strong,stepGloss,language,cluster_code,short_name,source,created_at
G0054,purity,Greek,M61,Purity & Holiness,heuristic-family-grouping-v1-20260905,2026-09-05T16:20:27Z
G0055,purely,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0056,ignorance,Greek,M63,Reasoning & Interpretation,heuristic-family-grouping-v1-20260905,2026-09-05T16:20:27Z
G0057,unknown,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0058,marketplace,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0059,to buy,Greek,T3,Operations,auto-precedent,2026-08-12T14:50:55Z
G0060,of the marketplace,Greek,T2,Supplementary,llm-allocation-v1_3-20260811,2026-08-12T07:58:39Z
G0061,catch,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0062,unschooled,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0063,to live outside,Greek,T3,Operations,claude-scan-20260908,2026-09-08 09:15:29
G0064,to catch,Greek,T3,Operations,manual-backfill-triage-20260813,2026-08-13T09:10:57Z
G0065,wild olive tree,Greek,T2,Supplementary,manual-backfill-triage-20260813,2026-08-13T09:10:57Z
G0066,wild,Greek,T2,Supplementary,manual-backfill-triage-20260813,2026-08-13T09:10:57Z
G0067,Agrippa,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0068G,field,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0068H,Field (of blood),Greek,T10,Places,claude-scan-20260908,2026-09-08 13:19:58
G0069,be watchful,Greek,T2,Supplementary,llm-allocation-v1_3-20260811,2026-08-12T07:58:39Z
G0070,sleeplessness,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0071,to bring,Greek,T3,Operations,manual-backfill-triage-20260813,2026-08-13T09:10:57Z
G0072,self-conduct,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0073,fight,Greek,M10,Violence & Cruelty,heuristic-family-grouping-v1-20260905,2026-09-05T16:20:27Z
G0074,a struggle,Greek,M34,Patience & Perseverance,old-system-migration,2026-08-11T15:45:16Z
G0075,to struggle,Greek,M34,Patience & Perseverance,old-system-migration,2026-08-11T15:45:16Z
G0076,Adam,Greek,T8,Party-Human,claude-scan-20260908,2026-09-08 12:52:33
G0077,free,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0079,sister,Greek,M44,Covenant & Fellowship,old-system-migration,2026-08-11T15:45:16Z
G0080,brother,Greek,M14,Deceit & Falsehood,llm-allocation-v1_3-20260811,2026-08-12T07:58:39Z
G0080,brother,Greek,T8,Party-Human,heuristic-family-grouping-v1-20260905,2026-09-05T16:20:27Z
G0081,brotherhood,Greek,M44,Covenant & Fellowship,old-system-migration,2026-08-11T15:45:16Z
G0082,unclear,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0083,uncertainty,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0084,uncertainly,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0085,be distressed,Greek,M24,Faintness & Despair,heuristic-family-grouping-v1-20260905,2026-09-05T16:20:27Z
G0086,hell: Hades,Greek,T10,Places,old-system-migration,2026-08-11T15:45:16Z
G0087,impartial,Greek,M26,Judgment & Condemnation,old-system-migration,2026-08-11T15:45:16Z
G0088,continuous,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0089,unceasingly,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0091,to harm,Greek,M24,Faintness & Despair,old-system-migration,2026-08-11T15:45:16Z
G0092,crime,Greek,M55,Destruction & Ruin,heuristic-family-grouping-v1-20260905,2026-09-05T16:20:27Z
G0093,unrighteousness,Greek,M58,Wickedness,old-system-migration,2026-08-11T15:45:16Z
G0094,unjust,Greek,M12,Righteousness & Integrity,heuristic-family-grouping-v1-20260905,2026-09-05T16:20:27Z
G0095,unjustly,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0096,failing,Greek,M24,Faintness & Despair,llm-allocation-v1_3-20260811,2026-08-12T07:58:39Z
G0097,pure,Greek,M12,Righteousness & Integrity,old-system-migration,2026-08-11T15:45:16Z
G0098,Adramyttium,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0099,Adriatic Sea,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0100,abundance,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0101,be impossible,Greek,T2,Supplementary,llm-allocation-v1_3-20260811,2026-08-12T07:58:39Z
G0102,unable,Greek,T2,Supplementary,llm-allocation-v1_3-20260811,2026-08-12T07:58:39Z
G0103,to sing,Greek,M22,Praise & Song,heuristic-family-grouping-v1-20260905,2026-09-05T16:20:27Z
G0104,always,Greek,T2,Supplementary,auto-precedent,2026-08-12T14:50:55Z
G0105,eagle,Greek,T13,Natural-World,claude-scan-20260908,2026-09-08 13:14:43
G0106,unleavened,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0107,Azor,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0108,Azotus,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0109,air,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0110,immortality,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0111,unlawful,Greek,T2,Supplementary,llm-allocation-v1_3-20260811,2026-08-12T07:58:39Z
G0112,without God,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0113,lawless,Greek,M75,Disobedience & Lawlessness,claude-scan-20260908,2026-09-08 13:32:17
G0114,to reject,Greek,M30,Rebellion & Stubbornness,heuristic-family-grouping-v1-20260905,2026-09-05T16:20:27Z
G0115,nullification,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0116,Athens,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0117,Athenian,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0119,struggle,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0120,be discouraged,Greek,M20,Doubt & Discouragement,old-system-migration,2026-08-11T15:45:16Z
G0121,innocent,Greek,M12,Righteousness & Integrity,llm-allocation-v1_3-20260811,2026-08-12T07:58:39Z
G0122,goat's,Greek,T2,Supplementary,manual-backfill-triage-20260813,2026-08-13T09:10:57Z
G0123,shore,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0124,Egyptian,Greek,T11,Corporate-Collective,claude-scan-20260908,2026-09-08 08:37:58
G0125,Egypt,Greek,T10,Places,claude-scan-20260908,2026-09-08 12:47:47
G0126,eternal,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0127,modesty,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0128,Ethiopian,Greek,T8,Party-Human,claude-scan-20260908,2026-09-08 12:52:34
G0129G,blood,Greek,T14,Body-Parts,auto-precedent,2026-08-12T14:50:55Z
G0129H,(Field of) Blood,Greek,T10,Places,claude-scan-20260908,2026-09-08 13:19:58
G0130,bloodshed,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0131,to bleed,Greek,T3,Operations,claude-scan-20260908,2026-09-08 13:19:47
G0132,Aeneas,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0133,praise,Greek,M22,Praise & Song,old-system-migration,2026-08-11T15:45:16Z
G0134,to praise,Greek,M22,Praise & Song,old-system-migration,2026-08-11T15:45:16Z
G0135,obscure thing,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0136,praise,Greek,M22,Praise & Song,old-system-migration,2026-08-11T15:45:16Z
G0137,Aenon,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0138,to choose,Greek,M64,Will & Resolve,heuristic-family-grouping-v1-20260905,2026-09-05T16:20:27Z
G0139,sect,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0140,to choose,Greek,M64,Will & Resolve,heuristic-family-grouping-v1-20260905,2026-09-05T16:20:27Z
G0141,schismatic,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0142,to take up,Greek,T3,Operations,manual-backfill-triage-20260813,2026-08-13T09:10:57Z
G0143,to perceive,Greek,M15,Knowing & Understanding,llm-allocation-v1_3-20260811,2026-08-12T07:58:39Z
G0144,insight,Greek,M43,Prophecy & Vision,old-system-migration,2026-08-11T15:45:16Z
G0145,sense,Greek,M63,Reasoning & Interpretation,heuristic-family-grouping-v1-20260905,2026-09-05T16:20:27Z
G0146,greedy,Greek,M28,Envy & Greed,llm-allocation-v1_3-20260811,2026-08-12T07:58:39Z
G0147,greedily,Greek,M28,Envy & Greed,llm-allocation-v1_3-20260811,2026-08-12T07:58:39Z
G0148,obscenity,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0150,shameful,Greek,M07,Shame & Confusion,old-system-migration,2026-08-11T15:45:16Z
G0151,obscenity,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0152,shame,Greek,M07,Shame & Confusion,old-system-migration,2026-08-11T15:45:16Z
G0153,be ashamed,Greek,M07,Shame & Confusion,old-system-migration,2026-08-11T15:45:16Z
G0154,to ask,Greek,M21,Fasting & Piety,llm-allocation-v1_3-20260811,2026-08-12T07:58:39Z
G0155,request,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0156,cause/charge,Greek,M26,Judgment & Condemnation,old-system-migration,2026-08-11T15:45:16Z
G0157,charge,Greek,M26,Judgment & Condemnation,auto-precedent,2026-08-12T14:50:56Z
G0159,causer,Greek,M26,Judgment & Condemnation,old-system-migration,2026-08-11T15:45:16Z
G0160,sudden,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0161,captivity,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0162,to take captive,Greek,T3,Operations,manual-backfill-triage-20260813,2026-08-13T09:10:57Z
G0163,to capture,Greek,T3,Operations,manual-backfill-triage-20260813,2026-08-13T09:10:57Z
G0164,captive,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0165G,an age: age,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0165H,an age: eternity,Greek,T2,Supplementary,llm-allocation-v1_3-20260811,2026-08-12T07:58:39Z
G0166,eternal,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0167,impurity,Greek,M10c,Defilement,old-system-migration,2026-08-11T15:45:16Z
G0169,unclean,Greek,M10c,Defilement,old-system-migration,2026-08-11T15:45:16Z
G0170,to lack opportunity,Greek,T3,Operations,claude-scan-20260908,2026-09-08 09:15:29
G0171,unseasonably,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0172,innocent,Greek,M12,Righteousness & Integrity,old-system-migration,2026-08-11T15:45:16Z
G0173,a thorn,Greek,T13,Natural-World,claude-scan-20260908,2026-09-08 13:14:42
G0174,thorny,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0175,unfruitful,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0176,beyond reproach,Greek,M07,Shame & Confusion,heuristic-family-grouping-v1-20260905,2026-09-05T16:20:27Z
G0177,uncovered,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0178,uncondemned,Greek,M61,Purity & Holiness,heuristic-family-grouping-v1-20260905,2026-09-05T16:20:27Z
G0179,indestructible,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0180,unceasing,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0181,disorder,Greek,T2,Supplementary,llm-allocation-v1_3-20260811,2026-08-12T07:58:39Z
G0182,restless,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0184,Akeldama,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0185,innocent,Greek,M12,Righteousness & Integrity,llm-allocation-v1_3-20260811,2026-08-12T07:58:39Z
G0186,unwavering,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0187,to ripen,Greek,T3,Operations,manual-backfill-triage-20260813,2026-08-13T09:10:57Z
G0188,still,Greek,T2,Supplementary,auto-precedent,2026-08-12T14:50:56Z
G0189,hearing,Greek,M41,Being Heard,old-system-migration,2026-08-11T15:45:16Z
G0190,to follow,Greek,T3,Operations,auto-precedent,2026-08-12T14:50:56Z
G0191,to hear,Greek,T3,Operations,llm-allocation-v1_3-20260811,2026-08-12T07:58:39Z
G0192,self-indulgence,Greek,M28,Envy & Greed,old-system-migration,2026-08-11T15:45:16Z
G0193,intemperate,Greek,M08,Pride & Arrogance,old-system-migration,2026-08-11T15:45:16Z
G0194,undiluted,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0195,strictness,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0196,strictest,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0197,more accurately,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0198,be exactly,Greek,T2,Supplementary,llm-allocation-v1_3-20260811,2026-08-12T07:58:39Z
G0199,exactly,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0200,locust,Greek,T13,Natural-World,claude-scan-20260908,2026-09-08 13:14:43
G0201,hall,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0202,hearer,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0203,uncircumcision,Greek,M32,Covenant,manual-covenant-cluster-20260813,2026-08-13T10:32:29Z
G0204,cornerstone,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0205,fine spoils,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0206,end,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0207,Aquila,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0208,to nullify,Greek,T3,Operations,manual-backfill-triage-20260813,2026-08-13T09:10:57Z
G0209,freely,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0210,unwilling,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0211,jar,Greek,T12,Objects-Artifacts,claude-scan-20260908,2026-09-08 13:14:44
G0212,boasting,Greek,M08,Pride & Arrogance,old-system-migration,2026-08-11T15:45:16Z
G0213,braggart,Greek,M08,Pride & Arrogance,old-system-migration,2026-08-11T15:45:16Z
G0214,to wail,Greek,M03,Grief & Lament,llm-allocation-v1_3-20260811,2026-08-12T07:58:39Z
G0215,inexpressible,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0216,mute,Greek,M53,Dishonor & Disgrace,heuristic-family-grouping-v1-20260905,2026-09-05T16:20:27Z
G0217,salt,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0218,to anoint,Greek,T3,Operations,llm-reassignment-v1_1-20260811,2026-08-12T08:40:51Z
G0219,crowing,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0220,rooster,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0221,Alexandrian,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0222,Alexandria,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0223G,Alexander,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0223H,Alexander,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0223I,Alexander,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0223J,Alexander,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0224,flour,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0225,truth,Greek,M13,Faith & Faithfulness,old-system-migration,2026-08-11T15:45:16Z
G0226,be truthful,Greek,M13,Faith & Faithfulness,old-system-migration,2026-08-11T15:45:16Z
G0227,true,Greek,M13,Faith & Faithfulness,old-system-migration,2026-08-11T15:45:16Z
G0228,true,Greek,M13,Faith & Faithfulness,old-system-migration,2026-08-11T15:45:16Z
G0229,to grind,Greek,T3,Operations,manual-backfill-triage-20260813,2026-08-13T09:10:57Z
G0230,truly,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0231,fisherman,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0232,to fish,Greek,T3,Operations,manual-backfill-triage-20260813,2026-08-13T09:10:57Z
G0233,to salt,Greek,T3,Operations,manual-backfill-triage-20260813,2026-08-13T09:10:57Z
G0234,defilement,Greek,M10c,Defilement,llm-allocation-v1_3-20260811,2026-08-12T07:58:39Z
G0235,but,Greek,T6,Connective,claude-t2-resweep-t456-20260909,2026-09-09T08:47:08Z
G0236,to change,Greek,M45,Renewal & Transformation,old-system-migration,2026-08-11T15:45:16Z
G0237,from elsewhere,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0238,to use an analogy,Greek,T3,Operations,manual-backfill-triage-20260813,2026-08-13T09:10:57Z
G0239,hallelujah,Greek,T2,Supplementary,claude-scan-20260915,2026-09-15 07:10:52
G0240,one another,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0241,foreign,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0242,to spring,Greek,T3,Operations,auto-precedent,2026-08-12T14:50:57Z
G0243,another,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0244,meddler,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0245,another’s,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0246,foreign,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0247,otherwise,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0248,to thresh,Greek,T3,Operations,manual-backfill-triage-20260813,2026-08-13T09:10:57Z
G0249,unreasonable,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0250,aloes,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0252,salty,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0253,without anxiety,Greek,M20,Doubt & Discouragement,heuristic-family-grouping-v1-20260905,2026-09-05T16:20:27Z
G0254,chain,Greek,T12,Objects-Artifacts,claude-scan-20260908,2026-09-08 13:14:44
G0255,unprofitable,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0256,Alphaeus,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0257,threshing-floor,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0258,fox,Greek,T13,Natural-World,claude-scan-20260908,2026-09-08 13:14:43
G0259,capture,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0260,together,Greek,T2,Supplementary,auto-precedent,2026-08-12T14:50:57Z
G0261,ignorant,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0262,unfading,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0263,unfading,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0264,to sin,Greek,M56,Sin & Guilt,heuristic-family-grouping-v1-20260905,2026-09-05T16:20:27Z
G0265,sin,Greek,M56,Sin & Guilt,heuristic-family-grouping-v1-20260905,2026-09-05T16:20:27Z
G0266,sin,Greek,M56,Sin & Guilt,heuristic-family-grouping-v1-20260905,2026-09-05T16:20:27Z
G0267,without witness,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0268,sinful,Greek,M10,Violence & Cruelty,old-system-migration,2026-08-11T15:45:16Z
G0269,peacable,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0270,to mow,Greek,T3,Operations,manual-backfill-triage-20260813,2026-08-13T09:10:57Z
G0272,to neglect,Greek,T3,Operations,auto-precedent,2026-08-12T14:50:57Z
G0273,blameless,Greek,M12,Righteousness & Integrity,llm-allocation-v1_3-20260811,2026-08-12T07:58:39Z
G0274,blamelessly,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0275,untroubled,Greek,M18,Desire & Longing,old-system-migration,2026-08-11T15:45:16Z
G0276,unchangeable,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0277,immovable,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0278,irrevocable,Greek,M62,Truth & Sincerity,heuristic-family-grouping-v1-20260905,2026-09-05T16:20:27Z
G0279,unrepentant,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0280,immoderate,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0281,amen,Greek,T2,Supplementary,auto-precedent,2026-08-12T14:50:57Z
G0282,motherless,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0283,pure,Greek,M12,Righteousness & Integrity,llm-allocation-v1_3-20260811,2026-08-12T07:58:39Z
G0284,Amminadab,Greek,T8,Party-Human,claude-scan-20260908,2026-09-08 12:52:34
G0285,sand,Greek,T13,Natural-World,claude-scan-20260908,2026-09-08 13:14:43
G0286,lamb,Greek,T13,Natural-World,claude-scan-20260908,2026-09-08 13:14:43
G0287,repayment,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0288,vine,Greek,T13,Natural-World,claude-scan-20260908,2026-09-08 13:14:42
G0289,a vine-worker,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0290,vineyard,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0291,Ampliatus,Greek,T2,Supplementary,claude-scan-20260908,2026-09-08 13:32:18
G0292,to defend,Greek,T3,Operations,auto-precedent,2026-08-12T14:50:57Z
