cluster_code,short_name,description,deleted,status,status_changed_at
M30,Rebellion & Stubbornness,"Rebellion, stubbornness, refusal, rejection, forsaking",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M31,Faith,"Faith, Belief and Unbelief",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M33,Rest & Peace,"Rest, stillness, quiet, peace, calm",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M34,Patience & Perseverance,"Patience, perseverance, enduring",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M35,Being Tested,"Being searched, tried, tested, proven, examined",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M36,Worship & Service,"Worship, prostration, bowing, ministering, service",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M37,Firstborn & Foreknowledge,"Firstborn status, foreknowledge, predetermination",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M38,Restoration & Revival,"Restoring, reviving, healing, satisfying, delivering",1,,
M39,Gift & Favor,"Gift, favor, goodwill, goodness",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M41,Being Heard,"Hearing, listening, being heard, being answered",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M42,Prayer & Petition,"Prayer, petition, crying out, pleading, supplication",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M43,Prophecy & Vision,"Prophesying, prophecy, interpretation, insight, sign",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M44,Covenant & Fellowship,"Covenant, brotherhood, fellowship, sharing, unity",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M45,Renewal & Transformation,"Renewal, transformation, change, regeneration (absorbed M38: Restoring, reviving, healing, satisfying, delivering)",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M46,Wealth & Riches,"Wealth, riches, prosperity, treasure, abundance",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M47,Inner Seat,The heart/soul/spirit/inward parts as the seat of inner life,0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
T2,Supplementary,T2 - Supplementary,0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
T3,Operations,"T3 - Operations: a strong considered as a human operation/movement, not tied to one inner-being cluster; context may pair the operation with a specific cluster.",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M32,Covenant,Covenant and Circumcision,0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
T4,Adversarial,"T4 - Adversarial: a strong referring to the adversarial spiritual party (Satan/the Devil) -- referent-identity classification, orthogonal to the thematic M-code axis; a code can carry both an M-cluster assignment and this one. First of the emerging finer-grained buckets refining T2/T3, per researcher instruction 2026-09-05.",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
T5,Negator,"T5 - Negator: a strong expressing grammatical negation (not/no) -- one relation shared by every member, directly supporting verse_lexical.is_negator/polarity reading. Referent/function classification, orthogonal to the thematic M-code axis.",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
T6,Connective,"T6 - Connective: a strong functioning as a clause-linking word (causal/coordinating/purpose) -- kept as one bucket per the researcher's own granularity test (2026-09-05): the finer causal/coordinating/purpose distinction is real but too small a grouping (1-3 codes each) to earn its own top-level cluster code; it is recorded in each row's own rationale instead. Referent/function classification, orthogonal to the thematic M-code axis.",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
T7,Party-Divine,"T7 - Party-Divine: a strong referring to the divine party (God/the LORD/Christ) -- referent-identity classification, orthogonal to the thematic M-code axis; directly supports observation-catalogue party-kind questions (a different T-numbering scheme, see the glossary's own T1 disambiguation entry). A code can carry both an M-cluster assignment and this one.",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
T8,Party-Human,"T8 - Party-Human: a strong referring to a human party (man/woman/mankind/human) -- referent-identity classification, orthogonal to the thematic M-code axis; directly supports observation-catalogue party-kind questions. A code can carry both an M-cluster assignment and this one.",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
T9,Party-Angelic,"T9 - Party-Angelic: a strong referring to an angelic party (messenger/angel) -- referent-identity classification, orthogonal to the thematic M-code axis; distinguished from T4/Adversarial per the observation catalogue's own T4.6.1/T4.6.2 split (angelic vs adversarial genuinely need telling apart). A code can carry both an M-cluster assignment and this one.",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M48,Astonishment & Wonder,"Astonishment, marveling, wonder",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M49,Thanksgiving,Giving thanks,0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M50,Grace & Mercy,"Grace, mercy, compassion, pity, favor",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M51,Love & Devotion,"Love, devotion, cleaving to, affection",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M52,Encouragement,"Encouraging, building up",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M53,Dishonor & Disgrace,"Dishonor, mutilation, filth, reviling, disgrace",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M54,Torah & Obedience,Obeying commands/statutes/law/decree,0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M55,Destruction & Ruin,"Destruction, ruin, devastation, crime, error (absorbed M27: Evil, Wickedness and Abomination)",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M56,Sin & Guilt,"Sin, iniquity, transgression, guilt, trespass",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M57,Corruption & Perversion,"Adultery, corruption, perversion, unfaithfulness",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M58,Wickedness,"Wickedness, ungodliness, vileness (absorbed M10b: Wickedness, Evil and Abomination)",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M59,Release & Reconciliation,"Leaving, releasing, being reconciled",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M60,Confession & Forgiveness,"Confession, forgiveness, pardon, atonement",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M61,Purity & Holiness,"Purity, purification, sanctification, holiness",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M62,Truth & Sincerity,"Straightness, sincerity, certainty, confirmation",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M63,Reasoning & Interpretation,"Reasoning, discussing, deciding, interpreting, advising",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M64,Will & Resolve,"Resolve, purpose, intent, determination, vowing, choosing",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M65,Speech & Tongue,"Speaking, the mouth/tongue/lips, declaring, telling",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M66,Madness & Recklessness,"Madness, insanity, recklessness",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M67,Sloth & Diligence,"Slothfulness, laziness, diligence, industriousness",0,ready_for_subgroup_allocation,2026-09-17T09:38:15Z
M68,Hope & Waiting,"Hope, waiting, expectation",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M69,Self-Control & Zeal,"Self-control, sobriety, fervency, eagerness",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M70,Lifting & Bearing,"Lifting, bearing, carrying, sustaining",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M71,Glory & Splendor,"Glory, honor, splendor, greatness, adornment",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M72,Authority & Dominion,"Authority, dominion, kingship, rule, reigning, lordship",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M73,Sickness & Weakness,"Illness, sickness, disease, weakness, blindness, infirmity",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M74,Keeping & Guarding,"Keeping, guarding, watching, vigilance",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M75,Disobedience & Lawlessness,"Disobedience, hardening, lawlessness, insubordination",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M76,Walk & Conduct,"Walking, one’s way/path, conduct, journeying, straying",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M77,Stumbling & Trial,"Stumbling, trial, temptation, enticement",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M78,Slavery & Bondage,"Slavery, bondage, enslaving, burden",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M79,Salvation & Ransom,"Salvation, ransom, propitiation, redeeming",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M80,Blessing,"Blessing, benediction",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M81,Memory (act),"Remembering, forgetting, calling to mind",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M82,Reminder & Report,"Reminding, news, tidings, report",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M83,Seeking & Inquiring,"Seeking, inquiring, searching",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
M84,Outcry & Shouting,"Outcry, roaring, shouting, moaning",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
T10,Places,"T10 - Places: a strong referring to a location/realm (heaven, earth, Sheol/Hades, death as a state/realm, wilderness, mountain, desert, valley, abyss, etc.) -- referent-identity classification, orthogonal to the thematic M-code axis; distinguished from T2/Supplementary by being a genuine analytic candidate (movement source/destination), not excluded. A code can carry both an M-cluster assignment and this one. Created 2026-09-08, escalation #1598, researcher-approved.",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
T11,Corporate-Collective,"T11 - Corporate/Collective: a strong referring to a nation, people, tribe, or city as an acting corporate unit (Israel, Judah, Jerusalem, Egypt, Assyria, Moab, Babylon, Gentiles, generic 'people'/'city'/'tribe') -- distinct from T8/Party-Human's individual-human grain; referent-identity classification, orthogonal to the thematic M-code axis. A code can carry both an M-cluster assignment and this one. Created 2026-09-08, escalation #1598, researcher-approved.",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
T12,Objects-Artifacts,"T12 - Objects/Artifacts: a strong referring to a man-made object recurring as a characteristic's target (idol, gold, silver, sword, weapon, altar) -- referent-identity classification, orthogonal to the thematic M-code axis; distinct from T10/Places (not a location) and T3/Operations (not a verb). A code can carry both an M-cluster assignment and this one. Created 2026-09-08, escalation #1598, researcher-approved.",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
T13,Natural-World,"T13 - Natural World: a strong referring to a natural phenomenon, element, or creature (water, fire, storm, animal, plant) that can be the endpoint of a characteristic's movement (e.g. fear of a storm, trust in water) -- named by the researcher early in this escalation (section 3c) but not built until now, when real candidates surfaced in the T2 noun-pool scan. Referent-identity classification, orthogonal to the thematic M-code axis; a code can carry both an M-cluster assignment and this one. Created 2026-09-08, escalation #1598, researcher-approved (as part of the original section 3c candidate list).",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
T14,Body-Parts,"T14 - Body Parts: a strong denoting a body part carrying recognized figurative/theological significance in biblical anthropology (hand=power/action, face=presence/favor/anger, eye=perception/favor, entrails/bowels=compassion, lip/mouth=speech, blood=life/guilt/covenant) -- referent-identity classification, orthogonal to the thematic M-code axis. A code can carry both an M-cluster assignment and this one (e.g. H0639G 'face: anger' is both M02 and T14; H3027H 'hand: power' is both M72 and T14) -- the body-part identity and its figurative characteristic sense are two different facts about the same code. Created 2026-09-08, escalation #1598, researcher-approved.",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
T15,Calendar,"Hebrew calendar month names (1st-12th month, e.g. Ziv/Bul/Ethanim/Ziv/Chislev/Tebeth/Shebat/Adar/Nisan/Sivan) -- a genuinely distinct, non-party, non-place category with no existing T-code home.",0,t_cluster_assignment_completed,2026-09-16T19:43:10Z
