verse_span_id,ve_nr,ve_label,value,from_span,to_span,resolution,pair_kind
268820,114,discovery,"v2: 'I will walk with INTEGRITY (tom) of heart' - the wholeness of moral purpose, the king's undivided commitment.",,,,note
268820,115,role,characteristic,,,,value
268820,116,locus,paired with the walking and the heart,,,,value
268820,117,device,"literal — the wholeness of moral purpose, the king's undivided commitment.",,,inferred,value
268820,118,direction,"inward — the wholeness of moral purpose, the king's undivid",,,inferred,value
268821,101,sense,heart (lebab),,,,value
268821,102,type,faculty,,,,value
268821,104,seat,none,,,none,flag
268821,105,bearer,David,,268821,inferred,flag
268821,106,operation,be of integrity,,,,event
268821,107,target,in heart,,268821,inferred,flag
268821,108,manner,none,,,none,flag
268821,109,intensity,none,,,none,flag
268821,110,specifier,none,,,none,flag
268821,111,effect,none,,,none,flag
268821,112,coupling,internal:ib-state,,268821,inferred,flag
268821,114,discovery,"v2: 'with integrity of HEART (lebab) within my house' - the inner self where the integrity is seated, honesty beginning within.",,,,note
268821,115,role,characteristic,,,,value
268821,116,locus,paired with integrity,,,,value
268821,117,device,"literal — the inner self where the integrity is seated, honesty beginning within.",,,inferred,value
268821,118,direction,"inward — the inner self where the integrity is seated, hone",,,inferred,value
268826,101,sense,set (shith),,,,value
268826,102,type,action,,,,value
268826,104,seat,none,,,none,flag
268826,105,bearer,David,,268826,inferred,flag
268826,106,operation,refuse to set,,,,event
268826,107,target,anything worthless before his eyes,,268826,inferred,flag
268826,108,manner,none,,,none,flag
268826,109,intensity,none,,,none,flag
268826,110,specifier,none,,,none,flag
268826,111,effect,none,,,none,flag
268826,112,coupling,internal:ib-state,,268826,inferred,flag
268826,114,discovery,"v3: 'I will not SET (shith) before my eyes anything that is worthless' - the resolve to keep the gaze clean, guarding the eyes from base things.",,,,note
268826,115,role,characteristic,,,,value
268826,116,locus,paired with hating the crooked,,,,value
268826,117,device,"literal — the resolve to keep the gaze clean, guarding the eyes from base things.",,,inferred,value
268826,118,direction,"static — the resolve to keep the gaze clean, guarding the e",,,inferred,value
268830,101,sense,worthless (beliyaal),,,,value
268830,114,discovery,"v3: 'anything that is WORTHLESS (beliyaal)' - the base/vile thing David refuses to set before his eyes, object of the resolve (char, 268826). Standalone.",,,,note
268830,115,role,standalone,,,,value
268831,101,sense,hate (sane),,,,value
268831,102,type,disposition,,,,value
268831,104,seat,none,,,none,flag
268831,105,bearer,David,,268831,inferred,flag
268831,106,operation,hate,,,,event
268831,107,target,the work of the crooked,,268831,inferred,flag
268831,108,manner,none,,,none,flag
268831,109,intensity,none,,,none,flag
268831,110,specifier,none,,,none,flag
268831,111,effect,none,,,none,flag
268831,112,coupling,internal:ib-state,,268831,inferred,flag
268831,114,discovery,v3: 'I HATE (sane) the work of those who fall away' - the settled aversion to apostasy and its deeds.,,,,note
268831,115,role,characteristic,,,,value
268831,116,locus,paired with refusing evil to cling,,,,value
268831,117,device,literal — the settled aversion to apostasy and its deeds.,,,inferred,value
268831,118,direction,static — the settled aversion to apostasy and its deeds.,,,inferred,value
268832,101,sense,work (asah),,,,value
268832,114,discovery,"v3: 'I hate the WORK (asah) of those who fall away' - the deeds of the apostates, object of the hatred. Standalone.",,,,note
268832,115,role,standalone,,,,value
268833,101,sense,fall away (set),,,,value
268833,102,type,status,,,,value
268833,104,seat,none,,,none,flag
268833,105,bearer,the crooked,,268833,inferred,flag
268833,106,operation,fall away / turn aside,,,,event
268833,107,target,from God's way,,268833,inferred,flag
268833,108,manner,none,,,none,flag
268833,109,intensity,none,,,none,flag
268833,110,specifier,none,,,none,flag
268833,111,effect,none,,,none,flag
268833,112,coupling,internal:ib-state,,268833,inferred,flag
268833,114,discovery,"v3: 'the work of those who FALL AWAY (set)' - the turncoats whose deeds David hates, the apostates he will not let cling to him.",,,,note
268833,115,role,characteristic,,,,value
268833,116,locus,paired with the hated work,,,,value
268833,117,device,"literal — the turncoats whose deeds David hates, the apostates he will not let cling to him.",,,inferred,value
268833,118,direction,"static — the turncoats whose deeds David hates, the apostat",,,inferred,value
268835,101,sense,cling (dabaq),,,,value
268835,114,discovery,"v3: 'it shall not CLING (dabaq) to me' - the evil that will not cleave to David, the resolve stated. Standalone.",,,,note
268835,115,role,standalone,,,,value
268837,101,sense,perverse (iqqesh),,,,value
268837,102,type,disposition,,,,value
268837,104,seat,none,,,none,flag
268837,105,bearer,the perverse,,268837,inferred,flag
268837,106,operation,have a twisted heart,,,,event
268837,107,target,far from David,,268837,inferred,flag
268837,108,manner,none,,,none,flag
268837,109,intensity,none,,,none,flag
268837,110,specifier,none,,,none,flag
268837,111,effect,none,,,none,flag
268837,112,coupling,internal:ib-state,,268837,inferred,flag
268837,114,discovery,v4: 'A PERVERSE (iqqesh) heart shall be far from me' - the crookedness of soul David banishes from his presence.,,,,note
268837,115,role,characteristic,,,,value
268837,116,locus,paired with the perverse heart,,,,value
268837,117,device,literal — the crookedness of soul David banishes from his presence.,,,inferred,value
268837,118,direction,static — the crookedness of soul David banishes from his pr,,,inferred,value
268838,101,sense,heart (lebab),,,,value
268838,102,type,faculty,,,,value
268838,104,seat,none,,,none,flag
268838,105,bearer,the perverse,,268838,inferred,flag
268838,106,operation,be perverse,,,,event
268838,107,target,in heart,,268838,inferred,flag
268838,108,manner,none,,,none,flag
268838,109,intensity,none,,,none,flag
268838,110,specifier,none,,,none,flag
268838,111,effect,none,,,none,flag
268838,112,coupling,internal:ib-state,,268838,inferred,flag
268838,114,discovery,v4: 'A perverse HEART (lebab) shall be far from me' - the twisted inner self David refuses to keep company with.,,,,note
268838,115,role,characteristic,,,,value
268838,116,locus,paired with perverseness,,,,value
268838,117,device,literal — the twisted inner self David refuses to keep company with.,,,inferred,value
268838,118,direction,inward — the twisted inner self David refuses to keep compa,,,inferred,value
268839,101,sense,far (sur),,,,value
268839,114,discovery,"v4: 'A perverse heart shall be FAR (sur) from me' - the removal of the perverse, the distancing. Standalone.",,,,note
268839,115,role,standalone,,,,value
268841,101,sense,"know (yada, negated)",,,,value
268841,102,type,disposition,,,,value
268841,104,seat,none,,,none,flag
268841,105,bearer,David,,268841,inferred,flag
268841,106,operation,know nothing,,,,event
268841,107,target,of evil,,268841,inferred,flag
268841,108,manner,none,,,none,flag
268841,109,intensity,none,,,none,flag
268841,110,specifier,none,,,none,flag
268841,111,effect,none,,,none,flag
268841,112,coupling,internal:ib-state,,268841,inferred,flag
268841,114,discovery,"v4: 'I will KNOW (yada) nothing of evil' - the deliberate ignorance of wickedness, refusing intimacy with evil.",,,,note
268841,115,role,characteristic,,,,value
268841,116,locus,paired with the evil refused,,,,value
268841,117,device,"literal — the deliberate ignorance of wickedness, refusing intimacy with evil.",,,inferred,value
268841,118,direction,"static — the deliberate ignorance of wickedness, refusing i",,,inferred,value
268843,101,sense,evil (ra),,,,value
268843,114,discovery,"v4: 'I will know nothing of EVIL (ra)' - the wickedness David refuses to know, object of the char (268841). Standalone.",,,,note
268843,115,role,standalone,,,,value
268844,101,sense,slander (lashan),,,,value
268844,102,type,action,,,,value
268844,104,seat,none,,,none,flag
268844,105,bearer,the slanderer,,268844,inferred,flag
268844,106,operation,slander secretly,,,,event
268844,107,target,his neighbour,,268844,inferred,flag
268844,108,manner,none,,,none,flag
268844,109,intensity,none,,,none,flag
268844,110,specifier,none,,,none,flag
268844,111,effect,none,,,none,flag
268844,112,coupling,internal:ib-state,,268844,inferred,flag
268844,114,discovery,"v5: 'Whoever SLANDERS (lashan) his neighbour secretly I will destroy' - the secret defamer, the vice the king will not tolerate.",,,,note
268844,115,role,characteristic,,,,value
268844,116,locus,paired with being destroyed by the king,,,,value
268844,117,device,"literal — the secret defamer, the vice the king will not tolerate.",,,inferred,value
268844,118,direction,"outward — the secret defamer, the vice the king will not tol",,,inferred,value
268845,101,sense,neighbor (rea),,,,value
268845,114,discovery,v5: 'Whoever slanders his NEIGHBOUR (rea) secretly' - the victim of the slander. Standalone.,,,,note
268845,115,role,standalone,,,,value
268846,101,sense,secretly (sether),,,,value
268846,114,discovery,"v5: 'slanders his neighbour SECRETLY (sether)' - the hidden manner of the slander, image. Standalone.",,,,note
268846,115,role,standalone,,,,value
268847,101,sense,destroy (tsamath),,,,value
268847,114,discovery,"v5: 'I will DESTROY (tsamath)' - the king's purging of the slanderer, judicial act. Standalone.",,,,note
268847,115,role,standalone,,,,value
268848,101,sense,haughty (gaboah),,,,value
268848,102,type,disposition,,,,value
268848,104,seat,none,,,none,flag
268848,105,bearer,the proud,,268848,inferred,flag
268848,106,operation,have a haughty look,,,,event
268848,107,target,before the king,,268848,inferred,flag
268848,108,manner,none,,,none,flag
268848,109,intensity,none,,,none,flag
268848,110,specifier,none,,,none,flag
268848,111,effect,none,,,none,flag
268848,112,coupling,internal:ib-state,,268848,inferred,flag
268848,114,discovery,"v5: 'The one who has a HAUGHTY (gaboah) look' - the proud eyes the king will not endure, arrogance he purges.",,,,note
268848,115,role,characteristic,,,,value
268848,116,locus,paired with the arrogant heart,,,,value
268848,117,device,"literal — the proud eyes the king will not endure, arrogance he purges.",,,inferred,value
268848,118,direction,"static — the proud eyes the king will not endure, arrogance",,,inferred,value
268850,101,sense,arrogant (rachab),,,,value
268850,102,type,disposition,,,,value
268850,104,seat,none,,,none,flag
268850,105,bearer,the proud,,268850,inferred,flag
268850,106,operation,have an arrogant heart,,,,event
268850,107,target,which the king rejects,,268850,inferred,flag
268850,108,manner,none,,,none,flag
268850,109,intensity,none,,,none,flag
268850,110,specifier,none,,,none,flag
268850,111,effect,none,,,none,flag
268850,112,coupling,internal:ib-state,,268850,inferred,flag
268850,114,discovery,"v5: 'and an ARROGANT (rachab) heart I will not endure' - the swollen heart of pride, intolerable to the king.",,,,note
268850,115,role,characteristic,,,,value
268850,116,locus,paired with the haughty look,,,,value
268850,117,device,"literal — the swollen heart of pride, intolerable to the king.",,,inferred,value
268850,118,direction,"static — the swollen heart of pride, intolerable to the kin",,,inferred,value
268851,101,sense,heart (lebab),,,,value
268851,102,type,faculty,,,,value
268851,104,seat,none,,,none,flag
268851,105,bearer,the proud,,268851,inferred,flag
268851,106,operation,be arrogant,,,,event
268851,107,target,in heart,,268851,inferred,flag
268851,108,manner,none,,,none,flag
268851,109,intensity,none,,,none,flag
268851,110,specifier,none,,,none,flag
268851,111,effect,none,,,none,flag
268851,112,coupling,internal:ib-state,,268851,inferred,flag
268851,114,discovery,v5: 'and an arrogant HEART (lebab) I will not endure' - the inner seat of the pride the king expels.,,,,note
268851,115,role,characteristic,,,,value
268851,116,locus,paired with arrogance,,,,value
268851,117,device,literal — the inner seat of the pride the king expels.,,,inferred,value
268851,118,direction,inward — the inner seat of the pride the king expels.,,,inferred,value
268853,101,sense,endure (yakol),,,,value
268853,114,discovery,"v5: 'an arrogant heart I will not ENDURE (yakol)' - the king's refusal to tolerate pride, the resolve. Standalone.",,,,note
268853,115,role,standalone,,,,value
268855,101,sense,faithful (aman),,,,value
268855,102,type,status,,,,value
268855,104,seat,none,,,none,flag
268855,105,bearer,the faithful in the land,,268855,inferred,flag
268855,106,operation,be faithful,,,,event
268855,107,target,to God,,268855,inferred,flag
268855,108,manner,none,,,none,flag
268855,109,intensity,none,,,none,flag
268855,110,specifier,none,,,none,flag
268855,111,effect,none,,,none,flag
268855,112,coupling,internal:ib-state,,268855,inferred,flag
268855,114,discovery,"v6: 'I will look with favour on the FAITHFUL (aman) in the land' - the trustworthy whom the king honours, faithfulness rewarded with nearness.",,,,note
268855,115,role,characteristic,,,,value
268855,116,locus,paired with the blameless who minister,,,,value
268855,117,device,"literal — the trustworthy whom the king honours, faithfulness rewarded with nearness.",,,inferred,value
268855,118,direction,"toward-god — the trustworthy whom the king honours, faithfulnes",,,inferred,value
268858,101,sense,dwell (yashab),,,,value
268858,114,discovery,"v6: 'that they may DWELL (yashab) with me' - the faithful dwelling with the king, the reward. Standalone.",,,,note
268858,115,role,standalone,,,,value
268860,101,sense,walk (halak),,,,value
268860,102,type,action,,,,value
268860,104,seat,none,,,none,flag
268860,105,bearer,the blameless servant,,268860,inferred,flag
268860,106,operation,walk,,,,event
268860,107,target,in the blameless way,,268860,inferred,flag
268860,108,manner,none,,,none,flag
268860,109,intensity,none,,,none,flag
268860,110,specifier,none,,,none,flag
268860,111,effect,none,,,none,flag
268860,112,coupling,internal:ib-state,,268860,inferred,flag
268860,114,discovery,v6: 'he who WALKS (halak) in the way that is blameless shall minister to me' - the servant whose upright walk fits him for the king's service.,,,,note
268860,115,role,characteristic,,,,value
268860,116,locus,paired with being blameless,,,,value
268860,117,device,literal — the servant whose upright walk fits him for the king's service.,,,inferred,value
268860,118,direction,static — the servant whose upright walk fits him for the ki,,,inferred,value
268862,101,sense,blameless (tamim),,,,value
268862,102,type,disposition,,,,value
268862,104,seat,none,,,none,flag
268862,105,bearer,the servant,,268862,inferred,flag
268862,106,operation,be blameless,,,,event
268862,107,target,in the way,,268862,inferred,flag
268862,108,manner,none,,,none,flag
268862,109,intensity,none,,,none,flag
268862,110,specifier,none,,,none,flag
268862,111,effect,none,,,none,flag
268862,112,coupling,internal:ib-state,,268862,inferred,flag
268862,114,discovery,v6: 'he who walks in the way that is BLAMELESS (tamim)' - the integrity that qualifies for the king's household.,,,,note
268862,115,role,characteristic,,,,value
268862,116,locus,paired with walking,,,,value
268862,117,device,literal — the integrity that qualifies for the king's household.,,,inferred,value
268862,118,direction,static — the integrity that qualifies for the king's househ,,,inferred,value
268863,101,sense,minister (sharath),,,,value
268863,114,discovery,"v6: 'shall MINISTER (sharath) to me' - the blameless serving the king, the honour. Standalone.",,,,note
268863,115,role,standalone,,,,value
268866,101,sense,practise (asah),,,,value
268866,114,discovery,"v7: 'No one who PRACTISES (asah) deceit' - the doing of deceit, the act of the char (268867). Standalone.",,,,note
268866,115,role,standalone,,,,value
268867,101,sense,deceit (remiyah),,,,value
268867,102,type,disposition,,,,value
268867,104,seat,none,,,none,flag
268867,105,bearer,the deceitful,,268867,inferred,flag
268867,106,operation,practise deceit,,,,event
268867,107,target,in the king's house,,268867,inferred,flag
268867,108,manner,none,,,none,flag
268867,109,intensity,none,,,none,flag
268867,110,specifier,none,,,none,flag
268867,111,effect,none,,,none,flag
268867,112,coupling,internal:ib-state,,268867,inferred,flag
268867,114,discovery,v7: 'No one who practises DECEIT (remiyah) shall dwell in my house' - the treachery the king bars from his presence.,,,,note
268867,115,role,characteristic,,,,value
268867,116,locus,paired with the liar expelled,,,,value
268867,117,device,literal — the treachery the king bars from his presence.,,,inferred,value
268867,118,direction,static — the treachery the king bars from his presence.,,,inferred,value
268868,101,sense,dwell (yashab),,,,value
268868,114,discovery,v7: 'shall DWELL (yashab) in my house' - the deceitful barred from the house. Standalone.,,,,note
268868,115,role,standalone,,,,value
