reading_id,span_id,book,chapter,verse_ref,corpus,genre,passage_id,anchor,lemma,strongs,morph,pos,stem,surface_en,hebrew_form,translit,translit_conf,char_key,ib_char,base_gloss,read_sense_variants,esv_words,family,cluster,cluster_all,same_as,role_provenance,char_candidate_tag,lemma_freq_book,ib_instance_count,sense,type,source,seat,bearer,operation,target,object_kind,manner,intensity,specifier,effect,coupling,prohibition,reading,discovery_flag,role,locus,direction,verse_text
H6195:prudenc#264827,264827,20,1,Pro 1:4,OT,poetic/wisdom,3702,1,H6195,H6195,HNcfsa,noun,,prudence,,,none,H6195:prudenc,prudence,craftiness,"prudence — shrewd good sense (the wise use of the same craft that, misused, is craftiness) | prudence — the shrewdness Wisdom dwells with | prudence — the shrewdness the simple must learn",prudence,wisdom-folly-teaching,,,268640|268477,read-2026,emergent-read-2026,3,3,"prudence — shrewd good sense (the wise use of the same craft that, misused, is craftiness)",disposition,ABSENT,NONE,"the simple, to be given it",prudence put into the naive so they are no longer defenceless,NONE,none,NONE,ABSENT,ABSENT,ABSENT,"the gift to the simple (peti), the counter to naivety",ABSENT,"EMERGENT: ormah heads 1:4's purpose ('to give prudence to the simple') yet the seed missed it. Prudence is the sharp, wary good sense the naive lack — bivalent (craftiness in the wicked), here wholly positive. A central Proverbs char, recovered on the cycle check.",present,characteristic,internal:ib-state,ABSENT,"Pro 1:4 to give prudence to the simple , knowledge and discretion to the youth —"
H6612:simpl#264828,264828,20,1,Pro 1:4,OT,poetic/wisdom,3702,1,H6612A H9005,H6612,HNcmpa HR,noun,,simple,,,none,H6612:simpl,simple,simple,"naivety — blundering on into harm unheeded | the simple — the naive, untaught, morally open inner condition | the simple — killed by their own turning away | simpleness — the naive, unformed among whom the youth is found | simpleness — the naive Folly lures | simpleness — the naive Wisdom invites in | naivety — the simple who believes everything | naivety — the simple who inherit folly | naivety — the simple who learn prudence from the scoffer's beating | naivety — the simple made wise by the scoffer's punishment",simple,wisdom-folly-teaching,,,308243|268443|268739|268703|263345|263367|264547|265097|265447|266373,read-2026,IB:simple,1,11,"the simple — the naive, untaught, morally open inner condition",state,ABSENT,NONE,the simple/naive person the book addresses,"the naive inner state that stands open, needing prudence put into it",NONE,none,NONE,ABSENT,ABSENT,ABSENT,paired with the youth (naar) as the un-formed recipients,ABSENT,"peti is not an act but a CONDITION — the open, gullible inner state; the book exists to give it prudence (ormah). Read as a characteristic-state, the starting point the whole book works on.",present,characteristic,internal:ib-state,ABSENT,"Pro 1:4 to give prudence to the simple , knowledge and discretion to the youth —"
H1847:knowledg#264829,264829,20,1,Pro 1:4,OT,poetic/wisdom,3702,1,H1847,H1847,HNcfsa,noun,,knowledge,,,none,H1847:knowledg,knowledge,knowledge,"knowledge — here the good the fool hates | knowledge — the good they hated | knowledge — grasped, held understanding | knowledge — the knowing that fear of God opens | knowledge — pleasant to the soul | knowledge — the knowing of God found by the seeker | knowledge — from God's mouth | knowledge — the LORD's, by which the deeps broke open | knowledge — guarded by the lips | knowledge — to be chosen over choice gold",knowledge,knowing-understanding,,,264849|264743|264793|267043|267051|266943|267580|268006|268670|268460|268479|268675|262502|262909|262915|263030|263175|263532|263541|263372|263646|263789|263596|264213|264312|264316|264500|264552|264567|264906|265102|265329|265400|265516|265898|265909,read-2026,Reg 100 knowledge,25,37,"knowledge — grasped, held understanding",cognition,ABSENT,NONE,the youth being taught,knowledge given to fill the naive inner life,NONE,none,NONE,ABSENT,ABSENT,ABSENT,paired with discretion (mezimmah) as the gift to the youth,ABSENT,"daat here is the content given, opposite of the simple's emptiness; distinct from binah (discernment) and chokmah (competence).",absent,characteristic,internal:ib-state,ABSENT,"Pro 1:4 to give prudence to the simple , knowledge and discretion to the youth —"
H4209:discretion#264830,264830,20,1,Pro 1:4,OT,poetic/wisdom,3702,1,H4209 H9002,H4209,HNcfsa HC,noun,,discretion,,,none,H4209:discretion,discretion,plot,discretion — shrewd forethought (here the positive sense) | discretion — shrewd forethought that guards the person | discretion — prudent purpose to be kept | discretion — the prudent purpose to be kept | discretion — Wisdom finds it,discretion,inner-seat-heart-soul-spirit,,,266946|267592|268003|268480,read-2026,IB:plot,2,5,discretion — shrewd forethought (here the positive sense),disposition,ABSENT,NONE,the youth being taught,shrewd forethought put into the young inner life,NONE,none,NONE,ABSENT,ABSENT,ABSENT,paired with knowledge as the gift to the youth,ABSENT,"mezimmah is BIVALENT — 'scheming' in the wicked (its usual Proverbs edge, the seed's 'IB:plot' tag) but here POSITIVE: the shrewd forethought given to the youth. The read records the good sense the context forces, noting the dark potential.",absent,characteristic,internal:ib-state,ABSENT,"Pro 1:4 to give prudence to the simple , knowledge and discretion to the youth —"
H2450:wise#264832,264832,20,1,Pro 1:5,OT,poetic/wisdom,3703,1,H2450,H2450,HAamsa,adjective,,wise,,,none,H2450:wise,wise,wise,"wisdom — the wise son who gladdens his father | the wise one — the person of settled competence who still learns | the wise/sages — those whose words carry authority | wisdom — the wise, who inherit honor | self-wisdom — conceit forbidden | wisdom — the wise lay up knowledge | wisdom — the wise of heart who receives commandments | wisdom — the wise of heart whom the fool serves | wisdom — the soul-winner is wise | wisdom — who listens to counsel",wise,wisdom-folly-teaching,,,264844|267739|267708|262460|262677|262500|262848|262862|262965|262987|263119|263157|263213|263470|263352|263419|263644|263787|263584|263651|263749|263851|263909|263925|264222|264314|264992|265369|265599|265905|265964|266311|266191|266538|266927|266765|267198,read-2026,Reg 174 wisdom,35,38,the wise one — the person of settled competence who still learns,disposition,ABSENT,NONE,the wise person,the wise disposition that hears and grows rather than resting,NONE,none,NONE,ABSENT,ABSENT,ABSENT,welded to hearing (shama) and increase in learning,ABSENT,"the wise here is the LEARNER-wise (still hearing/increasing), distinct from 264844 the sages-whose-words-carry-wisdom. The book's paradox: the wise are those who keep receiving.",absent,characteristic,internal:ib-state,ABSENT,"Pro 1:5 Let the wise hear and increase in learning , and the one who understands obtain guidance ,"
H8085:hear#264833,264833,20,1,Pro 1:5,OT,poetic/wisdom,3703,1,H8085G,H8085,HVqi3ms,verb,Qal,hear,,,none,H8085:hear,Hear,to hear: hear; to hear: obey; to hear: proclaim; to hear: understand; to hear: judge; to hear: welcome,"to hear — receptive listening that takes instruction in | hear — the son commanded to receptive listening | heeding — the attentive obedience of sons to instruction | heeding — attentive, obedient reception of the father's words | heeding — hear instruction and be wise | heeding — Wisdom's summons to hear her noble words | freedom-from-threat — the poor man hears no threat | premature answering — answering before hearing | heeding — hearing instruction, whose cessation brings straying | hearing — the faculty of attention, God-given","Hear, hears, hear, hearing",being-heard-listening,,,264854|267758|267765|268644|268601|263294|264306|264561|264887|265234|265367|265559|266858,read-2026,Reg 213 listen,23,14,to hear — receptive listening that takes instruction in,action,ABSENT,NONE,the wise,listening so as to increase in learning,NONE,none,NONE,ABSENT,ABSENT,ABSENT,paired with the wise (its bearer) and the growth in learning it yields,ABSENT,"read as a characteristic (not the seed's qualifier): shama = the receptive-listening operation, an IB act the study registers (Reg 213 listen). It is the means by which the wise increase.",present,characteristic,internal:ib-state,ABSENT,"Pro 1:5 Let the wise hear and increase in learning , and the one who understands obtain guidance ,"
H3948:(none)#264835,264835,20,1,Pro 1:5,OT,poetic/wisdom,3703,1,H3948,H3948,HNcmsa,noun,,learning,,,none,H3948:(none),H3948,,learning — the received teaching that is taken in and grows,,being-heard-listening,,,,read-2026,emergent-read-2026,1,1,learning — the received teaching that is taken in and grows,cognition,ABSENT,NONE,the wise who increase in it,the wise increasing in learning by hearing,NONE,none,NONE,ABSENT,ABSENT,ABSENT,the fruit of the wise's hearing (shama) — what listening accumulates,ABSENT,EMERGENT: leqach ('what is taken/received') is the growing store of teaching the wise add to by listening (1:5) — the object of 'increase'. Seed-missed; recovered on the cycle check.,present,characteristic,internal:ib-state,ABSENT,"Pro 1:5 Let the wise hear and increase in learning , and the one who understands obtain guidance ,"
H0995:understand#264836,264836,20,1,Pro 1:5,OT,poetic/wisdom,3703,1,H0995,H0995,HVNrmsa,verb,Niphal,understands,,nabon,head,H0995:understand,understanding,to understand,to understand — to discern the sense of words | the discerning one — the person of understanding | to understand — to penetrate the sense of wise speech | understanding — grasping the fear of the LORD as the fruit of seeking | understanding — grasping the moral goods | understanding — the discerning to whom the words are plain | discernment — on whose lips wisdom is found | discernment — in whose heart wisdom rests | discernment — for whom knowledge is easy | understanding — whose heart seeks knowledge,"understanding, understand, understands",knowing-understanding,,,264714|264840|267039|267065|268667|262493|263534|263496|263594|264071|264550|264551|264982|266614|266712|266724|266541|266922|266820,read-2026,Reg 166 understanding,24,20,the discerning one — the person of understanding,disposition,ABSENT,NONE,the discerning person,the discerning person obtaining guidance/direction,guidance,other,NONE,ABSENT,ABSENT,ABSENT,paired with the wise; parallel figure in the couplet,ABSENT,"nabon (Niphal participle) = the settled discerning person, parallel to the wise; here he obtains guidance (tachbulot). Distinct from 264840 the ACT of understanding a proverb.",absent,characteristic,internal:ib-state,ABSENT,"Pro 1:5 Let the wise hear and increase in learning , and the one who understands obtain guidance ,"
H8458:guidanc#264838,264838,20,1,Pro 1:5,OT,poetic/wisdom,3703,1,H8458,H8458,HNcfpa,noun,,guidance,,,none,H8458:guidanc,guidance,counsel,"guidance — steering, the skill of direction (from the sailor's ropes) | guidance — whose absence topples a people | wise steering — needed to wage war | strategy — the wise direction by which war is waged",guidance,knowing-understanding,,,262731|264928|265913,read-2026,Reg 32 counsel,3,4,"guidance — steering, the skill of direction (from the sailor's ropes)",disposition,ABSENT,NONE,the discerning person who obtains it,the steering-competence the discerning gains,NONE,none,NONE,ABSENT,ABSENT,ABSENT,the good obtained by the discerning (264836),ABSENT,tachbulot pictures navigation — the inner capacity to steer a course through life; a distinct good from wisdom-as-competence and knowledge-as-content.,absent,characteristic,internal:ib-state,ABSENT,"Pro 1:5 Let the wise hear and increase in learning , and the one who understands obtain guidance ,"
H0995:understand#264840,264840,20,1,Pro 1:6,OT,poetic/wisdom,3703,0,H0995,H0995,HVhcc,verb,Hiphil,understand,,,none,H0995:understand,understanding,to understand,to understand — to discern the sense of words | the discerning one — the person of understanding | to understand — to penetrate the sense of wise speech | understanding — grasping the fear of the LORD as the fruit of seeking | understanding — grasping the moral goods | understanding — the discerning to whom the words are plain | discernment — on whose lips wisdom is found | discernment — in whose heart wisdom rests | discernment — for whom knowledge is easy | understanding — whose heart seeks knowledge,"understanding, understand, understands",knowing-understanding,,,264714|264836|267039|267065|268667|262493|263534|263496|263594|264071|264550|264551|264982|266614|266712|266724|266541|266922|266820,read-2026,Reg 166 understanding,24,20,to understand — to penetrate the sense of wise speech,cognition,ABSENT,NONE,the learner,"discerning a proverb, a saying, the words of the wise and their riddles",a saying (melitsah),other,NONE,ABSENT,ABSENT,ABSENT,the act that closes the purpose-chain: the aim of all the foregoing,ABSENT,"the Hiphil ACT of understanding (vs 264836 the discerning PERSON): its objects are the forms of wise speech — proverb, saying, words of the wise, riddles.",absent,characteristic,internal:ib-state,ABSENT,"Pro 1:6 to understand a proverb and a saying , the words of the wise and their riddles ."
H2450:wise#264844,264844,20,1,Pro 1:6,OT,poetic/wisdom,3703,0,H2450,H2450,HAampa,adjective,,wise,,,none,H2450:wise,wise,wise,"wisdom — the wise son who gladdens his father | the wise one — the person of settled competence who still learns | the wise/sages — those whose words carry authority | wisdom — the wise, who inherit honor | self-wisdom — conceit forbidden | wisdom — the wise lay up knowledge | wisdom — the wise of heart who receives commandments | wisdom — the wise of heart whom the fool serves | wisdom — the soul-winner is wise | wisdom — who listens to counsel",wise,wisdom-folly-teaching,,,264832|267739|267708|262460|262677|262500|262848|262862|262965|262987|263119|263157|263213|263470|263352|263419|263644|263787|263584|263651|263749|263851|263909|263925|264222|264314|264992|265369|265599|265905|265964|266311|266191|266538|266927|266765|267198,read-2026,Reg 174 wisdom,35,38,the wise/sages — those whose words carry authority,disposition,ABSENT,NONE,the sages,the wise as the source of the words and riddles to be understood,NONE,none,NONE,ABSENT,ABSENT,ABSENT,paired with their words/riddles as their expression,ABSENT,"distinct occurrence of chakam from 264832: here the wise are the AUTHORITATIVE SOURCE ('the words of the wise'), not the learner who hears. The difference is the finding — the wise both receive and transmit.",present,characteristic,internal:ib-state,ABSENT,"Pro 1:6 to understand a proverb and a saying , the words of the wise and their riddles ."
H3374:fear#264846,264846,20,1,Pro 1:7,OT,poetic/wisdom,3704,1,H3374,H3374,HNcfsc,noun,,fear,,,none,H3374:fear,fear,fear,reverent fear of God — what they refused to choose | the fear of the LORD — reverent awe before God | reverent fear of God — what the seeker comes to understand | fear of the LORD — defined as the hatred of evil | fear of the LORD — the beginning of wisdom | fear of the LORD — which prolongs life | fear of the LORD — which gives strong confidence | fear of the LORD — a fountain of life | fear of the LORD — worth more than great treasure | fear of the LORD — instruction in wisdom,fear,fear-of-god-awe,,,264796|267040|268481|268671|262601|263432|263438|263611|263758|264033|264527|265452|265549,read-2026,Reg 61 fear,10,14,the fear of the LORD — reverent awe before God,affect,ABSENT,NONE,the person who fears God,revering God as the very beginning/first-principle of knowledge,the LORD (God as the object of the fear),god,NONE,ABSENT,ABSENT,ABSENT,welded to knowledge as its beginning (reshit) — fear is the door to knowing,ABSENT,the programmatic claim: knowledge does not begin in intellect but in a DISPOSITION of the inner life toward God (reverence). God is the target/arena; the fear itself is the human interior state. This anchors the whole book.,present,characteristic,internal:ib-state,ABSENT,Pro 1:7 The fear of the Lord is the beginning of knowledge ; fools despise wisdom and instruction .
H1847:knowledg#264849,264849,20,1,Pro 1:7,OT,poetic/wisdom,3704,1,H1847,H1847,HNcfsa,noun,,knowledge,,,none,H1847:knowledg,knowledge,knowledge,"knowledge — here the good the fool hates | knowledge — the good they hated | knowledge — grasped, held understanding | knowledge — the knowing that fear of God opens | knowledge — pleasant to the soul | knowledge — the knowing of God found by the seeker | knowledge — from God's mouth | knowledge — the LORD's, by which the deeps broke open | knowledge — guarded by the lips | knowledge — to be chosen over choice gold",knowledge,knowing-understanding,,,264829|264743|264793|267043|267051|266943|267580|268006|268670|268460|268479|268675|262502|262909|262915|263030|263175|263532|263541|263372|263646|263789|263596|264213|264312|264316|264500|264552|264567|264906|265102|265329|265400|265516|265898|265909,read-2026,Reg 100 knowledge,25,37,knowledge — the knowing that fear of God opens,cognition,ABSENT,NONE,the God-fearer,knowledge as the fruit whose beginning is the fear of God,NONE,none,NONE,ABSENT,ABSENT,ABSENT,welded to the fear of the LORD as its root,ABSENT,"daat is here the crown, not the entry — its beginning lies outside itself in reverence; knowledge is thus made dependent on a moral-religious disposition.",present,characteristic,internal:ib-state,ABSENT,Pro 1:7 The fear of the Lord is the beginning of knowledge ; fools despise wisdom and instruction .
H0191:fool#264850,264850,20,1,Pro 1:7,OT,poetic/wisdom,3704,1,H0191,H0191,HAampa,adjective,,fools,,evil,head,H0191:fool,fool,fool[ish],folly — the babbling fool who comes to ruin | fools — the morally-obstinate who reject wisdom | folly — the fool's mouth brings ruin near | folly — the fools who die for lack of sense | folly — the fool who serves the wise | folly — whose way is right in his own eyes | folly — whose vexation shows instantly | folly — whose mouth brings a rod for his pride | folly — who mock at the guilt offering | folly — who despises his father's instruction,"fool, fools, Fools, fool’s",wisdom-folly-teaching,,,262682|262474|262504|262561|262846|262962|262969|263466|263549|263772|263922|264219|265026|265921|266470|266434|266935,read-2026,Reg 63 foolishness,13,18,fools — the morally-obstinate who reject wisdom,disposition,ABSENT,NONE,the fool,the fool as the one who despises wisdom and instruction,NONE,none,NONE,ABSENT,ABSENT,ABSENT,welded to despising (buz); the fool is defined by his contempt,ABSENT,"evil (the moral fool) is set as the antithesis of the God-fearer in the SAME verse: reverence begins knowledge, contempt refuses it. The fool is a disposition, not mere ignorance.",present,characteristic,internal:ib-state,ABSENT,Pro 1:7 The fear of the Lord is the beginning of knowledge ; fools despise wisdom and instruction .
H0936:despis#264851,264851,20,1,Pro 1:7,OT,poetic/wisdom,3704,1,H0936,H0936,HVqp3cp,verb,Qal,despise,,,none,H0936:despis,despise,to despise,"to despise — to hold wisdom in contempt | contempt — here withheld: people do not despise the desperate thief | contempt — despising the word, self-destructive | contempt — despising one's neighbour, which is sin | contempt — not to be shown a mother grown old | contempt — the fool's scorn for the good sense of wise words","despise, despises",rebellion-stubbornness,,,268237|263150|263395|265698|265583,read-2026,Reg 190 contempt,8,6,to despise — to hold wisdom in contempt,affect,ABSENT,NONE,fools,"holding wisdom and instruction in contempt, refusing them",wisdom,abstraction,NONE,ABSENT,ABSENT,ABSENT,the defining act of the fool (264850),ABSENT,"buz is the DESCENT-operation — contempt turned on the very goods the book offers. Read at full weight: the fool's inner posture is active despising, not passive lack.",present,characteristic,internal:ib-state,ABSENT,Pro 1:7 The fear of the Lord is the beginning of knowledge ; fools despise wisdom and instruction .
