from_span,to_span,edge_type,ve_nr,direction,pair_kind,phrase,book,from_verse_ref
267521,267517,coupling,112,,pair,coupled to the LORD's love (267517) as its human analogy,20,Pro 3:12
267528,267525,coupling,112,,pair,welded to wisdom as the twin prize,20,Pro 3:13
267557,267554,coupling,112,,pair,welded to pleasantness as the twin quality of her ways,20,Pro 3:17
267562,267560,coupling,112,,pair,the blessed state that crowns the tenacious grip,20,Pro 3:18
267568,267564,coupling,112,,pair,welded to wisdom as the creative pair,20,Pro 3:19
267592,267591,coupling,112,,pair,welded to sound wisdom as the guarded pair,20,Pro 3:21
267596,267595,coupling,112,,pair,paired with soul-life as the outward-and-inward gift,20,Pro 3:22
267613,267609,coupling,112,,pair,welded to the freedom-from-fear as the twin rest,20,Pro 3:24
267615,267617,target,107,,pair,sudden terror (267617),20,Pro 3:25
267625,267626,coupling,112,,pair,coupled to the LORD's guarding of the foot,20,Pro 3:26
267650,267651,target,107,,pair,"evil (267651, its content)",20,Pro 3:29
267660,267659,coupling,112,,pair,welded to steadfast love as the covenant pair,20,Pro 3:3
267671,267677,target,107,,pair,"harm (267677, its absent pretext)",20,Pro 3:30
267679,267681,target,107,,pair,"violence (267681, its object)",20,Pro 3:31
267688,267689,target,107,,pair,"abomination (267689, God's verdict on it)",20,Pro 3:32
267693,267691,coupling,112,,pair,the intimacy set against the uprightness that earns it,20,Pro 3:32
267697,267695,target,107,,pair,"the curse (267695, its consequence)",20,Pro 3:33
267700,267698,target,107,,pair,"the blessing (267698, its consequence)",20,Pro 3:33
267702,267704,target,107,,pair,"God's scorn (267704, its recompense)",20,Pro 3:34
267705,267707,target,107,,pair,"favor (267707, its gift)",20,Pro 3:34
267708,267710,target,107,,pair,"honor (267710, its inheritance)",20,Pro 3:35
267711,267713,target,107,,pair,"disgrace (267713, its portion)",20,Pro 3:35
308275,308277,target,107,,pair,the LORD's discipline (308277),20,Pro 3:11
267758,267761,target,107,,pair,"instruction (267761, its object)",20,Pro 4:1
267762,267758,coupling,112,,pair,welded to hearing as the intensified attention,20,Pro 4:1
267763,267764,coupling,112,,pair,welded to insight as the cognitive gain,20,Pro 4:1
267778,267775,coupling,112,,pair,welded to the way of wisdom as the twin path,20,Pro 4:11
267788,267789,target,107,,pair,"instruction (267789, what is held)",20,Pro 4:13
267799,267801,target,107,,pair,the walking of their way (267801),20,Pro 4:14
267803,267799,coupling,112,,pair,welded to the wicked as the shunned company,20,Pro 4:14
267826,267823,coupling,112,,pair,the not-knowing welded to the deep darkness they walk in,20,Pro 4:19
267846,267849,coupling,112,,pair,the guarding coupled to the heart that stores them,20,Pro 4:21
267853,267855,target,107,,pair,"the flesh (267855, its locus)",20,Pro 4:22
267859,267857,coupling,112,,pair,the vigilance welded to the heart it must protect,20,Pro 4:23
267868,267866,coupling,112,,pair,welded to crookedness as the twin corruption of speech,20,Pro 4:24
267906,267908,target,107,,pair,"live (267908, its promised outcome)",20,Pro 4:4
267912,267910,coupling,112,,pair,welded to wisdom as the twin acquisition,20,Pro 4:5
267924,267923,coupling,112,,pair,the love coupled to the guarding it evokes,20,Pro 4:6
267930,267934,coupling,112,,pair,welded to insight as the double acquisition,20,Pro 4:7
267943,267945,coupling,112,,pair,the grace coupled to the beautiful crown as Wisdom's twofold adornment,20,Pro 4:9
308293,308290,coupling,112,,pair,welded to wickedness as their food and drink,20,Pro 4:17
267950,267951,coupling,112,,pair,the attending set toward the father's wisdom,20,Pro 5:1
267955,267951,coupling,112,,pair,welded to wisdom as the father's twin gift,20,Pro 5:1
267960,267958,coupling,112,,pair,the toil coupled to the satiation of strangers that consumes it,20,Pro 5:10
267964,267965,coupling,112,,pair,the groaning coupled to the wasting of flesh and body,20,Pro 5:11
267970,267971,target,107,,pair,"discipline (267971, its object)",20,Pro 5:12
267973,267972,coupling,112,,pair,the contempt welded to the heart that held it,20,Pro 5:12
267986,267985,coupling,112,,pair,the rejoicing coupled to the blessing invoked on the marriage,20,Pro 5:18
267992,267990,coupling,112,,pair,welded to loveliness as the twin charm of the beloved,20,Pro 5:19
267998,268000,coupling,112,,pair,the intoxication welded to the love that ravishes,20,Pro 5:19
268002,268003,coupling,112,,pair,the guarding coupled to the discretion it preserves,20,Pro 5:2
268006,268003,coupling,112,,pair,welded to discretion as the twin kept treasure,20,Pro 5:2
268023,268028,coupling,112,,pair,welded to sin as the twin cords that bind,20,Pro 5:22
268035,268034,coupling,112,,pair,welded to the folly that makes him reel,20,Pro 5:23
268062,268064,coupling,112,,pair,the wandering welded to her obliviousness,20,Pro 5:6
268103,268101,coupling,112,,pair,welded to worthlessness as the character of the troublemaker,20,Pro 6:12
268115,268116,coupling,112,,pair,the perversity welded to the heart that harbours it,20,Pro 6:14
268118,268117,coupling,112,,pair,the evil welded to the plotting that produces it,20,Pro 6:14
268125,268127,target,107,,pair,abomination (268127) to his soul (268128),20,Pro 6:16
268125,268128,coupling,112,,pair,the divine hatred that heads and condemns the list,20,Pro 6:16
268137,268140,target,107,,pair,its wicked plans (268140),20,Pro 6:18
268137,268138,coupling,112,,pair,the seat welded to the schemes it devises,20,Pro 6:18
268148,268145,coupling,112,,pair,welded to the falseness that breathes them,20,Pro 6:19
268169,268165,coupling,112,,pair,the communion coupled to the teaching's guarding,20,Pro 6:22
268183,268181,coupling,112,,pair,the evil set against the teaching that guards from it,20,Pro 6:24
268190,268192,coupling,112,,pair,the coveting welded to the heart where it must be refused,20,Pro 6:25
268243,268245,coupling,112,,pair,the appetite welded to the hunger that drives it,20,Pro 6:30
268254,268256,coupling,112,,pair,the adultery welded to the heart-lessness that drives it,20,Pro 6:32
268260,268261,target,107,,pair,"himself (268261, what is destroyed)",20,Pro 6:32
268265,268264,coupling,112,,pair,welded to dishonour as the twin indelible shame,20,Pro 6:33
268271,268269,coupling,112,,pair,welded to jealousy as the rage it becomes,20,Pro 6:34
268296,268293,coupling,112,,pair,the wisdom set against the sloth it must cure,20,Pro 6:6
268320,268322,coupling,112,,pair,"welded to the guarded, cunning heart beneath the garb",20,Pro 7:10
268330,268332,coupling,112,,pair,the seizing welded to the brazenness that drives it,20,Pro 7:13
268338,268340,coupling,112,,pair,the meeting welded to the eager search that flatters him,20,Pro 7:15
268349,268346,coupling,112,,pair,welded to the lovemaking it savours,20,Pro 7:18
268350,268349,coupling,112,,pair,welded to the delighting it fuels,20,Pro 7:18
268351,268353,coupling,112,,pair,the keeping welded to the life it secures,20,Pro 7:2
268383,268378,target,107,,pair,his life (268386) / the pierced liver (268378),20,Pro 7:23
268383,268386,coupling,112,,pair,the not-knowing set against the death it walks toward,20,Pro 7:23
268390,268389,coupling,112,,pair,welded to hearing as the intensified attention,20,Pro 7:24
268400,268395,coupling,112,,pair,welded to the heart's inclination it enacts,20,Pro 7:25
268427,268430,coupling,112,,pair,welded to insight as the twin beloved kin,20,Pro 7:4
268443,268448,coupling,112,,pair,welded to the senselessness that marks the naive youth,20,Pro 7:7
268452,268450,coupling,112,,pair,welded to wisdom as the twin public voice,20,Pro 8:1
268460,268457,coupling,112,,pair,welded to instruction as the twin prize above wealth,20,Pro 8:10
268466,268470,coupling,112,,pair,welded to the desire it outweighs,20,Pro 8:11
268475,268477,coupling,112,,pair,welded to prudence as her companion,20,Pro 8:12
268479,268480,coupling,112,,pair,welded to discretion as her twin finding,20,Pro 8:12
268481,268483,coupling,112,,pair,the reverence welded to the moral aversion that expresses it,20,Pro 8:13
268483,268484,target,107,,pair,"evil (268484, its object)",20,Pro 8:13
268485,268486,coupling,112,,pair,welded to arrogance as the twin hated vice,20,Pro 8:13
268489,268491,coupling,112,,pair,welded to the hatred that recoils from it,20,Pro 8:13
268491,268488,target,107,,pair,"the way of evil (268488, an object)",20,Pro 8:13
268492,268493,coupling,112,,pair,welded to sound wisdom as her twin possession,20,Pro 8:14
268495,268496,coupling,112,,pair,welded to strength as her twin claim,20,Pro 8:14
268502,268509,coupling,112,,pair,welded to just rule as Wisdom's political fruit,20,Pro 8:15
268506,268508,coupling,112,,pair,welded to just governance as their character,20,Pro 8:16
268511,268512,coupling,112,,pair,welded to the human love it answers,20,Pro 8:17
268516,268517,coupling,112,,pair,welded to honor as Wisdom's paired gift,20,Pro 8:18
268519,268520,coupling,112,,pair,welded to righteousness as the enduring pair,20,Pro 8:18
268522,268528,coupling,112,,pair,welded to the preference of Wisdom over choice silver,20,Pro 8:19
268538,268541,coupling,112,,pair,welded to justice as the twin path,20,Pro 8:20
268567,268571,coupling,112,,pair,welded to the establishing of the fountains,20,Pro 8:28
268585,268592,coupling,112,,pair,welded to her delight in the children of man,20,Pro 8:30
268597,268599,coupling,112,,pair,welded to the keeping of her ways,20,Pro 8:32
268601,268602,target,107,,pair,instruction (268602) / becoming wise (268603),20,Pro 8:33
268601,268603,coupling,112,,pair,the heeding aimed at instruction and wisdom,20,Pro 8:33
268608,268612,coupling,112,,pair,welded to the waiting beside her doors,20,Pro 8:34
268624,268626,coupling,112,,pair,the missing welded to the self-harm it causes,20,Pro 8:36
268628,268629,coupling,112,,pair,welded to the death-love it amounts to,20,Pro 8:36
268639,268640,coupling,112,,pair,the learning aimed at shrewdness,20,Pro 8:5
268642,268643,coupling,112,,pair,the learning aimed at an understanding heart,20,Pro 8:5
268653,268654,coupling,112,,pair,the uttering welded to the truth it speaks,20,Pro 8:7
268655,268656,coupling,112,,pair,the wickedness set against the revulsion it provokes,20,Pro 8:7
268666,268668,coupling,112,,pair,welded to rightness as the quality plain to the discerning,20,Pro 8:9
268667,268670,coupling,112,,pair,welded to knowledge as the receiving faculty,20,Pro 8:9
308447,268549,coupling,112,,pair,"the birth of Wisdom before the mountains, restated",20,Pro 8:25
268671,268674,coupling,112,,pair,welded to the wisdom it begins,20,Pro 9:10
268675,268676,target,107,,pair,the Holy One known (268676) / insight (268677),20,Pro 9:10
268675,268677,coupling,112,,pair,the knowing of God that is insight,20,Pro 9:10
268703,268708,coupling,112,,pair,welded to the senselessness Folly exploits,20,Pro 9:16
268719,268721,coupling,112,,pair,welded to the guests who join them in the depths,20,Pro 9:18
268734,268736,coupling,112,,pair,welded to the elevation of her open call,20,Pro 9:3
268739,268745,coupling,112,,pair,welded to the senselessness Wisdom would remedy,20,Pro 9:4
268749,268752,coupling,112,,pair,welded to the way of understanding that gives life,20,Pro 9:6
268754,268756,target,107,,pair,abuse (268756),20,Pro 9:7
268762,268764,coupling,112,,pair,welded to the hatred reproof provokes in him,20,Pro 9:8
268766,268767,coupling,112,,pair,welded to the love reproof produces in him,20,Pro 9:8
268769,268770,coupling,112,,pair,welded to the wise man who receives and increases,20,Pro 9:9
268773,268774,coupling,112,,pair,welded to the righteous who grows in learning,20,Pro 9:9
308481,308482,coupling,112,,pair,welded to the personal profit of wisdom,20,Pro 9:12
262460,262462,coupling,112,,pair,welded to the joy the wise son produces,20,Pro 10:1
262464,262466,coupling,112,,pair,welded to the grief the fool produces,20,Pro 10:1
262471,262472,coupling,112,,pair,welded to the sorrow it produces,20,Pro 10:10
262477,262479,coupling,112,,pair,welded to the life its mouth pours,20,Pro 10:11
262481,262483,target,107,,pair,concealed violence (262483),20,Pro 10:11
262484,262485,coupling,112,,pair,welded to the rousing it drives,20,Pro 10:12
262485,262486,target,107,,pair,the strife roused (262486),20,Pro 10:12
262487,262490,coupling,112,,pair,welded to the wrongs it overlooks,20,Pro 10:12
262493,262494,coupling,112,,pair,welded to the wisdom his lips bear,20,Pro 10:13
262500,262502,coupling,112,,pair,welded to the knowledge they lay up,20,Pro 10:14
262504,262505,target,107,,pair,the ruin it brings (262505),20,Pro 10:14
262507,262508,coupling,112,,pair,welded to the wealth he trusts,20,Pro 10:15
262508,262509,coupling,112,,pair,welded to the security it seems to give,20,Pro 10:15
262512,262513,coupling,112,,pair,welded to the ruin poverty brings them,20,Pro 10:15
262515,262517,coupling,112,,pair,welded to the life it produces,20,Pro 10:16
262519,262520,coupling,112,,pair,welded to the sin it produces,20,Pro 10:16
262521,262522,target,107,,pair,instruction kept (262522),20,Pro 10:17
262529,262530,coupling,112,,pair,welded to the falsehood that masks it,20,Pro 10:18
262533,262534,coupling,112,,pair,welded to the folly of uttering it,20,Pro 10:18
262544,262547,coupling,112,,pair,set against righteousness as the profitless way,20,Pro 10:2
262551,262552,coupling,112,,pair,welded to the precious worth of his tongue,20,Pro 10:20
262554,262555,coupling,112,,pair,welded to the wickedness that empties it,20,Pro 10:20
262561,262564,coupling,112,,pair,welded to the senselessness that kills them,20,Pro 10:21
262565,262567,coupling,112,,pair,welded to the wealth it gives,20,Pro 10:22
262572,262575,coupling,112,,pair,welded to the folly that makes light of it,20,Pro 10:23
262576,262578,coupling,112,,pair,welded to the discernment that enjoys it,20,Pro 10:23
262579,262580,coupling,112,,pair,welded to the terror that befalls him,20,Pro 10:24
262582,262584,coupling,112,,pair,welded to the granting that fulfils it,20,Pro 10:24
262590,262592,coupling,112,,pair,welded to the permanence he is given,20,Pro 10:25
262601,262606,coupling,112,,pair,set against the wicked whose years are cut short,20,Pro 10:27
262608,262610,coupling,112,,pair,welded to the joy it produces,20,Pro 10:28
262611,262612,coupling,112,,pair,welded to the wickedness that dooms it,20,Pro 10:28
262616,262617,coupling,112,,pair,welded to the blameless who find it a refuge,20,Pro 10:29
262622,262623,coupling,112,,pair,welded to the righteous whose soul is sustained,20,Pro 10:3
262626,262627,coupling,112,,pair,welded to the wickedness that drives it,20,Pro 10:3
262628,262629,coupling,112,,pair,welded to the endurance he is given,20,Pro 10:30
262636,262638,coupling,112,,pair,welded to the wisdom his mouth bears,20,Pro 10:31
262643,262644,coupling,112,,pair,welded to the discernment of what pleases,20,Pro 10:32
262644,262645,coupling,112,,pair,welded to the acceptable speech it discerns,20,Pro 10:32
262647,262648,coupling,112,,pair,welded to the perverse speech it utters,20,Pro 10:32
262650,262655,coupling,112,,pair,set against the diligent enrichment,20,Pro 10:4
262658,262663,coupling,112,,pair,"set against the sleeping, shameful son",20,Pro 10:5
262664,262666,coupling,112,,pair,welded to the righteous on whom they rest,20,Pro 10:6
262668,262670,target,107,,pair,concealed violence (262670),20,Pro 10:6
262672,262673,coupling,112,,pair,welded to the blessed memory he leaves,20,Pro 10:7
262674,262675,coupling,112,,pair,welded to the wicked whose memory perishes,20,Pro 10:7
262677,262678,coupling,112,,pair,welded to the heart that makes him teachable,20,Pro 10:8
262685,262687,coupling,112,,pair,welded to the security integrity confers,20,Pro 10:9
262691,262693,target,107,,pair,God's abomination of it (262693),20,Pro 11:1
262701,262703,coupling,112,,pair,welded to the public gladness they bring,20,Pro 11:10
262704,262706,coupling,112,,pair,welded to the jubilation their ruin brings,20,Pro 11:10
262708,262709,coupling,112,,pair,welded to the upright whose blessing exalts,20,Pro 11:11
262716,262719,coupling,112,,pair,welded to the senselessness it reveals,20,Pro 11:12
262721,262722,coupling,112,,pair,welded to the restraint it produces,20,Pro 11:12
262726,262727,coupling,112,,pair,welded to the steadfast spirit that holds it,20,Pro 11:13
262731,262735,coupling,112,,pair,welded to the counsel that supplies it,20,Pro 11:14
262741,262743,coupling,112,,pair,welded to the safety this aversion secures,20,Pro 11:15
262744,262747,coupling,112,,pair,welded to the honour her grace secures,20,Pro 11:16
262748,262750,coupling,112,,pair,welded to the riches their violence grabs,20,Pro 11:16
262752,262754,coupling,112,,pair,welded to the self it benefits,20,Pro 11:17
262755,262757,coupling,112,,pair,welded to the self it wounds,20,Pro 11:17
262758,262760,coupling,112,,pair,welded to the illusory reward it earns,20,Pro 11:18
262763,262764,coupling,112,,pair,welded to the reliable reward it earns,20,Pro 11:18
262767,262770,coupling,112,,pair,set against the pursuit of evil that ends in death,20,Pro 11:19
262772,262775,coupling,112,,pair,welded to the shame that follows it,20,Pro 11:2
262777,262778,coupling,112,,pair,welded to the wisdom that accompanies them,20,Pro 11:2
262780,262781,target,107,,pair,God's abomination of it (262781),20,Pro 11:20
262783,262785,coupling,112,,pair,welded to the divine favour they draw,20,Pro 11:20
262788,262792,coupling,112,,pair,set against the righteous whose offspring is delivered,20,Pro 11:21
262802,262803,coupling,112,,pair,welded to the righteous whose desire it is,20,Pro 11:23
262806,262807,coupling,112,,pair,welded to the wickedness that dooms it,20,Pro 11:23
262816,262817,coupling,112,,pair,welded to the blessing it dispenses,20,Pro 11:25
262830,262831,coupling,112,,pair,welded to the favour it secures,20,Pro 11:27
262832,262834,coupling,112,,pair,welded to the searching that brings it,20,Pro 11:27
262836,262839,coupling,112,,pair,set against the righteous who flourish,20,Pro 11:28
262848,262849,coupling,112,,pair,welded to the heart that seats his wisdom,20,Pro 11:29
262850,262851,coupling,112,,pair,welded to the upright whom it leads,20,Pro 11:3
262853,262854,coupling,112,,pair,welded to the treacherous whom it ruins,20,Pro 11:3
262857,262859,coupling,112,,pair,welded to the life its fruit bears,20,Pro 11:30
262861,262862,coupling,112,,pair,welded to the wisdom soul-winning demonstrates,20,Pro 11:30
262868,262869,coupling,112,,pair,welded to the sinner in the reckoning,20,Pro 11:31
262870,262875,coupling,112,,pair,set against righteousness which alone delivers,20,Pro 11:4
262878,262879,coupling,112,,pair,welded to the blameless it guides,20,Pro 11:5
262882,262884,target,107,,pair,his own wickedness (262884),20,Pro 11:5
262885,262886,coupling,112,,pair,welded to the upright it delivers,20,Pro 11:6
262888,262890,target,107,,pair,their lust (262890),20,Pro 11:6
262893,262895,coupling,112,,pair,welded to the expectation that dies with it,20,Pro 11:7
262895,262896,coupling,112,,pair,welded to the wealth-confidence that fails,20,Pro 11:7
262898,262901,coupling,112,,pair,set against the wicked who enters the trouble instead,20,Pro 11:8
262909,262910,coupling,112,,pair,welded to the righteous it rescues,20,Pro 11:9
262914,262915,coupling,112,,pair,welded to the knowledge it seeks,20,Pro 12:1
262916,262918,coupling,112,,pair,welded to the brutishness it betrays,20,Pro 12:1
262919,262920,coupling,112,,pair,welded to the compassion he shows his beast,20,Pro 12:10
262923,262925,coupling,112,,pair,welded to the cruelty it really is,20,Pro 12:10
262926,262933,coupling,112,,pair,set against the one who chases worthless things,20,Pro 12:11
262934,262935,coupling,112,,pair,welded to the covetousness that drives him,20,Pro 12:12
262939,262940,coupling,112,,pair,welded to the fruit its root yields,20,Pro 12:12
262941,262944,coupling,112,,pair,welded to the sin of speech that traps him,20,Pro 12:13
262946,262949,coupling,112,,pair,welded to the trouble he is delivered from,20,Pro 12:13
262962,262963,coupling,112,,pair,welded to the self-conceit that blinds him,20,Pro 12:15
262965,262966,coupling,112,,pair,welded to the heeding that marks him wise,20,Pro 12:15
262966,262967,target,107,,pair,the advice he heeds (262967),20,Pro 12:15
262968,262970,coupling,112,,pair,welded to the immediacy of its display,20,Pro 12:16
262972,262974,coupling,112,,pair,welded to the offense he passes over,20,Pro 12:16
262976,262978,coupling,112,,pair,welded to the righteous testimony it gives,20,Pro 12:17
262979,262981,coupling,112,,pair,welded to the deceit he speaks,20,Pro 12:17
262987,262988,coupling,112,,pair,welded to the healing his tongue gives,20,Pro 12:18
262989,262993,coupling,112,,pair,set against the lying tongue that lasts a moment,20,Pro 12:19
262997,262999,coupling,112,,pair,welded to the divine favour his goodness draws,20,Pro 12:2
263003,263004,coupling,112,,pair,welded to the divine condemnation his schemes draw,20,Pro 12:2
263005,263007,coupling,112,,pair,welded to the plotting it accompanies,20,Pro 12:20
263009,263010,coupling,112,,pair,welded to the peace their counsel seeks,20,Pro 12:20
263013,263015,coupling,112,,pair,welded to the righteous whom it cannot touch,20,Pro 12:21
263019,263021,target,107,,pair,God's abomination of them (263021),20,Pro 12:22
263024,263026,coupling,112,,pair,welded to the divine favour they draw,20,Pro 12:22
263027,263030,coupling,112,,pair,welded to the knowledge he keeps hidden,20,Pro 12:23
263031,263033,coupling,112,,pair,welded to the folly it broadcasts,20,Pro 12:23
263037,263038,coupling,112,,pair,set against the sloth reduced to forced labour,20,Pro 12:24
263041,263043,coupling,112,,pair,welded to the heart it weighs down,20,Pro 12:25
263045,263047,coupling,112,,pair,welded to the joy it produces,20,Pro 12:25
263048,263052,coupling,112,,pair,set against the wicked whose way leads astray,20,Pro 12:26
263054,263061,coupling,112,,pair,set against the diligence that gains precious wealth,20,Pro 12:27
263064,263065,coupling,112,,pair,welded to the life its path contains,20,Pro 12:28
263072,263074,coupling,112,,pair,set against the immovable root of the righteous,20,Pro 12:3
263077,263081,coupling,112,,pair,set against the shaming wife who is rottenness,20,Pro 12:4
263084,263086,coupling,112,,pair,welded to the justice that marks them,20,Pro 12:5
263087,263089,coupling,112,,pair,welded to the deceit that marks them,20,Pro 12:5
263091,263095,coupling,112,,pair,set against the upright mouth that delivers,20,Pro 12:6
263098,263102,coupling,112,,pair,set against the righteous house that stands,20,Pro 12:7
263105,263107,coupling,112,,pair,welded to the good sense that earns it,20,Pro 12:8
263108,263111,target,107,,pair,his despising (263111) / his twisted mind (263109),20,Pro 12:8
263108,263109,coupling,112,,pair,the perversity that earns contempt,20,Pro 12:8
263113,263116,coupling,112,,pair,set against the pretentious greatness that lacks bread,20,Pro 12:9
263123,263125,coupling,112,,pair,welded to the deaf contempt that marks him,20,Pro 13:1
263128,263131,coupling,112,,pair,welded to the conflict it breeds,20,Pro 13:10
263133,263134,coupling,112,,pair,welded to the wisdom that attends counsel,20,Pro 13:10
263135,263141,coupling,112,,pair,set against the little-by-little gathering that lasts,20,Pro 13:11
263142,263144,coupling,112,,pair,welded to the heart worn by long waiting,20,Pro 13:12
263146,263149,coupling,112,,pair,welded to the life its fulfilment gives,20,Pro 13:12
263150,263152,coupling,112,,pair,welded to the ruin it pledges him to,20,Pro 13:13
263157,263159,coupling,112,,pair,welded to the life its teaching pours,20,Pro 13:14
263165,263166,coupling,112,,pair,welded to the good sense it marks,20,Pro 13:15
263167,263168,coupling,112,,pair,welded to the favour it gains,20,Pro 13:15
263170,263171,coupling,112,,pair,welded to the hard ruin of their road,20,Pro 13:15
263173,263175,coupling,112,,pair,welded to the knowledge that guides his acts,20,Pro 13:16
263176,263178,coupling,112,,pair,welded to the folly he displays,20,Pro 13:16
263179,263183,coupling,112,,pair,set against the faithful envoy who brings healing,20,Pro 13:17
263190,263187,coupling,112,,pair,set against the disgrace of ignoring instruction,20,Pro 13:18
263197,263200,coupling,112,,pair,welded to the fools' loathing of the good,20,Pro 13:19
263208,263209,coupling,112,,pair,welded to the treachery whose appetite it is,20,Pro 13:2
263213,263214,coupling,112,,pair,welded to the wisdom their company imparts,20,Pro 13:20
263216,263217,coupling,112,,pair,welded to the harm their company causes,20,Pro 13:20
263218,263220,coupling,112,,pair,welded to the sinners it hunts,20,Pro 13:21
263228,263229,coupling,112,,pair,welded to the wealth that passes from him,20,Pro 13:22
263241,263243,coupling,112,,pair,set against the love that is diligent to discipline,20,Pro 13:24
263246,263249,coupling,112,,pair,welded to the fullness he enjoys,20,Pro 13:25
263255,263256,coupling,112,,pair,welded to the life its restraint protects,20,Pro 13:3
263262,263264,coupling,112,,pair,welded to the futile desire it feels,20,Pro 13:4
263266,263268,coupling,112,,pair,welded to the abundance that fills it,20,Pro 13:4
263269,263270,coupling,112,,pair,welded to the aversion that marks him,20,Pro 13:5
263272,263273,coupling,112,,pair,welded to the disgrace his conduct causes,20,Pro 13:5
263275,263278,coupling,112,,pair,welded to the blameless whom it protects,20,Pro 13:6
263280,263281,coupling,112,,pair,welded to the sinner whom sin subverts,20,Pro 13:6
263283,263286,coupling,112,,pair,set against the pretender of poverty who is truly rich,20,Pro 13:7
263291,263292,coupling,112,,pair,welded to the riches that are its price,20,Pro 13:8
263298,263299,coupling,112,,pair,welded to the joyful light it gives,20,Pro 13:9
263303,263307,coupling,112,,pair,set against the folly that destroys the house,20,Pro 14:1
263310,263311,coupling,112,,pair,welded to the intimate self-knowledge it holds,20,Pro 14:10
263312,263313,coupling,112,,pair,welded to the grief that is its own,20,Pro 14:10
263319,263322,coupling,112,,pair,set against the upright whose tent flourishes,20,Pro 14:11
263333,263334,coupling,112,,pair,welded to the hidden pain beneath the mirth,20,Pro 14:13
263336,263337,coupling,112,,pair,welded to the grief that may follow it,20,Pro 14:13
263339,263343,coupling,112,,pair,set against the good man filled with his own good fruit,20,Pro 14:14
263345,263346,coupling,112,,pair,welded to the uncritical trust that marks him,20,Pro 14:15
263348,263349,coupling,112,,pair,welded to the consideration he gives his way,20,Pro 14:15
263352,263353,coupling,112,,pair,welded to the wary care that marks him,20,Pro 14:16
263357,263359,coupling,112,,pair,welded to the reckless overconfidence that marks him,20,Pro 14:16
263361,263363,coupling,112,,pair,welded to the folly his temper produces,20,Pro 14:17
263365,263366,coupling,112,,pair,welded to the hatred his scheming earns,20,Pro 14:17
263367,263369,coupling,112,,pair,welded to the folly that is their portion,20,Pro 14:18
263370,263372,coupling,112,,pair,welded to the knowledge that is their crown,20,Pro 14:18
263373,263376,coupling,112,,pair,welded to the good before whom they stoop,20,Pro 14:19
263377,263379,coupling,112,,pair,welded to the righteous before whom they stoop,20,Pro 14:19
263381,263382,coupling,112,,pair,welded to the reverence it embodies,20,Pro 14:2
263384,263386,coupling,112,,pair,welded to the contempt his crookedness reveals,20,Pro 14:2
263388,263389,coupling,112,,pair,welded to the rejection his poverty brings,20,Pro 14:20
263392,263394,coupling,112,,pair,welded to the friends his wealth attracts,20,Pro 14:20
263395,263397,coupling,112,,pair,welded to the sin that contempt makes him,20,Pro 14:21
263400,263401,coupling,112,,pair,welded to the poor his kindness serves,20,Pro 14:21
263403,263404,coupling,112,,pair,welded to the scheming that leads them astray,20,Pro 14:22
