name,value,ordinal,inactive
hib_kind,named_individual,0,0
hib_kind,unnamed_individual,1,0
hib_kind,named_collection,2,0
hib_kind,unnamed_collection,3,0
hib_kind,implicit_individual,4,0
hib_kind,implicit_collection,5,0
config_module,cluster,16,0
config_module,manifest,17,0
escalation_type,task,0,0
escalation_type,run_error,1,0
escalation_type,issue,2,0
escalation_type,notice,3,0
escalation_type,config,4,0
escalation_state,re-assign,1,1
escalation_state,on-hold,2,0
escalation_state,closed,3,0
escalation_state,withdraw,4,0
escalation_state,completed,5,0
escalation_next_action,approve,0,1
escalation_next_action,reject,0,1
escalation_next_action,revise,1,1
escalation_next_action,hold,3,1
escalation_next_action,noted,2,1
escalation_assignee,Claude,0,0
escalation_assignee,Researcher,1,0
config_module,backup,18,0
escalation_state,in-progress,6,0
config_module,content_index,19,0
config_module,behaviour,20,0
project_database,iba,0,0
project_database,bible_research,1,0
config_module,database,21,0
config_module,prose,22,0
escalation_state,supersede,7,0
escalation_state,re-assigned,8,0
escalation_next_action,review,5,1
escalation_next_action,ready_for_approval,6,1
escalation_next_action,approved,7,1
escalation_shape,manual,0,0
escalation_shape,dispatcher,1,0
escalation_next_action_dispatcher,approve,0,0
escalation_next_action_dispatcher,reject,1,0
escalation_next_action_dispatcher,revise,2,0
escalation_next_action_dispatcher,hold,3,0
escalation_next_action_dispatcher,noted,4,0
escalation_next_action_manual,ready_for_approval,0,0
escalation_next_action_manual,approved,1,0
escalation_next_action_manual,reject,2,0
escalation_next_action_manual,revise,3,0
escalation_next_action_manual,noted,4,0
escalation_next_action_manual,review,5,0
escalation_requirement_check_kind,field_required,0,0
escalation_requirement_check_kind,not_raised_with_content,1,0
escalation_requirement_check_kind,exists,2,0
escalation_requirement_check_kind,not_self,3,0
resolution_kind,decision_required,0,0
resolution_kind,self_correctable,1,0
record_change_log_change_type,insert,1,0
record_change_log_change_type,change,2,0
record_change_log_change_type,delete,3,0
record_change_log_status,change_proposed,1,0
record_change_log_status,change_applied,2,0
record_change_log_status,declined,3,0
prose_section_status,draft,0,0
prose_section_status,in_review,1,0
prose_section_status,approved,2,0
prose_section_status,archived,3,0
prose_section_author,claude_ai,0,0
prose_section_author,claude_code,1,0
prose_section_author,researcher,2,0
prose_section_type_source_stage,programme,0,0
prose_section_type_source_stage,session_a,1,0
prose_section_type_source_stage,session_b,2,0
prose_section_type_source_stage,session_b_phase9,3,0
prose_section_type_source_stage,session_c,4,0
prose_section_type_source_stage,session_d,5,0
prose_section_type_source_stage,synthesis,6,0
prose_section_type_source_stage,verse-analysis,7,0
prose_section_type_source_stage,findings,8,0
prose_section_type_source_stage,essay,9,0
prose_section_type_source_stage,contributor,10,0
prose_section_type_lifecycle_tag,source,0,0
prose_section_type_lifecycle_tag,v1,1,0
prose_section_type_lifecycle_tag,v2,2,0
prose_section_type_lifecycle_tag,v3,3,0
prose_section_type_book_label,Programme,0,0
prose_section_type_book_label,Detail design,1,0
prose_section_type_book_label,Findings,2,0
prose_section_type_book_label,Essays,3,0
escalation_type,note,5,0
escalation_requirement_check_kind,requires_prior_ready_for_approval_if_decision_required,4,0
folder_purpose_type,archive,0,0
folder_purpose_type,operations,1,0
folder_purpose_type,results,2,0
folder_purpose_status,authoritative,0,0
folder_purpose_status,mixed,1,0
folder_purpose_status,reallocate,2,0
folder_purpose_status,stale,3,0
folder_purpose_status,deleted,4,0
config_module,pathaudit,23,0
table_purpose_kind,purpose,0,0
table_purpose_kind,success,1,0
table_category,rule,0,0
table_category,data,1,0
table_category,log,2,0
