"reference","position","surface","strong_variant","morph_code"
"Lev 18:27","9","all","H0853","HTo"
"Lev 18:30","2","charge","H0853","HTo"
"Lev 20:13","5","male","H0853","HTo"
"Deu 18:12","20","before","H0853","HTo"
"Deu 20:18","6","do","H0853","HTo"
"Deu 24:4","34","land","H0853","HTo"
"2Ki 16:3","11","son","H0853","HTo"
"2Ki 16:3","22","before","H0853","HTo"
"2Ki 21:11","22","Judah","H0853","HTo"
"2Ch 28:3","9","sons","H0853","HTo"
"2Ch 34:33","3","all","H0853","HTo"
"2Ch 34:33","15","all","H0853","HTo"
"2Ch 34:33","24","Lord","H0853","HTo"
"2Ch 36:14","19","house","H0853","HTo"
"Jer 2:7","4","land","H0853","HTo"
"Jer 2:7","17","land","H0853","HTo"
"Jer 7:10","20","all","H0853","HTo"
"Jer 32:35","2","high places","H0853","HTo"
"Jer 32:35","12","sons","H0853","HTo"
"Jer 32:35","15","daughters","H0853","HTo"
"Jer 32:35","38","Judah","H0853","HTo"
"Eze 5:9","8","what","H0853","HTo"
"Eze 5:9","12","which","H0853","HTo"
"Eze 6:9","5","among the nations","H0853","HTo"
"Eze 6:9","16","heart","H0853","HTo"
"Eze 7:3","19","all","H0853","HTo"
"Eze 7:8","22","all","H0853","HTo"
"Eze 8:9","9","abominations","H0853","HTo"
"Eze 8:17","16","abominations","H0853","HTo"
"Eze 8:17","24","land","H0853","HTo"
"Eze 8:17","36","branch","H0853","HTo"
"Eze 12:16","15","all","H0853","HTo"
"Eze 16:2","4","Jerusalem","H0853","HTo"
"Eze 16:2","7","abominations","H0853","HTo"
"Eze 16:22","1","all","H0853","HTo"
"Eze 16:22","11","days","H0853","HTo"
"Eze 16:43","5","days","H0853","HTo"
"Eze 16:43","31","lewdness","H0853","HTo"
"Eze 16:50","9","when","H0853","HTo"
"Eze 16:51","10","abominations","H0853","HTo"
"Eze 16:51","14","sisters","H0853","HTo"
"Eze 16:58","4","lewdness","H0853","HTo"
"Eze 16:58","7","abominations","H0853","HTo"
"Eze 18:13","11","all","H0853","HTo"
"Eze 20:4","6","judge","H0853","HTo"
"Eze 20:4","12","abominations","H0853","HTo"
"Eze 22:2","11","city","H0853","HTo"
"Eze 22:2","15","all","H0853","HTo"
"Eze 22:11","15","daughter-in-law","H0853","HTo"
"Eze 22:11","23","sister","H0853","HTo"
"Eze 23:36","9","Oholah","H0853","HTo"
"Eze 23:36","11","Oholibah","H0853","HTo"
"Eze 23:36","18","abominations","H0853","HTo"
"Eze 33:26","12","wife","H0853","HTo"
"Eze 33:29","9","land","H0853","HTo"
"Eze 36:31","5","ways","H0853","HTo"
"Eze 43:8","25","name","H0853","HTo"
"Eze 43:8","36","anger","H0853","HTo"
"Eze 44:7","19","temple","H0853","HTo"
"Eze 44:7","25","food","H0853","HTo"
"Eze 44:7","32","covenant","H0853","HTo"
"Psa 106:40","9","heritage","H0853","HTo"
"Eze 16:25","7","beauty","H0853","HTo"
"Eze 16:25","13","yourself","H0853","HTo"
"Eze 16:25","21","whoring","H0853","HTo"
"Mic 3:9","15","all","H0853","HTo"
"Jer 13:21","12","friends","H0853","HTo"
"Isa 66:8","26","children","H0853","HTo"
"Jer 5:3","10","no","H0853","HTo"
"Jer 51:29","13","land","H0853","HTo"
"Jer 6:24","2","report","H0853","HTo"
"Jer 50:43","4","report","H0853","HTo"
"Deu 29:22","21","afflictions","H0853","HTo"
"Deu 29:22","27","sicknesses","H0853","HTo"
"Gen 27:45","9","what","H0853","HTo"
"Gen 39:19","6","words","H0853","HTo"
"Exo 22:24","6","sword","H0853","HTo"
"Exo 32:10","17","nation","H0853","HTo"
"Exo 32:11","3","the","H0853","HTo"
"Exo 32:12","14","mountains","H0853","HTo"
"Exo 32:19","10","calf","H0853","HTo"
"Exo 32:19","20","tablets","H0853","HTo"
"Exo 32:19","25","foot","H0853","HTo"
"Exo 32:22","11","people","H0853","HTo"
"Num 11:10","4","people","H0853","HTo"
"Num 22:27","4","angel","H0853","HTo"
"Num 22:27","15","donkey","H0853","HTo"
"Num 24:10","7","hands","H0853","HTo"
"Num 25:4","6","all","H0853","HTo"
"Num 25:4","16","Lord","H0853","HTo"
"Deu 7:4","3","sons","H0853","HTo"
"Deu 9:19","18","listened to","H0853","HTo"
"Deu 11:17","8","heavens","H0853","HTo"
"Deu 11:17","19","fruit","H0853","HTo"
"Deu 29:20","33","name","H0853","HTo"
"Deu 29:27","12","all","H0853","HTo"
"Jos 23:16","4","covenant","H0853","HTo"
"Jos 23:16","11","go","H0853","HTo"
"Judg 2:14","12","sold","H0853","HTo"
"Judg 2:20","13","covenant","H0853","HTo"
"Judg 2:20","19","fathers","H0853","HTo"
"Judg 3:8","16","Cushan-rishathaim","H0853","HTo"
"Judg 9:30","6","words","H0853","HTo"
"Judg 14:19","14","spoil","H0853","HTo"
"1Sa 11:6","12","words","H0853","HTo"
"1Sa 17:28","36","presumption","H0853","HTo"
"1Sa 17:28","39","evil","H0853","HTo"
"2Sa 24:1","9","David","H0853","HTo"
"2Sa 24:1","17","Israel","H0853","HTo"
"2Sa 24:1","19","Judah","H0853","HTo"
"2Ki 24:20","14","presence","H0853","HTo"
"2Ch 25:15","16","gods","H0853","HTo"
"2Ch 25:15","23","people","H0853","HTo"
"2Ch 28:13","6","captives","H0853","HTo"
"2Ch 30:8","22","Lord","H0853","HTo"
"Neh 9:17","14","neck","H0853","HTo"
"Job 32:3","15","Job","H0853","HTo"
"Job 42:7","8","words","H0853","HTo"
"Isa 9:12","9","Israel","H0853","HTo"
"Isa 9:17","12","fatherless","H0853","HTo"
"Isa 9:17","16","widows","H0853","HTo"
"Isa 9:21","2","Ephraim","H0853","HTo"
"Isa 9:21","6","Manasseh","H0853","HTo"
"Isa 30:30","2","majestic","H0853","HTo"
"Jer 15:14","2","enemies","H0853","HTo"
"Jer 17:4","14","enemies","H0853","HTo"
"Jer 18:23","5","all","H0853","HTo"
"Jer 32:31","21","to","H0853","HTo"
"Jer 42:18","45","place","H0853","HTo"
"Jer 49:37","2","Elam","H0853","HTo"
"Jer 49:37","18","fierce","H0853","HTo"
"Jer 49:37","27","sword","H0853","HTo"
"Jer 49:37","32","them","H0853","HTo"
"Jer 51:45","9","life","H0853","HTo"
"Jer 52:3","11","from","H0853","HTo"
"Lam 2:1","6","daughter","H0853","HTo"
"Lam 4:11","3","wrath","H0853","HTo"
"Eze 20:21","16","rules","H0853","HTo"
"Eze 20:21","19","which","H0853","HTo"
"Eze 20:21","23","person","H0853","HTo"
"Eze 20:21","32","Sabbaths","H0853","HTo"
"Eze 22:20","31","you","H0853","HTo"
"Zep 2:3","2","Lord","H0853","HTo"
"Zec 10:3","16","flock","H0853","HTo"
"Zec 10:3","19","house","H0853","HTo"
"Zec 10:3","25","steed","H0853","HTo"
"Gen 2:7","5","man","H0853","HTo"
"Gen 24:47","4","daughter","H0853","HTo"
"Num 11:20","18","Lord","H0853","HTo"
"Gen 48:12","2","from","H0853","HTo"
"Num 22:31","3","eyes","H0853","HTo"
"Num 22:31","7","angel","H0853","HTo"
"1Sa 1:5","10","her","H0853","HTo"
"1Sa 20:41","22","another","H0853","HTo"
"1Sa 20:41","27","another","H0853","HTo"
"1Sa 25:23","3","David","H0853","HTo"
"2Sa 18:28","24","men","H0853","HTo"
"2Sa 18:28","28","hand","H0853","HTo"
"2Sa 24:20","5","king","H0853","HTo"
"2Sa 24:20","7","servants","H0853","HTo"
"1Ch 21:21","8","David","H0853","HTo"
"Neh 8:6","3","Lord","H0853","HTo"
"Gen 40:17","18","basket","H0853","HTo"
"Gen 40:20","6","Pharaoh’s","H0853","HTo"
"Gen 40:20","17","head","H0853","HTo"
"Gen 40:20","22","chief","H0853","HTo"
"Gen 40:22","2","chief","H0853","HTo"
"Gen 41:10","11","custody","H0853","HTo"
"Gen 41:10","15","captain","H0853","HTo"
"Gen 41:10","17","captain","H0853","HTo"
"Exo 12:39","5","dough","H0853","HTo"
"Exo 16:23","14","bake","H0853","HTo"
"Exo 16:23","18","boil","H0853","HTo"
"Exo 16:23","23","all","H0853","HTo"
"Lev 6:17","8","food offerings","H0853","HTo"
"Lev 7:9","22","it","H0853","HTo"
"Lev 24:5","4","twelve","H0853","HTo"
"1Sa 8:13","3","daughters","H0853","HTo"
"Jer 37:21","6","Jeremiah","H0853","HTo"
"Eze 46:20","13","guilt offering","H0853","HTo"
"Eze 46:20","16","sin offering","H0853","HTo"
"Eze 46:20","22","grain offering","H0853","HTo"
"Eze 46:20","35","people","H0853","HTo"
"Jer 50:25","3","armory","H0853","HTo"
"Jer 50:25","7","weapons","H0853","HTo"
"Dan 8:19","6","what","H0853","HTo"
"Lev 26:28","7","myself","H0853","HTo"
"Num 25:11","9","wrath","H0853","HTo"
"Num 25:11","19","jealousy","H0853","HTo"
"Num 25:11","28","people","H0853","HTo"
"2Sa 11:20","21","shoot","H0853","HTo"
"2Ki 22:13","3","Lord","H0853","HTo"
"2Ch 34:21","3","Lord","H0853","HTo"
"2Ch 34:21","36","word","H0853","HTo"
"Est 2:1","13","Vashti","H0853","HTo"
"Est 2:1","15","what","H0853","HTo"
"Est 2:1","19","what","H0853","HTo"
"Est 5:9","15","Mordecai","H0853","HTo"
"Est 7:10","10","Haman","H0853","HTo"
"Isa 51:17","10","cup","H0853","HTo"
"Isa 51:17","15","dregs","H0853","HTo"
"Isa 51:22","17","cup","H0853","HTo"
"Isa 51:22","21","bowl","H0853","HTo"
"Jer 10:25","22","Jacob","H0853","HTo"
"Jer 10:25","30","habitation","H0853","HTo"
"Jer 18:20","25","wrath","H0853","HTo"
"Jer 25:15","14","cup","H0853","HTo"
"Jer 25:15","20","all","H0853","HTo"
"Jer 25:15","22","all","H0853","HTo"
"Jer 25:15","29","you","H0853","HTo"
"Eze 8:18","22","them","H0853","HTo"
"Eze 9:8","20","all","H0853","HTo"
"Eze 9:8","27","wrath","H0853","HTo"
"Eze 13:15","2","wrath","H0853","HTo"
"Eze 13:15","10","whitewash","H0853","HTo"
"Eze 13:15","22","it","H0853","HTo"
"Eze 20:13","15","rules","H0853","HTo"
"Eze 20:13","20","person","H0853","HTo"
"Eze 20:13","27","Sabbaths","H0853","HTo"
"Eze 20:34","2","from","H0853","HTo"
"Eze 20:34","8","out","H0853","HTo"
"Eze 24:8","12","blood","H0853","HTo"
"Eze 24:13","21","fury","H0853","HTo"
"Eze 30:15","9","multitude","H0853","HTo"
"Exo 16:21","2","Morning","H0853","HTo"
"Isa 47:14","10","themselves","H0853","HTo"
"Jer 51:39","5","feast","H0853","HTo"
"Hos 7:7","7","rulers","H0853","HTo"
"Gen 31:35","29","household gods","H0853","HTo"
"Gen 34:7","26","daughter","H0853","HTo"
"Gen 45:5","13","here","H0853","HTo"
"Num 16:15","22","one","H0853","HTo"
"1Sa 15:11","4","Saul","H0853","HTo"
"1Sa 15:11","16","commandments","H0853","HTo"
"2Sa 13:21","6","all","H0853","HTo"
"Neh 4:1","10","wall","H0853","HTo"
"Neh 5:6","8","outcry","H0853","HTo"
"Neh 5:6","14","words","H0853","HTo"
"Song 1:6","22","vineyards","H0853","HTo"
"Neh 13:18","10","all","H0853","HTo"
"Neh 13:18","33","Sabbath","H0853","HTo"
"Deu 31:29","19","evil","H0853","HTo"
"Deu 31:29","22","befall","H0853","HTo"
"Deu 31:29","30","evil","H0853","HTo"
"Judg 2:12","2","Lord","H0853","HTo"
"Judg 2:12","14","among","H0853","HTo"
"Judg 2:12","29","Lord","H0853","HTo"
"1Ki 14:9","22","cast","H0853","HTo"
"1Ki 14:15","3","Israel","H0853","HTo"
"1Ki 14:15","13","Israel","H0853","HTo"
"1Ki 14:15","37","Asherim","H0853","HTo"
"1Ki 14:15","41","Lord","H0853","HTo"
"1Ki 15:30","6","Israel","H0853","HTo"
"1Ki 15:30","16","Lord","H0853","HTo"
"1Ki 16:2","19","people","H0853","HTo"
"1Ki 16:7","44","it","H0853","HTo"
"1Ki 16:13","14","Israel","H0853","HTo"
"1Ki 16:13","19","Lord","H0853","HTo"
"1Ki 16:26","13","Israel","H0853","HTo"
"1Ki 16:26","18","Lord","H0853","HTo"
"1Ki 16:33","4","Asherah","H0853","HTo"
"1Ki 16:33","12","Lord","H0853","HTo"
"1Ki 21:22","2","house","H0853","HTo"
"1Ki 21:22","21","Israel","H0853","HTo"
"1Ki 22:53","3","Baal","H0853","HTo"
"1Ki 22:53","9","Lord","H0853","HTo"
"2Ki 17:11","19","Lord","H0853","HTo"
"2Ki 17:17","3","sons","H0853","HTo"
"2Ki 17:17","6","daughters","H0853","HTo"
"2Ki 21:6","3","son","H0853","HTo"
"2Ki 21:15","5","evil","H0853","HTo"
"2Ki 21:15","9","provoked","H0853","HTo"
"2Ki 23:19","3","all","H0853","HTo"
"2Ch 28:25","17","Lord","H0853","HTo"
"2Ch 33:6","4","sons","H0853","HTo"
"Isa 65:3","5","to","H0853","HTo"
"Jer 7:18","10","fire","H0853","HTo"
"Jer 7:19","2","provoke","H0853","HTo"
"Jer 7:19","11","shame","H0853","HTo"
"Jer 11:17","6","decreed","H0853","HTo"
"Jer 25:6","19","work","H0853","HTo"
"Jer 32:29","15","city","H0853","HTo"
"Jer 32:29","22","houses","H0853","HTo"
"Jer 32:30","24","work","H0853","HTo"
"Eze 16:26","10","whoring","H0853","HTo"
"1Sa 1:16","3","servant","H0853","HTo"
"Eze 20:28","10","give","H0853","HTo"
"Eze 20:28","13","saw","H0853","HTo"
"Eze 20:28","27","sacrifices","H0853","HTo"
"Eze 20:28","43","drink offerings","H0853","HTo"
"Num 14:23","4","land","H0853","HTo"
"Num 16:30","9","mouth","H0853","HTo"
"Num 16:30","13","all","H0853","HTo"
"Num 16:30","15","all","H0853","HTo"
"Num 16:30","32","Lord","H0853","HTo"
"Deu 31:20","29","covenant","H0853","HTo"
"1Sa 2:17","12","offering","H0853","HTo"
"2Sa 12:14","7","Lord","H0853","HTo"
"Isa 1:4","12","Lord","H0853","HTo"
"Isa 1:4","15","Holy One","H0853","HTo"
"Isa 5:24","25","law","H0853","HTo"
"Isa 5:24","30","word","H0853","HTo"
"Jer 33:24","24","people","H0853","HTo"
"Lev 19:18","6","sons","H0853","HTo"
"Song 8:11","9","vineyard","H0853","HTo"
"Song 8:12","17","fruit","H0853","HTo"
"Jer 3:12","6","words","H0853","HTo"
"Jer 7:29","13","generation","H0853","HTo"
"Lam 2:2","5","all","H0853","HTo"
"Eze 22:21","2","blow","H0853","HTo"
"1Sa 25:14","23","master","H0853","HTo"
"Lev 10:6","39","burning","H0853","HTo"
"Lev 10:16","4","goat","H0853","HTo"
"Deu 1:34","3","words","H0853","HTo"
"Deu 9:7","3","how","H0853","HTo"
"Deu 9:7","6","Lord","H0853","HTo"
"Deu 9:8","4","Lord","H0853","HTo"
"Deu 9:8","12","you","H0853","HTo"
"Deu 9:22","11","Lord","H0853","HTo"
"1Sa 29:4","53","men","H0853","HTo"
"2Ki 13:19","16","Syria","H0853","HTo"
"2Ki 13:19","23","Syria","H0853","HTo"
"Ecc 5:6","3","mouth","H0853","HTo"
"Ecc 5:6","5","lead","H0853","HTo"
"Ecc 5:6","30","work","H0853","HTo"
"Isa 64:5","2","joyfully","H0853","HTo"
"Jer 37:15","7","imprisoned","H0853","HTo"
"Jer 37:15","12","house","H0853","HTo"
"Jer 37:15","19","made a","H0853","HTo"
"Zec 8:14","20","says","H0853","HTo"
"Num 1:53","21","guard","H0853","HTo"
"Num 16:46","7","censer","H0853","HTo"
"Num 18:5","2","guard over","H0853","HTo"
"Num 18:5","6","over","H0853","HTo"
"Jos 9:20","6","wrath","H0853","HTo"
"2Ki 3:27","5","son","H0853","HTo"
"2Ch 19:10","31","not","H0853","HTo"
"2Ch 24:18","2","house","H0853","HTo"
"2Ch 24:18","10","Asherim","H0853","HTo"
"2Ch 24:18","13","idols","H0853","HTo"
"Est 1:18","14","behavior","H0853","HTo"
"Zec 7:12","9","law","H0853","HTo"
"Zec 7:12","12","words","H0853","HTo"
"Judg 8:3","6","princes","H0853","HTo"
"Judg 8:3","9","Oreb","H0853","HTo"
"Judg 8:3","11","Zeeb","H0853","HTo"
"2Ch 21:16","5","anger","H0853","HTo"
"Est 4:4","18","Mordecai","H0853","HTo"
"Jer 5:22","1","not","H0853","HTo"
"Judg 21:23","22","towns","H0853","HTo"
"Gen 8:10","9","dove","H0853","HTo"
"Judg 3:25","14","key","H0853","HTo"
"Eze 30:9","16","Cush","H0853","HTo"
"Gen 42:38","28","gray hairs","H0853","HTo"
"Gen 44:31","13","gray hairs","H0853","HTo"
"Est 9:22","31","days","H0853","HTo"
"Jer 19:9","3","flesh","H0853","HTo"
"Jer 19:9","7","and","H0853","HTo"
"Gen 27:34","4","words","H0853","HTo"
"Num 5:18","5","woman","H0853","HTo"
"Num 5:18","13","head","H0853","HTo"
"Num 5:18","19","grain offering","H0853","HTo"
"Num 5:19","2","priest","H0853","HTo"
"Num 5:23","7","curses","H0853","HTo"
"Num 5:24","2","woman","H0853","HTo"
"Num 5:24","5","water","H0853","HTo"
"Num 5:27","4","water","H0853","HTo"
"1Sa 15:32","6","Agag","H0853","HTo"
"2Sa 17:8","7","father","H0853","HTo"
"2Sa 17:8","10","men","H0853","HTo"
"Est 4:1","4","all","H0853","HTo"
"Est 4:1","10","clothes","H0853","HTo"
"Ecc 7:26","8","woman","H0853","HTo"
"Jer 2:19","18","Lord","H0853","HTo"
"Hab 1:6","6","Chaldeans","H0853","HTo"
"Jos 21:37","1","Kedemoth","H0853","HTo"
"Jos 21:37","3","pasturelands","H0853","HTo"
"Jos 21:37","7","Mephaath","H0853","HTo"
"Jos 21:37","10","pasturelands","H0853","HTo"
"Gen 41:51","3","name","H0853","HTo"
"Gen 41:51","12","all","H0853","HTo"
"Gen 41:51","16","all","H0853","HTo"
"Deu 26:7","9","voice","H0853","HTo"
"Deu 26:7","13","affliction","H0853","HTo"
"Deu 26:7","16","toil","H0853","HTo"
"Deu 26:7","21","oppression","H0853","HTo"
"Judg 10:16","4","gods","H0853","HTo"
"Judg 10:16","10","Lord","H0853","HTo"
"Ecc 2:10","13","heart","H0853","HTo"
"Ecc 2:20","2","heart","H0853","HTo"
"Ecc 2:24","10","enjoyment","H0853","HTo"
"Ecc 4:4","3","all","H0853","HTo"
"Ecc 4:4","6","all","H0853","HTo"
"Ecc 4:8","32","myself","H0853","HTo"
"Ecc 5:19","23","lot","H0853","HTo"
"Ecc 8:15","4","joy","H0853","HTo"
"1Sa 4:19","11","news","H0853","HTo"
"Psa 106:44","10","cry","H0853","HTo"
"Isa 30:20","21","Teacher","H0853","HTo"
"Num 10:9","13","alarm","H0853","HTo"
"1Ch 21:12","45","sent","H0853","HTo"
"Neh 4:11","19","work","H0853","HTo"
"Psa 27:2","8","flesh","H0853","HTo"
"Psa 78:42","3","power","H0853","HTo"
"Psa 105:24","1","people","H0853","HTo"
"Isa 9:11","3","adversaries","H0853","HTo"
"Isa 9:11","10","enemies","H0853","HTo"
"Zec 8:10","32","every","H0853","HTo"
"Gen 35:3","12","day","H0853","HTo"
"Deu 31:21","4","evils","H0853","HTo"
"Deu 31:21","31","inclined","H0853","HTo"
"1Sa 10:19","6","God","H0853","HTo"
"2Sa 4:9","4","Rechab","H0853","HTo"
"2Sa 4:9","6","Baanah","H0853","HTo"
"2Sa 4:9","21","life","H0853","HTo"
"1Ki 1:29","9","soul","H0853","HTo"
"Psa 25:22","2","Israel","H0853","HTo"
"Psa 31:7","8","affliction","H0853","HTo"
"Jer 15:11","13","enemy","H0853","HTo"
"Obd 14","9","fugitives","H0853","HTo"
"Gen 19:19","19","life","H0853","HTo"
"Gen 31:52","19","heap","H0853","HTo"
"Gen 31:52","31","heap","H0853","HTo"
"Gen 31:52","36","pillar","H0853","HTo"
"1Sa 6:9","15","harm","H0853","HTo"
"1Sa 20:9","24","tell","H0853","HTo"
"1Sa 20:13","8","harm","H0853","HTo"
"1Sa 20:13","20","you","H0853","HTo"
"1Sa 24:9","8","words","H0853","HTo"
"2Sa 15:14","34","down ruin","H0853","HTo"
"2Sa 17:14","22","counsel","H0853","HTo"
"2Sa 17:14","31","harm","H0853","HTo"
"1Ki 2:44","11","all","H0853","HTo"
"1Ki 2:44","24","harm","H0853","HTo"
"1Ki 9:9","5","Lord","H0853","HTo"
"1Ki 9:9","11","fathers","H0853","HTo"
"1Ki 9:9","32","all","H0853","HTo"
"2Ki 14:10","3","Edom","H0853","HTo"
"2Ki 22:16","17","all","H0853","HTo"
"2Ki 22:20","36","king","H0853","HTo"
"1Ch 4:10","13","border","H0853","HTo"
"1Ch 4:10","30","asked","H0853","HTo"
"1Ch 7:23","9","name","H0853","HTo"
"2Ch 7:22","5","Lord","H0853","HTo"
"2Ch 7:22","29","all","H0853","HTo"
"2Ch 25:19","4","Edom","H0853","HTo"
"2Ch 34:24","17","all","H0853","HTo"
"2Ch 34:28","38","king","H0853","HTo"
"Neh 2:17","23","wall","H0853","HTo"
"Est 8:6","9","people","H0853","HTo"
"Pro 13:21","4","righteous","H0853","HTo"
"Ecc 7:14","15","one","H0853","HTo"
"Jer 19:15","20","all","H0853","HTo"
"Jer 19:15","30","neck","H0853","HTo"
"Jer 19:15","37","words","H0853","HTo"
"Jer 26:19","14","Lord","H0853","HTo"
"Jer 26:19","17","favor","H0853","HTo"
"Jer 32:23","4","not","H0853","HTo"
"Jer 32:23","22","all","H0853","HTo"
"Jer 32:23","27","all","H0853","HTo"
"Jer 32:23","29","all","H0853","HTo"
"Jer 32:42","8","all","H0853","HTo"
"Jer 32:42","26","all","H0853","HTo"
"Jer 35:17","20","all","H0853","HTo"
"Jer 36:3","5","all","H0853","HTo"
"Jer 36:31","12","iniquity","H0853","HTo"
"Jer 36:31","26","all","H0853","HTo"
"Jer 38:4","14","hands","H0853","HTo"
"Jer 38:4","17","soldiers","H0853","HTo"
"Jer 38:4","29","hands","H0853","HTo"
"Jer 39:16","18","words","H0853","HTo"
"Jer 40:2","16","disaster","H0853","HTo"
"Jer 42:10","10","not","H0853","HTo"
"Jer 42:10","16","not","H0853","HTo"
"Jer 42:17","7","faces","H0853","HTo"
"Jer 44:2","9","all","H0853","HTo"
"Jer 44:11","21","all","H0853","HTo"
"Jer 44:17","4","everything","H0853","HTo"
"Jer 44:23","35","disaster","H0853","HTo"
"Jer 45:5","21","life","H0853","HTo"
