strong,language,pos,gloss,cluster_code,cluster_name,occurrences
G2513,Greek,adj,clean,M12,Righteousness & Integrity,27
G4145,Greek,adj,rich,M46,Wealth & Riches,27
G0227,Greek,adj,true,M13,Faith & Faithfulness,26
H0191,Hebrew,adj,fool[ish],M16,Wisdom & Folly,26
G4152,Greek,adj,spiritual,M47,Inner Seat,26
H5787,Hebrew,adj,blind,M73,Sickness & Weakness,26
H5794,Hebrew,adj,strong,M23,Strength & Courage,24
G0571,Greek,adj,unbelieving,M31,Faith,23
H6223,Hebrew,adj,rich,M46,Wealth & Riches,23
H5081H,Hebrew,adj,noble,M34,Patience & Perseverance,23
H6035,Hebrew,adj,poor,M09,Humility & Lowliness,22
H8056,Hebrew,adj,glad,M04,Joy & Gladness,21
G3501,Greek,adj,new,M45,Renewal & Transformation,21
G2908,Greek,adj,greater,M23,Strength & Courage,20
G4680,Greek,adj,wise,M16,Wisdom & Folly,20
H6184,Hebrew,adj,ruthless,M10,Violence & Cruelty,20
G0772G,Greek,adj,weak,M73,Sickness & Weakness,20
H5945A,Hebrew,adj,high,M08,Pride & Arrogance,19
H2400,Hebrew,adj,sinner,M56,Sin & Guilt,19
H5036,Hebrew,adj,foolish,M16,Wisdom & Folly,18
H2638,Hebrew,adj,lacking,M18,Desire & Longing,18
G2117,Greek,adv,Straight,M62,Truth & Sincerity,18
H8217,Hebrew,adj,low,M09,Humility & Lowliness,17
H5889,Hebrew,adj,faint,M24,Faintness & Despair,17
H8535,Hebrew,adj,complete,M34,Patience & Perseverance,16
H7390,Hebrew,adj,tender,M05,Kindness & Friendship,16
G5429,Greek,adj,thoughtful,M15,Knowing & Understanding,14
H6102,Hebrew,adj,sluggish,M24,Faintness & Despair,14
H0386,Hebrew,adj,strong,M23,Strength & Courage,13
H2086,Hebrew,adj,arrogant,M08,Pride & Arrogance,13
G3117,Greek,adv,long/distant,M18,Desire & Longing,13
G5093,Greek,adj,precious,M18,Desire & Longing,13
H7349,Hebrew,adj,compassionate,M50,Grace & Mercy,13
H2587,Hebrew,adj,gracious,M50,Grace & Mercy,13
H0972,Hebrew,adj,chosen,M64,Will & Resolve,13
G3474,Greek,adj,foolish,M16,Wisdom & Folly,12
H2655,Hebrew,adj,delighting,M18,Desire & Longing,12
G0094,Greek,adj,unjust,M12,Righteousness & Integrity,12
H6141,Hebrew,adj,twisted,M14,Deceit & Falsehood,11
G0878,Greek,adj,foolish,M16,Wisdom & Folly,11
G5308,Greek,adj,high,M08,Pride & Arrogance,11
H2134,Hebrew,adj,pure,M12,Righteousness & Integrity,11
H5273A,Hebrew,adj,pleasant,M18,Desire & Longing,11
H6175,Hebrew,adj,prudent,M16,Wisdom & Folly,11
H7600,Hebrew,adj,secure,M46,Wealth & Riches,10
G1494,Greek,adj,sacrificed to idols,M55,Destruction & Ruin,10
H8082,Hebrew,adj,rich,M46,Wealth & Riches,10
H3524,Hebrew,adj,mighty,M23,Strength & Courage,10
H5000,Hebrew,adj,lovely,M51,Love & Devotion,10
G2822,Greek,adj,called,M42,Prayer & Petition,10
G1777,Greek,adj,liable for,M55,Destruction & Ruin,10
H1343,Hebrew,adj,proud,M08,Pride & Arrogance,9
G4559,Greek,adj,fleshly,M28,Envy & Greed,9
G4416,Greek,adj,firstborn,M37,Firstborn & Foreknowledge,9
G0096,Greek,adj,failing,M24,Faintness & Despair,9
H0605,Hebrew,adj,be incurable,M73,Sickness & Weakness,9
G0053,Greek,adj,pure,M12,Righteousness & Integrity,8
G5011,Greek,adj,lowly,M09,Humility & Lowliness,8
H0057,Hebrew,adj,mourning,M03,Grief & Lament,8
H0529,Hebrew,adj,faithful,M13,Faith & Faithfulness,8
G0299,Greek,adj,blameless,M12,Righteousness & Integrity,8
G2128,Greek,adj,praiseworthy,M22,Praise & Song,8
H0394,Hebrew,adj,cruel,M10,Violence & Cruelty,8
G0949,Greek,adj,firm,M23,Strength & Courage,8
G3741,Greek,adj,sacred,M61,Purity & Holiness,8
H5530,Hebrew,adj,fool,M16,Wisdom & Folly,7
G5543,Greek,adj,good/kind,M05,Kindness & Friendship,7
H1249,Hebrew,adj,pure,M12,Righteousness & Integrity,7
G1384,Greek,adj,tested,M35,Being Tested,7
H0047I,Hebrew,adj,mighty: strong,M23,Strength & Courage,7
H5947,Hebrew,adj,jubilant,M04,Joy & Gladness,7
H6918H,Hebrew,adj,holy: saint,M13,Faith & Faithfulness,7
H3544,Hebrew,adj,faint,M24,Faintness & Despair,7
G0772H,Greek,adj,weak: ill,M73,Sickness & Weakness,7
G0862,Greek,adj,incorruptible,M61,Purity & Holiness,7
H0533,Hebrew,adj,strong,M23,Strength & Courage,6
H2730,Hebrew,adj,trembling,M01,Fear & Awe,6
G5591,Greek,adj,natural,M15,Knowing & Understanding,6
G0453,Greek,adj,foolish,M16,Wisdom & Folly,6
G0505,Greek,adj,genuine,M61,Purity & Holiness,6
H8549I,Hebrew,adj,unblemished: complete,M61,Purity & Holiness,6
H0483,Hebrew,adj,mute,M53,Dishonor & Disgrace,6
H1198,Hebrew,adj,stupid,M16,Wisdom & Folly,5
G0159,Greek,adj,causer,M26,Judgment & Condemnation,5
G1719,Greek,adj,afraid,M01,Fear & Awe,5
G1933,Greek,adj,gentle,M05,Kindness & Friendship,5
G4036,Greek,adj,sorrowful,M03,Grief & Lament,5
G5244,Greek,adj,arrogant,M08,Pride & Arrogance,5
G5337,Greek,adj,evil,M58,Wickedness,5
G0273,Greek,adj,blameless,M12,Righteousness & Integrity,5
G0804,Greek,adj,secure,M19,Trust & Refuge,5
G4108,Greek,adj,deceiving,M14,Deceit & Falsehood,5
G4119,Greek,adj,greater,M23,Strength & Courage,5
G4642,Greek,adj,hard,M23,Strength & Courage,5
H7067H,Hebrew,adj,jealous,M18,Desire & Longing,5
G0801,Greek,adj,senseless,M16,Wisdom & Folly,5
G2556H,Greek,adj,evil/harm: harm,M58,Wickedness,5
G0937,Greek,adj,royal,M72,Authority & Dominion,5
H1739,Hebrew,adj,sick,M73,Sickness & Weakness,5
G0545,Greek,adj,disobedient,M75,Disobedience & Lawlessness,5
H1432,Hebrew,adj,growing,M23,Strength & Courage,4
G0150,Greek,adj,shameful,M07,Shame & Confusion,4
G0824,Greek,adj,wrong,M58,Wickedness,4
G0989,Greek,adj,blasphemous,M58,Wickedness,4
G4586,Greek,adj,noble,M34,Patience & Perseverance,4
G4731,Greek,adj,strong,M23,Strength & Courage,4
H6001A,Hebrew,adj,labour[er],M24,Faintness & Despair,4
H6277,Hebrew,adj,arrogant,M08,Pride & Arrogance,4
G4146,Greek,adv,richly,M46,Wealth & Riches,4
G0283,Greek,adj,pure,M12,Righteousness & Integrity,4
G1228H,Greek,adj,slanderous,M14,Deceit & Falsehood,4
G4646,Greek,adj,crooked,M14,Deceit & Falsehood,4
H3287,Hebrew,adj,weary,M24,Faintness & Despair,4
G2152,Greek,adj,pious,M05,Kindness & Friendship,4
G3640,Greek,adj,of little faith,M13,Faith & Faithfulness,4
G0701,Greek,adj,pleasing,M18,Desire & Longing,4
H3477I,Hebrew,adj,upright:straight,M12,Righteousness & Integrity,4
H5229,Hebrew,adj,upright,M12,Righteousness & Integrity,4
H0393,Hebrew,adj,cruel,M10,Violence & Cruelty,4
H4542,Hebrew,adj,poor,M09,Humility & Lowliness,4
H7989,Hebrew,adj,domineering,M72,Authority & Dominion,4
G2948,Greek,adj,crippled,M73,Sickness & Weakness,4
H7504,Hebrew,adj,weak,M73,Sickness & Weakness,4
G4908,Greek,adj,intelligent,M63,Reasoning & Interpretation,4
G1103,Greek,adj,genuine,M61,Purity & Holiness,4
G0880,Greek,adj,mute,M53,Dishonor & Disgrace,4
G0506,Greek,adj,insubordinate,M75,Disobedience & Lawlessness,4
G4998,Greek,adj,self-controlled,M69,Self-Control & Zeal,4
H5228,Hebrew,adj,straightforward,M62,Truth & Sincerity,4
H4844,Hebrew,adj,bitterness,M03,Grief & Lament,3
H0366,Hebrew,adj,terrible,M01,Fear & Awe,3
G1790,Greek,adj,trembling,M01,Fear & Awe,3
G1756,Greek,adj,effective,M23,Strength & Courage,3
G1169,Greek,adj,timid,M01,Fear & Awe,3
G2234,Greek,adv,gladly,M04,Joy & Gladness,3
G5398,Greek,adj,fearful,M01,Fear & Awe,3
G2200,Greek,adj,hot,M02,Anger & Wrath,3
H6028,Hebrew,adj,dainty,M04,Joy & Gladness,3
H7183B,Hebrew,adj,attentive,M41,Being Heard,3
G0185,Greek,adj,innocent,M12,Righteousness & Integrity,3
G1476,Greek,adj,steadfast,M34,Patience & Perseverance,3
G2104,Greek,adj,of noble birth,M34,Patience & Perseverance,3
H3023,Hebrew,adj,weary,M24,Faintness & Despair,3
H5620,Hebrew,adj,stubborn,M30,Rebellion & Stubbornness,3
G2126,Greek,adj,devout,M13,Faith & Faithfulness,3
G3629,Greek,adj,compassionate,M50,Grace & Mercy,3
G3636,Greek,adj,lazy,M67,Sloth & Diligence,3
G5255,Greek,adj,obedient,M54,Torah & Obedience,3
H0818,Hebrew,adj,guilty,M56,Sin & Guilt,3
H1742,Hebrew,adj,faint,M24,Faintness & Despair,3
H5223,Hebrew,adj,crippled,M73,Sickness & Weakness,3
G0216,Greek,adj,mute,M53,Dishonor & Disgrace,3
G0677,Greek,adj,not stumbling,M77,Stumbling & Trial,3
G3524,Greek,adj,sober,M69,Self-Control & Zeal,3
G4289,Greek,adj,eager,M69,Self-Control & Zeal,3
G4705,Greek,adj,eager,M69,Self-Control & Zeal,3
H3016,Hebrew,adj,fearing,M01,Fear & Awe,2
H5808,Hebrew,adj,mighty,M23,Strength & Courage,2
H2198,Hebrew,adj,vexed,M02,Anger & Wrath,2
H2634,Hebrew,adj,strong,M23,Strength & Courage,2
H0901,Hebrew,adj,treacherous,M14,Deceit & Falsehood,2
G0172,Greek,adj,innocent,M12,Righteousness & Integrity,2
G0275,Greek,adj,untroubled,M18,Desire & Longing,2
G0338,Greek,adj,innocent,M12,Righteousness & Integrity,2
G0829,Greek,adj,self-willed,M08,Pride & Arrogance,2
G1374,Greek,adj,double-minded,M20,Doubt & Discouragement,2
G1506,Greek,adj,pure,M12,Righteousness & Integrity,2
G1516,Greek,adj,peaceful,M33,Rest & Peace,2
G1630,Greek,adj,terrified,M01,Fear & Awe,2
H0554,Hebrew,adj,strong,M23,Strength & Courage,2
H1793A,Hebrew,adj,contrite,M11,Turning & Repentance,2
H5355B,Hebrew,adj,innocent,M12,Righteousness & Integrity,2
G4090,Greek,adv,bitterly,M03,Grief & Lament,2
G1558,Greek,adj,avenging,M26,Judgment & Condemnation,2
G4832,Greek,adj,conformed,M45,Renewal & Transformation,2
G1652,Greek,adj,pitiful,M05,Kindness & Friendship,2
G2236,Greek,adj,most gladly,M04,Joy & Gladness,2
G4560,Greek,adj,fleshly,M28,Envy & Greed,2
G2272,Greek,adj,quiet,M33,Rest & Peace,2
G5382,Greek,adj,hospitable,M05,Kindness & Friendship,2
H2390,Hebrew,adj,stronger,M23,Strength & Courage,2
H7183A,Hebrew,adj,attentive,M41,Being Heard,2
G0121,Greek,adj,innocent,M12,Righteousness & Integrity,2
G0146,Greek,adj,greedy,M28,Envy & Greed,2
G0587,Greek,adj,pleasing,M04,Joy & Gladness,2
G2261,Greek,adj,gentle,M05,Kindness & Friendship,2
G2960,Greek,adj,the Lord’s,M23,Strength & Courage,2
G3737,Greek,adj,orphan,M24,Faintness & Despair,2
G4101,Greek,adj,pure,M12,Righteousness & Integrity,2
G5246,Greek,adj,boastful,M08,Pride & Arrogance,2
H0391,Hebrew,adj,deceptive,M14,Deceit & Falsehood,2
H3093,Hebrew,adj,proud,M08,Pride & Arrogance,2
H3477H,Hebrew,adj,Jashar,M13,Faith & Faithfulness,2
G0527,Greek,adj,tender,M05,Kindness & Friendship,2
G0840,Greek,adj,severe,M24,Faintness & Despair,2
G3523,Greek,adj,fasting,M21,Fasting & Piety,2
H2525,Hebrew,adj,hot,M02,Anger & Wrath,2
H6128,Hebrew,adj,crooked,M14,Deceit & Falsehood,2
H8186A,Hebrew,adj,horror,M01,Fear & Awe,2
H8186B,Hebrew,adj,horror,M01,Fear & Awe,2
G3050,Greek,adj,spiritual,M47,Inner Seat,2
G1655,Greek,adj,merciful,M50,Grace & Mercy,2
G2155,Greek,adj,compassionate,M50,Grace & Mercy,2
G2436,Greek,adj,propitious/gracious,M50,Grace & Mercy,2
H7072,Hebrew,adj,jealous,M18,Desire & Longing,2
G5366,Greek,adj,money-loving,M46,Wealth & Riches,2
G1738,Greek,adj,just,M12,Righteousness & Integrity,2
G3717,Greek,adj,upright,M12,Righteousness & Integrity,2
G4089,Greek,adj,bitter,M03,Grief & Lament,2
G0830,Greek,adj,self-chosen,M64,Will & Resolve,2
H7148,Hebrew,adj,chosen,M64,Will & Resolve,2
G0376,Greek,adj,crippled,M73,Sickness & Weakness,2
H5494,Hebrew,adj,degenerate,M57,Corruption & Perversion,2
G0178,Greek,adj,uncondemned,M61,Purity & Holiness,2
G0462,Greek,adj,unholy,M61,Purity & Holiness,2
G2413,Greek,adj,sacred,M61,Purity & Holiness,2
G0866,Greek,adj,not greedy,M28,Envy & Greed,2
G1618,Greek,adv,fervent,M69,Self-Control & Zeal,2
G0278,Greek,adj,irrevocable,M62,Truth & Sincerity,2
G0573,Greek,adj,sound,M62,Truth & Sincerity,2
G4191,Greek,adj,more evil,M58,Wickedness,1
H0196,Hebrew,adj,foolish,M16,Wisdom & Folly,1
H3616,Hebrew,adj,longing,M18,Desire & Longing,1
H6941,Hebrew,adj,mournfully,M03,Grief & Lament,1
G2263,Greek,adj,quiet,M33,Rest & Peace,1
H1341,Hebrew,adj,proud,M08,Pride & Arrogance,1
H7282,Hebrew,adj,restful,M33,Rest & Peace,1
G0097,Greek,adj,pure,M12,Righteousness & Integrity,1
G0193,Greek,adj,intemperate,M08,Pride & Arrogance,1
G0420,Greek,adj,not resentful,M05,Kindness & Friendship,1
G0842,Greek,adj,self-sufficient,M46,Wealth & Riches,1
G0843,Greek,adj,self-condemned,M26,Judgment & Condemnation,1
G0947,Greek,adj,abominable,M58,Wickedness,1
G1386,Greek,adj,deceitful,M14,Deceit & Falsehood,1
G1973,Greek,adj,longed for,M18,Desire & Longing,1
G1990,Greek,adj,knowing,M15,Knowing & Understanding,1
G2473,Greek,adj,like-minded,M05,Kindness & Friendship,1
G2637,Greek,adj,slanderous,M14,Deceit & Falsehood,1
G2712,Greek,adj,idolatrous,M55,Destruction & Ruin,1
G3675,Greek,adj,like-minded,M05,Kindness & Friendship,1
G3805,Greek,adj,suffering,M24,Faintness & Despair,1
G4835,Greek,adj,sympathetic,M05,Kindness & Friendship,1
G4861,Greek,adj,harmonious,M33,Rest & Peace,1
G5361,Greek,adj,loving the brothers,M05,Kindness & Friendship,1
G5362,Greek,adj,husband-loving,M05,Kindness & Friendship,1
G5377,Greek,adj,God-loving,M21,Fasting & Piety,1
G5388,Greek,adj,child loving,M05,Kindness & Friendship,1
H2890,Hebrew,adj,pureness,M12,Righteousness & Integrity,1
H6800B,Hebrew,adj,humble,M09,Humility & Lowliness,1
G1518,Greek,adj,peacemaker,M33,Rest & Peace,1
G3116,Greek,adv,patiently,M34,Patience & Perseverance,1
G0802,Greek,adj,untrustworthy,M14,Deceit & Falsehood,1
G5267,Greek,adj,accountable,M26,Judgment & Condemnation,1
G5367,Greek,adj,selfish,M08,Pride & Arrogance,1
G3711,Greek,adj,quick-tempered,M02,Anger & Wrath,1
G0087,Greek,adj,impartial,M26,Judgment & Condemnation,1
G2900,Greek,adj,mighty,M23,Strength & Courage,1
G5391,Greek,adj,friendly,M05,Kindness & Friendship,1
G0679,Greek,adj,without falling,M34,Patience & Perseverance,1
G3045,Greek,adj,rich,M46,Wealth & Riches,1
H2422,Hebrew,adj,vigorous,M25,Life & Death,1
H7268,Hebrew,adj,quivering,M01,Fear & Awe,1
H8146,Hebrew,adj,hated,M06,Malice & Enmity,1
H5273B,Hebrew,adj,musical,M22,Praise & Song,1
H2019,Hebrew,adj,crooked,M14,Deceit & Falsehood,1
H8623,Hebrew,adj,mighty,M23,Strength & Courage,1
H5719,Hebrew,adj,voluptuous,M08,Pride & Arrogance,1
H7986,Hebrew,adj,imperious,M08,Pride & Arrogance,1
G0036,Greek,adj,lowly,M09,Humility & Lowliness,1
G0147,Greek,adv,greedily,M28,Envy & Greed,1
G0298,Greek,adj,blameless,M12,Righteousness & Integrity,1
G0540,Greek,adj,fatherless,M24,Faintness & Despair,1
G0786,Greek,adj,irreconcilable,M06,Malice & Enmity,1
G0972,Greek,adj,strong,M23,Strength & Courage,1
G0983,Greek,adj,harmful,M55,Destruction & Ruin,1
G0992,Greek,adj,must be put,M24,Faintness & Despair,1
G1425,Greek,adj,hard to understand,M15,Knowing & Understanding,1
G1888,Greek,adj,in the very act,M26,Judgment & Condemnation,1
G2138,Greek,adj,compliant,M30,Rebellion & Stubbornness,1
G2412,Greek,adj,reverent,M01,Fear & Awe,1
G2431,Greek,adj,cheerful,M04,Joy & Gladness,1
G2755,Greek,adj,conceited,M08,Pride & Arrogance,1
G2924,Greek,adj,discerning,M15,Knowing & Understanding,1
G3118,Greek,adj,long-lived,M18,Desire & Longing,1
G3835,Greek,adj,crafty,M14,Deceit & Falsehood,1
G4235,Greek,adj,gentle,M05,Kindness & Friendship,1
G4510,Greek,adj,to defile,M10c,Defilement,1
G5573,Greek,adj,lying,M14,Deceit & Falsehood,1
H0099,Hebrew,adj,grieved,M03,Grief & Lament,1
H2121,Hebrew,adj,raging,M02,Anger & Wrath,1
H2514,Hebrew,adj,flattery,M14,Deceit & Falsehood,1
H2643,Hebrew,adj,clean,M12,Righteousness & Integrity,1
H3019,Hebrew,adj,weary,M24,Faintness & Despair,1
H3586,Hebrew,adj,deceptive,M14,Deceit & Falsehood,1
H4815,Hebrew,adj,bitter,M03,Grief & Lament,1
H5938,Hebrew,adj,exultant,M04,Joy & Gladness,1
H7807,Hebrew,adj,lowly,M09,Humility & Lowliness,1
G0777,Greek,adj,fasting,M21,Fasting & Piety,1
G0780,Greek,adv,gladly,M04,Joy & Gladness,1
G4372,Greek,adj,new,M45,Renewal & Transformation,1
G4767,Greek,adj,hated,M06,Malice & Enmity,1
H2908,Hebrew,adv,fasting,M21,Fasting & Piety,1
H3357,Hebrew,adj,precious,M18,Desire & Longing,1
H6129,Hebrew,adj,crooked,M14,Deceit & Falsehood,1
H6618,Hebrew,adj,twisted,M14,Deceit & Falsehood,1
G0564,Greek,adj,uncircumcised,M32,Covenant,1
G2170,Greek,adj,thankful,M49,Thanksgiving,1
G2318,Greek,adj,godly,M13,Faith & Faithfulness,1
G4375,Greek,adj,lovely,M51,Love & Devotion,1
G5358,Greek,adj,lover of good,M51,Love & Devotion,1
G5387,Greek,adj,affectionate,M51,Love & Devotion,1
G0415,Greek,adj,merciless,M50,Grace & Mercy,1
G0448,Greek,adj,merciless,M50,Grace & Mercy,1
G4184,Greek,adj,very compassionate,M50,Grace & Mercy,1
H7362,Hebrew,adj,compassionate,M50,Grace & Mercy,1
G5369,Greek,adj,pleasure-loving,M18,Desire & Longing,1
H7067G,Hebrew,adj,Jealous [God],M18,Desire & Longing,1
G5581,Greek,adj,falsely called,M42,Prayer & Petition,1
G2567,Greek,adj,teaching good,M16,Wisdom & Folly,1
H2054,Hebrew,adj,guilty,M56,Sin & Guilt,1
G0176,Greek,adj,beyond reproach,M07,Shame & Confusion,1
H5546,Hebrew,adj,forgiving,M60,Confession & Forgiveness,1
G3642,Greek,adj,fainthearted,M24,Faintness & Despair,1
G2253,Greek,adj,half-dead,M25,Life & Death,1
G0933,Greek,adj,palace,M72,Authority & Dominion,1
G0934,Greek,adj,kingly,M72,Authority & Dominion,1
G0865,Greek,adj,hating good,M05,Kindness & Friendship,1
H0536,Hebrew,adj,weak,M73,Sickness & Weakness,1
H0537,Hebrew,adj,weak,M73,Sickness & Weakness,1
G5380,Greek,adj,dispute-loving,M63,Reasoning & Interpretation,1
G0781,Greek,adj,unwise,M63,Reasoning & Interpretation,1
G0361,Greek,adj,sinless,M61,Purity & Holiness,1
H2892B,Hebrew,adj,clearness,M61,Purity & Holiness,1
H8549J,Hebrew,adj,unblemished: Thummim,M61,Purity & Holiness,1
G1569,Greek,adj,astonished,M48,Astonishment & Wonder,1
G1468,Greek,adj,self-controlled,M69,Self-Control & Zeal,1
G0253,Greek,adj,without anxiety,M20,Doubt & Discouragement,1
G2016,Greek,adj,glorious,M71,Glory & Splendor,1
H3520A,Hebrew,adj,glorious,M71,Glory & Splendor,1
