obs_id,question_code,section,source_word,source_registry_no,question_text,pattern_type,scope,status,deleted,date_added,catalogue_version,review_note,tier,component_code,component_title,prompt_seq,source,last_modified
238,T1.1.3,T1 — Definition,Programme,,"What directional, relational, or constitutional implication does the name carry?",,Word/term (lexical),active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T1,T1.1,Name and Naming,3,,2026-08-31T17:56:11Z
239,T1.2.1,T1 — Definition,Programme,,"What kind of inner-being phenomenon is the characteristic — an act, a disposition, a condition/status, a quality, or something else?",,Characteristic (HIB behaviour),active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T1,T1.2,Kind,1,,2026-08-31T17:56:11Z
240,T1.2.2,T1 — Definition,Programme,,"Is the characteristic simple in structure, or does it combine constituent elements; if compound, which?",,Characteristic (HIB behaviour),active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T1,T1.2,Kind,2,,2026-08-31T17:56:11Z
242,T1.3.1,T1 — Definition,Programme,,What stands against the characteristic as its structural opposite — the inner-being reality that excludes it?,,Characteristic (HIB behaviour),active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T1,T1.3,Boundary,1,,2026-08-31T17:56:11Z
243,T1.3.2,T1 — Definition,Programme,,What does the characteristic exclude or resist at its edge?,,Characteristic (HIB behaviour),active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T1,T1.3,Boundary,2,,2026-08-31T17:56:11Z
244,T1.3.3,T1 — Definition,Programme,,Where does the characteristic end and another thing begin — what is it not?,,Characteristic (HIB behaviour),active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T1,T1.3,Boundary,3,,2026-08-31T17:56:11Z
246,T1.4.2,T1 — Definition,Programme,,"Does the mode of operation vary by context, direction, or constitutional level; if so, how?",,Characteristic (HIB behaviour),active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T1,T1.4,Modes of Operation,3,,2026-09-04T16:02:58Z
247,T1.4.3,T1 — Definition,Programme,,"Does the characteristic operate through a communicative or speech-based mode (commanded, addressed, spoken); if so, how? Record it, or record none.",,Characteristic (HIB behaviour),active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T1,T1.4,Modes of Operation,4,,2026-09-04T16:02:58Z
248,T1.5.1,T1 — Definition,Programme,,"What first or most immediate inner-being response does this verse show following the characteristic? Record it, or record none.",,Verse-context,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T1,T1.5,Immediate Response,1,,2026-08-31T17:56:11Z
249,T1.5.2,T1 — Definition,Programme,,"Across the verses, is that immediate response consistent or varied?",,Characteristic (HIB behaviour),active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T1,T1.5,Immediate Response,2,,2026-08-31T17:56:11Z
251,T1.6.1,T1 — Definition,Programme,,"What does the characteristic produce in the inner being over time in this verse — what states, qualities, capacities, or orientations does it establish? Record it, or record none.",,Verse-context,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T1,T1.6,Sustained Effect,1,,2026-08-31T17:56:11Z
253,T1.6.3,T1 — Definition,Programme,,How does the sustained effect differ from the immediate response (T1.5)?,,Characteristic (HIB behaviour),active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T1,T1.6,Sustained Effect,3,,2026-08-31T17:56:11Z
254,T1.7.1,T1 — Definition,Programme,,Under what inner conditions does the characteristic take hold or operate rightly?,,Characteristic (HIB behaviour),active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T1,T1.7,Conditions of Reception,1,,2026-08-31T17:56:11Z
255,T1.7.2,T1 — Definition,Programme,,"Under what inner conditions is the characteristic blocked, distorted, resisted, or not taken up — including, where the evidence shows it, distortion or interference by another spirit (adversarial or angelic)?",,Characteristic (HIB behaviour),active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T1,T1.7,Conditions of Reception,2,,2026-08-31T17:56:11Z
256,T1.7.3,T1 — Definition,Programme,,What is the inner-being state of the person in whom the characteristic is present but does not take hold?,,The HIB,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T1,T1.7,Conditions of Reception,3,,2026-08-31T17:56:11Z
260,T2.1.1,T2 — Constitutional Location and Boundaries,Programme,,"At which constitutional level(s) does this verse locate the characteristic — from {spirit, soul, heart, mind, other soul-subset, a named body part} — and how is each engaged? Record every level evidenced, or none.",,Verse-context,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T2,T2.1,Spirit-Level Location,1,,2026-08-31T17:56:11Z
261,T2.1.2,T2 — Constitutional Location and Boundaries,Programme,,"Across the verses, what does the pattern of engaged and absent levels indicate — the characteristic's depth and seat, the levels it never engages, and (for any body link) whether the link is emphatic, functional, expressive, indicative, or mediating?",,The HIB,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T2,T2.1,Spirit-Level Location,2,,2026-08-31T17:56:11Z
279,T2.7.1,T2 — Constitutional Location and Boundaries,Programme,,"Where a body link exists (from the T2.1.1 audit), in which direction does it run — soul/spirit expressing through the body, the body feeding back to the soul, or both — and what follows from that direction? If no body link, record none.",,The HIB,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T2,T2.7,Body — Direction,1,,2026-08-31T17:56:11Z
285,T2.9.1,T2 — Constitutional Location and Boundaries,Programme,,"Where does this verse say the characteristic originates — generated within the person, received from another person, bestowed by God, carried generationally, introduced by another spirit (angelic or adversarial), or not stated?",,Verse-context,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T2,T2.9,Origin and Source,1,,2026-08-31T17:56:12Z
286,T2.9.2,T2 — Constitutional Location and Boundaries,Programme,,"Across the verses, is the origin single or multiple, and does it change with context?",,Characteristic (HIB behaviour),active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T2,T2.9,Origin and Source,2,,2026-08-31T17:56:12Z
288,T2.10.1,T2 — Constitutional Location and Boundaries,Programme,,"Does the characteristic move across constitutional levels (spirit→soul→body), or onto the person from an external source — including another spirit (angelic or adversarial) — or in another direction; and if so in what sequence or pattern? If no movement, record none.",,The HIB,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T2,T2.10,Constitutional Movement,1,,2026-08-31T17:56:11Z
324,T4.1.1,T4 — Relational Interfaces,Programme,,"In this verse, does the characteristic operate from God toward the human person, and if so how? Record none if it does not.",,Word/term (lexical),active,0,2026-04-30T06:26:11Z,v2-2026-09-04,"Stage 1 — derived: same party_kind join as T0.1.1, both directions -- subject party_kind='divine' AND object party_kind='human'.",T4,T4.1,Divine Interface — God to Human,1,,2026-09-04T16:30:06Z
325,T4.1.2,T4 — Relational Interfaces,Programme,,"On what basis does God extend the characteristic — conditional, unconditional, covenantal, or responsive — as the evidence shows?",,Other non-human beings,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T4,T4.1,Divine Interface — God to Human,2,,2026-08-31T17:55:47Z
326,T4.1.3,T4 — Relational Interfaces,Programme,,What does God's extension of the characteristic show about his disposition toward the human person?,,Other non-human beings,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T4,T4.1,Divine Interface — God to Human,3,,2026-08-31T17:55:47Z
328,T4.2.1,T4 — Relational Interfaces,Programme,,"In this verse, does the characteristic operate in the person's movement toward God — seeking, supplication, worship, covenant — and if so how? Record none if it does not.",,Word/term (lexical),active,0,2026-04-30T06:26:11Z,v2-2026-09-04,"Stage 1 — derived: same mechanism as T4.1.1, reversed direction.",T4,T4.2,Divine Interface — Human to God,1,,2026-09-04T16:30:07Z
329,T4.2.2,T4 — Relational Interfaces,Programme,,"What inner posture does this movement require, as the evidence shows?",,Other non-human beings,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T4,T4.2,Divine Interface — Human to God,2,,2026-08-31T17:55:47Z
330,T4.2.3,T4 — Relational Interfaces,Programme,,What does the human-to-God direction of the characteristic show about the person's relationship with God?,,Other non-human beings,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T4,T4.2,Divine Interface — Human to God,3,,2026-08-31T17:55:47Z
332,T4.3.1,T4 — Relational Interfaces,Programme,,"In this verse, is the characteristic extended by one person toward another, and if so how does it operate in that extension? Record none if it is not.",,Word/term (lexical),active,0,2026-04-30T06:26:11Z,v2-2026-09-04,"Stage 1 — same mechanism as T4.1.1/T4.2.1, needs the human-name lexicon (cfg_lexical_code_class, class party_human) — NOT YET BUILT (escalation #1383 build spec open item 7), not answerable in practice yet.",T4,T4.3,Human Interface — Giving,1,,2026-09-04T16:30:07Z
333,T4.3.2,T4 — Relational Interfaces,Programme,,What inner conditions or orientations in the giver accompany genuine extension of the characteristic?,,Characteristic relational,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T4,T4.3,Human Interface — Giving,2,,2026-08-31T17:56:35Z
334,T4.3.3,T4 — Relational Interfaces,Programme,,What does the evidence show a person must have received or become before they extend the characteristic?,,Characteristic relational,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T4,T4.3,Human Interface — Giving,3,,2026-08-31T17:56:35Z
336,T4.4.1,T4 — Relational Interfaces,Programme,,"In this verse, is the characteristic taken up by a person from another, and if so how does it operate in that uptake? Record none if it is not.",,Word/term (lexical),active,0,2026-04-30T06:26:11Z,v2-2026-09-04,"Same status as T4.3.1 — mechanism designed, human-name lexicon not yet built.",T4,T4.4,Human Interface — Receiving,1,,2026-09-04T16:30:07Z
337,T4.4.2,T4 — Relational Interfaces,Programme,,What inner conditions accompany or block uptake of the characteristic from another person?,,Characteristic relational,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T4,T4.4,Human Interface — Receiving,2,,2026-08-31T17:56:35Z
338,T4.4.3,T4 — Relational Interfaces,Programme,,What is the inner-being state of the person who meets the characteristic from another but does not take it up?,,Characteristic relational,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T4,T4.4,Human Interface — Receiving,3,,2026-08-31T17:56:35Z
340,T4.5.1,T4 — Relational Interfaces,Programme,,"Does the evidence show the characteristic operating differently within existing relational bonds versus across relational distance or difference; if so, how?",,Characteristic relational,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T4,T4.5,Human Interface — Boundaries,1,,2026-08-31T17:56:35Z
341,T4.5.2,T4 — Relational Interfaces,Programme,,"Does the characteristic operate within covenantal contexts only, or does it cross covenantal boundaries, as the evidence shows?",,Characteristic relational,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T4,T4.5,Human Interface — Boundaries,2,,2026-08-31T17:56:35Z
342,T4.5.3,T4 — Relational Interfaces,Programme,,What does the evidence show about the relational scope of the characteristic — who is included and who is not?,,Characteristic relational,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T4,T4.5,Human Interface — Boundaries,3,,2026-08-31T17:56:35Z
344,T4.6.1,T4 — Relational Interfaces,Programme,,"In this verse, does the characteristic operate in relation to other spiritual beings — angelic or adversarial — and if so how? Record none if it does not.",,Word/term (lexical),active,0,2026-04-30T06:26:11Z,v2-2026-09-04,"Same mechanism, needs the angelic/adversarial-name lexicon (party_angelic) — NOT YET BUILT (escalation #1383 build spec open item 7), not answerable in practice yet.",T4,T4.6,Spiritual Beings Interface,1,,2026-09-04T16:30:07Z
348,T5.1.1,T5 — Formative and Developmental Dimension,Programme,,"In this verse, does the characteristic produce transformation in the person, and if so does it change the person's condition, their orientation to their condition, or both? Record none if no transformation is shown.",,Verse-context,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T5,T5.1,Nature of Transformation,1,,2026-08-31T17:56:12Z
349,T5.1.2,T5 — Formative and Developmental Dimension,Programme,,Is the transformation reversible or irreversible in the evidence?,,Characteristic (HIB behaviour),active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T5,T5.1,Nature of Transformation,2,,2026-08-31T17:56:14Z
351,T5.2.1,T5 — Formative and Developmental Dimension,Programme,,"Does this verse describe a sequence of inner states the characteristic moves the person through — a before, during, and after — and what are those states? Record none if no sequence is shown.",,Verse-context,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T5,T5.2,Sequence of Inner States,1,,2026-08-31T17:57:25Z
354,T5.3.1,T5 — Formative and Developmental Dimension,Programme,,"In this verse, by what mechanism does the characteristic produce change — discipline, encounter, gradual formation, sudden transformation, or other? Record none if no mechanism is shown.",,Verse-context,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T5,T5.3,Mechanism of Change,1,,2026-08-31T17:57:00Z
355,T5.3.2,T5 — Formative and Developmental Dimension,Programme,,"Does the mechanism differ across contexts in the evidence; if so, how?",,Characteristic (HIB behaviour),active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T5,T5.3,Mechanism of Change,2,,2026-08-31T17:56:24Z
357,T5.4.1,T5 — Formative and Developmental Dimension,Programme,,"In this verse, does the characteristic operate in relation to suffering or affliction — as a response to it, a product of it, or a context for it? Record none if no such relation is shown.",,Verse-context,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T5,T5.4,Suffering and Affliction,1,,2026-08-31T17:56:25Z
358,T5.4.2,T5 — Formative and Developmental Dimension,Programme,,What does the evidence show suffering doing to the characteristic in the person — and record no such effect if none is shown.,,Characteristic (HIB behaviour),active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T5,T5.4,Suffering and Affliction,2,,2026-08-31T17:56:25Z
360,T5.5.1,T5 — Formative and Developmental Dimension,Programme,,"In this verse, does the characteristic participate in the longer arc of character formation and sanctification — shaping the person over time — and what does the evidence show of its role in that arc? Record none if no such participation is shown.",,Verse-context,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T5,T5.5,Formation and Sanctification,1,,2026-08-31T17:57:00Z
363,T5.6.1,T5 — Formative and Developmental Dimension,Programme,,"In this verse, is the characteristic oriented toward an eschatological fullness — a future state toward which its present operation points — and what does its present experience anticipate of that fullness? Record none if no such orientation is shown.",,Verse-context,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T5,T5.6,Eschatological Trajectory,1,,2026-08-31T17:56:30Z
369,T6.1.1,T6 — Structural Relationships with Other Characteristics,Programme,,"Which adjacent characteristics appear alongside this one in the verse evidence, and how frequently? Record none if no significant co-occurrence appears.",,Characteristic relational,active,0,2026-04-30T06:26:11Z,v2-2026-09-04,"Stage 1 supplies the raw strong_related pull (mechanical); NOT paired with T6.1.2 — each is its own question, corrected from an earlier mis-pairing this session.",T6,T6.1,Co-occurrence,1,,2026-09-04T16:30:07Z
370,T6.1.2,T6 — Structural Relationships with Other Characteristics,Programme,,What does the co-occurrence pattern show about this characteristic's place in the inner-being landscape?,,Characteristic relational,active,0,2026-04-30T06:26:11Z,v2-2026-09-04,"Genuinely Stage 2, T0.2.1-class — 'what the co-occurrence pattern shows' is behaviour-synthesis, not a Stage-1 field.",T6,T6.1,Co-occurrence,2,,2026-09-04T16:30:07Z
372,T6.2.1,T6 — Structural Relationships with Other Characteristics,Programme,,"Does the evidence show this characteristic consistently preceding, following, or accompanying another in a sequence; if so, which and how? Record none if no sequence appears.",,Characteristic relational,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T6,T6.2,Sequential Relationships,1,,2026-08-31T17:56:35Z
373,T6.2.2,T6 — Structural Relationships with Other Characteristics,Programme,,"What does the sequence show — is the relationship causal, developmental, or correlational?",,Characteristic relational,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T6,T6.2,Sequential Relationships,2,,2026-08-31T17:56:35Z
375,T6.3.1,T6 — Structural Relationships with Other Characteristics,Programme,,"Does this characteristic produce another in the evidence, and if so which, and by what mechanism? Record none if none is shown.",,Characteristic relational,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T6,T6.3,Causal and Constitutive Relationships,1,,2026-08-31T17:56:35Z
376,T6.3.2,T6 — Structural Relationships with Other Characteristics,Programme,,"Is this characteristic produced by another, and if so which?",,Characteristic relational,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T6,T6.3,Causal and Constitutive Relationships,2,,2026-08-31T17:56:35Z
377,T6.3.3,T6 — Structural Relationships with Other Characteristics,Programme,,"Is this characteristic a constituent element of another, or another a constituent of this one?",,Characteristic relational,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T6,T6.3,Causal and Constitutive Relationships,3,,2026-08-31T17:56:36Z
379,T6.4.1,T6 — Structural Relationships with Other Characteristics,Programme,,"Which vocabulary terms, if any, does this characteristic share with other characteristics in the programme? Record none if none is shown.",,Word/term (lexical),active,0,2026-04-30T06:26:11Z,v2-2026-09-04,"Stage 1 supplies the raw strong_related pull; cross-referencing which characteristic each related code belongs to needs Stage 2's own input-assembly linkage — a genuine two-stage dependency, not purely Stage 1.",T6,T6.4,Vocabulary and Root Sharing,1,,2026-09-04T16:30:07Z
380,T6.4.2,T6 — Structural Relationships with Other Characteristics,Programme,,Does the sharing extend to root-level architecture — a shared root generating terms across two or more characteristics?,,Word/term (lexical),active,0,2026-04-30T06:26:11Z,v2-2026-09-04,"Same two-stage dependency as T6.4.1, plus a lemma/root match across two characteristic-candidates' term families.",T6,T6.4,Vocabulary and Root Sharing,2,,2026-09-04T16:30:07Z
381,T6.4.3,T6 — Structural Relationships with Other Characteristics,Programme,,What does the vocabulary sharing show about the conceptual relationship between the characteristics?,,Word/term (lexical),active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T6,T6.4,Vocabulary and Root Sharing,3,,2026-08-31T17:56:11Z
383,T6.5.1,T6 — Structural Relationships with Other Characteristics,Programme,,"Which adjacent characteristic most closely resembles this one, and what precisely distinguishes them?",,Characteristic relational,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T6,T6.5,Distinctions,1,,2026-08-31T17:56:36Z
384,T6.5.2,T6 — Structural Relationships with Other Characteristics,Programme,,"Where the evidence shows apparent overlap, what is the precise boundary?",,Characteristic relational,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T6,T6.5,Distinctions,2,,2026-08-31T17:56:36Z
385,T6.5.3,T6 — Structural Relationships with Other Characteristics,Programme,,"Is the distinction from the nearest neighbour one of degree, kind, direction, or constitutional level?",,Characteristic relational,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T6,T6.5,Distinctions,3,,2026-08-31T17:56:36Z
393,T7.1.1,T7 — Evidential and Methodological Foundation,Programme,,"What are the primary Hebrew and Greek terms for this characteristic, and what do their root meanings show?",,Word/term (lexical),active,0,2026-04-30T06:26:11Z,v2-2026-09-04,"Stage 1 rollup — every distinct resolved_sense the term carries across its full occurrence set (confirmed live: genuinely narrows per-stem, not a repeated flat gloss -- 99.999% of 551,797 live rows, escalation #1383 v36).",T7,T7.1,Lexical and Semantic Analysis,1,,2026-09-04T16:30:07Z
394,T7.1.2,T7 — Evidential and Methodological Foundation,Programme,,"What is the grammatical range of the primary term (noun, verb, adjective, participle), and what does that range show about how the characteristic operates?",,Word/term (lexical),active,0,2026-04-30T06:26:11Z,v2-2026-09-04,Stage 1 rollup — SELECT DISTINCT part-of-speech prefix from verse_lexical.morph_code across every row sharing this Strong's code.,T7,T7.1,Lexical and Semantic Analysis,2,,2026-09-04T16:30:07Z
395,T7.1.3,T7 — Evidential and Methodological Foundation,Programme,,What is the semantic range of the primary term — across what breadth of meaning does it operate?,,Word/term (lexical),active,0,2026-04-30T06:26:11Z,v2-2026-09-04,"NOT a Stage-1 rollup — a property of strong_meaning_tree/strong_meaning_parsed directly, independent of any specific verse occurrence. Stage 1 draws on this resource, doesn't re-derive it.",T7,T7.1,Lexical and Semantic Analysis,3,,2026-09-04T16:30:07Z
396,T7.1.4,T7 — Evidential and Methodological Foundation,Programme,,"Does the vocabulary include terms distinguishing distinct aspects — disposition versus act, received versus given, condition versus quality? Record which, or none.",,Word/term (lexical),active,0,2026-04-30T06:26:11Z,v2-2026-09-04,Real gap — term-family semantic classification (disposition-vs-act) needs judgement on top of a T7.1.2-style rollup; not a field Stage 1 stores directly.,T7,T7.1,Lexical and Semantic Analysis,4,,2026-09-04T16:30:07Z
397,T7.1.5,T7 — Evidential and Methodological Foundation,Programme,,"Does the vocabulary include a term for the structural opposite or absence of this characteristic? Record it, or none.",,Word/term (lexical),active,0,2026-04-30T06:26:11Z,v2-2026-09-04,"Real gap — structural-opposite/antonym terms, same status as T7.1.4.",T7,T7.1,Lexical and Semantic Analysis,5,,2026-09-04T16:30:07Z
398,T7.1.6,T7 — Evidential and Methodological Foundation,Programme,,"Does the vocabulary include a person-type term — one for the person who habitually possesses or exercises this characteristic? Record it, or none.",,Word/term (lexical),active,0,2026-04-30T06:26:11Z,v2-2026-09-04,Real gap — same status as T7.1.4/T7.1.5.,T7,T7.1,Lexical and Semantic Analysis,6,,2026-09-04T16:30:07Z
399,T7.1.7,T7 — Evidential and Methodological Foundation,Programme,,"Does the vocabulary include a supplication or seeking term — one for the act of seeking this characteristic from another? Record it, or none.",,Word/term (lexical),active,0,2026-04-30T06:26:11Z,v2-2026-09-04,Real gap — same status as T7.1.4/T7.1.5/T7.1.6.,T7,T7.1,Lexical and Semantic Analysis,7,,2026-09-04T16:30:07Z
400,T7.1.8,T7 — Evidential and Methodological Foundation,Programme,,What does the relationship between the OT Hebrew and NT Greek vocabulary show about continuity or development of the characteristic across the Testaments?,,Word/term (lexical),active,0,2026-04-30T06:26:11Z,v2-2026-09-04,"Stage 1 rollup — GROUP BY verse_lexical.testament across every row sharing the term's root/family (via strong_related), counted per side.",T7,T7.1,Lexical and Semantic Analysis,8,,2026-09-04T16:30:07Z
401,T7.1.9,T7 — Evidential and Methodological Foundation,Programme,,"Is there a term newly coined in the NT period for this characteristic; if so, what does the coinage show? Record it, or none.",,Word/term (lexical),active,0,2026-04-30T06:26:11Z,v2-2026-09-04,Same rollup as T7.1.8 — a term with zero testament='OT' rows anywhere in its strong_related family.,T7,T7.1,Lexical and Semantic Analysis,9,,2026-09-04T16:30:07Z
402,T7.1.10,T7 — Evidential and Methodological Foundation,Programme,,What does the full vocabulary arc show about the characteristic's complete semantic range?,,Word/term (lexical),active,0,2026-04-30T06:26:11Z,v2-2026-09-04,Not a separate derivation — the union of T7.1.1/T7.1.2/T7.1.8/T7.1.9's own rollups.,T7,T7.1,Lexical and Semantic Analysis,10,,2026-09-04T16:30:07Z
403,T7.2.1,T7 — Evidential and Methodological Foundation,Programme,,"What is the function of the primary term within its primary verse -- (a) what role does it play in the sentence, and (b) what role does it play in the verse's own argument, if a connective/chain edge shows one?",,The verse,active,0,2026-04-30T06:26:11Z,v2-2026-09-04,"NOT fully Stage 1 — sentence-role half is Stage 1 (via verse_lexical/morph_code); argument/premise-conclusion half is a real, unowned gap (connective/chain notes give local edges only, nothing assembles them into an argument map). Wording already split in-place into (a)/(b) clauses (escalation #1444 v9, 2026-09-04), no new question_code.",T7,T7.2,Verse and Literary Interpretation,1,,2026-09-04T16:30:07Z
405,T7.2.3,T7 — Evidential and Methodological Foundation,Programme,,What is the logical structure of the key arguments in the verse evidence — premises and conclusions?,,The verse,active,0,2026-04-30T06:26:11Z,v2-2026-09-04,"Real, unowned gap — same reason as T7.2.1's argument half. No Stage 1 field answers this.",T7,T7.2,Verse and Literary Interpretation,4,,2026-09-04T16:30:07Z
406,T7.2.4,T7 — Evidential and Methodological Foundation,Programme,,"What contextual setting carries the primary verse evidence (judicial, liturgical, covenantal, communal, eschatological), and what does that setting show?",,The verse,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T7,T7.2,Verse and Literary Interpretation,5,,2026-09-04T16:02:58Z
407,T7.2.5,T7 — Evidential and Methodological Foundation,Programme,,"Does any verse function as the primary anchor — the one most fully and directly expressing the characteristic's essential character? Record it, or none.",,The verse,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T7,T7.2,Verse and Literary Interpretation,6,,2026-09-04T16:02:58Z
408,T7.2.6,T7 — Evidential and Methodological Foundation,Programme,,What does the primary anchor verse show that no other verse shows?,,The verse,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T7,T7.2,Verse and Literary Interpretation,7,,2026-09-04T16:02:58Z
409,T7.3.1,T7 — Evidential and Methodological Foundation,Programme,,"Which human-science framework (psychology, moral philosophy, developmental psychology, sociology, anthropology, or other) serves as the most useful interpretive lens for this characteristic?",,Science,active,0,2026-04-30T06:26:11Z,v2-2026-08-31,,T7,T7.3,Human Science Frameworks,1,,2026-08-31T17:56:11Z
