cluster,verse,term,strongs,bucket,overlap,R_read,M_lexical,flagged
M02,Gen 26:14,qa.na,H7065,ZERO,0.00,to envy — the Philistines' envy of Isaac's prosperity,"to be jealous of to be envious of to be zealous for to excite to jealous anger /// to provoke to jealous anger, cause jealousy",0
M02,2Sa 21:2,qa.na,H7065,ZERO,0.00,zeal — Saul's (misguided) zeal for Israel that drove him against the Gibeonites,"to be jealous of to be envious of to be zealous for to excite to jealous anger /// to provoke to jealous anger, cause jealousy",0
M02,Pro 3:31,qa.na,H7065,ZERO,0.00,to envy — the envy of the violent man the proverb forbids,"to be jealous of to be envious of to be zealous for to excite to jealous anger /// to provoke to jealous anger, cause jealousy",0
M02,Eze 31:9,qa.na,H7065,ZERO,0.00,to envy — the trees of Eden envying the great cedar (Assyria/Pharaoh figure),"to be jealous of to be envious of to be zealous for to excite to jealous anger /// to provoke to jealous anger, cause jealousy",0
M02,Lev 10:16,qa.tsaph,H7107,ZERO,0.00,to be angry — Moses' indignation at the priests over the sin offering,"to be wroth, to be full of wrath, to be furious /// to provoke to wrath or anger /// to put oneself in a rage, anger oneself Aramaic equivalent: qe.tsaph (קְצַף ""be",0
M02,Num 31:14,qa.tsaph,H7107,ZERO,0.00,to be angry — Moses' indignation at the army officers,"to be wroth, to be full of wrath, to be furious /// to provoke to wrath or anger /// to put oneself in a rage, anger oneself Aramaic equivalent: qe.tsaph (קְצַף ""be",0
M02,Jer 21:5,qe.tseph,H7110A,ZERO,0.00,"fury — the divine fury, middle term of the triad against Jerusalem","wrath, anger of God of man",0
M02,Jer 32:37,qe.tseph,H7110A,ZERO,0.00,"great indignation — the divine indignation in the scattering, now bounded by grace","wrath, anger of God of man",0
M02,Pro 14:30,qin.ah,H7068,ZERO,0.00,envy — the envy that rots the bones,"ardour, zeal, jealousy ardour, jealousy, jealous disposition (of husband) sexual",0
M02,Ecc 4:4,qin.ah,H7068,ZERO,0.00,envy — the envy of one's neighbour that drives all toil,"ardour, zeal, jealousy ardour, jealousy, jealous disposition (of husband) sexual",0
M02,Ecc 9:6,qin.ah,H7068,ZERO,0.00,"envy — the envy of the dead, now perished","ardour, zeal, jealousy ardour, jealousy, jealous disposition (of husband) sexual",0
M02,Eze 35:11,qin.ah,H7068,ZERO,0.00,envy — Edom's envy (with anger) toward Israel that God will requite,"ardour, zeal, jealousy ardour, jealousy, jealous disposition (of husband) sexual",0
M02,Isa 41:11,riv,H7379,ZERO,0.00,those who strive / contend — the adversaries who strive against God's servant,"strife, controversy, dispute strife, quarrel dispute, controversy, case at law",0
M02,Isa 1:23,riv,H7379,ZERO,0.00,cause — the widow's legal cause that never reaches the corrupt princes,"strife, controversy, dispute strife, quarrel dispute, controversy, case at law",0
M02,Isa 34:8,riv,H7379,ZERO,0.00,cause — the cause of Zion that the LORD vindicates in his day of vengeance,"strife, controversy, dispute strife, quarrel dispute, controversy, case at law",0
M02,Jer 11:20,riv,H7379,ZERO,0.00,cause — the cause Jeremiah commits to the LORD against his persecutors,"strife, controversy, dispute strife, quarrel dispute, controversy, case at law",0
M02,Jer 20:12,riv,H7379,ZERO,0.00,cause — the cause Jeremiah commits to the LORD who tests the righteous,"strife, controversy, dispute strife, quarrel dispute, controversy, case at law",0
M02,Jer 51:36,riv,H7379,ZERO,0.00,cause — Israel's cause that the LORD undertakes to plead against Babylon,"strife, controversy, dispute strife, quarrel dispute, controversy, case at law",0
M02,Job 13:6,riv,H7379,ZERO,0.00,pleadings / argument — the legal pleadings of Job's lips that he asks his friends to hear,"strife, controversy, dispute strife, quarrel dispute, controversy, case at law",0
M02,Job 31:13,riv,H7379,ZERO,0.00,"complaint / cause — the complaint Job's servants brought against him, which he heard","strife, controversy, dispute strife, quarrel dispute, controversy, case at law",0
M02,Lam 3:36,riv,H7379,ZERO,0.00,lawsuit — the man's lawsuit that the LORD will not see subverted,"strife, controversy, dispute strife, quarrel dispute, controversy, case at law",0
M02,Lam 3:58,riv,H7379,ZERO,0.00,causes — the causes of the speaker's soul that the LORD pleaded,"strife, controversy, dispute strife, quarrel dispute, controversy, case at law",0
M02,Pro 22:23,riv,H7379,ZERO,0.00,cause — the cause of the poor that the LORD himself will plead,"strife, controversy, dispute strife, quarrel dispute, controversy, case at law",0
M02,Pro 23:11,riv,H7379,ZERO,0.00,cause — the orphan's cause the strong Redeemer pleads against the encroacher,"strife, controversy, dispute strife, quarrel dispute, controversy, case at law",0
M02,Psa 119:154,riv,H7379,ZERO,0.00,cause — the psalmist's cause he asks God to plead and redeem,"strife, controversy, dispute strife, quarrel dispute, controversy, case at law",0
M02,Psa 35:23,riv,H7379,ZERO,0.00,cause — David's cause he begs God to rouse himself to defend,"strife, controversy, dispute strife, quarrel dispute, controversy, case at law",0
M02,Psa 43:1,riv,H7379,ZERO,0.00,cause — the psalmist's cause that God is asked to defend,"strife, controversy, dispute strife, quarrel dispute, controversy, case at law",0
M02,Psa 74:22,riv,H7379,ZERO,0.00,cause — God's own cause that the psalmist urges him to defend,"strife, controversy, dispute strife, quarrel dispute, controversy, case at law",0
M02,1Ki 15:27,tsur,H6696B,ZERO,0.00,to besiege / lay siege — Israel besieging the Philistine Gibbethon," /// to show hostility to, be an adversary, treat as foe",0
M02,1Ki 16:17,tsur,H6696B,ZERO,0.00,to besiege / lay siege — Omri and all Israel besieging Tirzah," /// to show hostility to, be an adversary, treat as foe",0
M02,Num 23:8,za.am,H2194,ZERO,0.00,"to denounce / curse — effective denunciation belongs to God (""whom the Lord has not denounced"")","to have indignation, be indignant, be angrily indignant, be defiant to be abhorr /// to show indignation, show anger",0
M02,Hos 7:16,za.am,H2195,ZERO,0.00,insolence / rage (human) — the defiant insolence of the tongue that fells the princes,"anger, indignation",0
M02,Isa 10:25,za.am,H2195,ZERO,0.00,"fury — God's fury against Israel that will soon end, then turn on Assyria","anger, indignation",0
M02,Isa 30:27,za.am,H2195,ZERO,0.00,"fury — the divine fury charging God's fiery, approaching self-manifestation","anger, indignation",0
M02,Jer 50:25,za.am,H2195,ZERO,0.00,wrath — the divine wrath whose weapons God deploys against Babylon,"anger, indignation",0
M02,Dan 1:10,za.aph,H2196,ZERO,0.00,to be out of humour / vexed / enraged (what the king might become if he sees Daniel's worse condition),"to appear perplexed, appear troubled to be sad-looking",0
M02,2Ch 26:19,za.aph,H2196,ZERO,0.00,to be angry / enraged — Uzziah's anger at the priests who opposed his incense-offering,"to appear perplexed, appear troubled to be sad-looking",0
M02,Pro 19:3,za.aph,H2196,ZERO,0.00,to rage — the heart's raging against the LORD over self-wrought ruin,"to appear perplexed, appear troubled to be sad-looking",0
M02,Pro 19:12,za.aph,H2197,ZERO,0.00,"wrath — the king's wrath, fearsome like a lion's growl","rage, raging, storming, indignation",0
M02,Isa 30:30,za.aph,H2197,ZERO,0.00,furious anger — God's furious anger in his manifested judgment,"rage, raging, storming, indignation",0
M03,Exo 32:12,ra.ah,H7451C,ZERO,0.00,"disaster — the calamity threatened against Israel, to be relented from",": harm 1) evil, misery, distress, injury 1a) evil, misery, distress 1b) evil, in",0
M03,Jer 11:17,ra.ah,H7451C,ZERO,0.00,disaster / calamity — the disaster the LORD decreed against the people,": harm 1) evil, misery, distress, injury 1a) evil, misery, distress 1b) evil, in",0
M04,Pro 15:16,tov,H2896A,ZERO,0.00,better (comparative) — of greater value and worth,"adj 1) good, pleasant, agreeable 1a) pleasant, agreeable (to the senses) 1b) ple",0
M04,Est 8:17,tov,H2896A,ZERO,0.00,"glad, happy, prosperous (describing the festive holiday)","adj 1) good, pleasant, agreeable 1a) pleasant, agreeable (to the senses) 1b) ple",0
M04,Isa 5:9,tov,H2896A,ZERO,0.00,beautiful/fine (describing the aesthetic and economic quality of the houses),"adj 1) good, pleasant, agreeable 1a) pleasant, agreeable (to the senses) 1b) ple",0
M04,Pro 16:16,tov,H2896A,ZERO,0.00,"better, superior in value (comparative)","adj 1) good, pleasant, agreeable 1a) pleasant, agreeable (to the senses) 1b) ple",0
M04,Ecc 4:13,tov,H2896A,ZERO,0.00,better (comparative moral-practical superiority),"adj 1) good, pleasant, agreeable 1a) pleasant, agreeable (to the senses) 1b) ple",0
M04,Pro 31:18,tov,H2896A,ZERO,0.00,profitable / valuable in estimation (of merchandise),"adj 1) good, pleasant, agreeable 1a) pleasant, agreeable (to the senses) 1b) ple",0
M05,Dan 9:4,che.sed,H2617B,ZERO,0.00,"steadfast love, loyal covenant-love (of God toward those who keep his commandments)","a reproach, shame",0
M05,Neh 1:5,che.sed,H2617B,ZERO,0.00,"steadfast love, covenant faithfulness (in the phrase ""keeps covenant and steadfast love"")","a reproach, shame",0
M05,Neh 1:5,che.sed,H2617B,ZERO,0.00,steadfast love / covenant faithfulness (alternate lemma occurrence in same phrase context as vcid=6450),"a reproach, shame",0
M05,Neh 9:32,che.sed,H2617B,ZERO,0.00,steadfast love / covenant faithfulness — God's loyal love maintained within the covenant,"a reproach, shame",0
M05,2Cor 1:7,koinōnos,G2844,ZERO,0.00,"sharer, partaker (sharing both in sufferings and in comfort)","partner, participant, one who joins in with another in some enterprise or activi",0
M08,Mat 26:37,archō,G0757,ZERO,0.00,to begin (inchoative auxiliary — marking onset of the emotional states),- to be first (in political rank or power),0
M08,Mar 14:33,archō,G0757,ZERO,0.00,to begin (inchoative marker — onset of the inner states),- to be first (in political rank or power),0
M08,Mat 14:30,archō,G0757,ZERO,0.00,beginning (to sink)—temporal/inchoative marker of the start of an action,- to be first (in political rank or power),0
M08,Mar 10:32,archō,G0757,ZERO,0.00,to begin (he began to tell them),- to be first (in political rank or power),0
M08,Luk 5:21,archō,G0757,ZERO,0.00,to begin — the inchoative start of the scribes' questioning,- to be first (in political rank or power),0
M10,1Ki 14:22,chat.tat,H2403B,ZERO,0.00,sins — the accumulated sins by which Judah provoked God,": sin 1) sin, sin offering 1a) sin 1b) condition of sin, guilt of sin 1c) punish",0
M10,Lev 26:28,chat.tat,H2403B,ZERO,0.00,sins — the sins for which God disciplines sevenfold,": sin 1) sin, sin offering 1a) sin 1b) condition of sin, guilt of sin 1c) punish",0
M10,2Ch 28:13,chat.tat,H2403B,ZERO,0.00,sins — Israel's existing sins they refuse to multiply,": sin 1) sin, sin offering 1a) sin 1b) condition of sin, guilt of sin 1c) punish",0
M10,1Ki 15:30,chat.tat,H2403B,ZERO,0.00,"sins — Jeroboam's idolatrous sins, the byword for northern apostasy",": sin 1) sin, sin offering 1a) sin 1b) condition of sin, guilt of sin 1c) punish",0
M10,1Ki 16:13,chat.tat,H2403B,ZERO,0.00,sins — Baasha and Elah's idolatrous sins,": sin 1) sin, sin offering 1a) sin 1b) condition of sin, guilt of sin 1c) punish",0
M10,1Ki 16:2,chat.tat,H2403B,ZERO,0.00,sins — the sins with which Baasha provoked God,": sin 1) sin, sin offering 1a) sin 1b) condition of sin, guilt of sin 1c) punish",0
M10,1Ki 16:26,chat.tat,H2403B,ZERO,0.00,sins — Omri's idolatrous sins continuing Jeroboam's way,": sin 1) sin, sin offering 1a) sin 1b) condition of sin, guilt of sin 1c) punish",0
M10,Jos 24:19,chat.tat,H2403B,ZERO,0.00,sins — the sins the jealous God will not forgive if Israel forsakes him,": sin 1) sin, sin offering 1a) sin 1b) condition of sin, guilt of sin 1c) punish",0
M10,1Th 2:16,hamartia,G0266,ZERO,0.00,sins — the measure of sins the opponents fill up,"sin, wrongdoing; usually any act contrary to the will and law of God error; offe",0
M10b,Rom 2:8,adikia,G0093,ZERO,0.00,unrighteousness — the master the self-seeking obey in place of truth,"wickedness, evil, wrongdoing injustice, wrong; iniquity, falsehood, deceitfulnes",0
M11,Jon 4:2,na.cham,H5162H,ZERO,0.00,"to relent (from disaster), to turn back from intended calamity","1a1) to be sorry, be moved to pity, have compassion 1a2) to be sorry, rue, suffe /// 1d1) to be sorry, have compassion 1d2) to rue, repent of 1d3) to comfort oneself",0
M11,1Sa 15:11,na.cham,H5162H,ZERO,0.00,to regret / relent — God's grieved regret over making Saul king,"1a1) to be sorry, be moved to pity, have compassion 1a2) to be sorry, rue, suffe /// 1d1) to be sorry, have compassion 1d2) to rue, repent of 1d3) to comfort oneself",0
M11,Zec 8:14,na.cham,H5162H,ZERO,0.00,to relent — the relenting God withheld from the purposed disaster,"1a1) to be sorry, be moved to pity, have compassion 1a2) to be sorry, rue, suffe /// 1d1) to be sorry, have compassion 1d2) to rue, repent of 1d3) to comfort oneself",0
M12,Lev 27:18,qa.dash,H6942H,ZERO,0.00,to dedicate/sanctify (a field to the Lord after the jubilee),,0
M12,Psa 34:9,qa.dosh,H6918H,ZERO,0.00,"saints, holy ones — those set apart in covenant relationship with God",,0
M12,Psa 106:16,qa.dosh,H6918H,ZERO,0.00,"holy one — Aaron, the LORD's consecrated holy one, the object of envy",,0
M13,Isa 49:23,a.man,H0539,ZERO,0.00,"to support, nourish, foster (as a nursing/foster parent nurtures)","to be established, be faithful, be carried, make firm to be carried by a nurse m /// to stand firm, to trust, to be certain, to believe in stand firm trust, believe",0
M14,Pro 3:21,luz,H3868,ZERO,0.00,"to depart, turn aside (from sound wisdom)","to be lost from view to become devious /// to go wrong, go crooked devious, perverse (participle)",0
M14,2Ch 2:14,ma.cha.sha.vah,H4284,ZERO,0.00,design / planned conception (of artistic work),"thought, device thought device, plan, purpose invention",0
M14,Exo 31:4,ma.cha.sha.vah,H4284,ZERO,0.00,artistic designs / devised plans,"thought, device thought device, plan, purpose invention",0
M14,Exo 35:32,ma.cha.sha.vah,H4284,ZERO,0.00,artistic designs / devised plans,"thought, device thought device, plan, purpose invention",0
M14,Exo 35:35,ma.cha.sha.vah,H4284,ZERO,0.00,artistic designs / skilled designs,"thought, device thought device, plan, purpose invention",0
M14,Dan 11:25,ma.cha.sha.vah,H4284,ZERO,0.00,"plots, schemes (devised against the king of the south)","thought, device thought device, plan, purpose invention",0
M14,Job 21:27,me.zim.mah,H4209,ZERO,0.00,"schemes, plots — devious inner plans directed against the speaker","purpose, discretion, device, plot purpose discretion devices (evil)",0
M16,Pro 20:3,e.vil,H0191,ZERO,0.00,"fool — the fool who, unlike the honourable man, cannot stop quarreling","be foolish, foolish (subst) of one who despises wisdom of one who mocks when gui",0
M16,Ecc 7:7,ha.lal,H1984I,ZERO,0.00,to drive into madness / cause to rave madly,"1b1) to praise 1b2) to boast, make a boast 1c) /// 1c1) to be praised, be made praiseworthy, be commended, be worthy of praise 1d) /// to boast, glory, make one's boast",0
M16,Psa 73:3,ha.lal,H1984C,ZERO,0.00,"arrogant / boastful — the proud, boastful wicked Asaph envied","(Poel) to make a fool of, make into a fool (Hithpoel) to act madly, act like a m",0
M16,Mat 5:22,mōros,G3474,ZERO,0.00,"fool — the contemptuous insult ""fool"" that incurs grave liability","primarily dull; foolish, Mt. 7:26; 23:17; 25:2f., 8; 1Cor. 1:25, 27; 3:18; 4:10;",0
M17,Pro 25:9,sod,H5475,ZERO,0.00,secret / confidence — another's secret one must not reveal while arguing one's case,"council, counsel, assembly council (of familiar conversation) divan, circle (of",0
M21,Gen 26:7,sha.al,H7592,ZERO,0.00,asked / inquired (of Isaac about his wife),"to ask for oneself, ask leave of absence /// to ask, ask for to ask (as a favour), borrow to enquire, enquire of to enquire o /// to be given on request to grant, make over to, let (one) ask (successfully) or g /// to enquire, enquire carefully to beg, practise beggary",0
M21,Job 38:3,sha.al,H7592,ZERO,0.00,"to question, interrogate","to ask for oneself, ask leave of absence /// to ask, ask for to ask (as a favour), borrow to enquire, enquire of to enquire o /// to be given on request to grant, make over to, let (one) ask (successfully) or g /// to enquire, enquire carefully to beg, practise beggary",0
M21,Judg 18:5,sha.al,H7592,ZERO,0.00,to inquire / seek an oracle (of God),"to ask for oneself, ask leave of absence /// to ask, ask for to ask (as a favour), borrow to enquire, enquire of to enquire o /// to be given on request to grant, make over to, let (one) ask (successfully) or g /// to enquire, enquire carefully to beg, practise beggary",0
M21,Heb 10:27,zēlos,G2205,ZERO,0.00,"fierce, consuming wrath / blazing indignation (in a bad/destructive sense)","zeal, ardent concern, enthusiasm, an attitude or emotion of deep, earnest concer",0
M21,2Cor 12:20,zēlos,G2205,ZERO,0.00,"jealousy, envy — morally corrupt zealous ill will","zeal, ardent concern, enthusiasm, an attitude or emotion of deep, earnest concer",0
M21,1Cor 3:3,zēlos,G2205,ZERO,0.00,jealousy / envy — the jealousy marking the Corinthians as fleshly,"zeal, ardent concern, enthusiasm, an attitude or emotion of deep, earnest concer",0
M21,Gal 5:20,zēlos,G2205,ZERO,0.00,jealousy / envy — a work of the flesh,"zeal, ardent concern, enthusiasm, an attitude or emotion of deep, earnest concer",0
M21,Rom 13:13,zēlos,G2205,ZERO,0.00,jealousy / envy — a deed of darkness to be cast off,"zeal, ardent concern, enthusiasm, an attitude or emotion of deep, earnest concer",0
M22,1Cor 2:7,doxa,G1391,ZERO,0.00,future glorification/honor destined for believers,"This word has a wide range of meanings in the NT, corresponding closely the H351",0
M22,Eph 1:17,doxa,G1391,ZERO,0.00,divine majesty/splendor characterizing the Father,"This word has a wide range of meanings in the NT, corresponding closely the H351",0
M22,Eph 1:18,doxa,G1391,ZERO,0.00,glorious splendor/honor — the magnificent character of the inheritance,"This word has a wide range of meanings in the NT, corresponding closely the H351",0
M22,2Cor 4:4,doxa,G1391,ZERO,0.00,the glory/splendor of Christ as the radiant content of the Gospel,"This word has a wide range of meanings in the NT, corresponding closely the H351",0
M22,Rom 4:20,doxa,G1391,ZERO,0.00,"honor, praise, glorification — ascribing highest honor to God","This word has a wide range of meanings in the NT, corresponding closely the H351",0
M22,Rom 16:27,doxa,G1391,ZERO,0.00,"glory, honor, praise ascribed to God","This word has a wide range of meanings in the NT, corresponding closely the H351",0
M22,Lev 19:32,ha.dar,H1921,ZERO,0.00,"to honor, give honor/glory to — the face of an old man","to be honoured /// to honour oneself, claim honour /// to swell swelling (pass participle) to honour, pay honour to, show partiality to",0
M22,Pro 15:33,ka.vod,H3519,ZERO,0.00,honor — the social and moral recognition that follows humility,"glory, honour, glorious, abundance abundance, riches honour, splendour, glory ho",0
M22,Mal 1:6,ka.vod,H3519,ZERO,0.00,honor (the honor/respect owed to God as Father),"glory, honour, glorious, abundance abundance, riches honour, splendour, glory ho",0
M22,Dan 5:11,qad.dish,H6922,ZERO,0.00,holy (describing the gods whose spirit indwells Daniel),,0
M22,Dan 4:18,qad.dish,H6922,ZERO,0.00,holy (qualifying the gods/divine beings whose spirit indwells Daniel),,0
M23,Jer 49:24,cha.zaq,H2388H,ZERO,0.00,to take hold of / seize (anguish and sorrows have taken hold of her),"1b1) to make strong 1b2) to restore to strength, give strength 1b3) to strengthe /// 1c1) to make strong, strengthen 1c2) to make firm 1c3) to display strength 1c4)",0
M23,1Ki 1:50,cha.zaq,H2388H,ZERO,0.00,"to take hold of, seize (the horns of the altar)","1b1) to make strong 1b2) to restore to strength, give strength 1b3) to strengthe /// 1c1) to make strong, strengthen 1c2) to make firm 1c3) to display strength 1c4)",0
M23,Isa 41:13,cha.zaq,H2388H,ZERO,0.00,"hold, take hold of — God grasping the right hand of his servant","1b1) to make strong 1b2) to restore to strength, give strength 1b3) to strengthe /// 1c1) to make strong, strengthen 1c2) to make firm 1c3) to display strength 1c4)",0
M23,Job 2:3,cha.zaq,H2388H,ZERO,0.00,"to hold fast, retain grip on (integrity)","1b1) to make strong 1b2) to restore to strength, give strength 1b3) to strengthe /// 1c1) to make strong, strengthen 1c2) to make firm 1c3) to display strength 1c4)",0
M23,Mic 4:9,cha.zaq,H2388H,ZERO,0.00,"to seize, take hold of (pain seizing a person)","1b1) to make strong 1b2) to restore to strength, give strength 1b3) to strengthe /// 1c1) to make strong, strengthen 1c2) to make firm 1c3) to display strength 1c4)",0
M23,2Cor 1:8,dunamis,G1411,ZERO,0.00,"strength, capacity (the apostles' own strength, which was exceeded)","power, ability; miracle; ruler, an extended meaning of a person or supernatural",0
M23,1Cor 7:37,echō,G2192,ZERO,0.00,"to have, to possess (control over his desire)","(tr.) to have, hold, keep; (intr.) to be pluperfect., ἐσχήκειν, to hold, Rev. 1:",0
M23,Mat 25:25,echō,G2192,ZERO,0.00,"to have, possess (what is yours)","(tr.) to have, hold, keep; (intr.) to be pluperfect., ἐσχήκειν, to hold, Rev. 1:",0
M23,2Cor 1:15,echō,G2192,ZERO,0.00,"to have, experience, possess—here: to have/experience a benefit","(tr.) to have, hold, keep; (intr.) to be pluperfect., ἐσχήκειν, to hold, Rev. 1:",0
M23,1Cor 13:2,echō,G2192,ZERO,0.00,"to have, possess — holding gifts as one's own endowment","(tr.) to have, hold, keep; (intr.) to be pluperfect., ἐσχήκειν, to hold, Rev. 1:",0
M23,Mat 1:23,echō,G2192,ZERO,0.00,"to mean / be (as in ""which means"" — the name holds/carries the meaning ""God with us"")","(tr.) to have, hold, keep; (intr.) to be pluperfect., ἐσχήκειν, to hold, Rev. 1:",0
M23,1Cor 7:25,echō,G2192,ZERO,0.00,"to have, possess (a command) — Paul does not have one","(tr.) to have, hold, keep; (intr.) to be pluperfect., ἐσχήκειν, to hold, Rev. 1:",0
M23,1Cor 7:40,echō,G2192,ZERO,0.00,"to have, possess (the Spirit of God)","(tr.) to have, hold, keep; (intr.) to be pluperfect., ἐσχήκειν, to hold, Rev. 1:",0
M23,1Cor 4:7,echō,G2192,ZERO,0.00,"to have, possess — what is possessed as a gift already in hand","(tr.) to have, hold, keep; (intr.) to be pluperfect., ἐσχήκειν, to hold, Rev. 1:",0
M23,Rom 1:13,echō,G2192,ZERO,0.00,"to have (intended — ""I have often intended""), having a plan or purpose","(tr.) to have, hold, keep; (intr.) to be pluperfect., ἐσχήκειν, to hold, Rev. 1:",0
M23,1Cor 14:26,echō,G2192,ZERO,0.00,to have / possess — each person comes furnished with a Spirit-given contribution,"(tr.) to have, hold, keep; (intr.) to be pluperfect., ἐσχήκειν, to hold, Rev. 1:",0
M23,1Cor 11:16,echō,G2192,ZERO,0.00,"to have — the having of a custom/practice, here denied","(tr.) to have, hold, keep; (intr.) to be pluperfect., ἐσχήκειν, to hold, Rev. 1:",0
M23,2Pe 3:9,hēgeomai,G2233,ZERO,0.00,"to count, consider, regard—cognitive evaluation","to lead the way; to take the lead, Acts 14:12; to be chief, to preside, govern,",0
M23,2Pe 3:15,hēgeomai,G2233,ZERO,0.00,"to count, consider, regard (cognitively evaluate something as a certain thing)","to lead the way; to take the lead, Acts 14:12; to be chief, to preside, govern,",0
M23,Psa 90:11,oz,H5797,ZERO,0.00,"might, power (of God's anger) — overwhelming force","might, strength material or physical personal or social or political",0
M23,Luk 8:37,sunechō,G4912,ZERO,0.00,"to be seized with, be in the grip of (passive—overwhelmed by great fear)","to cover (ears); to crowd (against); to guard, hold in custody; to compel, urge",0
M24,1Cor 2:3,astheneia,G0769G,ZERO,0.00,frailty/imperfection of the person in intellectual and moral capacity,"weakness, illness, infirmity want of strength, weakness, feebleness 1Cor. 15:43;",0
M24,Jer 44:10,da.kha,H1792,ZERO,0.00,to be crushed/contrite — inward brokenness and humiliation before God,,0
M24,Jer 46:5,ka.tat,H3807,ZERO,0.00,"beaten down, crushed (of warriors)",,0
M24,Isa 24:12,ka.tat,H3807,ZERO,0.00,to beat/crush to pieces (the gates are battered into ruins),,0
M25,Luk 24:37,pneuma,G4151G,ZERO,0.00,"a bodiless spirit, specter, ghost","wind, breath, things which are commonly perceived as having no material substanc",0
M25,Act 9:31,pneuma,G4151G,ZERO,0.00,the Holy Spirit — the divine Spirit of God,"wind, breath, things which are commonly perceived as having no material substanc",0
M25,Rom 8:15,pneuma,G4151G,ZERO,0.00,the Spirit of adoption as sons (the Holy Spirit as the divine agent bestowing filial status),"wind, breath, things which are commonly perceived as having no material substanc",0
M25,2Cor 7:1,pneuma,G4151G,ZERO,0.00,the human spirit — the immaterial inner dimension of the person susceptible to defilement,"wind, breath, things which are commonly perceived as having no material substanc",0
M25,2Ti 1:7,pneuma,G4151G,ZERO,0.00,a characteristic influential spirit — a divinely bestowed inner disposition or frame,"wind, breath, things which are commonly perceived as having no material substanc",0
M25,Mat 1:20,pneuma,G4151G,ZERO,0.00,the Holy Spirit — the divine Spirit of God as agent of the conception,"wind, breath, things which are commonly perceived as having no material substanc",0
M25,1Cor 12:11,pneuma,G4151G,ZERO,0.00,the Holy Spirit — the divine personal agent who apportions gifts,"wind, breath, things which are commonly perceived as having no material substanc",0
M25,Luk 1:17,pneuma,G4151G,ZERO,0.00,characteristic spirit — a dominant spiritual disposition or influential principle (the spirit of Elijah),"wind, breath, things which are commonly perceived as having no material substanc",0
M25,Act 6:3,pneuma,G4151G,ZERO,0.00,the Holy Spirit as a divine endowment with which a person is filled,"wind, breath, things which are commonly perceived as having no material substanc",0
M25,Act 6:10,pneuma,G4151G,ZERO,0.00,the Spirit by which Stephen speaks — the empowering presence enabling his irrefutable speech,"wind, breath, things which are commonly perceived as having no material substanc",0
