strong,gloss,cluster_code,cluster_label,source,confidence,review_flag,keep (fill in Y/blank)
G2208,Zealot,M18,Desire & Longing,heuristic-family-grouping-v1-20260905,heuristic,0,
G2208,Zealot,M21,Fasting & Piety,auto-precedent,,0,
G2213,a question/dispute,M02,Anger & Wrath,llm-allocation-v1_3-20260811,medium,0,
G2213,a question/dispute,M63,Reasoning & Interpretation,heuristic-family-grouping-v1-20260905,heuristic,0,
G2352,to crush,M10,Violence & Cruelty,heuristic-family-grouping-v1-20260905,heuristic,0,
G2352,to crush,M24,Faintness & Despair,auto-precedent,,0,
G2556H,evil/harm: harm,M55,Destruction & Ruin,llm-allocation-v1_3-20260811,medium,0,
G2556H,evil/harm: harm,M58,Wickedness,heuristic-family-grouping-v1-20260905,heuristic,0,
G2567,teaching good,M05,Kindness & Friendship,llm-allocation-v1_3-20260811,medium,0,
G2567,teaching good,M16,Wisdom & Folly,heuristic-family-grouping-v1-20260905,heuristic,0,
G2581,Zealot,M18,Desire & Longing,heuristic-family-grouping-v1-20260905,heuristic,0,
G2581,Zealot,M21,Fasting & Piety,auto-precedent,,0,
G2594,to endure,M34,Patience & Perseverance,heuristic-family-grouping-v1-20260905,heuristic,0,
G2594,to endure,M35,Being Tested,llm-allocation-v1_3-20260811,medium,0,
G2706,to despise,M06,Malice & Enmity,llm-allocation-v1_3-20260811,high,0,
G2706,to despise,M30,Rebellion & Stubbornness,heuristic-family-grouping-v1-20260905,heuristic,0,
G2870,lamentation,M03,Grief & Lament,heuristic-family-grouping-v1-20260905,heuristic,0,
G2870,lamentation,M42,Prayer & Petition,llm-allocation-v1_3-20260811,high,0,
G2880,to satisfy,M45,Renewal & Transformation,heuristic-family-grouping-v1-20260905,heuristic,0,
G2880,to satisfy,M46,Wealth & Riches,auto-precedent,,0,
G2905,to shout,M22,Praise & Song,llm-allocation-v1_3-20260811,high,0,
G2905,to shout,M84,Outcry & Shouting,heuristic-family-grouping-v1-20260905,heuristic,0,
G3039,to crush,M10,Violence & Cruelty,heuristic-family-grouping-v1-20260905,heuristic,0,
G3039,to crush,M24,Faintness & Despair,auto-precedent,,0,
G3140,to testify,M13,Faith & Faithfulness,llm-allocation-v1_3-20260811,high,0,
G3140,to testify,M35,Being Tested,heuristic-family-grouping-v1-20260905,heuristic,0,
G3143,to testify,M13,Faith & Faithfulness,auto-precedent,,0,
G3143,to testify,M35,Being Tested,heuristic-family-grouping-v1-20260905,heuristic,0,
G3191,to meditate/plot,M14,Deceit & Falsehood,llm-allocation-v1_3-20260811,medium,0,
G3191,to meditate/plot,M15,Knowing & Understanding,heuristic-family-grouping-v1-20260905,heuristic,0,
G3437,complaint,M03,Grief & Lament,llm-allocation-v1_3-20260811,high,0,
G3437,complaint,M42,Prayer & Petition,heuristic-family-grouping-v1-20260905,heuristic,0,
G3643,to despise,M06,Malice & Enmity,llm-allocation-v1_3-20260811,high,0,
G3643,to despise,M30,Rebellion & Stubbornness,heuristic-family-grouping-v1-20260905,heuristic,0,
G3716,be upright,M12,Righteousness & Integrity,heuristic-family-grouping-v1-20260905,heuristic,0,
G3716,be upright,M13,Faith & Faithfulness,llm-allocation-v1_3-20260811,medium,0,
G3831,assembly,M05,Kindness & Friendship,auto-precedent,,0,
G3831,assembly,M44,Covenant & Fellowship,heuristic-family-grouping-v1-20260905,heuristic,0,
G3834,craftiness,M14,Deceit & Falsehood,llm-allocation-v1_3-20260811,high,0,
G3834,craftiness,M16,Wisdom & Folly,heuristic-family-grouping-v1-20260905,heuristic,0,
G3835,crafty,M14,Deceit & Falsehood,llm-allocation-v1_3-20260811,low,1,
G3835,crafty,M16,Wisdom & Folly,heuristic-family-grouping-v1-20260905,heuristic,0,
G3859,contention,M02,Anger & Wrath,llm-allocation-v1_3-20260811,low,1,
G3859,contention,M10,Violence & Cruelty,heuristic-family-grouping-v1-20260905,heuristic,0,
G3868,to refuse/excuse,M30,Rebellion & Stubbornness,heuristic-family-grouping-v1-20260905,heuristic,0,
G3868,to refuse/excuse,M55,Destruction & Ruin,llm-allocation-v1_3-20260811,medium,0,
G3889,comfort,M33,Rest & Peace,llm-allocation-v1_3-20260811,high,0,
G3889,comfort,M45,Renewal & Transformation,heuristic-family-grouping-v1-20260905,heuristic,0,
G3942,proverb,M23,Strength & Courage,auto-precedent,,0,
G3942,proverb,M35,Being Tested,heuristic-family-grouping-v1-20260905,heuristic,0,
G4037,to await,M16,Wisdom & Folly,auto-precedent,,0,
G4037,to await,M68,Hope & Waiting,heuristic-family-grouping-v1-20260905,heuristic,0,
G4065,to despise,M06,Malice & Enmity,llm-allocation-v1_3-20260811,high,0,
G4065,to despise,M30,Rebellion & Stubbornness,heuristic-family-grouping-v1-20260905,heuristic,0,
G4283,to speak good news,M05,Kindness & Friendship,llm-allocation-v1_3-20260811,medium,0,
G4283,to speak good news,M65,Speech & Tongue,heuristic-family-grouping-v1-20260905,heuristic,0,
G4337,to watch out,M06,Malice & Enmity,llm-allocation-v1_3-20260811,medium,0,
G4337,to watch out,M74,Keeping & Guarding,heuristic-family-grouping-v1-20260905,heuristic,0,
G4483,to say: will say,M18,Desire & Longing,llm-allocation-v1_3-20260811,medium,0,
G4483,to say: will say,M65,Speech & Tongue,heuristic-family-grouping-v1-20260905,heuristic,0,
G4648,to watch out,M06,Malice & Enmity,auto-precedent,,0,
G4648,to watch out,M74,Keeping & Guarding,heuristic-family-grouping-v1-20260905,heuristic,0,
G4722,to endure,M34,Patience & Perseverance,heuristic-family-grouping-v1-20260905,heuristic,0,
G4722,to endure,M35,Being Tested,llm-allocation-v1_3-20260811,medium,0,
G4778,to suffer with,M03,Grief & Lament,llm-allocation-v1_3-20260811,medium,0,
G4778,to suffer with,M24,Faintness & Despair,heuristic-family-grouping-v1-20260905,heuristic,0,
G4945,plot,M06,Malice & Enmity,heuristic-family-grouping-v1-20260905,heuristic,0,
G4945,plot,M14,Deceit & Falsehood,auto-precedent,,0,
G5135,to wound,M03,Grief & Lament,auto-precedent,,0,
G5135,to wound,M10,Violence & Cruelty,heuristic-family-grouping-v1-20260905,heuristic,0,
G5251,to exalt,M08,Pride & Arrogance,auto-precedent,,0,
G5251,to exalt,M22,Praise & Song,heuristic-family-grouping-v1-20260905,heuristic,0,
G5255,obedient,M30,Rebellion & Stubbornness,llm-allocation-v1_3-20260811,low,1,
G5255,obedient,M54,Torah & Obedience,heuristic-family-grouping-v1-20260905,heuristic,0,
G5297,to endure,M34,Patience & Perseverance,heuristic-family-grouping-v1-20260905,heuristic,0,
G5297,to endure,M35,Being Tested,llm-allocation-v1_3-20260811,medium,0,
G5396,to talk nonsense,M14,Deceit & Falsehood,llm-allocation-v1_3-20260811,medium,0,
G5396,to talk nonsense,M65,Speech & Tongue,heuristic-family-grouping-v1-20260905,heuristic,0,
G5536,money,M28,Envy & Greed,llm-allocation-v1_3-20260811,medium,0,
G5536,money,M46,Wealth & Riches,heuristic-family-grouping-v1-20260905,heuristic,0,
G5577,false testimony,M14,Deceit & Falsehood,llm-allocation-v1_3-20260811,medium,0,
G5577,false testimony,M54,Torah & Obedience,heuristic-family-grouping-v1-20260905,heuristic,0,
G5581,falsely called,M31,Faith,llm-allocation-v1_3-20260811,medium,0,
G5581,falsely called,M42,Prayer & Petition,heuristic-family-grouping-v1-20260905,heuristic,0,
G6141,be despised,M06,Malice & Enmity,llm-allocation-v1_3-20260811,low,1,
G6141,be despised,M30,Rebellion & Stubbornness,heuristic-family-grouping-v1-20260905,heuristic,0,
G6177,innocence,M07,Shame & Confusion,llm-allocation-v1_3-20260811,high,0,
G6177,innocence,M12,Righteousness & Integrity,heuristic-family-grouping-v1-20260905,heuristic,0,
G6306,not be turned away,M07,Shame & Confusion,llm-allocation-v1_3-20260811,medium,0,
G6306,not be turned away,M11,Turning & Repentance,heuristic-family-grouping-v1-20260905,heuristic,0,
G6882,perverseness,M10,Violence & Cruelty,llm-allocation-v1_3-20260811,low,1,
G6882,perverseness,M14,Deceit & Falsehood,heuristic-family-grouping-v1-20260905,heuristic,0,
G7353,a contemptible thing,M06,Malice & Enmity,heuristic-family-grouping-v1-20260905,heuristic,0,
G7353,a contemptible thing,M28,Envy & Greed,llm-allocation-v1_3-20260811,medium,0,
G7534,to enjoy good health,M05,Kindness & Friendship,llm-allocation-v1_3-20260811,medium,0,
G7534,to enjoy good health,M45,Renewal & Transformation,heuristic-family-grouping-v1-20260905,heuristic,0,
G7589,be an enemy,M06,Malice & Enmity,heuristic-family-grouping-v1-20260905,heuristic,0,
G7589,be an enemy,M44,Covenant & Fellowship,llm-allocation-v1_3-20260811,medium,0,
G7600,jealousy,M02,Anger & Wrath,llm-allocation-v1_3-20260811,high,0,
G7600,jealousy,M18,Desire & Longing,heuristic-family-grouping-v1-20260905,heuristic,0,
G7601,jealousy,M02,Anger & Wrath,llm-allocation-v1_3-20260811,high,0,
G7601,jealousy,M18,Desire & Longing,heuristic-family-grouping-v1-20260905,heuristic,0,
G7929,to groan,M03,Grief & Lament,heuristic-family-grouping-v1-20260905,heuristic,0,
G7929,to groan,M42,Prayer & Petition,llm-allocation-v1_3-20260811,high,0,
G8146,be silent,M33,Rest & Peace,heuristic-family-grouping-v1-20260905,heuristic,0,
G8146,be silent,M42,Prayer & Petition,llm-allocation-v1_3-20260811,high,0,
G8485,be faint-hearted,M24,Faintness & Despair,llm-allocation-v1_3-20260811,medium,0,
G8485,be faint-hearted,M47,Inner Seat,heuristic-family-grouping-v1-20260905,heuristic,0,
H0239,to ponder,M15,Knowing & Understanding,heuristic-family-grouping-v1-20260905,heuristic,0,
H0239,to ponder,M41,Being Heard,llm-allocation-v1_3-20260811,medium,0,
H0263,explanation,M15,Knowing & Understanding,auto-precedent,,0,
H0263,explanation,M43,Prophecy & Vision,heuristic-family-grouping-v1-20260905,heuristic,0,
H0535,to weaken,M03,Grief & Lament,llm-allocation-v1_3-20260811,medium,0,
H0535,to weaken,M73,Sickness & Weakness,heuristic-family-grouping-v1-20260905,heuristic,0,
H0602,to groan,M03,Grief & Lament,heuristic-family-grouping-v1-20260905,heuristic,0,
H0602,to groan,M42,Prayer & Petition,llm-allocation-v1_3-20260811,high,0,
H0830H,refuse,M30,Rebellion & Stubbornness,heuristic-family-grouping-v1-20260905,heuristic,0,
H0830H,refuse,M55,Destruction & Ruin,auto-precedent,,0,
H0936,to despise,M06,Malice & Enmity,llm-allocation-v1_3-20260811,high,0,
H0936,to despise,M30,Rebellion & Stubbornness,heuristic-family-grouping-v1-20260905,heuristic,0,
H0973B,be greedy,M05,Kindness & Friendship,llm-allocation-v1_3-20260811,medium,0,
H0973B,be greedy,M28,Envy & Greed,heuristic-family-grouping-v1-20260905,heuristic,0,
H0981,to speak rashly,M42,Prayer & Petition,llm-allocation-v1_3-20260811,low,1,
H0981,to speak rashly,M65,Speech & Tongue,heuristic-family-grouping-v1-20260905,heuristic,0,
H1215,unjust-gain,M10,Violence & Cruelty,llm-allocation-v1_3-20260811,medium,0,
H1215,unjust-gain,M12,Righteousness & Integrity,heuristic-family-grouping-v1-20260905,heuristic,0,
H1319,to bear tidings,M41,Being Heard,llm-allocation-v1_3-20260811,medium,0,
H1319,to bear tidings,M70,Lifting & Bearing,heuristic-family-grouping-v1-20260905,heuristic,0,
H1422,taunt,M06,Malice & Enmity,llm-allocation-v1_3-20260811,medium,0,
H1422,taunt,M08,Pride & Arrogance,heuristic-family-grouping-v1-20260905,heuristic,0,
H1696G,to speak: speak,M42,Prayer & Petition,llm-allocation-v1_3-20260811,low,1,
H1696G,to speak: speak,M65,Speech & Tongue,heuristic-family-grouping-v1-20260905,heuristic,0,
H1696I,to speak: promise,M42,Prayer & Petition,llm-allocation-v1_3-20260811,low,1,
H1696I,to speak: promise,M65,Speech & Tongue,heuristic-family-grouping-v1-20260905,heuristic,0,
H1697I,word: thing,M28,Envy & Greed,llm-allocation-v1_3-20260811,medium,0,
H1697I,word: thing,M65,Speech & Tongue,heuristic-family-grouping-v1-20260905,heuristic,0,
H1800,poor,M09,Humility & Lowliness,heuristic-family-grouping-v1-20260905,heuristic,0,
H1800,poor,M24,Faintness & Despair,llm-allocation-v1_3-20260811,medium,0,
H1854,to crush,M10,Violence & Cruelty,heuristic-family-grouping-v1-20260905,heuristic,0,
H1854,to crush,M24,Faintness & Despair,auto-precedent,,0,
H2049,mockery,M06,Malice & Enmity,llm-allocation-v1_3-20260811,low,1,
H2049,mockery,M08,Pride & Arrogance,heuristic-family-grouping-v1-20260905,heuristic,0,
H2050,to plot,M06,Malice & Enmity,heuristic-family-grouping-v1-20260905,heuristic,0,
H2050,to plot,M14,Deceit & Falsehood,auto-precedent,,0,
H2107,to lavish/despise,M06,Malice & Enmity,llm-allocation-v1_3-20260811,medium,0,
H2107,to lavish/despise,M30,Rebellion & Stubbornness,heuristic-family-grouping-v1-20260905,heuristic,0,
H2115,to crush,M10,Violence & Cruelty,heuristic-family-grouping-v1-20260905,heuristic,0,
H2115,to crush,M24,Faintness & Despair,auto-precedent,,0,
H2136,innocence,M07,Shame & Confusion,llm-allocation-v1_3-20260811,high,0,
H2136,innocence,M12,Righteousness & Integrity,heuristic-family-grouping-v1-20260905,heuristic,0,
H2479,anguish,M03,Grief & Lament,llm-allocation-v1_3-20260811,high,0,
H2479,anguish,M24,Faintness & Despair,heuristic-family-grouping-v1-20260905,heuristic,0,
H2559,to turn away,M06,Malice & Enmity,auto-precedent,,0,
H2559,to turn away,M11,Turning & Repentance,heuristic-family-grouping-v1-20260905,heuristic,0,
H2638,lacking,M18,Desire & Longing,heuristic-family-grouping-v1-20260905,heuristic,0,
H2638,lacking,M24,Faintness & Despair,auto-precedent,,0,
H2763A,to devote/destroy,M10,Violence & Cruelty,llm-allocation-v1_3-20260811,medium,0,
H2763A,to devote/destroy,M51,Love & Devotion,heuristic-family-grouping-v1-20260905,heuristic,0,
H2764A,devoted thing,M28,Envy & Greed,llm-allocation-v1_3-20260811,medium,0,
H2764A,devoted thing,M51,Love & Devotion,heuristic-family-grouping-v1-20260905,heuristic,0,
H2933,to defile,M01,Fear & Awe,llm-allocation-v1_3-20260811,medium,0,
H2933,to defile,M56,Sin & Guilt,heuristic-family-grouping-v1-20260905,heuristic,0,
H3018,toil,M03,Grief & Lament,llm-allocation-v1_3-20260811,medium,0,
H3018,toil,M24,Faintness & Despair,heuristic-family-grouping-v1-20260905,heuristic,0,
H3191,be good,M05,Kindness & Friendship,heuristic-family-grouping-v1-20260905,heuristic,0,
H3191,be good,M39,Gift & Favor,llm-allocation-v1_3-20260811,medium,0,
H3544,faint,M01,Fear & Awe,llm-allocation-v1_3-20260811,medium,0,
H3544,faint,M24,Faintness & Despair,heuristic-family-grouping-v1-20260905,heuristic,0,
H3559K,to establish: right,M13,Faith & Faithfulness,llm-allocation-v1_3-20260811,medium,0,
H3559K,to establish: right,M23,Strength & Courage,heuristic-family-grouping-v1-20260905,heuristic,0,
H3934,mocking,M06,Malice & Enmity,llm-allocation-v1_3-20260811,low,1,
H3934,mocking,M08,Pride & Arrogance,heuristic-family-grouping-v1-20260905,heuristic,0,
H3985,to refuse,M30,Rebellion & Stubbornness,heuristic-family-grouping-v1-20260905,heuristic,0,
H3985,to refuse,M55,Destruction & Ruin,llm-allocation-v1_3-20260811,medium,0,
H4079,contention,M02,Anger & Wrath,llm-allocation-v1_3-20260811,low,1,
H4079,contention,M10,Violence & Cruelty,heuristic-family-grouping-v1-20260905,heuristic,0,
H4090,strife,M02,Anger & Wrath,llm-allocation-v1_3-20260811,high,0,
H4090,strife,M10,Violence & Cruelty,heuristic-family-grouping-v1-20260905,heuristic,0,
H4272,to wound,M03,Grief & Lament,auto-precedent,,0,
H4272,to wound,M10,Violence & Cruelty,heuristic-family-grouping-v1-20260905,heuristic,0,
H4426,mockery,M06,Malice & Enmity,llm-allocation-v1_3-20260811,low,1,
H4426,mockery,M08,Pride & Arrogance,heuristic-family-grouping-v1-20260905,heuristic,0,
H4485,mocking,M06,Malice & Enmity,llm-allocation-v1_3-20260811,low,1,
H4485,mocking,M08,Pride & Arrogance,heuristic-family-grouping-v1-20260905,heuristic,0,
H4542,poor,M09,Humility & Lowliness,heuristic-family-grouping-v1-20260905,heuristic,0,
H4542,poor,M24,Faintness & Despair,llm-allocation-v1_3-20260811,medium,0,
H4651,refuse,M30,Rebellion & Stubbornness,heuristic-family-grouping-v1-20260905,heuristic,0,
H4651,refuse,M55,Destruction & Ruin,auto-precedent,,0,
H4721,assembly,M05,Kindness & Friendship,auto-precedent,,0,
H4721,assembly,M44,Covenant & Fellowship,heuristic-family-grouping-v1-20260905,heuristic,0,
H4878,faithlessness,M13,Faith & Faithfulness,heuristic-family-grouping-v1-20260905,heuristic,0,
H4878,faithlessness,M31,Faith,llm-allocation-v1_3-20260811,low,1,
H4912,proverb,M23,Strength & Courage,llm-allocation-v1_3-20260811,medium,0,
H4912,proverb,M35,Being Tested,heuristic-family-grouping-v1-20260905,heuristic,0,
H5001,to prophesy,M42,Prayer & Petition,auto-precedent,,0,
H5001,to prophesy,M43,Prophecy & Vision,heuristic-family-grouping-v1-20260905,heuristic,0,
H5002,utterance,M42,Prayer & Petition,llm-allocation-v1_3-20260811,low,1,
H5002,utterance,M65,Speech & Tongue,heuristic-family-grouping-v1-20260905,heuristic,0,
H5013,to prophesy,M42,Prayer & Petition,auto-precedent,,0,
H5013,to prophesy,M43,Prophecy & Vision,heuristic-family-grouping-v1-20260905,heuristic,0,
H5110,to wander,M18,Desire & Longing,llm-allocation-v1_3-20260811,medium,0,
H5110,to wander,M76,Walk & Conduct,heuristic-family-grouping-v1-20260905,heuristic,0,
H5142,to suffer injury,M03,Grief & Lament,llm-allocation-v1_3-20260811,medium,0,
H5142,to suffer injury,M10,Violence & Cruelty,heuristic-family-grouping-v1-20260905,heuristic,0,
H5230,to plot,M06,Malice & Enmity,heuristic-family-grouping-v1-20260905,heuristic,0,
H5230,to plot,M14,Deceit & Falsehood,llm-allocation-v1_3-20260811,medium,0,
H5375P,to lift: vow,M21,Fasting & Piety,llm-allocation-v1_3-20260811,medium,0,
H5375P,to lift: vow,M70,Lifting & Bearing,heuristic-family-grouping-v1-20260905,heuristic,0,
H5535,be silent,M33,Rest & Peace,heuristic-family-grouping-v1-20260905,heuristic,0,
H5535,be silent,M42,Prayer & Petition,llm-allocation-v1_3-20260811,high,0,
H5541A,to reject,M07,Shame & Confusion,llm-allocation-v1_3-20260811,medium,0,
H5541A,to reject,M30,Rebellion & Stubbornness,heuristic-family-grouping-v1-20260905,heuristic,0,
H5590,to rage,M01,Fear & Awe,llm-allocation-v1_3-20260811,medium,0,
H5590,to rage,M02,Anger & Wrath,heuristic-family-grouping-v1-20260905,heuristic,0,
H5607A,mockery,M06,Malice & Enmity,auto-precedent,,0,
H5607A,mockery,M08,Pride & Arrogance,heuristic-family-grouping-v1-20260905,heuristic,0,
H5889,faint,M01,Fear & Awe,llm-allocation-v1_3-20260811,medium,0,
H5889,faint,M24,Faintness & Despair,heuristic-family-grouping-v1-20260905,heuristic,0,
H6032,to answer,M24,Faintness & Despair,auto-precedent,,0,
H6032,to answer,M41,Being Heard,heuristic-family-grouping-v1-20260905,heuristic,0,
H6145,enemy,M06,Malice & Enmity,heuristic-family-grouping-v1-20260905,heuristic,0,
H6145,enemy,M44,Covenant & Fellowship,auto-precedent,,0,
H6463,to groan,M03,Grief & Lament,heuristic-family-grouping-v1-20260905,heuristic,0,
H6463,to groan,M42,Prayer & Petition,llm-allocation-v1_3-20260811,high,0,
H6481,to wound,M03,Grief & Lament,llm-allocation-v1_3-20260811,high,0,
H6481,to wound,M10,Violence & Cruelty,heuristic-family-grouping-v1-20260905,heuristic,0,
H6569,refuse,M30,Rebellion & Stubbornness,heuristic-family-grouping-v1-20260905,heuristic,0,
H6569,refuse,M55,Destruction & Ruin,auto-precedent,,0,
H6574,refuse,M30,Rebellion & Stubbornness,heuristic-family-grouping-v1-20260905,heuristic,0,
H6574,refuse,M55,Destruction & Ruin,auto-precedent,,0,
H6590,to interpret,M43,Prophecy & Vision,auto-precedent,,0,
H6590,to interpret,M63,Reasoning & Interpretation,heuristic-family-grouping-v1-20260905,heuristic,0,
H6601B,to entice,M10,Violence & Cruelty,auto-precedent,,0,
H6601B,to entice,M77,Stumbling & Trial,heuristic-family-grouping-v1-20260905,heuristic,0,
H6622,to interpret,M43,Prophecy & Vision,auto-precedent,,0,
H6622,to interpret,M63,Reasoning & Interpretation,heuristic-family-grouping-v1-20260905,heuristic,0,
H6951,assembly,M05,Kindness & Friendship,auto-precedent,,0,
H6951,assembly,M44,Covenant & Fellowship,heuristic-family-grouping-v1-20260905,heuristic,0,
H6952,assembly,M05,Kindness & Friendship,auto-precedent,,0,
H6952,assembly,M44,Covenant & Fellowship,heuristic-family-grouping-v1-20260905,heuristic,0,
H7602B,to crush,M10,Violence & Cruelty,heuristic-family-grouping-v1-20260905,heuristic,0,
H7602B,to crush,M24,Faintness & Despair,llm-allocation-v1_3-20260811,medium,0,
H7682,to exalt,M08,Pride & Arrogance,auto-precedent,,0,
H7682,to exalt,M22,Praise & Song,heuristic-family-grouping-v1-20260905,heuristic,0,
H7790,enemy,M06,Malice & Enmity,heuristic-family-grouping-v1-20260905,heuristic,0,
H7790,enemy,M44,Covenant & Fellowship,auto-precedent,,0,
H8148,taunt,M06,Malice & Enmity,llm-allocation-v1_3-20260811,medium,0,
H8148,taunt,M08,Pride & Arrogance,heuristic-family-grouping-v1-20260905,heuristic,0,
H8324,enemy,M06,Malice & Enmity,heuristic-family-grouping-v1-20260905,heuristic,0,
H8324,enemy,M44,Covenant & Fellowship,auto-precedent,,0,
H8409,strife,M02,Anger & Wrath,llm-allocation-v1_3-20260811,high,0,
H8409,strife,M10,Violence & Cruelty,heuristic-family-grouping-v1-20260905,heuristic,0,
