cluster,strong,surface
M01,H6206,fear
M01,H6206,feared
M01,H6206,frighten
M01,H6206,frightened
M01,H6206,inspire terror
M01,H6206,strike terror
M01,H6206,terrify
M01,H6342,Fear
M01,H6342,afraid
M01,H6342,awe
M01,H6342,come trembling
M01,H6342,dread
M01,H6342,fear
M01,H6342,fears
M01,H6342,feel
M01,H6342,shake
M01,H6342,terrified
M01,H6342,terror
M01,H6342,thrill
M01,H6343,Dreadful
M01,H6343,Fear
M01,H6343,Terror
M01,H6343,dread
M01,H6343,fear
M01,H6343,great
M01,H6343,panic
M01,H6343,terror
M01,H6343,thing
M01,H6345,fear
M01,H6426,tremble
M01,H6427,horror
M01,H6427,shuddering
M01,H7264,angry
M01,H7264,deeply moved
M01,H7264,disturbed
M01,H7264,enraged
M01,H7264,provoke
M01,H7264,quaked
M01,H7264,quakes
M01,H7264,quarrel
M01,H7264,raged
M01,H7264,rages
M01,H7264,raging
M01,H7264,roused
M01,H7264,shaken
M01,H7264,shakes
M01,H7264,shudder
M01,H7264,stirred up
M01,H7264,tremble
M01,H7264,trembled
M01,H7264,trembles
M01,H7264,turn
M01,H7264,unrest
M01,H7268,trembling
M01,H7269,trembling
M01,H7297,afraid
M01,H7322,tremble
M01,H7374,panic
M01,H7460,trembles
M01,H7460,trembling
M01,H7461A,trembling
M01,H7461B,Trembling
M01,H7461B,trembling
M01,H7578,trembling
M01,H7661,anguish
M01,H8047G,Desolation
M01,H8047G,desolate
M01,H8047G,desolation
M01,H8047G,desolations
M01,H8047G,destroyed
M01,H8047G,waste
M01,H8047H,appalling
M01,H8047H,astonishment
M01,H8047H,dismay
M01,H8047H,horror
M01,H8047H,terror
M01,H8078,dismay
M01,H8175A,bristle
M01,H8175A,bristles
M01,H8175A,shocked
M01,H8175B,away
M01,H8175B,rush
M01,H8175B,sweeps
M01,H8175B,tempest
M01,H8178A,horror
M01,H8186A,horrible thing
M01,H8186B,horrible thing
M01,H8312,cares
M01,H8312,thoughts
M01,H8429,astonished
M01,H8539,amazed
M01,H8539,amazement
M01,H8539,astonished
M01,H8539,astounded
M01,H8539,look aghast
M01,H8539,wonder
M01,H8541,confusion
M01,H8541,panic
M01,H8606,inspire
M02,G0023,indignant
M02,G0023,indignantly
M02,G0024,indignation
M02,G0485,dispute
M02,G0485,disputes
M02,G0485,hostility
M02,G0485,rebellion
M02,G1278,greatly annoyed
M02,G1282,enraged
M02,G1370,dissensions
M02,G1370,divisions
M02,G2042,provoke
M02,G2042,stirred up
M02,G2054,dissension
M02,G2054,dissensions
M02,G2054,quarreling
M02,G2054,rivalry
M02,G2054,strife
M02,G2200,hot
M02,G2213,controversies
M02,G2213,dispute
M02,G2213,question
M02,G2213,questions
M02,G2371,angry
M02,G2372,anger
M02,G2372,enraged
M02,G2372,fury
M02,G2372,passion
M02,G2372,wrath
M02,G2373,became furious
M02,G3055,quarrels about words
M02,G3163,fighting
M02,G3163,fights
M02,G3163,quarrels
M02,G3709,anger
M02,G3709,wrath
M02,G3710,anger
M02,G3710,angry
M02,G3710,became furious
M02,G3710,raged
M02,G3711,quick-tempered
M02,G3859,constant friction
M02,G3947,irritable
M02,G3947,provoked
M02,G3948,sharp disagreement
M02,G3948,stir up
M02,G3949,anger
M02,G3949,angry
M02,G3950,anger
M02,G4088,bitterness
M02,G4292,provoking
M02,G4360,provoked
M02,G5379,dispute
M02,G5380,contentious
M02,G5433,rage
M02,G5520,angry
M02,H0599,angry
M02,H0888,distressed
M02,H1149,angry
M02,H2102,act presumptuously
M02,H2102,acted arrogantly
M02,H2102,acted presumptuously
M02,H2102,cooking
M02,H2102,dealt arrogantly
M02,H2102,presumes
M02,H2102,presumptuously
M02,H2102,proudly defied
M02,H2102,willfully
M02,H2121,raging
M02,H2152,Hot indignation
M02,H2152,burning heat
M02,H2152,scorching
M02,H2194,abhorred
M02,H2194,accursed
M02,H2194,angry
M02,H2194,been angry
M02,H2194,denounce
M02,H2194,denounced
M02,H2194,enraged
M02,H2194,feels
M02,H2194,indignation
M02,H2194,whom
M02,H2195,fury
M02,H2195,indignation
M02,H2195,insolence
M02,H2195,wrath
M02,H2196,angry
M02,H2196,became angry
M02,H2196,rages
M02,H2196,troubled
M02,H2196,worse condition
M02,H2197,furious
M02,H2197,indignation
M02,H2197,rage
M02,H2197,raging
M02,H2197,wrath
M02,H2198,sullen
M02,H2525,hot
M02,H2525,still warm
M02,H2528,furious
M02,H2528,fury
M02,H2534,Wrath
M02,H2534,anger
M02,H2534,angry
M02,H2534,furious
M02,H2534,fury
M02,H2534,heat
M02,H2534,hot displeasure
M02,H2534,hot-tempered
M02,H2534,poison
M02,H2534,rage
M02,H2534,venom
M02,H2534,wrath
M02,H2534,wrathful
M02,H2734,Fret
M02,H2734,angry
M02,H2734,became
M02,H2734,blazed
M02,H2734,burn
M02,H2734,burn hot
M02,H2734,burned
M02,H2734,burned hot
M02,H2734,burns
M02,H2734,fret
M02,H2734,hot
M02,H2734,incensed
M02,H2734,kindled
M02,H2734,repaired
M02,H2734,was
M02,H2734,was angry
M02,H2734,wrath
M02,H2740,ablaze
M02,H2740,burning
M02,H2740,fierce
M02,H2740,fierceness
M02,H2740,fury
M02,H2740,heat
M02,H2740,hot
M02,H2740,sword
M02,H2740,wrath
M02,H2750,fierce
M02,H2750,heat
M02,H2750,hot
M02,H3707,anger
M02,H3707,angry
M02,H3707,become angry
M02,H3707,enraged
M02,H3707,provocation
M02,H3707,provoke
M02,H3707,provoke him to anger
M02,H3707,provoke me
M02,H3707,provoked
M02,H3707,provoking
M02,H3707,provoking him to anger
M02,H3707,trouble
M02,H3708A,Sorrow
M02,H3708A,anger
M02,H3708A,fretful
M02,H3708A,grief
M02,H3708A,grievously
M02,H3708A,indignation
M02,H3708A,provocation
M02,H3708A,provocations
M02,H3708A,provoked
M02,H3708A,vexation
M02,H3708B,vexation
M02,H4066,contention
M02,H4066,quarreling
M02,H4066,strife
M02,H4079,discord
M02,H4079,quarreling
M02,H4079,quarrels
M02,H4079,quarrelsome
M02,H4079,strife
M02,H4090,discord
M02,H4090,strife
M02,H4683,fight
M02,H4683,strife
M02,H4695,contend
M02,H4808,quarreled
M02,H4808,strife
M02,H4809G,Meribah
M02,H4809H,Meribah
M02,H4809H,Meribah-kadesh
M02,H4843,attacked him
M02,H4843,bitter
M02,H4843,bitter distress
M02,H4843,bitter tears
M02,H4843,dealt
M02,H4843,enraged
M02,H4843,firstborn
M02,H4843,had
M02,H4843,rage
M02,H4843,rebel
M02,H4843,weep
M02,H5307K,anger
M02,H5307K,fell
M02,H5359,Vengeance
M02,H5359,avenged
M02,H5359,takes revenge
M02,H5359,vengeance
M02,H5360,Avenge
M02,H5360,avenged
M02,H5360,avenging
M02,H5360,revenge
M02,H5360,revengefully
M02,H5360,vengeance
M02,H5674B,anger
M02,H5674B,angry
M02,H5674B,full
M02,H5674B,full of wrath
M02,H5674B,passing
M02,H5674B,wrath
M02,H5678,fury
M02,H5678,indignation
M02,H5678,insolence
M02,H5678,overflowings
M02,H5678,pride
M02,H5678,wrath
M02,H6225,angry
M02,H6225,smoke
M02,H6440M,anger
M02,H6440M,face
M02,H6696B,adversary
M02,H6696B,harass
M02,H6696B,might attack
M02,H6869C,rival
M02,H7015,Laments
M02,H7015,dirge
M02,H7015,lamentation
M02,H7015,laments
M02,H7065,envied
M02,H7065,envious
M02,H7065,envy
M02,H7065,jealous
M02,H7065,jealousy
M02,H7065,very
M02,H7065,zeal
M02,H7067H,jealous
M02,H7068,envy
M02,H7068,exceedingly
M02,H7068,jealous
M02,H7068,jealousy
M02,H7068,zeal
M02,H7072,jealous
M02,H7107,angered
M02,H7107,angry
M02,H7107,became enraged
M02,H7107,bore
M02,H7107,enraged
M02,H7107,to wrath
M02,H7107,went on
M02,H7107,wrath
M02,H7108,furious
M02,H7109,wrath
M02,H7110A,anger
M02,H7110A,enraged
M02,H7110A,exceedingly
M02,H7110A,indignation
M02,H7110A,was very
M02,H7110A,wrath
M02,H7110B,twig
M02,H7111,splintered
M02,H7265,angered
M02,H7266,rage
M02,H7379,adversary
M02,H7379,case
M02,H7379,cause
M02,H7379,complaint
M02,H7379,contention
M02,H7379,controversy
M02,H7379,dispute
M02,H7379,disputed cases
M02,H7379,fight
M02,H7379,indictment
M02,H7379,lawsuit
M02,H7379,pleadings
M02,H7379,quarrel
M02,H7379,quarreling
M02,H7379,received
M02,H7379,strife
M02,H7379,strive
M02,H8409,hostility
M03,G0214,clanging
M03,G0214,wailing
M03,G0389,sighed deeply
M03,G0928G,torment
M03,G0928G,tormented
M03,G0928G,tormenting
M03,G0928H,agony
M03,G0928H,beaten
M03,G0928H,making headway painfully
M03,G0928H,suffering
M03,G0929,torment
M03,G0930,jailers
M03,G0931,pains
M03,G0931,torment
M03,G1145,wept
M03,G1298,greatly troubled
M03,G1776,causes trouble
M03,G2354,lament
M03,G2354,lamenting
M03,G2354,sang a dirge
M03,G2799,Weep
M03,G2799,mourn
M03,G2799,mourning
M03,G2799,tears
M03,G2799,weep
M03,G2799,weeping
M03,G2799,wept
M03,G2805,weeping
M03,G2875,cut
M03,G2875,mourn
M03,G2875,mourning
M03,G2875,mourning for
M03,G2875,wail
M03,G3076,caused
M03,G3076,caused pain
M03,G3076,distressed
M03,G3076,grief
M03,G3076,grieve
M03,G3076,grieved
M03,G3076,pain
M03,G3076,pained
M03,G3076,sorrowful
M03,G3076,sorry
M03,G3077,grief
M03,G3077,pain
M03,G3077,painful
M03,G3077,reluctantly
M03,G3077,sorrow
M03,G3077,sorrows
M03,G3437,complaint
M03,G3600,anguish
M03,G3600,great distress
M03,G3600,sorrowful
M03,G3601,anguish
M03,G3601,pangs
M03,G3602,lamentation
M03,G3602,mourning
M03,G3649,howl
M03,G3759,Alas
M03,G3759,Woe
M03,G3759,alas
M03,G3759,woe
M03,G3759,woes
M03,G3926,trouble
M03,G3996,mourn
M03,G3996,mourned
M03,G3996,mourning aloud
M03,G3997,mourning
M03,G4036,exceedingly sorry
M03,G4036,sad
M03,G4036,sorrowful
M03,G4087,be harsh
M03,G4087,bitter
M03,G4087,made bitter
M03,G4090,bitterly
M03,G4192,anguish
M03,G4192,pain
M03,G4660,harassed
M03,G4660,trouble
M03,G4660,trouble yourself
M03,G4726,groaning
M03,G4726,groanings
M03,G4778,mistreated
M03,G4818,grieved
M03,G4841,suffer
M03,G4841,suffer together
M03,G4928,anguish
M03,G4928,distress
M03,G4959,groaning together
M03,G5003,wretched
M03,G5015,disturbed
M03,G5015,stirred up
M03,G5015,stirring up
M03,G5015,terrified
M03,G5015,trouble
M03,G5015,troubled
M03,G5015,troubling
M03,G5135,wounded
M03,G5605,birth pains
M03,G5605,childbirth
M03,G5605,labor
M03,H0056,caused mourning
M03,H0056,grieve
M03,H0056,grieved
M03,H0056,lament
M03,H0056,mourn
M03,H0056,mourned
M03,H0056,mourner
M03,H0056,mourning
M03,H0056,mourns
M03,H0057,mourn
M03,H0057,mourners
M03,H0057,mourning
M03,H0060,mourner
M03,H0060,mourning
M03,H0061,Alas
M03,H0061,But
M03,H0061,Nevertheless
M03,H0061,No
M03,H0061,Well
M03,H0061,but
M03,H0061,truth
M03,H0099,grieved
M03,H0109,grieve
M03,H0188,Alas
M03,H0188,Woe
M03,H0188,woe
M03,H0190,Woe
M03,H0337,Woe
M03,H0337,woe
M03,H0480,Woe
M03,H0480,woe
M03,H0535,forlorn
M03,H0535,grown feeble
M03,H0535,languish
M03,H0535,languished
M03,H0535,languishes
M03,H0535,sick
M03,H0535,wither
M03,H0535,withers
M03,H0578,lament
M03,H0578,mourn
M03,H0584,groan
M03,H0584,groaned
M03,H0584,groaning
M03,H0584,groans
M03,H0584,pitied
M03,H0584,sigh
M03,H0585,groaning
M03,H0585,groans
M03,H0585,moaning
M03,H0585,sighing
M03,H0585,sorrow
M03,H0603,groan
M03,H0603,groaning
M03,H0603,groans
M03,H0928,calamity
M03,H0928,panic
M03,H0928,terror
M03,H1058,Weep
M03,H1058,after
M03,H1058,at all
M03,H1058,bewail
M03,H1058,bitterly
M03,H1058,crying
M03,H1058,lament
M03,H1058,lamentation
M03,H1058,more
M03,H1058,weep
M03,H1058,weeping
M03,H1058,weeps
M03,H1058,wept
M03,H1059,bitterly
M03,H1065,Weeping
M03,H1065,aloud
M03,H1065,bitterly
M03,H1065,for
M03,H1065,tears
M03,H1065,trickle
M03,H1065,weep
M03,H1065,weeping
M03,H1065,wept
M03,H1068,weeping
M03,H1670,terror
M03,H1671,languishing
M03,H1742,faint
M03,H1742,sick
M03,H1804,trouble
M03,H1830,bitterly
M03,H1830,weep
M03,H1832,tears
M03,H1832,weeping
M03,H1945,Ah
M03,H1945,Alas
M03,H1945,Come
M03,H1945,Up
M03,H1945,Woe
M03,H1945,Woe to
M03,H2254C,conceives
M03,H2254C,labor
M03,H2256B,agony
M03,H2256B,pain
M03,H2256B,pains
M03,H2256B,pangs
M03,H2256B,sorrows
M03,H2256B,young
M03,H2256M,allotted
M03,H2256M,apportioned
M03,H2256M,cord
M03,H2256M,cords
M03,H2256M,group
M03,H2256M,line
M03,H2256M,lines
M03,H2256M,measuring line
M03,H2256M,portion
M03,H2256M,region
M03,H2256M,rope
M03,H2256M,ropes
M03,H2256M,seacoast
M03,H2256M,snares
M03,H2256M,two portions
M03,H2342I,Writhe
M03,H2342I,afraid
M03,H2342I,agony
M03,H2342I,anguish
M03,H2342I,born
M03,H2342I,great
M03,H2342I,labor
M03,H2342I,labored
M03,H2342I,pain
M03,H2342I,wounded
M03,H2342I,writhe
M03,H2342I,writhed
M03,H2342I,writhes
M03,H2427A,anguish
M03,H2427A,pain
M03,H2427A,pangs
M03,H2470I,appeal
M03,H2470I,grief
M03,H2470I,grieved
M03,H2470I,grievous
M03,H2470I,labor
M03,H2470I,sorry
M03,H2479,anguish
M03,H3015,anguish
M03,H3015,grief
M03,H3015,sighing
M03,H3015,sorrow
M03,H3018,gains
M03,H3018,labor
M03,H3018,labored
M03,H3018,labors
M03,H3018,toil
M03,H3018,wealth
M03,H3018,work
M03,H3213,Wail
M03,H3213,wail
M03,H3213,wailings
M03,H3213,wails
M03,H3215,wail
M03,H3215,wailing
M03,H3499B,bowstrings
M03,H3499B,cord
M03,H3499B,string
M03,H3499B,tent-cord
M03,H3510,ache
M03,H3510,grieved
M03,H3510,hurt them
M03,H3510,pain
M03,H3510,ruin
M03,H3510,sore
M03,H3510,wounds
M03,H3511,distress
M03,H3511,pain
M03,H3511,very
M03,H4157,crushing burden
M03,H4272,crush
M03,H4272,crushed
M03,H4272,pierce
M03,H4272,shatter
M03,H4272,shattered
M03,H4272,shatters
M03,H4272,strike
M03,H4272,through
M03,H4272,wound
M03,H4340,bows
M03,H4340,cords
M03,H4341,pain
M03,H4341,sorrow
M03,H4341,sorrows
M03,H4341,suffering
M03,H4341,sufferings
M03,H4470,bitterness
M03,H4472,bitterness
M03,H4553,be wailing
M03,H4553,lamentation
M03,H4553,lamenting
M03,H4553,mourning
M03,H4553,wailing
M03,H4553,weeps
M03,H4620,torment
M03,H4689,anguish
M03,H4689,distress
M03,H4691,anguish
M03,H4691,distress
M03,H4691,distresses
M03,H4751,bitter
M03,H4751,bitter pain
M03,H4751,bitterly
M03,H4751,bitterness
M03,H4751,deeply
M03,H4751,enraged
M03,H4751,lest angry
M03,H4751,suffers bitterly
M03,H4786,bitter
M03,H4787,bitterness
M03,H4798,mourning
M03,H4814,bitter grief
M03,H4815,poisonous
M03,H4843,attacked him
M03,H4843,bitter
M03,H4843,bitter distress
M03,H4843,bitter tears
M03,H4843,dealt
M03,H4843,enraged
M03,H4843,firstborn
M03,H4843,had
M03,H4843,rage
M03,H4843,rebel
M03,H4843,weep
M03,H4844,bitter herbs
M03,H4844,bitterness
M03,H5009,groaning
M03,H5009,like
M03,H5076,toss
M03,H5091,lamented
M03,H5091,moan
M03,H5091,wail
M03,H5092,bitterly
M03,H5092,lament
M03,H5092,lamentation
M03,H5092,wailing
M03,H5100,growling
M03,H5100,tumult
M03,H5142,hurt
M03,H5142,hurtful
M03,H5142,impaired
M03,H5142,loss
M03,H5204,wailing
M03,H5594,Beat
M03,H5594,lament
M03,H5594,lamented
M03,H5594,mourn
M03,H5594,mourned
M03,H5594,mourners
M03,H5688,bands
M03,H5688,clouds
M03,H5688,corded
M03,H5688,cords
M03,H5688,ropes
M03,H5688,thick boughs
M03,H5688,twisted
M03,H5701,grieved
M03,H5916,Whoever
M03,H5916,bring trouble
M03,H5916,brought trouble
M03,H5916,grew worse
M03,H5916,hurts
M03,H5916,trouble
M03,H5916,trouble befalls
M03,H5916,troubled
M03,H5916,troubler
M03,H5916,troubles
M03,H5999,anguish
M03,H5999,fruit
M03,H5999,hard labor
M03,H5999,hardship
M03,H5999,injustice
M03,H5999,mischief
M03,H5999,miserable
M03,H5999,misery
M03,H5999,oppression
M03,H5999,toil
M03,H5999,toiled
M03,H5999,trouble
M03,H5999,wearisome
M03,H5999,which
M03,H5999,wrong
M03,H6088,anguish
M03,H6089A,anxious
M03,H6089A,harsh
M03,H6089A,labors
M03,H6089A,pain
M03,H6089A,sorrow
M03,H6089A,toil
M03,H6090A,grievous
M03,H6090A,pain
M03,H6093,pain
M03,H6093,painful toil
M03,H6094,for
M03,H6094,sorrow
M03,H6094,sorrows
M03,H6094,trouble
M03,H6094,wounds
M03,H6365,disaster
M03,H6365,misfortune
M03,H6365,ruin
M03,H6470,stir him
M03,H6470,troubled
M03,H6481,bruised
M03,H6481,crushed
M03,H6481,wounded
M03,H6616,cord
M03,H6616,fastened
M03,H6616,lace
M03,H6616,thread
M03,H6616,threads
M03,H6695A,troubled
M03,H6695B,anguish
M03,H6735C,pains
M03,H6735C,pangs
M03,H6862B,Trouble
M03,H6862B,adversity
M03,H6862B,afflicted
M03,H6862B,affliction
M03,H6862B,anguish
M03,H6862B,distress
M03,H6862B,distressed
M03,H6862B,enemies
M03,H6862B,stomach
M03,H6862B,tribulation
M03,H6862B,trouble
M03,H6869B,adversity
M03,H6869B,affliction
M03,H6869B,anguish
M03,H6869B,calamities
M03,H6869B,distress
M03,H6869B,distresses
M03,H6869B,suffering
M03,H6869B,tribulation
M03,H6869B,trouble
M03,H6869B,troubles
M03,H6941,mourning
M03,H6957A,line
M03,H7089,anguish
M03,H7451C,Affliction
M03,H7451C,Disaster
M03,H7451C,adversity
M03,H7451C,affliction
M03,H7451C,afflictions
M03,H7451C,bad
M03,H7451C,calamities
M03,H7451C,calamity
M03,H7451C,danger
M03,H7451C,disaster
M03,H7451C,disasters
M03,H7451C,discomfort
M03,H7451C,doom
M03,H7451C,down ruin
M03,H7451C,famine
M03,H7451C,harm
M03,H7451C,hurt
M03,H7451C,pain
M03,H7451C,plight
M03,H7451C,trouble
M03,H7451C,troubles
M03,H7451C,vile
M03,H7451C,worst
M03,H7451C,wretchedness
M03,H7451I,all
M03,H7451I,dawn
M03,H7451I,evil
M03,H7451I,evil deeds
M03,H7451I,evil intent
M03,H7451I,evil plan
M03,H7451I,evil purpose
M03,H7451I,evil things
M03,H7451I,evildoer
M03,H7451I,evildoing
M03,H7451I,evils
M03,H7451I,exceedingly
M03,H7451I,greatly
M03,H7451I,wickedness
M03,H7451I,wrong
M03,H7451I,wrongdoing
M03,H7879,anxiety
M03,H7879,complaining
M03,H7879,complaint
M03,H7879,meditation
M03,H7879,musing
M03,H7879,talk
M03,H7908,bereft
M03,H7908,children
M03,H7923,bereavement
M03,H8383,toil
M03,H8386,moaning
M03,H8386,mourning
M03,H8424,grief
M03,H8424,sorrow
M03,H8428,provoked
M03,H8563,bitter
M03,H8615A,cord
M03,H8615A,this
M04,G0020,glad
M04,G0020,gladness
M04,G0020,great joy
M04,G0020,joy
M04,G0021,glad
M04,G0021,rejoice
M04,G0021,rejoiced
M04,G0021,rejoices
M04,G0587,pleasing
M04,G0699,pleasing
M04,G0700,displease
M04,G0700,please
M04,G0700,pleased
M04,G0701,pleased
M04,G0701,pleases
M04,G0701,pleasing to
M04,G0701,right
M04,G0780,gladly
M04,G1070,laugh
M04,G2100,please
M04,G2100,pleased
M04,G2100,pleasing
M04,G2106,content
M04,G2106,good pleasure
M04,G2106,pleased
M04,G2106,pleased to
M04,G2106,pleasure
M04,G2106,ready
M04,G2106,we would
M04,G2106,well pleased
M04,G2106,willing
M04,G2114,cheerful
M04,G2114,take heart
M04,G2167,gladness
M04,G2169,gratitude
M04,G2169,thanks
M04,G2169,thanksgiving
M04,G2169,thanksgivings
M04,G2170,thankful
M04,G2174,cheered
M04,G2234,gladly
M04,G2236,gladly
M04,G2236,most gladly
M04,G2237,passions
M04,G2237,pleasure
M04,G2237,pleasures
M04,G2284,amazed
M04,G2292,bold
M04,G2292,confidence
M04,G2292,confidently
