family,cluster,strong,stepGloss
trust-refuge-security,M19,H4009,confidence
trust-refuge-security,M19,H4224B,refuge
trust-refuge-security,M19,H4268,refuge
trust-refuge-security,M19,H4498,refuge
trust-refuge-security,M19,H4581,security
trust-refuge-security,M19,H4733,refuge
trust-refuge-security,M19,H5375O,to lift: trust
trust-refuge-security,M19,H5756,to seek refuge
trust-refuge-security,M19,H7365,to trust
trust-refuge-security,M19,H7514,to lean
trust-refuge-security,M19,H7600,secure
trust-refuge-security,M19,H8172,to lean
trust-refuge-security,M19,H8594,security
trust-refuge-security,M19,H8667,security
trust-refuge-security,M23,G2292,be confident
trust-refuge-security,M31,G4100,to trust (in)
trust-refuge-security,M33,G1879,to rest/rely on
trust-refuge-security,M46,H7600,secure
hope-waiting,M17,G0362,to await
hope-waiting,M17,G4037,to await
hope-waiting,M17,H6960A,to await
hope-waiting,M17,H7663B,to await
hope-waiting,M18,G0603,eager expectation
hope-waiting,M18,G1561,expectation
hope-waiting,M18,G1679,to hope/expect
hope-waiting,M18,G1680,hope
hope-waiting,M18,G4328,to look for
hope-waiting,M18,G4329,expectation
hope-waiting,M18,G7379,to raise hope
hope-waiting,M18,H2442,to wait
hope-waiting,M18,H3175,waiting
hope-waiting,M18,H3176G,to wait: wait
hope-waiting,M18,H3176H,to wait: hope
hope-waiting,M18,H4007,expectation
hope-waiting,M18,H4723B,hope
hope-waiting,M18,H7664,hope
hope-waiting,M18,H8431,hope
hope-waiting,M18,H8615B,hope
fear-of-god-awe,M01,G1167,timidity
fear-of-god-awe,M01,G1168,be timid
fear-of-god-awe,M01,G1169,timid
fear-of-god-awe,M01,G1568,be awe-struck
fear-of-god-awe,M01,G1630,terrified
fear-of-god-awe,M01,G1719,afraid
fear-of-god-awe,M01,G1790,trembling
fear-of-god-awe,M01,G2412,reverent
fear-of-god-awe,M01,G4422,to frighten
fear-of-god-awe,M01,G4423,fear
fear-of-god-awe,M01,G4426,to frighten
fear-of-god-awe,M01,G5141,to tremble
fear-of-god-awe,M01,G5156,trembling
fear-of-god-awe,M01,G5398,fearful
fear-of-god-awe,M01,G5399,to fear
fear-of-god-awe,M01,G5400,fearful thing
fear-of-god-awe,M01,G5401,fear
fear-of-god-awe,M01,G5425,to shudder
fear-of-god-awe,M01,G6015,fear
fear-of-god-awe,M01,G6786,be in awe
fear-of-god-awe,M01,G7898,a terror
fear-of-god-awe,M01,G7899,to strike with terror
fear-of-god-awe,M01,G7904,to awe
fear-of-god-awe,M01,G7949,fear
fear-of-god-awe,M01,H0366,terrible
fear-of-god-awe,M01,H0367,terror
fear-of-god-awe,M01,H0574,terrible
fear-of-god-awe,M01,H1091,terror
fear-of-god-awe,M01,H1161,terror
fear-of-god-awe,M01,H1205,terror
fear-of-god-awe,M01,H1481C,to dread
fear-of-god-awe,M01,H1763,to fear
fear-of-god-awe,M01,H2111,to tremble
fear-of-god-awe,M01,H2112,to tremble
fear-of-god-awe,M01,H2113,trembling
fear-of-god-awe,M01,H2119B,to fear
fear-of-god-awe,M01,H2189,horror
fear-of-god-awe,M01,H2283,terror
fear-of-god-awe,M01,H2342A,to twist: tremble
fear-of-god-awe,M01,H2427B,agony
fear-of-god-awe,M01,H2729,to tremble
fear-of-god-awe,M01,H2730,trembling
fear-of-god-awe,M01,H2731,trembling
fear-of-god-awe,M01,H2844A,terror
fear-of-god-awe,M01,H2847,terror
fear-of-god-awe,M01,H2849,terror
fear-of-god-awe,M01,H2851,terror
fear-of-god-awe,M01,H2866,terror
fear-of-god-awe,M01,H3016,fearing
fear-of-god-awe,M01,H3025,to fear
fear-of-god-awe,M01,H3372G,to fear
fear-of-god-awe,M01,H3372H,to fear: revere
fear-of-god-awe,M01,H3373,afraid
fear-of-god-awe,M01,H3374,fear
fear-of-god-awe,M01,H4032,terror
fear-of-god-awe,M01,H4034,fear
fear-of-god-awe,M01,H4035,fear
fear-of-god-awe,M01,H4036,`Terror on Every Side`
fear-of-god-awe,M01,H4172A,fear
fear-of-god-awe,M01,H4172B,fear
fear-of-god-awe,M01,H4288,terror
fear-of-god-awe,M01,H4637,terror
fear-of-god-awe,M01,H4656,horror
fear-of-god-awe,M01,H4712,terror
fear-of-god-awe,M01,H6178,dreadful
fear-of-god-awe,M01,H6206,to tremble
fear-of-god-awe,M01,H6342,to dread
fear-of-god-awe,M01,H6343,dread
fear-of-god-awe,M01,H6345,dread
fear-of-god-awe,M01,H6426,to shudder
fear-of-god-awe,M01,H6427,shuddering
fear-of-god-awe,M01,H7264,to tremble
fear-of-god-awe,M01,H7268,quivering
fear-of-god-awe,M01,H7269,quivering
fear-of-god-awe,M01,H7297,to fear
fear-of-god-awe,M01,H7322,to tremble
fear-of-god-awe,M01,H7374,panic
fear-of-god-awe,M01,H7460,to tremble
fear-of-god-awe,M01,H7461A,trembling
fear-of-god-awe,M01,H7461B,trembling
fear-of-god-awe,M01,H7578,trembling
fear-of-god-awe,M01,H7661,agony
fear-of-god-awe,M01,H8047G,horror: destroyed
fear-of-god-awe,M01,H8047H,horror: appalled
fear-of-god-awe,M01,H8078,horror
fear-of-god-awe,M01,H8175A,to shudder
fear-of-god-awe,M01,H8178A,shuddering
fear-of-god-awe,M01,H8186A,horror
fear-of-god-awe,M01,H8186B,horror
fear-of-god-awe,M01,H8429,be startled
fear-of-god-awe,M01,H8541,bewilderment
fear-of-god-awe,M01,H8606,terror
fear-of-god-awe,M03,H2427A,agony
fear-of-god-awe,M21,G2124,reverence
fear-of-god-awe,M21,G2125,to revere
fear-of-god-awe,M21,G2317,reverence for God
fear-of-god-awe,M24,H4712,terror
worship-prostration-service,M21,G4574,object of worship
worship-prostration-service,M21,H6282A,worshiper
worship-prostration-service,M22,G4352,to worship
worship-prostration-service,M22,G4573,to worship
worship-prostration-service,M36,G1247,to serve
worship-prostration-service,M36,G1248,service
worship-prostration-service,M36,G2322,service
worship-prostration-service,M36,G2323,to serve/heal
worship-prostration-service,M36,G3000,to minister
worship-prostration-service,M36,G4332,to sit near/serve
worship-prostration-service,M36,G5256,to serve
worship-prostration-service,M36,H5647G,to serve
worship-prostration-service,M36,H5647H,to serve: minister
worship-prostration-service,M36,H5647I,to serve: labour
worship-prostration-service,M36,H5647J,to serve: burden
worship-prostration-service,M36,H5649,servant/slave
worship-prostration-service,M36,H5650,servant/slave
worship-prostration-service,M36,H5656G,service
worship-prostration-service,M36,H5656H,service: ministry
worship-prostration-service,M36,H5656I,service: work
worship-prostration-service,M36,H5657,service
worship-prostration-service,M36,H5673,service
worship-prostration-service,M36,H6399,to serve
worship-prostration-service,M36,H6402,service
worship-prostration-service,M36,H6633,to serve
worship-prostration-service,M36,H6642,to serve
worship-prostration-service,M36,H8334,to minister
praise-extol-sing,M08,G5251,to exalt
praise-extol-sing,M08,H7311A,to exalt
praise-extol-sing,M08,H7426,be exalted
praise-extol-sing,M08,H7682,to exalt
praise-extol-sing,M22,G0133,praise
praise-extol-sing,M22,G0134,to praise
praise-extol-sing,M22,G0136,praise
praise-extol-sing,M22,G0437,to praise
praise-extol-sing,M22,G1391,glory
praise-extol-sing,M22,G1392,to glorify
praise-extol-sing,M22,G1740,be glorified
praise-extol-sing,M22,G1867,to praise
praise-extol-sing,M22,G1868,praise
praise-extol-sing,M22,G2127,to praise/bless
praise-extol-sing,M22,G2128,praiseworthy
praise-extol-sing,M22,G2129,praise
praise-extol-sing,M22,G3170,to magnify
praise-extol-sing,M22,G5214,to praise
praise-extol-sing,M22,G5567,to sing praise
praise-extol-sing,M22,G6165,praise
praise-extol-sing,M22,G7765,to sing praise
praise-extol-sing,M22,H1431,to magnify
praise-extol-sing,M22,H1925,glory
praise-extol-sing,M22,H1926,glory
praise-extol-sing,M22,H1960,praise
praise-extol-sing,M22,H1974,praise
praise-extol-sing,M22,H1984B,to boast: praise
praise-extol-sing,M22,H2172,melody
praise-extol-sing,M22,H3029,to praise
praise-extol-sing,M22,H3519,glory
praise-extol-sing,M22,H4110,praise
praise-extol-sing,M22,H4210,melody
praise-extol-sing,M22,H7318,extolling
praise-extol-sing,M22,H7623B,to praise
praise-extol-sing,M22,H7624,to praise
praise-extol-sing,M22,H8416,praise
praise-extol-sing,M42,G0103,to sing
praise-extol-sing,M42,G5603,song
praise-extol-sing,M42,H2158,song
praise-extol-sing,M42,H2167,to sing
praise-extol-sing,M42,H2176,song
praise-extol-sing,M42,H7438,song
praise-extol-sing,M42,H7442B,to sing
praise-extol-sing,M42,H7891,to sing
praise-extol-sing,M42,H7892A,song
praise-extol-sing,M42,H7892B,song
thanksgiving,M04,G2169,thankfulness
thanksgiving,M04,G2170,thankful
thanksgiving,M21,G2168,to thank
thanksgiving,M22,H3034,to give thanks
thanksgiving,M22,H8426,thanksgiving
blessing-benediction,M04,G3108,blessedness
blessing-benediction,M22,H1293,blessing
blessing-benediction,M39,G1757,be blessed
blessing-benediction,M39,G3106,to bless
blessing-benediction,M39,G3107,blessed
blessing-benediction,M39,G6050,to bless
blessing-benediction,M39,H0833,to bless
blessing-benediction,M39,H0835,blessed
blessing-benediction,M39,H1288,to bless
blessing-benediction,M39,H1289,to bless
joy-gladness,M04,G0020,joy
joy-gladness,M04,G0021,to rejoice
joy-gladness,M04,G0700,to please
joy-gladness,M04,G0780,gladly
joy-gladness,M04,G1070,to laugh
joy-gladness,M04,G2100,to please
joy-gladness,M04,G2114,be cheerful
joy-gladness,M04,G2167,joy
joy-gladness,M04,G2174,be glad
joy-gladness,M04,G2234,gladly
joy-gladness,M04,G2236,most gladly
joy-gladness,M04,G2431,cheerful
joy-gladness,M04,G3685,to have joy
joy-gladness,M04,G4796,to rejoice with
joy-gladness,M04,G5463,to rejoice
joy-gladness,M04,G5479,joy
joy-gladness,M04,G6110,a leap for joy
joy-gladness,M04,G7471,to rejoice at
joy-gladness,M04,G7953,to rejoice against
joy-gladness,M04,G8946,to rejoice with
joy-gladness,M04,H1082,be cheerful
joy-gladness,M04,H1361,to exult
joy-gladness,M04,H1523,to rejoice
joy-gladness,M04,H1524A,rejoicing
joy-gladness,M04,H1525,rejoicing
joy-gladness,M04,H2302,to rejoice
joy-gladness,M04,H2304,joy
joy-gladness,M04,H2305,joy
joy-gladness,M04,H4010,cheer
joy-gladness,M04,H4885,rejoicing
joy-gladness,M04,H5207,soothing
joy-gladness,M04,H5208,soothing
joy-gladness,M04,H5539,to rejoice
joy-gladness,M04,H5937,to exult
joy-gladness,M04,H5938,exultant
joy-gladness,M04,H5947,jubilant
joy-gladness,M04,H5951,exultation
joy-gladness,M04,H5965,to rejoice
joy-gladness,M04,H5970,to rejoice
joy-gladness,M04,H6149,to please
joy-gladness,M04,H6711,to laugh
joy-gladness,M04,H7797,to rejoice
joy-gladness,M04,H7832,to laugh
joy-gladness,M04,H8055,to rejoice
joy-gladness,M04,H8056,glad
joy-gladness,M04,H8057,joy
joy-gladness,M04,H8342,rejoicing
joy-gladness,M08,H1361,to exult
faith-faithfulness-truth,M12,G0040H,holy: saint
faith-faithfulness-truth,M12,H6918H,holy: saint
faith-faithfulness-truth,M13,G0225,truth
faith-faithfulness-truth,M13,G0226,be truthful
faith-faithfulness-truth,M13,G0227,true
faith-faithfulness-truth,M13,G0228,true
faith-faithfulness-truth,M13,G4103,faithful
faith-faithfulness-truth,M13,H0529,faithful
faith-faithfulness-truth,M13,H0530,faithfulness
faith-faithfulness-truth,M13,H0539,be faithful
faith-faithfulness-truth,M13,H0544,faithfulness
faith-faithfulness-truth,M13,H0571G,truth: faithful
faith-faithfulness-truth,M13,H0571H,truth: true
faith-faithfulness-truth,M13,H0571I,truth: certain
faith-faithfulness-truth,M13,H7187,truth
faith-faithfulness-truth,M13,H7189B,truth
faith-faithfulness-truth,M21,G2318,godly
faith-faithfulness-truth,M21,G4576,be devout
faith-faithfulness-truth,M31,G2126,devout
faith-faithfulness-truth,M31,G3640,of little faith
faith-faithfulness-truth,M31,G4102G,faith
faith-faithfulness-truth,M31,G4102H,faith: faithfulness
faith-faithfulness-truth,M31,G6066,little faith
faith-faithfulness-truth,M31,H4878,faithlessness
love-devotion,M02,G5379,love of dispute
love-devotion,M05,G0025,to love
love-devotion,M05,G0026,love
love-devotion,M05,G4375,lovely
love-devotion,M05,G5358,lover of good
love-devotion,M05,G5360,brotherly love
love-devotion,M05,G5368,to love
love-devotion,M05,G5387,affectionate
love-devotion,M05,G7493,to love passionately
love-devotion,M05,H0157G,to love: lover
love-devotion,M05,H0157H,to love: friend
love-devotion,M05,H0158,lover
love-devotion,M05,H0159,beloved
love-devotion,M05,H0160,love
love-devotion,M05,H2245,to love
love-devotion,M05,H3033,beloved
love-devotion,M05,H3039B,love
love-devotion,M05,H4998,be lovely
love-devotion,M05,H5000,lovely
love-devotion,M10,H2763A,to devote/destroy
love-devotion,M28,G5365,love of money
love-devotion,M28,H2764A,devoted thing
grace-mercy-compassion,M05,G0415,merciless
grace-mercy-compassion,M05,G0448,merciless
grace-mercy-compassion,M05,G1653,to have mercy
grace-mercy-compassion,M05,G1655,merciful
grace-mercy-compassion,M05,G1656,mercy
grace-mercy-compassion,M05,G2155,compassionate
grace-mercy-compassion,M05,G3627,to have compassion
grace-mercy-compassion,M05,G3628,compassion
grace-mercy-compassion,M05,G3629,compassionate
grace-mercy-compassion,M05,G4184,very compassionate
grace-mercy-compassion,M05,G4697,to pity
grace-mercy-compassion,M05,G5544,kindness
grace-mercy-compassion,M05,G7451,to show compassion
grace-mercy-compassion,M05,G8849,full of mercy
grace-mercy-compassion,M05,H2347,to pity
grace-mercy-compassion,M05,H2551,compassion
grace-mercy-compassion,M05,H2617A,kindness
grace-mercy-compassion,M05,H4263,compassion
grace-mercy-compassion,M05,H5375Q,to lift: kindness
grace-mercy-compassion,M05,H6440N,face: kindness
grace-mercy-compassion,M05,H7349,compassionate
grace-mercy-compassion,M05,H7355,to have compassion
grace-mercy-compassion,M05,H7356B,compassion
grace-mercy-compassion,M05,H7359,compassion
grace-mercy-compassion,M05,H7362,compassionate
grace-mercy-compassion,M38,G2436,propitious/gracious
grace-mercy-compassion,M39,G5483,to give grace
grace-mercy-compassion,M39,G5485,grace
grace-mercy-compassion,M39,H2587,gracious
grace-mercy-compassion,M39,H2603A,be gracious
grace-mercy-compassion,M39,H2604,be gracious
desire-longing-appetite,M02,G7600,jealousy
desire-longing-appetite,M02,G7601,jealousy
desire-longing-appetite,M02,H7065,be jealous
desire-longing-appetite,M02,H7067H,jealous
desire-longing-appetite,M02,H7068,jealousy
desire-longing-appetite,M02,H7072,jealous
desire-longing-appetite,M04,G0587,pleasing
desire-longing-appetite,M04,G0699,pleasing
desire-longing-appetite,M04,G0701,pleasing
desire-longing-appetite,M04,G2106,to delight
desire-longing-appetite,M04,G2237,pleasure
desire-longing-appetite,M04,G4913,to delight
desire-longing-appetite,M04,G7936,to delight
desire-longing-appetite,M04,H2531,delight
desire-longing-appetite,M04,H2654A,to delight in
desire-longing-appetite,M04,H2655,delighting
desire-longing-appetite,M04,H2656,pleasure
desire-longing-appetite,M04,H2896A,pleasant
desire-longing-appetite,M04,H5273A,pleasant
desire-longing-appetite,M04,H5276,be pleasant
desire-longing-appetite,M04,H5278,pleasantness
desire-longing-appetite,M04,H5282,pleasantness
desire-longing-appetite,M04,H5730B,delight
desire-longing-appetite,M04,H6026,to delight
desire-longing-appetite,M04,H6027,delight
desire-longing-appetite,M04,H7470,pleasure
desire-longing-appetite,M04,H8173B,to delight
desire-longing-appetite,M04,H8191,delight
desire-longing-appetite,M18,G1937,to long for
desire-longing-appetite,M18,G1971,to long for
desire-longing-appetite,M18,G1972,longing
desire-longing-appetite,M18,G1973,longed for
desire-longing-appetite,M18,G1974,longing
desire-longing-appetite,M18,G2375,long shield
desire-longing-appetite,M18,G2863,be long-haired
desire-longing-appetite,M18,G3117,long/distant
desire-longing-appetite,M18,G3118,long-lived
desire-longing-appetite,M18,G3713,to aspire
desire-longing-appetite,M18,G5389,to aspire
desire-longing-appetite,M18,G7383,longed for
desire-longing-appetite,M18,G7808,with long sleeves
desire-longing-appetite,M18,G8232,long-lived
desire-longing-appetite,M18,G8859,to delay long
desire-longing-appetite,M18,G8860,long-lived
desire-longing-appetite,M18,H2968,to long
desire-longing-appetite,M18,H3616,longing
desire-longing-appetite,M18,H3700,to long
desire-longing-appetite,M18,H6446,long-sleeved
desire-longing-appetite,M18,H7469,longing
desire-longing-appetite,M18,H7602A,to long for
desire-longing-appetite,M18,H8375,longing
desire-longing-appetite,M21,G2205,zeal
desire-longing-appetite,M21,G2207,zealot
desire-longing-appetite,M21,G2208,Zealot
desire-longing-appetite,M21,G2581,Zealot
desire-longing-appetite,M24,H2638,lacking
desire-longing-appetite,M28,G1939,desire
desire-longing-appetite,M28,G2237,pleasure
desire-longing-appetite,M28,G2442,to desire
desire-longing-appetite,M28,G2691,to desire
desire-longing-appetite,M28,G5369,pleasure-loving
desire-longing-appetite,M28,G7410,desire
desire-longing-appetite,M28,H0183,to desire
desire-longing-appetite,M28,H0185,desire
desire-longing-appetite,M28,H1942,desire
desire-longing-appetite,M28,H2530A,to desire
desire-longing-appetite,M28,H2532A,desire
desire-longing-appetite,M28,H2836A,to desire
desire-longing-appetite,M28,H2837,desire
desire-longing-appetite,M28,H4261,desire
desire-longing-appetite,M28,H7067G,Jealous [God]
desire-longing-appetite,M28,H8378,desire
desire-longing-appetite,M28,H8669,desire
desire-longing-appetite,M29,G1372,to thirst
desire-longing-appetite,M29,G1373,thirst
desire-longing-appetite,M29,G1938,one who desires
desire-longing-appetite,M29,G20833,yearn for
desire-longing-appetite,M29,G2307,will/desire
desire-longing-appetite,M29,G2309,to will/desire
desire-longing-appetite,M29,G7114,craving
desire-longing-appetite,M29,G8013,to crave for strange food
desire-longing-appetite,M29,H0035,desire
desire-longing-appetite,M29,H0404,to crave
desire-longing-appetite,M29,H3970,desire
desire-longing-appetite,M29,H6165,to long for
desire-longing-appetite,M29,H6770,to thirst
desire-longing-appetite,M29,H6772,thirst
desire-longing-appetite,M29,H8373,to long for
desire-longing-appetite,M39,H2895,be pleasing
prayer-petition-crying-out,M03,G3437,complaint
prayer-petition-crying-out,M03,H7879,complaint
prayer-petition-crying-out,M05,G3870,to plead/comfort
prayer-petition-crying-out,M21,G1162,petition
prayer-petition-crying-out,M21,G1189,to pray
prayer-petition-crying-out,M21,G2171,a vow/prayer
prayer-petition-crying-out,M21,G2172,to pray/wish for
prayer-petition-crying-out,M21,G2428,supplication
prayer-petition-crying-out,M21,G4335,prayer
prayer-petition-crying-out,M21,G4336,to pray
prayer-petition-crying-out,M21,H1159,petition
prayer-petition-crying-out,M21,H4862,petition
prayer-petition-crying-out,M21,H6279,to pray
prayer-petition-crying-out,M21,H6419,to pray
prayer-petition-crying-out,M21,H6739,to pray
prayer-petition-crying-out,M21,H7596,petition
prayer-petition-crying-out,M21,H8467,supplication
prayer-petition-crying-out,M21,H8469,supplication
prayer-petition-crying-out,M21,H8605,prayer
prayer-petition-crying-out,M30,G0524,to become callous
prayer-petition-crying-out,M31,G2821,calling
prayer-petition-crying-out,M31,G2822,called
prayer-petition-crying-out,M31,G5581,falsely called
prayer-petition-crying-out,M37,G1793,to call on
prayer-petition-crying-out,M37,G1941,to call (on)/name
prayer-petition-crying-out,M37,G1951,to call/choose
prayer-petition-crying-out,M37,G2564G,to call: call
prayer-petition-crying-out,M37,G2564H,to call: name
prayer-petition-crying-out,M37,G4341,to call to/summon
prayer-petition-crying-out,M37,G4377,to call to/summon
prayer-petition-crying-out,M37,G4779,to call together
prayer-petition-crying-out,M37,G6285,to call by name
prayer-petition-crying-out,M37,G7099,to call forth
prayer-petition-crying-out,M37,G7115,to call into account
prayer-petition-crying-out,M37,H7121G,to call: call to
prayer-petition-crying-out,M37,H7121H,to call: call by
prayer-petition-crying-out,M37,H7121I,to call: call out
prayer-petition-crying-out,M37,H7121J,to call: read out
prayer-petition-crying-out,M42,G0310,to cry out
prayer-petition-crying-out,M42,G0994,to cry out
prayer-petition-crying-out,M42,G2896,to cry
prayer-petition-crying-out,M42,G5455,to call
prayer-petition-crying-out,M42,H2199,to cry out
prayer-petition-crying-out,M42,H2200,to cry out
prayer-petition-crying-out,M42,H2980,to cry
prayer-petition-crying-out,M42,H6670A,to cry out
prayer-petition-crying-out,M42,H6681,to cry aloud
prayer-petition-crying-out,M42,H6817,to cry
prayer-petition-crying-out,M42,H6818,cry
prayer-petition-crying-out,M42,H6873,to cry
prayer-petition-crying-out,M42,H7440,cry
prayer-petition-crying-out,M42,H7768,to cry
prayer-petition-crying-out,M42,H7769,cry
prayer-petition-crying-out,M42,H7773,to cry
prayer-petition-crying-out,M42,H7775,cry
being-heard-listening,M21,G1522,to listen to
being-heard-listening,M21,G1873,to listen to
being-heard-listening,M21,G1874,to listen ro
being-heard-listening,M24,G0611,to answer
being-heard-listening,M24,H6032,to answer
being-heard-listening,M41,G0189,hearing
being-heard-listening,M41,H0238,to listen
being-heard-listening,M41,H4926,hearing
being-heard-listening,M41,H7181,to listen
being-heard-listening,M41,H8085G,to hear: hear
being-heard-listening,M41,H8085H,to hear: obey
being-heard-listening,M41,H8085I,to hear: proclaim
being-heard-listening,M41,H8085J,to hear: understand
being-heard-listening,M41,H8085K,to hear: judge
being-heard-listening,M41,H8085L,to hear: welcome
being-heard-listening,M42,G0612,answer
being-heard-listening,M42,H4617,answer
knowing-understanding,M14,G3191,to meditate/plot
knowing-understanding,M15,G0143,to perceive
knowing-understanding,M15,G0333,to contemplate
knowing-understanding,M15,G1097,to know
knowing-understanding,M15,G1108,knowledge
knowing-understanding,M15,G1270,thought
knowing-understanding,M15,G1380,to think
knowing-understanding,M15,G1425,hard to understand
knowing-understanding,M15,G1492G,to perceive: understand
knowing-understanding,M15,G1492I,to perceive: know
knowing-understanding,M15,G1760,to reflect on
knowing-understanding,M15,G1761,reflection
knowing-understanding,M15,G1771,thought/purpose
knowing-understanding,M15,G1922,knowledge
knowing-understanding,M15,G1963,thought
knowing-understanding,M15,G1987,to know/understand
knowing-understanding,M15,G1990,knowing
knowing-understanding,M15,G2467,to know
knowing-understanding,M15,G2529,to perceive
knowing-understanding,M15,G2924,discerning
knowing-understanding,M15,G3053,thought
knowing-understanding,M15,G3539,to understand
knowing-understanding,M15,G3540,mind/thought
knowing-understanding,M15,G3543,to think
knowing-understanding,M15,G4907,understanding
knowing-understanding,M15,G4920,to understand
knowing-understanding,M15,G4993,be of sound mind
knowing-understanding,M15,G5424,thinking
knowing-understanding,M15,G5428,understanding
knowing-understanding,M15,G5429,thoughtful
knowing-understanding,M15,G6063,to know
knowing-understanding,M15,G6140,meditation
knowing-understanding,M15,G7243,a thought
knowing-understanding,M15,G7396,knowledge
knowing-understanding,M15,G7454,higher knowledge
knowing-understanding,M15,G8281,meditation
knowing-understanding,M15,H0995,to understand
knowing-understanding,M15,H0998,understanding
knowing-understanding,M15,H0999,understanding
knowing-understanding,M15,H1843,knowledge
knowing-understanding,M15,H1844,knowledge
knowing-understanding,M15,H1847,knowledge
knowing-understanding,M15,H1900,meditation
knowing-understanding,M15,H1901,meditation
knowing-understanding,M15,H1902H,meditation
knowing-understanding,M15,H2803J,to devise: think
knowing-understanding,M15,H2938,to perceive
knowing-understanding,M15,H3045,to know
knowing-understanding,M15,H3046,to know
knowing-understanding,M15,H3321,to know
knowing-understanding,M15,H4093,knowledge
knowing-understanding,M15,H4486,knowledge
knowing-understanding,M15,H4609A,thought
knowing-understanding,M15,H6245B,to think
knowing-understanding,M15,H6248,thought
knowing-understanding,M15,H6250,thought
knowing-understanding,M15,H7454,thought
knowing-understanding,M15,H7476,thought
knowing-understanding,M15,H7760K,to set: consider
knowing-understanding,M15,H7808,thought
knowing-understanding,M15,H7878,to muse
knowing-understanding,M15,H7881,meditation
knowing-understanding,M15,H7896K,to set: consider
knowing-understanding,M15,H7920,to contemplate
knowing-understanding,M15,H7922,understanding
knowing-understanding,M15,H8175C,to know
knowing-understanding,M15,H8394,understanding
knowing-understanding,M37,G4267,to know/choose
knowing-understanding,M41,H0239,to ponder
knowing-understanding,M43,G1253,discernment
knowing-understanding,M45,G3328,to change mind
knowing-understanding,M47,G1271,mind
knowing-understanding,M47,G3510,mind
knowing-understanding,M47,G3563,mind
knowing-understanding,M47,G4993,be of sound mind
knowing-understanding,M47,H1079,mind
wisdom-folly-teaching,M05,G2567,teaching good
wisdom-folly-teaching,M14,G3834,craftiness
wisdom-folly-teaching,M14,G3835,crafty
wisdom-folly-teaching,M14,H6195,craftiness
