cluster_code,strong,stepTransliteration,stepGloss,verse_id,osisId,span_id,morph_code,role,resolved_sense,gloss_consistent_in_verse,surface
M10c,H2931,ta.me,unclean,17461,Deut.14.8,768855,HAamsa,content,"unclean, impure; ethically and religiously; ritually; of places",1,unclean
M10c,H2931,ta.me,unclean,17464,Deut.15.22,768881,HAamsa,content,"unclean, impure; ethically and religiously; ritually; of places",1,unclean
M10c,H2930A,ta.me,to defile,17415,Deut.21.23,768254,HVpi2ms,content,"to be unclean, become unclean, become impure; to defile; sexually; religiously; ceremonially; to pronounce unclean, declare unclean (ceremonially); to profane (God's name)",1,defile
M10c,H2930A,ta.me,to defile,381,Deut.24.4,538708,HVup3fs,content,"to be unclean, become unclean, become impure; to be defiled",1,defiled
M10c,H2931,ta.me,unclean,14565,Deut.26.14,734323,HAamsa,content,"unclean, impure; ethically and religiously; ritually; of places",1,unclean
M10c,H2931,ta.me,unclean,14907,Eccl.9.2,738019,HAamsa,content,"unclean, impure; ethically and religiously; ritually; of places",1,unclean
M10c,G0167,akatharsia,impurity,17180,Eph.4.19,765683,N-GSF,content,"impurity, a state of moral filthiness, especially in relation to sexual sin; uncleanness; lewdness | lsj: uncleanness, foulness; dirt, filth; depravity; ceremonial impurity | mounce: impurity, a state of moral filthiness, especially in relation to sexual sin",1,impurity
M10c,G0167,akatharsia,impurity,9228,Eph.5.3,662912,N-NSF,content,"impurity, a state of moral filthiness, especially in relation to sexual sin; uncleanness; lewdness | lsj: uncleanness, foulness; dirt, filth; depravity; ceremonial impurity | mounce: impurity, a state of moral filthiness, especially in relation to sexual sin",1,impurity
M10c,G0169,akathartos,unclean,1991,Eph.5.5,561027,A-NSM,content,"impure, unclean; lewd; foul; evil | lsj: uncleansed, foul, quae menstrua non habet; unpurified; morally unclean, impure, thou beast!; notpurgedaway, unpurged; unpruned; ceremonially unclean; not sifted, containing impurities; not fit for cleansing | mounce: unclean, evil",1,impure
M10c,H2930A,ta.me,to defile,17419,Ezek.14.11,768314,HVti3mp,content,"to be unclean, become unclean, become impure; to be unclean",1,defile
M10c,H2930A,ta.me,to defile,17421,Ezek.18.11,768351,HVpp3ms,content,"to be unclean, become unclean, become impure; to defile; sexually; religiously; ceremonially; to pronounce unclean, declare unclean (ceremonially); to profane (God's name)",1,defiles
M10c,H2930A,ta.me,to defile,17422,Ezek.18.15,768366,HVpp3ms,content,"to be unclean, become unclean, become impure; to defile; sexually; religiously; ceremonially; to pronounce unclean, declare unclean (ceremonially); to profane (God's name)",1,defile
M10c,H2930A,ta.me,to defile,17420,Ezek.18.6,768337,HVpp3ms,content,"to be unclean, become unclean, become impure; to defile; sexually; religiously; ceremonially; to pronounce unclean, declare unclean (ceremonially); to profane (God's name)",1,defile
M10c,H5079,nid.dah,impurity,17420,Ezek.18.6,768342,HNcfsa,content,"impurity, filthiness, menstruous, set apart; impurity; of ceremonial impurity; of menstruation; impure thing (fig.); of idolatry, immorality",1,menstrual impurity
M10c,H2930A,ta.me,to defile,12001,Ezek.20.18,702007,HVtj2mp,content,"to be unclean, become unclean, become impure; to be unclean",1,defile
M10c,H2930A,ta.me,to defile,14281,Ezek.20.26,730722,HVpw1cs,content,"to be unclean, become unclean, become impure; to defile; sexually; religiously; ceremonially; to pronounce unclean, declare unclean (ceremonially); to profane (God's name)",1,defiled
M10c,H2930A,ta.me,to defile,339,Ezek.20.30,538157,HVNrmpa,content,"to be unclean, become unclean, become impure; to defile oneself, be defiled; sexually; by idolatry; ceremonially; to be regarded as unclean",1,defile
M10c,H2930A,ta.me,to defile,17423,Ezek.20.31,768376,HVNrmpa,content,"to be unclean, become unclean, become impure; to defile oneself, be defiled; sexually; by idolatry; ceremonially; to be regarded as unclean",1,defile
M10c,H2930A,ta.me,to defile,17424,Ezek.20.43,768398,HVNp2mp,content,"to be unclean, become unclean, become impure; to defile oneself, be defiled; sexually; by idolatry; ceremonially; to be regarded as unclean",1,defiled
M10c,H2930A,ta.me,to defile,337,Ezek.20.7,538119,HVtj2mp,content,"to be unclean, become unclean, become impure; to be unclean",1,defile
M10c,H2931,ta.me,unclean,7503,Ezek.22.10,637617,HAafsc,content,"unclean, impure; ethically and religiously; ritually; of places",1,menstrual impurity
M10c,H5079,nid.dah,impurity,7503,Ezek.22.10,637616,HNcfsa,content,"impurity, filthiness, menstruous, set apart; impurity; of ceremonial impurity; of menstruation; impure thing (fig.); of idolatry, immorality",1,unclean
M10c,H2930A,ta.me,to defile,453,Ezek.22.11,539687,HVpp3ms,content,"to be unclean, become unclean, become impure; to defile; sexually; religiously; ceremonially; to pronounce unclean, declare unclean (ceremonially); to profane (God's name)",1,defiles
M10c,H2931,ta.me,unclean,7290,Ezek.22.26,634890,HAamsa,content,"unclean, impure; ethically and religiously; ritually; of places",1,unclean
M10c,H2930A,ta.me,to defile,12017,Ezek.22.3,702214,HVqcc,content,"to be unclean, become unclean, become impure; to be or become unclean; sexually; religiously; ceremonially",1,defile
M10c,H2930A,ta.me,to defile,12421,Ezek.22.4,707828,HVqp2fs,content,"to be unclean, become unclean, become impure; to be or become unclean; sexually; religiously; ceremonially",1,defiled
M10c,H2931,ta.me,unclean,13659,Ezek.22.5,723377,HAafsc,content,"unclean, impure; ethically and religiously; ritually; of places",1,defiled
M10c,H2930A,ta.me,to defile,17426,Ezek.23.13,768419,HVNp3fs,content,"to be unclean, become unclean, become impure; to defile oneself, be defiled; sexually; by idolatry; ceremonially; to be regarded as unclean",1,defiled
M10c,H2930A,ta.me,to defile,17427,Ezek.23.17,768428,HVpw3mp,content,"to be unclean, become unclean, become impure; to defile; sexually; religiously; ceremonially; to pronounce unclean, declare unclean (ceremonially); to profane (God's name)",1,defiled
M10c,H2930A,ta.me,to defile,17427,Ezek.23.17,768430,HVqw3fs,content,"to be unclean, become unclean, become impure; to be or become unclean; sexually; religiously; ceremonially",1,defiled
M10c,H2930A,ta.me,to defile,17428,Ezek.23.30,768440,HVNp2fs,content,"to be unclean, become unclean, become impure; to defile oneself, be defiled; sexually; by idolatry; ceremonially; to be regarded as unclean",1,defiled
M10c,H2930A,ta.me,to defile,7291,Ezek.23.38,634899,HVpp3cp,content,"to be unclean, become unclean, become impure; to defile; sexually; religiously; ceremonially; to pronounce unclean, declare unclean (ceremonially); to profane (God's name)",1,defiled
M10c,H2930A,ta.me,to defile,17425,Ezek.23.7,768412,HVNp3fs,content,"to be unclean, become unclean, become impure; to defile oneself, be defiled; sexually; by idolatry; ceremonially; to be regarded as unclean",1,defiled
M10c,H2930A,ta.me,to defile,455,Ezek.33.26,539713,HVpp2mp,content,"to be unclean, become unclean, become impure; to defile; sexually; religiously; ceremonially; to pronounce unclean, declare unclean (ceremonially); to profane (God's name)",1,defiles
M10c,H2930A,ta.me,to defile,17429,Ezek.36.17,768451,HVpw3mp,content,"to be unclean, become unclean, become impure; to defile; sexually; religiously; ceremonially; to pronounce unclean, declare unclean (ceremonially); to profane (God's name)",1,defiled
M10c,H5079,nid.dah,impurity,17429,Ezek.36.17,768458,HNcfsa,content,"impurity, filthiness, menstruous, set apart; impurity; of ceremonial impurity; of menstruation; impure thing (fig.); of idolatry, immorality",1,menstrual impurity
M10c,H2930A,ta.me,to defile,965,Ezek.36.18,546830,HVpp3cp,content,"to be unclean, become unclean, become impure; to defile; sexually; religiously; ceremonially; to pronounce unclean, declare unclean (ceremonially); to profane (God's name)",1,defiled
M10c,H2930A,ta.me,to defile,340,Ezek.37.23,538164,HVpi3mp,content,"to be unclean, become unclean, become impure; to defile; sexually; religiously; ceremonially; to pronounce unclean, declare unclean (ceremonially); to profane (God's name)",1,defile
M10c,H2931,ta.me,unclean,11941,Ezek.4.13,701264,HAamsa,content,"unclean, impure; ethically and religiously; ritually; of places",1,unclean
M10c,H2930A,ta.me,to defile,321,Ezek.4.14,537872,HVPsfsa,content,"to be unclean, become unclean, become impure; to be defiled",1,defiled
M10c,H6292,pig.gul,refuse,321,Ezek.4.14,537882,HNcmsa,content,"foul thing, refuse; unclean sacrificial flesh (only use)",1,tainted
M10c,H2930A,ta.me,to defile,12109,Ezek.43.7,703368,HVpi3mp,content,"to be unclean, become unclean, become impure; to defile; sexually; religiously; ceremonially; to pronounce unclean, declare unclean (ceremonially); to profane (God's name)",1,defile
M10c,H2930A,ta.me,to defile,458,Ezek.43.8,539756,HVpq3cp,content,"to be unclean, become unclean, become impure; to defile; sexually; religiously; ceremonially; to pronounce unclean, declare unclean (ceremonially); to profane (God's name)",1,defiled
M10c,H2931,ta.me,unclean,15610,Ezek.44.23,746808,HAamsa,content,"unclean, impure; ethically and religiously; ritually; of places",1,unclean
M10c,H2930A,ta.me,to defile,14768,Ezek.44.25,736830,HVqcc,content,"to be unclean, become unclean, become impure; to be or become unclean; sexually; religiously; ceremonially",1,defile
M10c,H2930A,ta.me,to defile,14768,Ezek.44.25,736843,HVti3mp,content,"to be unclean, become unclean, become impure; to be unclean",1,defile
M10c,H2930A,ta.me,to defile,333,Ezek.5.11,538065,HVpp2fs,content,"to be unclean, become unclean, become impure; to defile; sexually; religiously; ceremonially; to pronounce unclean, declare unclean (ceremonially); to profane (God's name)",1,defiled
M10c,H5079,nid.dah,impurity,1139,Ezek.7.19,549005,HNcfsa,content,"impurity, filthiness, menstruous, set apart; impurity; of ceremonial impurity; of menstruation; impure thing (fig.); of idolatry, immorality",1,unclean thing
M10c,H5079,nid.dah,impurity,334,Ezek.7.20,538092,HNcfsa,content,"impurity, filthiness, menstruous, set apart; impurity; of ceremonial impurity; of menstruation; impure thing (fig.); of idolatry, immorality",1,unclean thing
M10c,H2930A,ta.me,to defile,11954,Ezek.9.7,701435,HVpv2mp,content,"to be unclean, become unclean, become impure; to defile; sexually; religiously; ceremonially; to pronounce unclean, declare unclean (ceremonially); to profane (God's name)",1,Defile
M10c,H1351,ga.al,to defile,17342,Ezra.2.62,767427,HVPw3mp,content,"to defile, pollute, desecrate; to be desecrated (of removal from priesthood)",1,excluded
M10c,H5079,nid.dah,impurity,395,Ezra.9.11,538932,HNcfsa,content,"impurity, filthiness, menstruous, set apart; impurity; of ceremonial impurity; of menstruation; impure thing (fig.); of idolatry, immorality",1,impure
M10c,H5079,nid.dah,impurity,395,Ezra.9.11,538933,HNcfsc,content,"impurity, filthiness, menstruous, set apart; impurity; of ceremonial impurity; of menstruation; impure thing (fig.); of idolatry, immorality",1,impurity
M10c,G0167,akatharsia,impurity,17225,Gal.5.19,766236,N-NSF,content,"impurity, a state of moral filthiness, especially in relation to sexual sin; uncleanness; lewdness | lsj: uncleanness, foulness; dirt, filth; depravity; ceremonial impurity | mounce: impurity, a state of moral filthiness, especially in relation to sexual sin",1,impurity
M10c,H2930A,ta.me,to defile,4720,Gen.34.13,600487,HVpp3ms,content,"to be unclean, become unclean, become impure; to defile; sexually; religiously; ceremonially; to pronounce unclean, declare unclean (ceremonially); to profane (God's name)",1,defiled
M10c,H2930A,ta.me,to defile,17351,Gen.34.27,767539,HVpp3cp,content,"to be unclean, become unclean, become impure; to defile; sexually; religiously; ceremonially; to pronounce unclean, declare unclean (ceremonially); to profane (God's name)",1,defiled
M10c,H2930A,ta.me,to defile,15822,Gen.34.5,749144,HVpp3ms,content,"to be unclean, become unclean, become impure; to defile; sexually; religiously; ceremonially; to pronounce unclean, declare unclean (ceremonially); to profane (God's name)",1,defiled
M10c,H2930A,ta.me,to defile,12225,Hag.2.13,704983,HVqi3ms,content,"to be unclean, become unclean, become impure; to be or become unclean; sexually; religiously; ceremonially",1,become unclean
M10c,H2930A,ta.me,to defile,12225,Hag.2.13,704987,HVqi3ms,content,"to be unclean, become unclean, become impure; to be or become unclean; sexually; religiously; ceremonially",1,become unclean
M10c,H2931,ta.me,unclean,12225,Hag.2.13,704978,HAamsc,content,"unclean, impure; ethically and religiously; ritually; of places",1,unclean
M10c,H2931,ta.me,unclean,12226,Hag.2.14,705004,HAamsa,content,"unclean, impure; ethically and religiously; ritually; of places",1,unclean
M10c,H2930A,ta.me,to defile,17430,Hos.5.3,768468,HVNp3ms,content,"to be unclean, become unclean, become impure; to defile oneself, be defiled; sexually; by idolatry; ceremonially; to be regarded as unclean",1,defiled
M10c,H2930A,ta.me,to defile,17431,Hos.6.10,768478,HVNp3ms,content,"to be unclean, become unclean, become impure; to defile oneself, be defiled; sexually; by idolatry; ceremonially; to be regarded as unclean",1,defiled
M10c,H2931,ta.me,unclean,17471,Hos.9.3,768981,HAamsa,content,"unclean, impure; ethically and religiously; ritually; of places",1,unclean
M10c,H2930A,ta.me,to defile,2800,Hos.9.4,572437,HVti3mp,content,"to be unclean, become unclean, become impure; to be unclean",1,defiled
M10c,H2610,cha.neph,to pollute,7596,Isa.24.5,638824,HVqp3fs,content,"to be profaned, be defiled, be polluted, be corrupt; to be polluted; to be profane, be godless",1,lies
M10c,H2930A,ta.me,to defile,11578,Isa.30.22,695816,HVpq2mp,content,"to be unclean, become unclean, become impure; to defile; sexually; religiously; ceremonially; to pronounce unclean, declare unclean (ceremonially); to profane (God's name)",1,defile
M10c,H2612,cho.neph,profaneness,17,Isa.32.6,534292,HNcmsa,content,"hypocrisy, godlessness, hypocrite, profaneness",1,ungodliness
M10c,H2931,ta.me,unclean,12801,Isa.35.8,712326,HAamsa,content,"unclean, impure; ethically and religiously; ritually; of places",1,unclean
M10c,H2931,ta.me,unclean,6031,Isa.52.1,617204,HAamsa,content,"unclean, impure; ethically and religiously; ritually; of places",1,unclean
M10c,H2931,ta.me,unclean,17468,Isa.52.11,768930,HAamsa,content,"unclean, impure; ethically and religiously; ritually; of places",1,unclean
M10c,H1351,ga.al,to defile,5382,Isa.59.3,608922,HVNp3cp,content,"to defile, pollute, desecrate; to be defiled, be polluted",1,defiled
M10c,H2931,ta.me,unclean,11532,Isa.6.5,695205,HAamsc,content,"unclean, impure; ethically and religiously; ritually; of places",1,unclean
M10c,H2931,ta.me,unclean,11532,Isa.6.5,695211,HAamsc,content,"unclean, impure; ethically and religiously; ritually; of places",1,unclean
M10c,H1351,ga.al,to defile,744,Isa.63.3,543704,HVhp1cs,content,"to defile, pollute, desecrate; to pollute, stain",1,stained
M10c,H2931,ta.me,unclean,17469,Isa.64.6,768940,HAamsa,content,"unclean, impure; ethically and religiously; ritually; of places",1,unclean
M10c,H6292,pig.gul,refuse,320,Isa.65.4,537863,HNcmpa,content,"foul thing, refuse; unclean sacrificial flesh (only use)",1,tainted meat
M10c,H2931,ta.me,unclean,17470,Jer.19.13,768969,HAampa,content,"unclean, impure; ethically and religiously; ritually; of places",1,defiled
M10c,H2930A,ta.me,to defile,11678,Jer.2.23,697204,HVNp1cs,content,"to be unclean, become unclean, become impure; to defile oneself, be defiled; sexually; by idolatry; ceremonially; to be regarded as unclean",1,unclean
M10c,H2930A,ta.me,to defile,419,Jer.2.7,539150,HVpw2mp,content,"to be unclean, become unclean, become impure; to defile; sexually; religiously; ceremonially; to pronounce unclean, declare unclean (ceremonially); to profane (God's name)",1,defiled
M10c,H2610,cha.neph,to pollute,16250,Jer.23.11,754112,HVqp3cp,content,"to be profaned, be defiled, be polluted, be corrupt; to be polluted; to be profane, be godless",1,ungodly
M10c,H2613,cha.nup.pah,profaneness,3313,Jer.23.15,579387,HNcfsa,content,"profaneness, pollution, hypocrisy, godlessness",1,ungodliness
M10c,H2610,cha.neph,to pollute,11681,Jer.3.1,697262,HVqaa,content,"to be profaned, be defiled, be polluted, be corrupt; to be polluted; to be profane, be godless",1,greatly
M10c,H2610,cha.neph,to pollute,11681,Jer.3.1,697263,HVqi3fs,content,"to be profaned, be defiled, be polluted, be corrupt; to be polluted; to be profane, be godless",1,polluted
M10c,H2610,cha.neph,to pollute,1616,Jer.3.2,555334,HVhw2fs,content,"to be profaned, be defiled, be polluted, be corrupt; to pollute; to make profane, make godless, cause to be defiled",1,polluted
M10c,H2610,cha.neph,to pollute,16249,Jer.3.9,754103,HVqw3fs,content,"to be profaned, be defiled, be polluted, be corrupt; to be polluted; to be profane, be godless",1,polluted
M10c,H2930A,ta.me,to defile,332,Jer.32.34,538055,HVpcc,content,"to be unclean, become unclean, become impure; to defile; sexually; religiously; ceremonially; to pronounce unclean, declare unclean (ceremonially); to profane (God's name)",1,defile
M10c,H2930A,ta.me,to defile,329,Jer.7.30,538019,HVpcc,content,"to be unclean, become unclean, become impure; to defile; sexually; religiously; ceremonially; to pronounce unclean, declare unclean (ceremonially); to profane (God's name)",1,defile
M10c,H2931,ta.me,unclean,17467,Job.14.4,768920,HAamsa,content,"unclean, impure; ethically and religiously; ritually; of places",1,unclean
M10c,H2931,ta.me,unclean,17465,Josh.22.19,768890,HAafsa,content,"unclean, impure; ethically and religiously; ritually; of places",1,unclean
M10c,H2931,ta.me,unclean,17466,Judg.13.4,768916,HAamsa,content,"unclean, impure; ethically and religiously; ritually; of places",1,unclean
M10c,H5079,nid.dah,impurity,1476,Lam.1.17,553443,HNcfsa,content,"impurity, filthiness, menstruous, set apart; impurity; of ceremonial impurity; of menstruation; impure thing (fig.); of idolatry, immorality",1,filthy thing
M10c,H1351,ga.al,to defile,17344,Lam.4.14,767442,HVNp3cp,content,"to defile, pollute, desecrate; to be defiled, be polluted",1,defiled
M10c,H2931,ta.me,unclean,11936,Lam.4.15,701187,HAamsa,content,"unclean, impure; ethically and religiously; ritually; of places",1,Unclean
M10c,H2931,ta.me,unclean,15504,Lev.10.10,745528,HAamsa,content,"unclean, impure; ethically and religiously; ritually; of places",1,unclean
M10c,H2930A,ta.me,to defile,17352,Lev.11.24,767543,HVti2mp,content,"to be unclean, become unclean, become impure; to be unclean",1,become
M10c,H2930A,ta.me,to defile,17352,Lev.11.24,767544,HVqi3ms,content,"to be unclean, become unclean, become impure; to be or become unclean; sexually; religiously; ceremonially",1,unclean
M10c,H2930A,ta.me,to defile,17353,Lev.11.25,767555,HVqq3ms,content,"to be unclean, become unclean, become impure; to be or become unclean; sexually; religiously; ceremonially",1,unclean
M10c,H2930A,ta.me,to defile,17354,Lev.11.26,767571,HVqi3ms,content,"to be unclean, become unclean, become impure; to be or become unclean; sexually; religiously; ceremonially",1,unclean
M10c,H2931,ta.me,unclean,17354,Lev.11.26,767568,HAampa,content,"unclean, impure; ethically and religiously; ritually; of places",1,unclean
M10c,H2930A,ta.me,to defile,17355,Lev.11.27,767585,HVqi3ms,content,"to be unclean, become unclean, become impure; to be or become unclean; sexually; religiously; ceremonially",1,unclean
M10c,H2931,ta.me,unclean,17355,Lev.11.27,767581,HAampa,content,"unclean, impure; ethically and religiously; ritually; of places",1,unclean
M10c,H2930A,ta.me,to defile,17356,Lev.11.28,767592,HVqq3ms,content,"to be unclean, become unclean, become impure; to be or become unclean; sexually; religiously; ceremonially",1,unclean
M10c,H2931,ta.me,unclean,17356,Lev.11.28,767596,HAampa,content,"unclean, impure; ethically and religiously; ritually; of places",1,unclean
M10c,H2931,ta.me,unclean,17438,Lev.11.29,768546,HAamsa,content,"unclean, impure; ethically and religiously; ritually; of places",1,unclean
M10c,H2930A,ta.me,to defile,17357,Lev.11.31,767604,HVqi3ms,content,"to be unclean, become unclean, become impure; to be or become unclean; sexually; religiously; ceremonially",1,unclean
M10c,H2931,ta.me,unclean,17357,Lev.11.31,767598,HAampa,content,"unclean, impure; ethically and religiously; ritually; of places",1,unclean
M10c,H2930A,ta.me,to defile,17358,Lev.11.32,767610,HVqi3ms,content,"to be unclean, become unclean, become impure; to be or become unclean; sexually; religiously; ceremonially",1,unclean
M10c,H2930A,ta.me,to defile,17358,Lev.11.32,767623,HVqq3ms,content,"to be unclean, become unclean, become impure; to be or become unclean; sexually; religiously; ceremonially",1,unclean
M10c,H2930A,ta.me,to defile,7747,Lev.11.33,640780,HVqi3ms,content,"to be unclean, become unclean, become impure; to be or become unclean; sexually; religiously; ceremonially",1,unclean
M10c,H2930A,ta.me,to defile,17359,Lev.11.34,767634,HVqi3ms,content,"to be unclean, become unclean, become impure; to be or become unclean; sexually; religiously; ceremonially",1,unclean
M10c,H2930A,ta.me,to defile,17359,Lev.11.34,767641,HVqi3ms,content,"to be unclean, become unclean, become impure; to be or become unclean; sexually; religiously; ceremonially",1,unclean
M10c,H2930A,ta.me,to defile,17360,Lev.11.35,767646,HVqi3ms,content,"to be unclean, become unclean, become impure; to be or become unclean; sexually; religiously; ceremonially",1,unclean
