id,book,anchor_verse_id,start_chapter,start_verse,end_chapter,end_verse,ref,verse_count,rule,source,needs_review,created_at,deleted,book_label,verse_span_meaning_path,verse_span_meaning_written_at,debate_path,debate_written_at,debate_status,phenomena_complete_at,open_decisions_note,story_summary,feasibility_note
37427,Dan,12825,10,1,10,21,Dan 10:1-21,21,,,,2026-07-27T16:32:23Z,0,Daniel,iba\app\verse-analysis\Daniel\dan-10-1-21-verse-span-meaning.md,2026-07-27T16:32:23Z,iba\app\verse-analysis\Daniel\WA-dan-10-1-21-debate.md,2026-07-27T16:36:03Z,filled,,,,
37428,Dan,16846,11,1,11,45,Dan 11:1-45,45,,,,2026-07-27T16:36:17Z,0,Daniel,iba\app\verse-analysis\Daniel\dan-11-1-45-verse-span-meaning.md,2026-07-27T16:36:17Z,iba\app\verse-analysis\Daniel\WA-dan-11-1-45-debate.md,2026-07-27T16:45:47Z,filled,,,,
37429,Dan,1530,12,1,12,13,Dan 12:1-13,13,,,,2026-07-27T16:45:57Z,0,Daniel,iba\app\verse-analysis\Daniel\dan-12-1-13-verse-span-meaning.md,2026-07-27T16:45:57Z,iba\app\verse-analysis\Daniel\WA-dan-12-1-13-debate.md,2026-07-27T16:48:34Z,filled,,,,
37445,Hos,16501,1,1,1,11,Hos 1:1-11,10,,,,2026-07-30T14:01:06Z,0,Hosea,iba\app\verse-analysis\Hosea\hos-1-verse-span-meaning.md,2026-07-30T14:01:06Z,iba\app\verse-analysis\Hosea\WA-hos-1-debate.md,2026-07-30T14:07:07Z,filled,,,,
37446,Hos,12139,2,1,2,23,Hos 2:1-23,23,,,,2026-07-30T14:07:28Z,0,Hosea,iba\app\verse-analysis\Hosea\hos-2-verse-span-meaning.md,2026-07-30T14:07:28Z,iba\app\verse-analysis\Hosea\WA-hos-2-debate.md,2026-07-30T14:17:10Z,filled,,,,
37447,Hos,12143,3,1,3,5,Hos 3:1-5,4,,,,2026-07-30T14:17:27Z,0,Hosea,iba\app\verse-analysis\Hosea\hos-3-verse-span-meaning.md,2026-07-30T14:17:27Z,iba\app\verse-analysis\Hosea\WA-hos-3-debate.md,2026-07-30T14:19:20Z,filled,,,,
37448,Hos,13955,4,1,4,19,Hos 4:1-19,19,,,,2026-07-30T14:19:40Z,0,Hosea,iba\app\verse-analysis\Hosea\hos-4-verse-span-meaning.md,2026-07-30T14:19:40Z,iba\app\verse-analysis\Hosea\WA-hos-4-debate.md,2026-07-30T14:24:34Z,filled,,,,
37449,Hos,16129,5,1,5,15,Hos 5:1-15,14,,,,2026-07-30T14:24:54Z,0,Hosea,iba\app\verse-analysis\Hosea\hos-5-verse-span-meaning.md,2026-07-30T14:24:54Z,iba\app\verse-analysis\Hosea\WA-hos-5-debate.md,2026-07-30T14:28:32Z,filled,,,,
37450,Hos,27253,6,1,6,11,Hos 6:1-11,11,,,,2026-07-30T14:28:49Z,0,Hosea,iba\app\verse-analysis\Hosea\hos-6-verse-span-meaning.md,2026-07-30T14:28:49Z,iba\app\verse-analysis\Hosea\WA-hos-6-debate.md,2026-07-30T14:31:38Z,filled,,,,
37451,Hos,17324,7,1,7,16,Hos 7:1-16,16,,,,2026-07-30T14:31:55Z,0,Hosea,iba\app\verse-analysis\Hosea\hos-7-verse-span-meaning.md,2026-07-30T14:31:55Z,iba\app\verse-analysis\Hosea\WA-hos-7-debate.md,2026-07-30T14:35:42Z,filled,,,,
37452,Hos,17087,8,1,8,14,Hos 8:1-14,14,,,,2026-07-30T14:36:03Z,0,Hosea,iba\app\verse-analysis\Hosea\hos-8-verse-span-meaning.md,2026-07-30T14:36:03Z,iba\app\verse-analysis\Hosea\WA-hos-8-debate.md,2026-07-30T14:39:21Z,filled,,,,
37453,Hos,18331,9,1,9,17,Hos 9:1-17,17,,,,2026-07-30T14:39:39Z,0,Hosea,iba\app\verse-analysis\Hosea\hos-9-verse-span-meaning.md,2026-07-30T14:39:39Z,iba\app\verse-analysis\Hosea\WA-hos-9-debate.md,2026-07-30T14:43:47Z,filled,,,,
37454,Hos,5921,10,1,10,15,Hos 10:1-15,15,,,,2026-07-30T14:44:05Z,0,Hosea,iba\app\verse-analysis\Hosea\hos-10-verse-span-meaning.md,2026-07-30T14:44:05Z,iba\app\verse-analysis\Hosea\WA-hos-10-debate.md,2026-07-30T14:47:37Z,filled,,,,
37455,Hos,12694,11,1,11,12,Hos 11:1-12,12,,,,2026-07-30T14:48:03Z,0,Hosea,iba\app\verse-analysis\Hosea\hos-11-verse-span-meaning.md,2026-07-30T14:48:03Z,iba\app\verse-analysis\Hosea\WA-hos-11-debate.md,2026-07-30T14:51:16Z,filled,,,,
37456,Hos,2478,12,1,12,14,Hos 12:1-14,14,,,,2026-07-30T14:51:34Z,0,Hosea,iba\app\verse-analysis\Hosea\hos-12-verse-span-meaning.md,2026-07-30T14:51:34Z,iba\app\verse-analysis\Hosea\WA-hos-12-debate.md,2026-07-30T14:55:09Z,filled,,,,
37457,Hos,5531,13,1,13,16,Hos 13:1-16,16,,,,2026-07-30T14:57:12Z,0,Hosea,iba\app\verse-analysis\Hosea\hos-13-verse-span-meaning.md,2026-07-30T14:57:12Z,iba\app\verse-analysis\Hosea\WA-hos-13-debate.md,2026-07-30T15:01:39Z,filled,,,,
37458,Hos,7343,14,1,14,9,Hos 14:1-9,9,,,,2026-07-30T15:01:58Z,0,Hosea,iba\app\verse-analysis\Hosea\hos-14-verse-span-meaning.md,2026-07-30T15:01:58Z,iba\app\verse-analysis\Hosea\WA-hos-14-debate.md,2026-07-30T15:04:51Z,filled,,,,
37434,Joel,16502,1,1,1,20,Joel 1:1-20,19,,,,2026-07-29T05:11:59Z,0,Joel,iba\app\verse-analysis\Joel\joel-1-verse-span-meaning.md,2026-07-29T06:33:16Z,iba\app\verse-analysis\Joel\WA-joel-1-debate.md,2026-07-29T08:17:49Z,filled,,,,
37435,Joel,3301,2,1,2,32,Joel 2:1-32,31,,,,2026-07-29T07:39:05Z,0,Joel,iba\app\verse-analysis\Joel\joel-2-verse-span-meaning.md,2026-07-29T07:39:05Z,iba\app\verse-analysis\Joel\WA-joel-2-debate.md,2026-07-29T07:48:27Z,filled,,,,
37436,Joel,27255,3,1,3,21,Joel 3:1-21,21,,,,2026-07-29T07:53:22Z,0,Joel,iba\app\verse-analysis\Joel\joel-3-verse-span-meaning.md,2026-07-29T07:53:22Z,iba\app\verse-analysis\Joel\WA-joel-3-debate.md,2026-07-29T07:58:32Z,filled,,,,
37430,Jonah,12190,1,1,1,17,Jonah 1:1-17,17,,,,2026-07-28T14:10:19Z,0,Jonah,iba\app\verse-analysis\Jonah\jonah-1-verse-span-meaning.md,2026-07-28T14:10:19Z,iba\app\verse-analysis\Jonah\WA-jonah-1-debate.md,2026-07-28T14:20:56Z,filled,,,,
37431,Jonah,27695,2,1,2,10,Jonah 2:1-10,10,,,,2026-07-28T15:24:18Z,0,Jonah,iba\app\verse-analysis\Jonah\jonah-2-verse-span-meaning.md,2026-07-28T15:24:18Z,iba\app\verse-analysis\Jonah\WA-jonah-2-debate.md,2026-07-28T15:28:49Z,filled,,,,
37432,Jonah,12198,3,1,3,10,Jonah 3:1-10,10,,,,2026-07-28T16:03:21Z,0,Jonah,iba\app\verse-analysis\Jonah\jonah-3-verse-span-meaning.md,2026-07-28T16:03:21Z,iba\app\verse-analysis\Jonah\WA-jonah-3-debate.md,2026-07-28T16:08:16Z,filled,,,,
37433,Jonah,1018,4,1,4,11,Jonah 4:1-11,11,,,,2026-07-28T16:54:41Z,0,Jonah,iba\app\verse-analysis\Jonah\jonah-4-verse-span-meaning.md,2026-07-28T16:54:41Z,iba\app\verse-analysis\Jonah\WA-jonah-4-debate.md,2026-07-28T16:59:59Z,filled,,,,
37438,Mic,16507,1,1,1,16,Mic 1:1-16,16,,,,2026-07-30T10:19:39Z,0,Micah,iba\app\verse-analysis\Micah\mic-1-verse-span-meaning.md,2026-07-30T10:19:39Z,iba\app\verse-analysis\Micah\WA-mic-1-debate.md,2026-07-30T11:08:36Z,filled,,,,
37439,Mic,95,2,1,2,13,Mic 2:1-13,13,,,,2026-07-30T11:08:54Z,0,Micah,iba\app\verse-analysis\Micah\mic-2-verse-span-meaning.md,2026-07-30T11:08:54Z,iba\app\verse-analysis\Micah\WA-mic-2-debate.md,2026-07-30T11:15:16Z,filled,,,,
37440,Mic,12202,3,1,3,12,Mic 3:1-12,12,,,,2026-07-30T11:15:36Z,0,Micah,iba\app\verse-analysis\Micah\mic-3-verse-span-meaning.md,2026-07-30T11:15:36Z,iba\app\verse-analysis\Micah\WA-mic-3-debate.md,2026-07-30T11:19:13Z,filled,,,,
37441,Mic,21674,4,1,4,13,Mic 4:1-13,13,,,,2026-07-30T11:19:28Z,0,Micah,iba\app\verse-analysis\Micah\mic-4-verse-span-meaning.md,2026-07-30T11:19:28Z,iba\app\verse-analysis\Micah\WA-mic-4-debate.md,2026-07-30T11:23:24Z,filled,,,,
37442,Mic,13055,5,1,5,15,Mic 5:1-15,14,,,,2026-07-30T11:23:44Z,0,Micah,iba\app\verse-analysis\Micah\mic-5-verse-span-meaning.md,2026-07-30T11:23:44Z,iba\app\verse-analysis\Micah\WA-mic-5-debate.md,2026-07-30T11:27:16Z,filled,,,,
37443,Mic,12206,6,1,6,16,Mic 6:1-16,16,,,,2026-07-30T11:27:32Z,0,Micah,iba\app\verse-analysis\Micah\mic-6-verse-span-meaning.md,2026-07-30T11:27:32Z,iba\app\verse-analysis\Micah\WA-mic-6-debate.md,2026-07-30T11:31:06Z,filled,,,,
37444,Mic,2801,7,1,7,20,Mic 7:1-20,19,,,,2026-07-30T11:31:29Z,0,Micah,iba\app\verse-analysis\Micah\mic-7-verse-span-meaning.md,2026-07-30T11:31:29Z,iba\app\verse-analysis\Micah\WA-mic-7-debate.md,2026-07-30T11:35:55Z,filled,,,,
37437,Obad,12188,1,1,1,21,Obad 1:1-21,20,,,,2026-07-29T12:30:35Z,0,Obadiah,iba\app\verse-analysis\Obadiah\obad-1-verse-span-meaning.md,2026-07-29T12:30:35Z,iba\app\verse-analysis\Obadiah\WA-obad-1-debate.md,2026-07-30T10:55:54Z,filled,,,,
