"strong","word","occurrence_count","ib_relevance"
"H0001G","father’s","121","Not relevant"
"G2249","we","120","Not relevant"
"H2396G","hezekiah","120","Not relevant"
"H2022G","mount","119","Could impact IB"
"H4687","commandments","119","Could impact IB"
"H5221","struck","119","Could impact IB"
"H2416E","life","118","Could impact IB"
"H8432","among","118","Not relevant"
"G3767","then","117","Not relevant"
"H1144G","benjamin","115","Not relevant"
"H2205G","elders","115","Not relevant"
"G3568","now","114","Not relevant"
"G3825","again","113","Not relevant"
"H0127G","land","113","Not relevant"
"H0776H","ground","113","Could impact IB"
"H6828G","north","113","Could impact IB"
"G3779","so","112","Not relevant"
"H6629G","sheep","112","Not relevant"
"H7223G","first","112","Not relevant"
"G4012","about","111","Not relevant"
"G4862","with","111","Not relevant"
"H6153","evening","111","Not relevant"
"H8121","sun","111","Could impact IB"
"H4399","work","110","Not relevant"
"H6235","ten","109","Not relevant"
"H0802G","women","108","Not relevant"
"G1565","that","107","Not relevant"
"G3752","when","107","Not relevant"
"H3068G","lord’s","106","Not relevant"
"G3767","therefore","105","Not relevant"
"G4172","city","105","Not relevant"
"G4771","you","105","Not relevant"
"H0068G","stone","105","Not relevant"
"G1125","written","103","Could impact IB"
"H3701G","money","103","Not relevant"
"H0376I","each","102","Not relevant"
"H6086G","wood","102","Not relevant"
"H8111","samaria","102","Not relevant"
"H2691A","court","101","Could impact IB"
"H4397H","angel","101","Could impact IB"
"H6547J","pharaoh","101","Not relevant"
"H1129","build","100","Not relevant"
"H6529","fruit","100","Not relevant"
"H8478H","place","100","Not relevant"
"G0281","truly","99","Could impact IB"
"G5613","like","99","Could impact IB"
"H0053","absalom","99","Could impact IB"
"H0216","light","99","Not relevant"
"H3381","down","99","Not relevant"
"G5037","and","98","Not relevant"
"H1060","firstborn","97","Could impact IB"
"H3327","isaac","95","Not relevant"
"H4908","tabernacle","95","Could impact IB"
"G2147","found","94","Could impact IB"
"H0935G","comes","94","Not relevant"
"G1438","himself","93","Could impact IB"
"G5228","for","92","Not relevant"
"H2077","sacrifice","92","Could impact IB"
"H5983","ammonites","92","Could impact IB"
"G1700","me","91","Not relevant"
"G2041","works","91","Not relevant"
"G0129G","blood","90","Could impact IB"
"G0649","sent","90","Not relevant"
"G3753","when","90","Not relevant"
"H0802H","wives","90","Could impact IB"
"H5483M","horses","90","Not relevant"
"H7458","famine","90","Could impact IB"
"H8337","six","90","Not relevant"
"G0032G","angel","89","Could impact IB"
"G3793","crowd","89","Could impact IB"
"H0256G","ahab","89","Not relevant"
"H1121G","ammonites","89","Could impact IB"
"H6242","twenty","89","Not relevant"
"H6912","buried","89","Could impact IB"
"H8179G","gates","89","Not relevant"
"H3379G","jeroboam","88","Not relevant"
"H4519G","manasseh","88","Not relevant"
"H5221","struck down","88","Could impact IB"
"H5930A","burnt offerings","88","Could impact IB"
"H6435","lest","88","Could impact IB"
"H6607","entrance","88","Could impact IB"
"G1484","gentiles","87","Not relevant"
"H0935G","go","87","Not relevant"
"H8269","princes","87","Not relevant"
"G5610","hour","86","Could impact IB"
"H0935G","enter","86","Could impact IB"
"H2346G","wall","86","Not relevant"
"H7637","seventh","86","Not relevant"
"G5495","hands","85","Not relevant"
"H1004B","houses","85","Not relevant"
"H6629G","flock","85","Could impact IB"
"G1135G","woman","84","Not relevant"
"G2033","seven","84","Not relevant"
"H6951","assembly","84","Could impact IB"
"H4557","number","83","Not relevant"
"G2491G","john","82","Not relevant"
"G4675","you","82","Not relevant"
"G5330","pharisees","82","Not relevant"
"H0312","other","82","Not relevant"
"H7393G","chariots","82","Not relevant"
"G0032G","angels","80","Could impact IB"
"G1698","me","80","Not relevant"
"G2281","sea","79","Not relevant"
"H0113","master","79","Not relevant"
"H2706G","statutes","79","Could impact IB"
"H3627","vessels","79","Not relevant"
"H6083","dust","79","Could impact IB"
"G0935","king","78","Not relevant"
"G2257","us","78","Not relevant"
"G3762","no one","78","Not relevant"
"G4396","prophets","78","Not relevant"
"G5495","hand","78","Not relevant"
"H0341","enemy","78","Could impact IB"
"G2419","jerusalem","77","Not relevant"
"H0123G","edom","77","Not relevant"
"H0269","sister","77","Not relevant"
"H1568G","gilead","77","Not relevant"
"H2022H","hill country","77","Could impact IB"
"H3205","bore","77","Could impact IB"
"H5127","fled","77","Could impact IB"
"G3956","everyone","76","Not relevant"
"H3225G","right hand","76","Could impact IB"
"H4940","clans","76","Could impact IB"
"H6499","bull","76","Not relevant"
"H6547H","pharaoh","76","Not relevant"
"G1135H","wife","75","Not relevant"
"G1563","there","75","Not relevant"
"G2098","gospel","75","Could impact IB"
"G3475","moses","75","Not relevant"
"G4228","feet","75","Could impact IB"
"H0587","we","75","Not relevant"
"G1691","me","74","Not relevant"
"H0426","god","74","Not relevant"
"H5785","skin","74","Not relevant"
"H7676","sabbath","74","Could impact IB"
"H2677","half","73","Could impact IB"
"H3381","go down","73","Not relevant"
"H3667A","canaan","73","Not relevant"
"H4397G","messengers","73","Could impact IB"
"G3326","after","72","Not relevant"
"H1755","generations","72","Could impact IB"
"H7992","third","72","Not relevant"
"G0240","one another","71","Not relevant"
"G1577","church","71","Could impact IB"
"G1909","in","71","Not relevant"
"G1909","to","71","Not relevant"
"G2064","coming","71","Could impact IB"
"G5043","children","71","Not relevant"
"H0935G","coming","71","Could impact IB"
"H2351","outside","71","Could impact IB"
"H2572","fifty","71","Not relevant"
"H3709G","hands","71","Not relevant"
"H5542","selah","71","Could impact IB"
"H6086H","tree","71","Could impact IB"
"H7626H","tribes","71","Not relevant"
"H0352A","ram","70","Not relevant"
"H0705","forty","70","Not relevant"
"H3092I","jehoshaphat","70","Not relevant"
"G0011","abraham","69","Not relevant"
"G0444","men","69","Not relevant"
"G5117","place","69","Not relevant"
"H1980I","walked","69","Not relevant"
"H2822","darkness","69","Could impact IB"
"H3778","chaldeans","69","Could impact IB"
"H6051","cloud","69","Could impact IB"
"H7453","neighbor","69","Not relevant"
"H8269","officials","69","Could impact IB"
"G2398","own","68","Not relevant"
"G3384","mother","68","Not relevant"
"G3614G","house","68","Not relevant"
"H0452G","elijah","68","Not relevant"
"H0567","amorites","68","Not relevant"
"H1116","high places","68","Not relevant"
"G0435G","men","67","Not relevant"
"G0740","bread","67","Not relevant"
"G2980","speak","67","Not relevant"
"G5457","light","67","Not relevant"
"H0935G","went","67","Not relevant"
"H2416A","living","67","Could impact IB"
"H7126G","near","67","Not relevant"
"H7133A","offering","67","Not relevant"
"G1525","enter","66","Could impact IB"
"H0517","mother’s","66","Not relevant"
"H1366H","territory","66","Could impact IB"
"G0166","eternal","65","Could impact IB"
"G0435G","man","65","Not relevant"
"G5204","water","65","Not relevant"
"H8145","second","65","Not relevant"
"G5315","eat","64","Not relevant"
"H1270","iron","64","Not relevant"
"H6086H","trees","64","Could impact IB"
"G2064","comes","63","Not relevant"
"H1241","oxen","63","Could impact IB"
"H3162B","together","63","Not relevant"
"H3742","cherubim","63","Could impact IB"
"H6240","twelve","63","Not relevant"
"H7604","left","63","Not relevant"
"G0575","of","62","Not relevant"
"G2411","temple","62","Not relevant"
"G3956","everything","62","Could impact IB"
"G4442","fire","62","Not relevant"
"H0127G","ground","62","Could impact IB"
"H0776H","earth","62","Not relevant"
"H1008G","bethel","62","Not relevant"
"H1366G","boundary","62","Could impact IB"
"H8269","commanders","62","Could impact IB"
"G0749","chief priests","61","Could impact IB"
"G2474","israel","61","Not relevant"
"G4012","for","61","Not relevant"
"G4198","go","61","Not relevant"
"G4396","prophet","61","Not relevant"
"H3083H","jonathan","61","Not relevant"
"H4735","livestock","61","Could impact IB"
"H7585","sheol","61","Not relevant"
"G3699","where","60","Not relevant"
"G3748","who","60","Not relevant"
"G3844","from","60","Not relevant"
"G5140","three","60","Not relevant"
"H0074","abner","60","Not relevant"
"H2708","statutes","60","Could impact IB"
"H3899G","food","60","Not relevant"
"H5048","before","60","Not relevant"
"H7970","thirty","60","Not relevant"
"G1427","twelve","59","Not relevant"
"G3440","only","59","Not relevant"
"H0758I","syrians","59","Could impact IB"
"H3671","wings","59","Could impact IB"
"H5221","strike","59","Could impact IB"
"G1909","over","58","Not relevant"
"G2540","time","58","Not relevant"
"H0758I","syria","58","Not relevant"
"H1004M","household","58","Could impact IB"
"H3669A","canaanites","58","Not relevant"
"H3844G","lebanon","58","Not relevant"
"H4294H","tribe","58","Not relevant"
"H5019","nebuchadnezzar","58","Not relevant"
"H5982G","pillars","58","Not relevant"
"H7272","foot","58","Not relevant"
"H7794","ox","58","Not relevant"
"G0243","another","57","Not relevant"
"G0652","apostles","57","Could impact IB"
"G0991","see","57","Not relevant"
"G1138","david","57","Not relevant"
"G4521","sabbath","57","Could impact IB"
"H0376H","husband","57","Not relevant"
"H0477","elisha","57","Not relevant"
"H1115","not","57","Not relevant"
"H2416A","lives","57","Not relevant"
"H4210","psalm","57","Could impact IB"
"H4782H","mordecai","57","Not relevant"
"H6215G","esau","57","Not relevant"
"H8313","burned","57","Could impact IB"
"G1453","raised","56","Could impact IB"
"H0312","another","56","Not relevant"
"H5329","choirmaster","56","Could impact IB"
"G1401","servant","55","Not relevant"
"H0347","job","55","Not relevant"
"H0433","god","55","Not relevant"
"H0609G","asa","55","Not relevant"
"H0622","gathered","55","Not relevant"
"H1109A","balaam","55","Not relevant"
"H1732","david’s","55","Not relevant"
"H3381","went down","55","Not relevant"
"G1537","by","54","Not relevant"
"G3756","cannot","54","Could impact IB"
"G5207","sons","54","Not relevant"
"H0352A","rams","54","Not relevant"
"H1964G","temple","54","Not relevant"
"H2275A","hebron","54","Not relevant"
"H4714G","egyptians","54","Could impact IB"
"H5127","flee","54","Could impact IB"
"H6629G","flocks","54","Could impact IB"
"H7205","reuben","54","Not relevant"
"G1799","before","53","Not relevant"
"G2112","immediately","53","Could impact IB"
"G2198","live","53","Not relevant"
"G2362","throne","53","Not relevant"
"G3571","night","53","Not relevant"
"G5602","here","53","Not relevant"
"H1168A","baal","53","Not relevant"
"H1841H","daniel","53","Not relevant"
"H2543","donkey","53","Not relevant"
"H4196","altars","53","Not relevant"
"H7198","bow","53","Could impact IB"
"G1056G","galilee","52","Not relevant"
"G1122","scribes","52","Could impact IB"
"G3624G","house","52","Not relevant"
"G3956","all things","52","Not relevant"
"G4245G","elders","52","Not relevant"
"H0499G","eleazar","52","Not relevant"
"H0635","esther","52","Not relevant"
"H3064","jews","52","Could impact IB"
"H3709G","hand","52","Not relevant"
"H6908","gather","52","Not relevant"
"H7979","table","52","Not relevant"
"G1909","at","51","Not relevant"
"G3450","me","51","Not relevant"
"G3598","way","51","Not relevant"
"G3762","nothing","51","Not relevant"
"G4091","pilate","51","Not relevant"
"H0168G","tents","51","Not relevant"
"H0251I","brothers","51","Not relevant"
"H1004M","houses","51","Not relevant"
"H1706","honey","51","Could impact IB"
"H1980K","come","51","Not relevant"
"H2077","sacrifices","51","Could impact IB"
"H5012","prophesy","51","Could impact IB"
"H5265","set out","51","Not relevant"
"H6605A","open","51","Not relevant"
"H6921","east","51","Could impact IB"
"H7892A","song","51","Could impact IB"
"H7927G","shechem","51","Not relevant"
"G0444","people","50","Not relevant"
"G1699","my","50","Not relevant"
"H1316","bashan","50","Not relevant"
"H1397","man","50","Not relevant"
"H2001","haman","50","Not relevant"
"H2977G","josiah","50","Not relevant"
"H3205","born","50","Could impact IB"
"H5775","birds","50","Not relevant"
"H6667H","zedekiah","50","Not relevant"
"H7093","end","50","Not relevant"
"G1320","teacher","49","Could impact IB"
"G3780","not","49","Not relevant"
"H0646","ephod","49","Could impact IB"
"H2416C","beasts","49","Could impact IB"
"H3050","lord","49","Not relevant"
"H3837A","laban","49","Not relevant"
"H6471","times","49","Not relevant"
"H6571B","horsemen","49","Could impact IB"
"H6605A","opened","49","Not relevant"
"H7611","remnant","49","Could impact IB"
"G0907","baptized","48","Could impact IB"
"G1525","entered","48","Could impact IB"
"G2414","jerusalem","48","Not relevant"
"G2776","head","48","Not relevant"
"G3650","whole","48","Not relevant"
"G3962","fathers","48","Not relevant"
"G3992","sent","48","Not relevant"
"G4095","drink","48","Not relevant"
"G4314","with","48","Not relevant"
"H0087","abram","48","Not relevant"
"H0776G","country","48","Could impact IB"
"H0905H","alone","48","Could impact IB"
"H1817C","doors","48","Not relevant"
"H3058H","jehu","48","Not relevant"
"H5045H","south","48","Could impact IB"
"H7138","near","48","Not relevant"
"G0455","opened","47","Not relevant"
"G3650","all","47","Not relevant"
"H0116","then","47","Not relevant"
"H0227A","then","47","Not relevant"
"H1755","generation","47","Could impact IB"
"H3405G","jericho","47","Not relevant"
"H3423H","possess","47","Could impact IB"
"H5560","fine flour","47","Could impact IB"
"H7126H","offer","47","Not relevant"
"H7346","rehoboam","47","Not relevant"
"H7535","only","47","Not relevant"
"H7782","trumpet","47","Could impact IB"
"G0749","high priest","46","Not relevant"
"G2147","find","46","Could impact IB"
"H0349A","how","46","Not relevant"
"H1366G","border","46","Could impact IB"
"H1581","camels","46","Not relevant"
"H1616","sojourner","46","Could impact IB"
"H1835G","dan","46","Not relevant"
"H3205","fathered","46","Not relevant"
"H3220H","west","46","Could impact IB"
"H3754","vineyard","46","Not relevant"
"H4080H","midian","46","Not relevant"
"H4392","full","46","Not relevant"
"H7706","almighty","46","Could impact IB"
"G5154","third","45","Not relevant"
"H1004B","temple","45","Not relevant"
"H1698","pestilence","45","Could impact IB"
"H2145","male","45","Could impact IB"
"H2282","feast","45","Could impact IB"
"H2319H","new","45","Not relevant"
"H2416A","live","45","Not relevant"
"H4758","appearance","45","Could impact IB"
"H5159","heritage","45","Could impact IB"
"G1909","upon","44","Not relevant"
"G2504","i","44","Not relevant"
"G3761","nor","44","Not relevant"
"G4613O","simon","44","Not relevant"
"G5613","when","44","Not relevant"
"H0730","cedar","44","Not relevant"
"H0935G","go in","44","Not relevant"
"H3498","left","44","Not relevant"
"H4279","tomorrow","44","Could impact IB"
"H4605","upward","44","Could impact IB"
"H5060","touches","44","Could impact IB"
"H5271A","youth","44","Could impact IB"
"H6285","side","44","Not relevant"
"H7004","incense","44","Could impact IB"
"H7161A","horns","44","Could impact IB"
"G0190","followed","43","Could impact IB"
"G2078","last","43","Could impact IB"
"G3708G","see","43","Not relevant"
"H0935G","went in","43","Not relevant"
"H1834","damascus","43","Not relevant"
"H2975G","nile","43","Not relevant"
"H3119","day","43","Not relevant"
"H3754","vineyards","43","Not relevant"
"H3809","not","43","Not relevant"
"H4437","kingdom","43","Could impact IB"
"H4592","little","43","Not relevant"
"H8255","shekels","43","Not relevant"
"H8478H","instead","43","Could impact IB"
"G3123G","more","42","Not relevant"
"G3793","crowds","42","Could impact IB"
"H1612","vine","42","Not relevant"
"H4294G","staff","42","Could impact IB"
"H4605","above","42","Not relevant"
"H7704G","fields","42","Not relevant"
"H8242","sackcloth","42","Not relevant"
"G2198","living","41","Could impact IB"
"G2476","standing","41","Not relevant"
"G3762","no","41","Not relevant"
"G4012","of","41","Not relevant"
"G5217","go","41","Not relevant"
"H0776G","lands","41","Not relevant"
"H0935G","entered","41","Could impact IB"
"H1004B","home","41","Could impact IB"
"H3499A","now the rest","41","Not relevant"
"H4043","shield","41","Not relevant"
"H5288","young men","41","Not relevant"
"H6607","door","41","Not relevant"
"H7105A","harvest","41","Could impact IB"
"H8255","shekel","41","Not relevant"
"G1125","write","40","Could impact IB"
"G1140","demons","40","Could impact IB"
"G2228","than","40","Not relevant"
"G2342","beast","40","Could impact IB"
"G2980","spoke","40","Not relevant"
"G4098","fell","40","Not relevant"
"G4314","for","40","Not relevant"
"H1111","balak","40","Not relevant"
"H4713","egyptians","40","Could impact IB"
"H5221","defeated","40","Could impact IB"
"H5676H","beyond","40","Not relevant"
"H5923","yoke","40","Could impact IB"
"H6311","here","40","Not relevant"
"H8504","blue","40","Could impact IB"
"G0386","resurrection","39","Could impact IB"
"G1080","born","39","Could impact IB"
"G1401","servants","39","Not relevant"
"G1909","against","39","Not relevant"
"G2962H","master","39","Not relevant"
"G3842","always","39","Could impact IB"
"H0040H","abimelech","39","Not relevant"
"H1439","gideon","39","Not relevant"
"H1980G","gone","39","Not relevant"
"H3293A","forest","39","Could impact IB"
"H3541","says","39","Not relevant"
"H3606","all","39","Not relevant"
"H5061","disease","39","Could impact IB"
"H5066G","near","39","Not relevant"
"H5288","young man","39","Not relevant"
"H5553H","rock","39","Could impact IB"
"H6865","tyre","39","Not relevant"
"H7023","wall","39","Not relevant"
"H7097A","end","39","Not relevant"
"H7626H","tribe","39","Not relevant"
"H8045","destroyed","39","Not relevant"
"H8269","commander","39","Not relevant"
"G0435H","husband","38","Not relevant"
"G1438","themselves","38","Could impact IB"
"G2089","still","38","Not relevant"
"G2094","years","38","Not relevant"
"G2449","judea","38","Not relevant"
"G2537","new","38","Not relevant"
"G5532","need","38","Could impact IB"
"H0251I","brother","38","Not relevant"
"H0346","where","38","Not relevant"
"H0561","words","38","Not relevant"
"H0738B","lion","38","Not relevant"
"H1410G","gad","38","Not relevant"
"H2346G","walls","38","Not relevant"
"H2472","dream","38","Could impact IB"
"H2595","spear","38","Not relevant"
"H2962","before","38","Not relevant"
"H3225G","right","38","Could impact IB"
"H4058","measured","38","Not relevant"
"H5288","boy","38","Could impact IB"
"H5467","sodom","38","Not relevant"
"H7354","rachel","38","Not relevant"
"H7657","seventy","38","Not relevant"
"H8045","destroy","38","Not relevant"
"G1487H","except","37","Not relevant"
"G1511","be","37","Not relevant"
"G1538","each","37","Not relevant"
"G1831","went out","37","Not relevant"
"G2041","work","37","Not relevant"
"G2980","speaking","37","Not relevant"
"G3756","never","37","Not relevant"
"G3777","nor","37","Not relevant"
"G4012","concerning","37","Could impact IB"
"G4253","before","37","Not relevant"
"H0120G","mankind","37","Could impact IB"
"H0271G","ahaz","37","Not relevant"
"H0582","man","37","Not relevant"
"H0935G","into","37","Not relevant"
"H0990H","womb","37","Could impact IB"
"H1390H","gibeah","37","Not relevant"
"H1537G","gilgal","37","Not relevant"
"H1715","grain","37","Could impact IB"
"H1980G","departed","37","Could impact IB"
"H2461","milk","37","Could impact IB"
"H2671","arrows","37","Could impact IB"
"H3448","jesse","37","Not relevant"
"H3526H","wash","37","Could impact IB"
"H3847","clothed","37","Could impact IB"
"H5146","noah","37","Not relevant"
"H5795","goat","37","Not relevant"
"H8248H","drink","37","Not relevant"
"G0243","others","36","Could impact IB"
"G1093H","land","36","Not relevant"
"G1321","teaching","36","Could impact IB"
"G1484","nations","36","Not relevant"
"G3485","temple","36","Not relevant"
"G3704","that","36","Not relevant"
"G4383","face","36","Could impact IB"
"G4572","yourself","36","Could impact IB"
"H0520A","cubit","36","Not relevant"
"H0953A","pit","36","Could impact IB"
"H1389I","hills","36","Could impact IB"
"H2091","golden","36","Could impact IB"
"H2543","donkeys","36","Not relevant"
"H2885","rings","36","Not relevant"
"H3878","levi","36","Not relevant"
"H4217H","east","36","Could impact IB"
"H4611","deeds","36","Could impact IB"
"H4687","commandment","36","Not relevant"
"H6453","passover","36","Could impact IB"
"H8283","sarah","36","Not relevant"
"H8492","wine","36","Not relevant"
"G0243","other","35","Not relevant"
"G1438","yourselves","35","Could impact IB"
"G1785","commandment","35","Not relevant"
"G1905","asked","35","Could impact IB"
"G4567","satan","35","Could impact IB"
"H0134","bases","35","Could impact IB"
"H0400","food","35","Not relevant"
"H0490","widow","35","Not relevant"
"H0681","beside","35","Not relevant"
"H0776G","countries","35","Could impact IB"
"H0801","food offering","35","Not relevant"
"H1121G","children","35","Not relevant"
"H1241","herd","35","Could impact IB"
"H1486","lot","35","Not relevant"
"H2416A","alive","35","Could impact IB"
"H3206","child","35","Not relevant"
"H4940","clan","35","Could impact IB"
"H5511","sihon","35","Not relevant"
"H8144","scarlet","35","Could impact IB"
"G1565","those","34","Not relevant"
"G1577","churches","34","Could impact IB"
"G1715","before","34","Not relevant"
"G2087","another","34","Not relevant"
"G3708G","seen","34","Not relevant"
"G3759","woe","34","Could impact IB"
"G4143","boat","34","Not relevant"
"G4263","sheep","34","Not relevant"
"G4334","came","34","Not relevant"
"G5618","as","34","Not relevant"
"H0001G","fathers’","34","Not relevant"
"H0251H","brothers","34","Not relevant"
"H1588M","garden","34","Could impact IB"
"H2233G","seed","34","Not relevant"
"H2809","heshbon","34","Not relevant"
"H3079","jehoiakim","34","Not relevant"
"H3556","stars","34","Could impact IB"
"H3603H","talents","34","Not relevant"
"H3871","tablets","34","Could impact IB"
"H4306","rain","34","Could impact IB"
"H4481","from","34","Not relevant"
"H5012","prophesied","34","Could impact IB"
"H5045G","negeb","34","Could impact IB"
"H6430G","philistine","34","Not relevant"
"H6908","gathered","34","Not relevant"
"H6999A","burn","34","Could impact IB"
"H6999H","offerings","34","Not relevant"
"H8123","samson","34","Not relevant"
"H8313","burn","34","Could impact IB"
"H8398","world","34","Could impact IB"
"H8548","regular","34","Could impact IB"
"H8641","contribution","34","Could impact IB"
"G0444","person","33","Could impact IB"
"G1909","for","33","Not relevant"
"G3037","stone","33","Not relevant"
"G4002","five","33","Not relevant"
"H0558G","amaziah","33","Not relevant"
"H0713","purple","33","Could impact IB"
"H0905G","poles","33","Could impact IB"
"H1121G","men","33","Not relevant"
"H2351","streets","33","Could impact IB"
"H4709G","mizpah","33","Not relevant"
"H5104H","river","33","Not relevant"
"H6172","nakedness","33","Could impact IB"
"H8065","heaven","33","Could impact IB"
"G1188","right hand","32","Could impact IB"
"G1860","promise","32","Could impact IB"
"G5620","that","32","Not relevant"
