id,verse_context_group_id,owning_registry_no,cluster_assignment,dimension,anchor_count,related_count,set_aside_count,total_verse_count,delete_flagged,dimension_confidence,manual_override,notes,last_modified,dominant_subject
1675,1787,112,C01,03 — Cognition,1,5,0,6,0,CLAUDE_AI,0,"Description names ""considered judgment or opinion of a person — an inner resolution or assessment offered with authority."" Cognition dominates (the inner act of judgment/assessment); Volition is adjacent (resolution as will-act) but the primary content is assessment. §7.7 03 Cognition.",2026-04-20T10:56:00Z,HUMAN
1676,1788,112,C01,04 — Volition,1,1,0,2,0,CLAUDE_AI,0,"Description names ""shared inner purpose — collective resolution placed in hearts by God or formed among persons toward a common end."" Distinct from 1001-001 — this is collective resolution, the volitional-shared-purpose characteristic. §7.7 04 Volition with a relational colour. Dominant subject NONE because the verse evidence shows both divine agency (placing in hearts) and human agency (forming).",2026-04-20T10:56:00Z,NONE
1677,1746,160,C02,03 — Cognition,1,7,0,8,0,CLAUDE_AI,1,Anchored — dimension analytically unambiguous. C01 anchor session 2026-04-06.,2026-04-06,
1678,1747,160,C02,03 — Cognition,1,5,0,6,0,CLAUDE_AI,1,Anchored — dimension analytically unambiguous. C01 anchor session 2026-04-06.,2026-04-06,
1680,1737,127,C02,03 — Cognition,1,8,0,9,0,CLAUDE_AI,1,Anchored — dimension analytically unambiguous. C01 anchor session 2026-04-06.,2026-04-06,
1681,1789,112,C01,11 — Divine-Human Correspondence,1,2,0,3,0,CLAUDE_AI,0,"Description names ""mind as seat of love and orientation toward God — whole inner capacity directed Godward in the great commandment."" Deuteronomy 6:5 / Mark 12:30 context. The characteristic is the whole inner mind directed toward loving God — this is Divine-Human Correspondence on the human side (the commandment names what the human inner-being is to do; the characteristic is the inner orientation reaching across the human-divine boundary). §7.7 11. Could be 04 Volition (loving God is will-act) or 06 Relational Disposition (stable orientation toward God); the Divine-Human Correspondence frame best captures the characteristic. Dominant_subject HUMAN — the human is the bearer of this love-orientation.",2026-04-20T10:56:00Z,HUMAN
1682,1790,112,C01,03 — Cognition,1,3,0,4,0,CLAUDE_AI,0,"Description names ""mind as susceptible to darkening, hostility, or moral corruption — understanding alienated from God or carrying out sinful desires."" Parallel to 994-002 for dianoia. §7.7 03 Cognition — the corrupted state of the rational-understanding faculty.",2026-04-20T10:56:00Z,HUMAN
1683,1791,112,C01,11 — Divine-Human Correspondence,1,4,0,5,0,CLAUDE_AI,0,"Description names ""mind as site of divine law-writing and renewal — inner capacity transformed and inscribed by God under the new covenant."" Hebrews 8:10 / 10:16 context. This is the clearest Dimension 11 case in r112 — God writing on the dianoia, the human dianoia receiving. The divine-human correspondence is the characteristic. Strong Session D candidate for the covenant-renewal cluster (paired with mnaomai 4413-003 non-remembrance, le.vav 579-009 circumcision, qe.rev 577-003 new covenant writing, enkainizō 602-001).",2026-04-20T10:56:00Z,NONE
1684,1792,112,C01,05 — Moral Character,1,1,0,2,0,CLAUDE_AI,0,"Description names ""inner division of allegiance — person whose loyalty is split between God and world, producing instability."" The characteristic is the moral condition of divided loyalty — a stable (or rather, unstable) inner moral-character state. §7.7 05 Moral Character. Could also be read as 04 Volition (divided will) but the letter-of-James context (the dipsuchos is unstable in all ways) points to character. Legacy label ""Moral/Conscience"" maps defensibly to 05 Moral Character.",2026-04-20T10:56:00Z,HUMAN
1685,1793,112,C01,03 — Cognition,1,1,0,2,0,CLAUDE_AI,0,"Description names ""inner thoughts and purposes of the heart — hidden intentional life that only God's word can discern and expose."" The characteristic is the hidden inner thinking. §7.7 03 Cognition. Could be read as 05 Moral Character (hidden intentional life as character content), but the explicit naming of ""thoughts and purposes"" (cognitive content) makes 03 the cleaner fit.",2026-04-20T10:56:00Z,HUMAN
1686,1794,112,C01,03 — Cognition,1,5,2,6,0,CLAUDE_AI,0,"Description names ""inner act of forgetting or neglecting — failure to retain in active consciousness what matters morally or relationally."" §7.7 03 Cognition (remembering/forgetting is within the Cognition dimension). The ""morally or relationally"" language names context, not the characteristic. 03 stands.",2026-04-20T10:56:00Z,HUMAN
1687,1795,112,C01,06 — Relational Disposition,1,0,0,1,0,CLAUDE_AI,0,"Description names ""shared inner disposition — genuine concern and aligned soul-orientation toward others."" The characteristic is relational alignment/disposition toward others (Paul of Timothy: ""I have no one like-minded who will genuinely care for your welfare""). §7.7 06 Relational Disposition (""Inner orientation toward another — love, compassion, favour, attachment, contempt, hatred""). Distinct dimension from its semantic pair dipsuchos (which is about divided self-orientation, not relational).",2026-04-20T10:56:00Z,HUMAN
1688,1796,112,C01,03 — Cognition,1,4,0,5,0,CLAUDE_AI,0,"Description names ""disruption or perceived disruption of rational inner faculties — being out of one's mind."" §7.7 03 Cognition (the rational faculty in its disorder). Paired with mania (1006-001) and parafroneō (4185-001).",2026-04-20T10:56:00Z,HUMAN
1689,1797,112,C01,03 — Cognition,1,0,0,1,0,CLAUDE_AI,0,"Description names ""state of mental derangement — collapse of rational inner faculties attributed to excessive learning."" §7.7 03 Cognition (rational faculties in collapse). Acts 26:24 — Festus accusing Paul.",2026-04-20T10:56:00Z,HUMAN
1690,1798,112,C01,03 — Cognition,1,0,0,1,0,CLAUDE_AI,0,"Description names ""reversal of inner judgment — changing one's assessment of a person or situation."" This is a cognitive reassessment act. Legacy label ""Volitional/Will"" could also apply, but the specific content is re-judging — which is §7.7 03 Cognition. Acts 28:6 is the one verse; the subjects (the Maltese islanders revising their view of Paul) are human persons in the narrative. The characteristic is the general human cognitive act of reassessment, not a special category of ""other human in relationship with the inner-being-person being studied"" — HUMAN is the cleaner assignment.",2026-04-20T10:56:00Z,HUMAN
1691,1738,135,C13,04 — Volition,1,4,0,5,0,CLAUDE_AI,0,Inner reversal of previous decision — change of mind/regret. Corrected from non-standard Volitional/Will to standard Volition.,2026-04-13,HUMAN
1692,1739,135,C13,08 — Transformation,2,30,0,32,0,CLAUDE_AI,0,Repentance as inner act of turning — complete reorientation from sin toward God. Corrected from non-standard Spiritual/God-ward.,2026-04-13,HUMAN
1693,1740,135,C13,08 — Transformation,2,20,0,22,0,CLAUDE_AI,0,Repentance as comprehensive inner transformation — godly grief leading to reorientation toward God. Corrected from non-standard Spiritual/God-ward.,2026-04-13,HUMAN
1694,1799,112,C01,03 — Cognition,1,1,0,2,0,CLAUDE_AI,0,"Description names ""inner act of mindful attentiveness — holding another in active awareness with moral or relational consequence."" §7.7 03 Cognition. Moral/relational consequence is context.",2026-04-20T10:56:00Z,HUMAN
1695,1800,112,C01,03 — Cognition,1,14,0,15,0,CLAUDE_AI,0,"Description names ""human remembrance — inner act of bringing to mind what was said, experienced, or promised."" §7.7 03 Cognition.",2026-04-20T10:56:00Z,HUMAN
1696,1801,112,C01,11 — Divine-Human Correspondence,1,3,0,4,0,CLAUDE_AI,0,"Description names ""divine remembrance — God holding a person or their deeds in active attentiveness, with grace or judgment as the result."" The characteristic is God's remembering as ground of effect (grace or judgement). §7.7 11 Divine-Human Correspondence — divine remembrance has direct effect on the human, the structural correspondence is the ground-effect pattern. GOD dominant subject. Paired with 3335-001 (cha.shav imputation) as Dimension 11 patterns where divine inner-act grounds human standing.",2026-04-20T10:56:00Z,GOD
1697,1802,112,C01,11 — Divine-Human Correspondence,1,1,0,2,0,CLAUDE_AI,0,"Description names ""God's chosen non-remembrance — new covenant promise to remember sins no more."" Hebrews 8:12 / 10:17 / Jeremiah 31:34 context. The characteristic is divine non-remembrance as covenant act — structural divine-human correspondence where God's inner act determines the covenant's character. §7.7 11. Core member of the covenant-renewal Session D cluster.",2026-04-20T10:56:00Z,GOD
1698,1803,112,C01,06 — Relational Disposition,1,5,0,6,0,CLAUDE_AI,0,"Description names ""affectionate remembrance of persons — holding them in active prayerful awareness before God."" The characteristic is relational affection expressed through remembrance — not simply the cognitive act of recall but the affectionate orientation toward another. §7.7 06 Relational Disposition (""Inner orientation toward another — love, compassion, favour, attachment…""). The Pauline epistolary ""I remember you in my prayers"" pattern. Distinct from other mnaomai senses by its relational content.",2026-04-20T10:56:00Z,HUMAN
1699,1804,112,C01,03 — Cognition,1,0,0,1,0,CLAUDE_AI,0,"Description names ""capacity for recall — ability to bring to active consciousness what has been received."" §7.7 03 Cognition. Direct match. Legacy label ""Volitional/Capacity"" is not a good fit.",2026-04-20T10:56:00Z,HUMAN
1700,1805,112,C01,03 — Cognition,1,17,0,18,0,CLAUDE_AI,0,"Description names ""commanded inner act of remembrance — calling to mind persons, words, or events as basis for present faith and conduct."" §7.7 03 Cognition. High-density group (18 total verses) — remembrance as a commanded covenantal act. The ""commanded"" and ""faith/conduct"" language touches the Spiritual/God-ward vocabulary gap; 03 Cognition captures the characteristic correctly. Session D observation: commanded-remembrance as a pattern where Cognition has covenantal-ethical weight.",2026-04-20T10:56:00Z,HUMAN
1701,1806,112,C01,03 — Cognition,1,2,0,3,0,CLAUDE_AI,0,"Description names ""inner orientation of remembrance as motivating force — thinking of, being concerned with, holding in mind as ground of present action."" Same dimension (03 Cognition) as 4411-001, the motivating-force sense of remembrance.",2026-04-20T10:56:00Z,HUMAN
1702,1807,112,C01,05 — Moral Character,1,0,0,1,0,CLAUDE_AI,0,"Revised description (RD-PHASE-B-112-001 in-session correction) reads *""Term names the deep inner life — the hidden motives and affections of the person open only to divine searching.""* The characteristic is the hidden moral reality of the person — what is open only to God's knowledge. This is §7.7 05 Moral Character territory (stable inner qualities of moral nature; the hidden interior is where moral character resides). Could also be read as 11 Divine-Human Correspondence given the divine searcher; but the primary characteristic named is the human's hidden moral interior, with divine knowledge as context. HUMAN is the dominant_subject (the person whose nefros is searched); GOD is the searcher in the verse but not the dominant subject of the characteristic named. Legacy label ""Volitional/Ca",2026-04-20T10:56:00Z,HUMAN
1703,1808,112,C01,05 — Moral Character,1,2,0,3,0,CLAUDE_AI,0,"Description names ""sobriety of mind as character quality — inner disposition of measured, clear-headed judgment required for leadership."" §7.7 05 Moral Character. Paired with 4192-001 (verbal command vs character-quality adjective). Same dimension assignment.",2026-04-20T10:56:00Z,HUMAN
1704,1809,112,C01,05 — Moral Character,1,5,0,6,0,CLAUDE_AI,0,"Description names ""commanded inner disposition of sober alertness — mind clear and watchful, not given to spiritual or moral drowsiness."" This is a stable inner disposition of character — §7.7 05 Moral Character (""Stable inner qualities of moral nature — goodness, justice, integrity, purity, faithfulness""). The ""commanded"" language is theological context, not the characteristic itself. Legacy label ""Character/Disposition"" maps to 05 Moral Character.",2026-04-20T10:56:00Z,HUMAN
1705,1748,160,C02,03 — Cognition,1,5,0,6,0,CLAUDE_AI,1,CORRECTED from Volitional/Capacity (C01 anchor) — DR-8 researcher confirmed 2026-04-07: mind's contents are a cognitive faculty; volitional and spiritual forces act upon the faculty but do not change its nature; programme-level principle applied,2026-04-07T00:00:00,
1706,1810,112,C01,03 — Cognition,1,14,0,15,0,CLAUDE_AI,0,"Description names ""mind as capable of knowing God and serving his law — rational-moral faculty oriented toward truth and divine will."" The characteristic is the mind as cognitive faculty oriented toward God. §7.7 03 Cognition captures the rational-faculty content. The orientation-toward-God is context (and this is one of the groups touching the Spiritual/God-ward vocabulary gap). Reading: 03 Cognition is the correct primary dimension; the God-ward aspect is Session D material (pattern of Cognition groups oriented toward God).",2026-04-20T10:56:00Z,HUMAN
1707,1811,112,C01,03 — Cognition,1,5,0,6,0,CLAUDE_AI,0,"Description names ""mind as corrupted, debased, or futile — rational faculty given over to moral disorder or darkened by sin."" Same dimension (03 Cognition) as 994-001, moral-negative pole. The corruption/futility language is moral-character adjacent but the characteristic named is the state of the rational faculty.",2026-04-20T10:56:00Z,HUMAN
1708,1812,112,C01,03 — Cognition,1,0,0,1,0,CLAUDE_AI,0,"Description names ""mind of the Lord/God — divine inner rational-purposive faculty inaccessible to humans except through revelation."" 1 Corinthians 2:16 / Romans 11:34 context. §7.7 03 Cognition applied to the divine subject. GOD dominant_subject. Interesting — the dimension 11 framing might apply if there is a direct correspondence between divine mind and transformed human mind (1 Cor 2:16 ""we have the mind of Christ""), but the primary content of this sense-split is the divine mind as hidden/inaccessible — 03 with GOD as subject is cleaner.",2026-04-20T10:56:00Z,GOD
1709,1813,112,C01,06 — Relational Disposition,1,0,0,1,0,CLAUDE_AI,0,"Description names ""unity of inner orientation — shared disposition of mind and spirit among the community."" 1 Peter 3:8. §7.7 06 Relational Disposition (shared orientation toward one another).",2026-04-20T10:56:00Z,HUMAN
1710,1814,112,C01,03 — Cognition,1,0,0,1,0,CLAUDE_AI,0,"Description names ""mode of expression that departs from rational restraint — speaking beyond reason, used rhetorically to mark apostolic boasting as a concession."" §7.7 03 Cognition (the rational faculty in its departure).",2026-04-20T10:56:00Z,HUMAN
1711,1815,112,C01,03 — Cognition,1,0,0,1,0,CLAUDE_AI,0,"Description names ""madness of disordered inner impulse — prophet's irrational compulsion rebuked by God through a donkey."" §7.7 03 Cognition (rational faculty in its disorder).",2026-04-20T10:56:00Z,HUMAN
1712,1643,26,C13,03 — Cognition,2,1,0,3,0,CLAUDE_AI,0,Conscious inner awareness — moral complicity or cognitive recognition informing volitional response. Non-standard Cognitive/Mind corrected to Cognition. AVs Act 5:2 and Act 12:12 confirm.,2026-04-13,HUMAN
1713,1816,112,C01,08 — Transformation,1,2,0,3,0,CLAUDE_AI,0,"Description names ""restoration of sound mind — inner rational and moral faculties recovered from disruption."" Mark 5:15 / Luke 8:35 (Gerasene demoniac). The characteristic is restoration/recovery — §7.7 08 Transformation (healing, renewal). Distinct sense from 999-002 by its restoration-event framing.",2026-04-20T10:56:00Z,HUMAN
1714,1817,112,C01,05 — Moral Character,1,2,0,3,0,CLAUDE_AI,0,"Description names ""sound-mindedness as moral disposition — thinking about oneself and others with measured, humble judgment."" Romans 12:3 context. §7.7 05 Moral Character (stable inner quality of measured judgement).",2026-04-20T10:56:00Z,HUMAN
1715,1818,112,C01,08 — Transformation,1,0,0,1,0,CLAUDE_AI,0,"Description names ""formation of inner dispositions through training — shaping the affective and relational life toward godly patterns."" Titus 2:4 context (older women training younger). The characteristic is formation/transformation of inner disposition. §7.7 08 Transformation (""Inner change — renewal, healing, purification, formation, or degradation""). This is a less-used dimension in the cluster but fits the characteristic precisely.",2026-04-20T10:56:00Z,HUMAN
1716,1819,112,C01,05 — Moral Character,1,0,0,1,0,CLAUDE_AI,0,"Description names ""inner disposition of self-controlled living — mind governing conduct with measured restraint."" §7.7 05 Moral Character — same family as 4188-001.",2026-04-20T10:56:00Z,HUMAN
1718,1820,112,C01,05 — Moral Character,1,3,0,4,0,CLAUDE_AI,0,"Description names ""self-control as inner character quality — disciplined mind that governs its impulses, required for godly leadership and life."" §7.7 05 Moral Character — direct match (""Stable inner qualities of moral nature — goodness, justice, integrity, purity, faithfulness"" — self-control is in this family).",2026-04-20T10:56:00Z,HUMAN
1719,1821,112,C01,03 — Cognition,1,6,0,7,0,CLAUDE_AI,0,"Description names ""prompting of inner remembrance — bringing truth or prior words back into active inner awareness through the Spirit, an apostle, or another person."" §7.7 03 Cognition. Dominant subject NONE — the description spans three distinct agent types.",2026-04-20T10:56:00Z,NONE
1720,1822,112,C01,03 — Cognition,1,2,0,3,0,CLAUDE_AI,0,"Description names ""act of reminding as pastoral instrument — stirring up inner life by bringing truth back to active consciousness."" §7.7 03 Cognition. The pastoral-agent framing is context.",2026-04-20T10:56:00Z,HUMAN
1721,1823,112,C01,06 — Relational Disposition,1,0,0,1,0,CLAUDE_AI,0,"Description names ""tender, friendly inner disposition — mind oriented toward others with gentleness and courtesy."" §7.7 06 Relational Disposition.",2026-04-20T10:56:00Z,HUMAN
1722,1824,112,C01,03 — Cognition,1,0,0,1,0,CLAUDE_AI,0,"Description names ""faculty of mature thinking — capacity for moral and rational discernment that marks adult inner life."" 1 Cor 14:20 context. §7.7 03 Cognition.",2026-04-20T10:56:00Z,HUMAN
1723,1825,112,C01,11 — Divine-Human Correspondence,1,5,0,6,0,CLAUDE_AI,0,"Description names ""direction of the mind — setting one's inner orientation toward God, the Spirit, or godly patterns of life."" Romans 8:5-6 / Colossians 3:2 context (""set your minds on things above""). The characteristic is the mind's orientation across the human-divine boundary — setting the inner mind toward God. §7.7 11 Divine-Human Correspondence. Alternatively 04 Volition (the act of directing) or 06 Relational Disposition (stable orientation toward God). The cleanest reading for ""setting one's inner orientation toward God"" is Dimension 11 — the mind's engagement across the boundary. HUMAN dominant, with God as the orientation's object.",2026-04-20T10:56:00Z,HUMAN
1724,1826,112,C01,06 — Relational Disposition,1,12,0,13,0,CLAUDE_AI,0,"Description names ""mind as seat of communal unity and personal relationship — being of the same mind, sharing concern, pursuing agreement."" Philippians 2:2 / Romans 12:16 context. §7.7 06 Relational Disposition (inner orientation toward one another).",2026-04-20T10:56:00Z,HUMAN
1725,1827,112,C01,05 — Moral Character,1,2,0,3,0,CLAUDE_AI,0,"Description names ""settled orientation of the inner mind — deep dispositional set of the person toward flesh or Spirit, with life or death as the outcome."" Romans 8:6-7 context. The characteristic is the deep dispositional set — §7.7 05 Moral Character (stable inner quality of moral nature). The flesh/Spirit framing is moral; the outcomes (life/death) confirm the character-weight. Alternatively 11 Divine-Human Correspondence if the flesh/Spirit alternative is taken as the divine-human boundary orientation.",2026-04-20T10:56:00Z,HUMAN
1726,1755,112,C01,11 — Divine-Human Correspondence,1,6,0,7,0,CLAUDE_AI,0,"Description names ""the memorial portion of an offering — part burned before God as act of bringing offerer to divine remembrance."" The characteristic is the offering as a vehicle for divine-human correspondence of remembrance. §7.7 11 Divine-Human Correspondence. Paired with 3498-001/002 as institutional memorial vocabulary.",2026-04-20T10:56:00Z,NONE
1727,1754,183,C01,03 — Cognition,1,0,537,1,0,CLAUDE_AI,0,"Description: *""Term names mind or heart as seat of mental attention — the faculty that 'sets itself' to consider a matter, retained in Aramaic narrative discourse.""* Daniel context. The characteristic is mind-setting-attention — §7.7 03 Cognition (attention is the cognitive-faculty act). Alternatively 04 Volition (the act of directing attention) — 03 is cleaner because the content is specifically attending/considering, not willing/deciding.",2026-04-20T12:15:00Z,HUMAN
1728,1756,112,C01,03 — Cognition,1,3,0,4,0,CLAUDE_AI,0,"Description names ""madness as inner condition — disordered, futile orientation of the human heart and mind, investigated alongside wisdom."" Ecclesiastes context. Madness-as-cognitive-disorder, paired with wisdom in the Qohelet investigation. §7.7 03 Cognition (the inner rational-discerning faculty, here in its disorder).",2026-04-20T10:56:00Z,HUMAN
1729,1757,112,C01,05 — Moral Character,1,0,0,1,0,CLAUDE_AI,0,"Description names ""madness as culmination of foolishness — final evil expression of a disordered inner life."" The moral-character framing is explicit (""final evil expression""). 05 Moral Character. Contrast with 4337-001 (Cognition — the disordered state investigated) and this group (Moral Character — the moral expression).",2026-04-20T10:56:00Z,HUMAN
1731,1759,112,C01,05 — Moral Character,1,4,0,5,0,CLAUDE_AI,0,"Description names ""boasting arrogance as inner orientation — exaltation of self before God and others."" Characterological pride / self-exaltation — §7.7 05 Moral Character (integrity / its opposite). Legacy label ""Moral/Conscience"" is acceptable; 05 is cleaner.",2026-04-20T10:56:00Z,HUMAN
1732,1760,112,C01,02 — Emotion — Negative,1,4,0,5,0,CLAUDE_AI,0,"Description names ""raving madness or contemptuous derision — expression of disordered inner intensity, whether in mockery, futility, or frenzied action."" The characteristic is disordered inner intensity — affective dysregulation with contempt as one outlet. §7.7 02 Emotion — Negative; contempt is explicitly in §7.7 06 Relational Disposition's vocabulary but the characteristic here is the internal disorder producing it, not the relational attitude itself. 02 stands.",2026-04-20T10:56:00Z,HUMAN
1733,1749,160,C02,Spiritual/God-ward,2,179,10,181,0,CLAUDE_AI,1,Anchored — dimension analytically unambiguous. C01 anchor session 2026-04-06.,2026-04-06,
1734,1750,160,C02,11 — Divine-Human Correspondence,2,22,10,24,0,CLAUDE_AI,1,Anchored — dimension analytically unambiguous. C01 anchor session 2026-04-06.,2026-04-06,
1735,1655,110,C02,03 — Cognition,2,7,0,9,0,CLAUDE_AI,1,CORRECTED from Volitional/Capacity (C01 anchor) — DR-8 researcher confirmed 2026-04-07: remembrance as cognitive capacity holding content in living consciousness; programme-level principle: the will directing a faculty does not make that faculty volitional,2026-04-07T00:00:00,
1736,1656,110,C02,Moral/Conscience,2,13,0,15,0,CLAUDE_AI,1,Anchored — dimension analytically unambiguous. C01 anchor session 2026-04-06.,2026-04-06,
1737,1761,112,C01,11 — Divine-Human Correspondence,2,9,0,11,0,CLAUDE_AI,0,"Description names ""institutional memorial — act/object/day established to keep an event or person before God and the community across generations."" The inner-being content is divine-human shared memory — God remembering through what the community keeps, the community keeping through what God has instituted. This is §7.7 11 Divine-Human Correspondence territory (inner characteristics operating across the divine-human boundary). Alternatively, if the weight is on the human cognitive act (keeping in mind), 03 Cognition would apply. The reading that better captures the characteristic is 11 — the memorial is not a cognitive act alone but a structure of mutual remembrance. Legacy label ""Spiritual/God-ward"" maps cleanly to 11 here. Session D pattern: all four memorial groups likely share this Dim",2026-04-20T10:56:00Z,NONE
1738,1762,112,C01,11 — Divine-Human Correspondence,1,5,0,6,0,CLAUDE_AI,0,"Description names ""priestly/liturgical keeping of persons before God — act of bearing names or offerings into God's presence for ongoing remembrance."" Same pattern as 3498-001 — divine-human shared memory, with the priest as mediating agent. §7.7 11 Divine-Human Correspondence.",2026-04-20T10:56:00Z,NONE
1739,1763,112,C01,03 — Cognition,1,4,0,5,0,CLAUDE_AI,0,"Description names ""inner act of remembrance — capacity to hold persons and events in living consciousness, and absence of such memory as loss."" This sense-split is the cognitive-remembrance characteristic specifically, without the institutional/liturgical structure that 3498-001 and 3498-002 carry. §7.7 03 Cognition (""Inner acts of knowing, perceiving, remembering, understanding, and discerning""). Distinct from the memorial-institution pattern.",2026-04-20T10:56:00Z,HUMAN
1741,1752,160,C02,Moral/Conscience,1,2,0,3,0,CLAUDE_AI,1,Anchored — dimension analytically unambiguous. C01 anchor session 2026-04-06.,2026-04-06,
1742,1764,112,C01,11 — Divine-Human Correspondence,2,4,9,6,0,CLAUDE_AI,0,"Description names ""moral crediting or imputing of righteousness/guilt — inner act of reckoning a person's standing before God or human authority."" This is the Genesis 15:6 imputation term (cha.shav as ""reckoned it to him as righteousness""). The characteristic is divine reckoning — a theologically weighted act where God's inner assessment determines a person's standing. §7.7 11 Divine-Human Correspondence is the right frame: God's reckoning is the direct ground of the human's righteousness-standing. Alternatively 03 Cognition (act of reckoning) but that loses the theological-structural framing that makes this term one of the most weighty in the OT. GOD is the dominant subject per §7.7 11 note (""Assign GOD where one pole dominates but the correspondence is analytically significant""). Strong ",2026-04-20T10:56:00Z,GOD
1743,1765,112,C01,03 — Cognition,2,20,9,22,0,CLAUDE_AI,0,"Description names ""evaluative regard of persons or things — inner act of assessing worth, status, or character in relational and social contexts."" Distinct from 3335-001 — this is the human-social act of reckoning, without the theological imputation-structure. §7.7 03 Cognition (evaluative cognition). The legacy label ""Relational/Social"" pointed toward Relational Disposition, but the characteristic is the act of evaluation, not the relational attitude produced — 03 Cognition is cleaner.",2026-04-20T10:56:00Z,HUMAN
1744,1766,112,C01,04 — Volition,1,24,0,25,0,CLAUDE_AI,0,"Description names ""deliberate devising of harm — inner formation of schemes, plots, or evil plans against another."" §7.7 04 Volition with negative moral valence. The purposive-act-of-planning characteristic dominates. Cross-registry root family CHASHAV (Phase A Session D candidate) spans mind/purpose/thought — all likely Volition or Cognition territory in their registry neighbours.",2026-04-20T10:56:00Z,HUMAN
1745,1767,112,C01,04 — Volition,2,16,0,18,0,CLAUDE_AI,0,"Description names ""purposive planning — inner formation of a deliberate purpose or plan, whether by God or human agents."" The broader (non-harm-specific) volitional characteristic. §7.7 04 Volition. NONE dominant_subject since the description explicitly spans divine and human.",2026-04-20T10:56:00Z,NONE
1746,1768,112,C01,03 — Cognition,1,10,0,11,0,CLAUDE_AI,0,"Description names ""inner act of thinking and considering — mind forming judgments, reconsidering paths, or holding deliberate thoughts."" Direct §7.7 03 Cognition match.",2026-04-20T10:56:00Z,HUMAN
1747,1769,112,C01,03 — Cognition,1,14,0,15,0,CLAUDE_AI,0,"Description names ""inner evaluative act of counting or regarding — assessing a person's or thing's worth, status, or standing."" Per RD-PHASE-B-112-002, accepted as-is (distinct Strongs sense H2803J ""think"" from H2803H ""count"" 3335-002 despite descriptive similarity). §7.7 03 Cognition. Functionally similar dimension assignment to 3335-002 — confirms that the descriptive overlap reflects genuine functional overlap between two Strongs senses in the verbs of reckoning/evaluating, not a grouping defect.",2026-04-20T10:56:00Z,HUMAN
1748,1753,160,C02,03 — Cognition,1,2,0,3,0,CLAUDE_AI,1,Anchored — dimension analytically unambiguous. C01 anchor session 2026-04-06.,2026-04-06,
