strongNumber,stepGloss,stepTransliteration,language,count
G0001G,Alpha,a alfa,Greek,6
G0002,Aaron,aarōn,Greek,361
G0003,Abaddon,abaddōn,Greek,4
G0004,not burdensome,abarēs,Greek,1
G0005,Abba,abba,Greek,4
G0006,Abel,abel,Greek,17
G0007H,Abijah,abia,Greek,1
G0008,Abiathar,abiathar,Greek,31
G0009,Abilene,abilēnē,Greek,1
G0011,Abraham,abraam,Greek,255
G0012,abyss,abussos,Greek,41
G0013,Agabus,agabos,Greek,2
G0022,unmarried,agamos,Greek,4
G0023,be indignant,aganakteō,Greek,7
G0028,Hagar,agar,Greek,19
G0029,to force,angareuō,Greek,3
G0030,jar,angeion,Greek,24
G0031,message,angelia,Greek,15
G0032G,angel,angelos,Greek,425
G0032H,angel: messenger,angelos,Greek,14
G0034,herd,agelē,Greek,17
G0035,without genealogy,agenealogētos,Greek,1
G0036,lowly,agenēs,Greek,1
G0037,to sanctify,hagiazō,Greek,213
G0039H,Most Holy Place,hagion,Greek,4
G0040H,holy: saint,hagios,Greek,65
G0044,fishhook,ankistron,Greek,6
G0045,anchor,ankura,Greek,5
G0046,unshrunk,agnafos,Greek,2
G0051,error,agnoēma,Greek,2
G0052,ignorance,agnoia,Greek,15
G0056,ignorance,agnōsia,Greek,3
G0057,unknown,agnōstos,Greek,1
G0058,marketplace,agora,Greek,20
G0059,to buy,agorazō,Greek,49
G0060,of the marketplace,agoraios,Greek,2
G0061,catch,agra,Greek,2
G0062,unschooled,agrammatos,Greek,1
G0063,to live outside,agrauleō,Greek,1
G0064,to catch,agreuō,Greek,6
G0065,wild olive tree,agrielaios,Greek,2
G0066,wild,agrios,Greek,25
G0067,Agrippa,agrippas,Greek,12
G0068G,field,agros,Greek,272
G0068H,Field (of blood),agros,Greek,272
G0069,be watchful,agrupneō,Greek,10
G0070,sleeplessness,agrupnia,Greek,2
G0071,to bring,agō,Greek,250
G0072,self-conduct,agōgē,Greek,5
G0076,Adam,adam,Greek,37
G0077,free,adapanos,Greek,1
G0080,brother,adelfos,Greek,1014
G0082,unclear,adēlos,Greek,3
G0083,uncertainty,adēlotēs,Greek,1
G0088,continuous,adialeiptos,Greek,2
G0089,unceasingly,adialeiptōs,Greek,4
G0090,unspoilable,adiafthoria,Greek,1
G0096,failing,adokimos,Greek,11
G0098,Adramyttium,adramuttēnos,Greek,1
G0099,Adriatic Sea,adrias,Greek,1
G0100,abundance,hadrotēs,Greek,1
G0101,be impossible,adunateō,Greek,13
G0102,unable,adunatos,Greek,27
G0103,to sing,adō,Greek,75
G0104,always,aei,Greek,12
G0105,eagle,aetos,Greek,33
G0106,unleavened,azumos,Greek,60
G0108,Azotus,azōtos,Greek,22
G0109,air,aēr,Greek,10
G0110,immortality,athanasia,Greek,3
G0111,unlawful,athemitos,Greek,2
G0112,without God,atheos,Greek,1
G0113,lawless,athesmos,Greek,2
G0114,to reject,atheteō,Greek,72
G0115,nullification,athetēsis,Greek,3
G0116,Athens,athēnai,Greek,6
G0117,Athenian,athēnaios,Greek,2
G0119,struggle,athlēsis,Greek,1
G0121,innocent,athōos,Greek,47
G0122,goat's,aigeios,Greek,5
G0123,shore,aigialos,Greek,7
G0124,Egyptian,aiguptios,Greek,132
G0125,Egypt,aiguptos,Greek,617
G0126,eternal,aidios,Greek,2
G0127,modesty,aidōs,Greek,3
G0128,Ethiopian,aithiops,Greek,43
G0129G,blood,haima,Greek,454
G0129H,(Field of) Blood,haima,Greek,4
G0130,bloodshed,haimatekchusia,Greek,1
G0132,Aeneas,aineas,Greek,2
G0135,obscure thing,ainigma,Greek,7
G0137,Aenon,ainōn,Greek,1
G0142,to take up,airō,Greek,370
G0143,to perceive,aisthanomai,Greek,7
G0146,greedy,aischrokerdēs,Greek,3
G0147,greedily,aischrokerdōs,Greek,1
G0148,obscenity,aischrologia,Greek,1
G0149,shameful,aischron,Greek,0
G0151,obscenity,aischrotēs,Greek,1
G0154,to ask,aiteō,Greek,145
G0155,request,aitēma,Greek,15
G0157,charge,aitiama,Greek,1
G0158,reason for charge,aition,Greek,0
G0160,sudden,aifnidios,Greek,2
G0161,captivity,aichmalōsia,Greek,99
G0162,to take captive,aichmalōteuō,Greek,41
G0163,to capture,aichmalōtizō,Greek,13
G0164,captive,aichmalōtos,Greek,20
G0165G,an age: age,aiōn,Greek,520
G0165H,an age: eternity,aiōn,Greek,87
G0166,eternal,aiōnios,Greek,191
G0168,uncleanness,akathartēs,Greek,1
G0170,to lack opportunity,akaireō,Greek,1
G0171,unseasonably,akairōs,Greek,1
G0173,a thorn,akantha,Greek,39
G0175,unfruitful,akarpos,Greek,8
G0176,beyond reproach,akatagnōstos,Greek,1
G0177,uncovered,akatakaluptos,Greek,3
G0179,indestructible,akatalutos,Greek,1
G0180,unceasing,akatapaustos,Greek,1
G0181,disorder,akatastasia,Greek,6
G0182,restless,akatastatos,Greek,3
G0184,Akeldama,akeldama,Greek,1
G0185,innocent,akeraios,Greek,3
G0186,unwavering,aklinēs,Greek,1
G0187,to ripen,akmazō,Greek,1
G0188,still,akmēn,Greek,1
G0190,to follow,akoloutheō,Greek,101
G0191,to hear,akouō,Greek,1332
G0195,strictness,akribeia,Greek,3
G0196,strictest,akribestatos,Greek,2
G0197,more accurately,akribesteron,Greek,4
G0198,be exactly,akriboō,Greek,2
G0199,exactly,akribōs,Greek,8
G0200,locust,akris,Greek,33
G0201,hall,akroatērion,Greek,1
G0202,hearer,akroatēs,Greek,5
G0203,uncircumcision,akrobustia,Greek,34
G0204,cornerstone,akrogōniaios,Greek,4
G0205,fine spoils,akrothinion,Greek,1
G0206,end,akron,Greek,89
G0207,Aquila,akulas,Greek,7
G0208,to nullify,akuroō,Greek,3
G0209,freely,akōlutōs,Greek,1
G0210,unwilling,akōn,Greek,2
G0211,jar,alabastron,Greek,5
G0214,to wail,alalazō,Greek,21
G0215,inexpressible,alalētos,Greek,1
G0216,mute,alalos,Greek,5
G0217,salt,halas,Greek,18
G0219,crowing,alektorofōnia,Greek,1
G0221,Alexandrian,alexandreus,Greek,2
G0222,Alexandria,alexandrinos,Greek,2
G0223G,Alexander,alexandros,Greek,6
G0223H,Alexander,alexandros,Greek,2
G0223I,Alexander,alexandros,Greek,2
G0223J,Alexander,alexandros,Greek,2
G0224,flour,aleuron,Greek,14
G0229,to grind,alēthō,Greek,6
G0231,fisherman,halieus,Greek,9
G0232,to fish,halieuō,Greek,2
G0233,to salt,halizō,Greek,6
G0234,defilement,alisgēma,Greek,1
G0235,but,alla,Greek,1041
G0237,from elsewhere,allachothen,Greek,3
G0238,to use an analogy,allēgoreō,Greek,1
G0239,hallelujah,allēlouia,Greek,18
G0240,one another,allēlōn,Greek,130
G0241,foreign,allogenēs,Greek,30
G0242,to spring,hallomai,Greek,8
G0243,another,allos,Greek,221
G0244,meddler,allotriepiskopos,Greek,1
G0245,another’s,allotrios,Greek,142
G0246,foreign,allofulos,Greek,288
G0247,otherwise,allōs,Greek,5
G0248,to thresh,aloaō,Greek,10
G0249,unreasonable,alogos,Greek,5
G0250,aloes,aloē,Greek,1
G0252,salty,halukos,Greek,9
G0254,chain,halusis,Greek,11
G0255,unprofitable,alusitelēs,Greek,1
G0256,Alphaeus,alfaios,Greek,5
G0258,fox,alōpēx,Greek,11
G0259,capture,halōsis,Greek,2
G0260,together,hama,Greek,95
G0261,ignorant,amathēs,Greek,1
G0262,unfading,amarantinos,Greek,1
G0263,unfading,amarantos,Greek,1
G0267,without witness,amarturos,Greek,1
G0269,peacable,amachos,Greek,2
G0270,to mow,amaō,Greek,7
G0272,to neglect,ameleō,Greek,7
G0273,blameless,amemptos,Greek,17
G0274,blamelessly,amemptōs,Greek,2
G0277,immovable,ametakinētos,Greek,1
G0279,unrepentant,ametanoētos,Greek,1
G0280,immoderate,ametros,Greek,2
G0281,amen,amēn,Greek,158
G0282,motherless,amētōr,Greek,1
G0283,pure,amiantos,Greek,4
G0285,sand,ammos,Greek,27
G0286,lamb,amnos,Greek,104
G0287,repayment,amoibē,Greek,1
G0288,vine,ampelos,Greek,68
G0289,a vine-worker,ampelourgos,Greek,5
G0290,vineyard,ampelōn,Greek,114
G0291,Ampliatus,amplias,Greek,1
G0292,to defend,amunō,Greek,7
G0293,net,amfiblēstron,Greek,6
G0294,to clothe,amfiennumi,Greek,8
G0295,Amphipolis,amfipolis,Greek,1
G0296,street,amfodon,Greek,3
G0297,both,amfoteros,Greek,129
G0298,blameless,amōmētos,Greek,2
G0299,blameless,amōmos,Greek,89
G0302,if,an,Greek,984
G0304,stairs,anabathmos,Greek,27
G0305,to ascend,anabainō,Greek,659
G0306,to defer,anaballō,Greek,6
G0307,to pull up,anabibazō,Greek,38
G0308,to look up/again,anablepō,Greek,54
G0309,recovery of sight,anablepsis,Greek,2
G0310,to cry out,anaboaō,Greek,41
G0311,delay,anabolē,Greek,4
G0312,to report,anangellō,Greek,254
G0313,to rebirth,anagennaō,Greek,2
G0314,to read,anaginōskō,Greek,83
G0319,to recognize,anagnōrizō,Greek,2
G0320,reading,anagnōsis,Greek,4
G0321,to lead,anagō,Greek,128
G0322,to appoint,anadeiknumi,Greek,7
G0323,public appearance,anadeixis,Greek,1
G0324,to receive,anadechomai,Greek,2
G0326,to revive,anazaō,Greek,5
G0327,to search,anazēteō,Greek,5
G0328,to gird,anazōnnumi,Greek,2
G0330,to renew,anathallō,Greek,4
G0331,cursed,anathema,Greek,31
G0332,to take an oath,anathematizō,Greek,18
G0333,to contemplate,anatheōreō,Greek,2
G0334,offering,anathēma,Greek,0
G0335,shamelessnes,anaideia,Greek,1
G0336,murder,anairesis,Greek,3
G0337,to kill,anaireō,Greek,91
G0339,to sit up,anakathizō,Greek,2
G0340,to restore,anakainizō,Greek,5
G0343,to unveil,anakaluptō,Greek,21
G0344,to return,anakamptō,Greek,18
G0345,to recline,anakeimai,Greek,16
G0346,to summarise,anakefalaioomai,Greek,2
G0347,to recline,anaklinō,Greek,9
G0349,to yell,anakrazō,Greek,15
G0350,to investigate,anakrinō,Greek,17
G0351,investigation,anakrisis,Greek,1
G0352,to straighten up,anakuptō,Greek,5
G0353,to take up,analambanō,Greek,82
G0355,to consume,analiskō,Greek,19
G0356,proportion,analogia,Greek,1
G0357,to consider,analogizomai,Greek,2
G0358,unsalty,analos,Greek,2
G0359,departure,analusis,Greek,1
G0360,to depart,analuō,Greek,2
G0362,to await,anamenō,Greek,5
G0365,to renew,ananeoomai,Greek,2
G0366,to regain senses,ananēfō,Greek,1
G0367G,Ananias,ananias,Greek,45
G0367H,Ananias,ananias,Greek,13
G0367I,Ananias,ananias,Greek,4
G0368,indisputable,anantirrētos,Greek,1
G0369,without objection,anantirrētōs,Greek,1
G0370,unworthy,anaxios,Greek,2
G0371,unworthily,anaxiōs,Greek,2
G0372,rest,anapausis,Greek,50
G0373,to give rest,anapauō,Greek,77
G0374,to persuade,anapeithō,Greek,4
G0375,to send back,anapempō,Greek,5
G0376,crippled,anapēros,Greek,2
G0377,to recline,anapiptō,Greek,13
G0378,to fulfil,anaplēroō,Greek,18
G0379,inexcusable,anapologētos,Greek,2
G0380,to unroll,anaptussō,Greek,6
G0381,to set fire,anaptō,Greek,24
G0382,countless,anarithmētos,Greek,7
G0383,to incite,anaseiō,Greek,2
G0384,to upset,anaskeuazō,Greek,1
G0385,to pull up,anaspaō,Greek,6
G0386,resurrection,anastasis,Greek,46
G0387,to cause trouble,anastatoō,Greek,3
G0388,to recrucify,anastauroō,Greek,1
G0389,to sigh deeply,anastenazō,Greek,2
G0390,to live/return,anastrefō,Greek,116
G0391,behaviour,anastrofē,Greek,13
G0392,to compile,anatassō,Greek,1
G0393,to rise,anatellō,Greek,58
G0394,to set before,anatithēmi,Greek,9
G0395,east,anatolē,Greek,183
G0396,to overturn,anatrepō,Greek,7
G0397,to bring up,anatrefō,Greek,3
G0398,to appear,anafainō,Greek,8
G0399,to carry up,anaferō,Greek,157
G0400,to exclaim,anafōneō,Greek,6
G0401,outpouring,anachusis,Greek,1
G0402,to leave,anachōreō,Greek,25
G0403,refreshment,anapsuxis,Greek,2
G0404,to refresh,anapsuchō,Greek,6
G0405,slave-trader,andrapodistēs,Greek,1
G0406,Andrew,andreas,Greek,13
G0407,to act like a man,andrizō,Greek,23
G0408,Andronicus,andronikos,Greek,1
G0409,murderer,androfonos,Greek,1
G0410,irreproachable,anenklētos,Greek,5
G0411,indescribable,anekdiēgētos,Greek,1
G0412,inexpressible,aneklalētos,Greek,1
G0413,inexhaustible,anekleiptos,Greek,1
G0414,bearable,anektos,Greek,6
G0416,be wind-blown,anemizomai,Greek,1
G0417,wind,anemos,Greek,81
G0418,impossible,anendektos,Greek,1
G0419,unsearchable,anexereunētos,Greek,1
G0421,unsearchable,anexichniastos,Greek,5
G0422,unashamed,anepaischuntos,Greek,1
G0423,irreproachable,anepilēptos,Greek,3
G0424,to go up,anerchomai,Greek,5
G0426,to question,anetazō,Greek,3
G0427,without,aneu,Greek,32
G0428,unsuitable,aneuthetos,Greek,1
G0429,to find,aneuriskō,Greek,2
G0431,cousin,anepsios,Greek,2
G0432,dill,anēthon,Greek,1
G0433,be fitting,anēkō,Greek,6
G0434,brutal,anēmeros,Greek,1
G0435G,man,anēr,Greek,1663
G0435H,man: husband,anēr,Greek,53
G0436,to oppose,anthistēmi,Greek,56
G0437,to praise,anthomologeomai,Greek,2
G0438,flower,anthos,Greek,26
G0439,charcoal fire,anthrakia,Greek,2
G0440,charcoal,anthrax,Greek,29
G0441,people-pleaser,anthrōpareskos,Greek,3
G0442,human,anthrōpinos,Greek,16
G0443,murderer,anthrōpoktonos,Greek,3
G0444,a human,anthrōpos,Greek,1660
G0445,to be proconsul,anthupateuō,Greek,1
G0446,proconsul,anthupatos,Greek,5
G0447,to loosen/leave,aniēmi,Greek,37
G0449,unwashed,aniptos,Greek,3
G0450,to arise,anistēmi,Greek,546
G0451,Anna,anna,Greek,1
G0452,Annas,annas,Greek,15
G0453,foolish,anoētos,Greek,13
G0454,folly,anoia,Greek,7
G0455,to open,anoigō,Greek,215
G0457,opening,anoixis,Greek,1
G0459,lawless,anomos,Greek,87
G0460,without law,anomōs,Greek,2
G0461,to restore,anorthoō,Greek,15
G0465,in exchange,antallagma,Greek,7
G0466,to fill again,antanaplēroō,Greek,1
G0468,repayment,antapodoma,Greek,18
G0469,reward,antapodosis,Greek,14
G0470,to contradict,antapokrinomai,Greek,6
G0471,to contradict,anteipon,Greek,11
G0472,to cling to,antechō,Greek,20
G0473,for,anti,Greek,356
G0474,to discuss,antiballō,Greek,1
G0475,to oppose,antidiatithēmi,Greek,1
G0477,opposition,antithesis,Greek,1
G0478,to resist,antikathistēmi,Greek,3
G0479,to invite in return,antikaleō,Greek,2
G0480,be an opponent,antikeimai,Greek,19
G0481,opposite,antikru,Greek,1
G0482,to help,antilambanō,Greek,42
G0483,to dispute,antilegō,Greek,17
G0484,help,antilēpsis,Greek,7
G0486,to retaliate,antiloidoreō,Greek,1
G0487,ransom,antilutron,Greek,1
G0488,to return,antimetreō,Greek,2
G0489,recompense,antimisthia,Greek,2
G0490G,Antioch,antiocheia,Greek,18
G0490H,Antioch,antiocheia,Greek,4
G0491,Antiochian,antiocheus,Greek,1
G0492,to pass,antiparerchomai,Greek,2
G0493,Antipas,antipas,Greek,1
G0494,Antipatris,antipatris,Greek,1
G0495,opposite,antiperan,Greek,1
G0496,to resist,antipiptō,Greek,6
G0497,to wage war against,antistrateuomai,Greek,1
G0498,to resist,antitassō,Greek,12
G0499,representation,antitupos,Greek,2
G0501,to draw,antleō,Greek,12
G0502,bucket,antlēma,Greek,1
G0503,to face,antofthalmeō,Greek,1
G0504,waterless,anudros,Greek,24
G0506,insubordinate,anupotaktos,Greek,4
G0507,above,anō,Greek,45
G0508,an upper room,anōgeon,Greek,2
G0509,from above/again,anōthen,Greek,37
G0510,interior,anōterikos,Greek,1
G0511,higher,anōteros,Greek,7
G0512,useless,anōfelēs,Greek,6
G0513,axe,axinē,Greek,9
G0516,appropriately,axiōs,Greek,6
G0517,invisible,aoratos,Greek,7
G0518,to announce,apangellō,Greek,263
G0520,to lead away,apagō,Greek,51
G0521,uninstructed,apaideutos,Greek,10
G0522,to take away,apairō,Greek,95
G0523,to demand,apaiteō,Greek,10
G0525,to release,apallassō,Greek,13
G0526,to alienate,apallotrioō,Greek,12
G0527,tender,hapalos,Greek,10
G0528,to meet,apantaō,Greek,34
G0529,meeting,apantēsis,Greek,59
G0530,once,hapax,Greek,52
G0531,permanent,aparabatos,Greek,1
G0532,unprepared,aparaskeuastos,Greek,1
G0533,to deny,aparneomai,Greek,14
G0535,completion,apartismos,Greek,1
G0536,firstfruits,aparchē,Greek,79
G0537,all,hapas,Greek,99
G0538,to trick,apataō,Greek,35
G0540,fatherless,apatōr,Greek,1
G0541,radiance,apaugasma,Greek,1
G0545,disobedient,apeithēs,Greek,12
G0546,to threaten,apeileō,Greek,7
G0547,threat,apeilē,Greek,12
G0548,be absent,apeimi,Greek,11
G0549,to go,apeimi,Greek,1
G0550,to renounce,apeipon,Greek,5
G0551,untempted,apeirastos,Greek,1
G0553,to expect,apekdechomai,Greek,8
G0554,to take off,apekduomai,Greek,2
G0555,removal,apekdusis,Greek,1
G0557,discredit,apelegmos,Greek,1
G0558,freed,apeleutheros,Greek,1
G0559,Apelles,apellēs,Greek,1
G0561,opposite,apenanti,Greek,88
G0562,endless,aperantos,Greek,2
G0564,uncircumcised,aperitmētos,Greek,33
G0565,to go away,aperchomai,Greek,318
G0566,to receive/avoid,apechei,Greek,0
G0567,to refrain/,apechomai,Greek,1
G0568G,to be distant,apechō,Greek,51
G0568H,to have in full,apechō,Greek,51
G0568I,to abstain,apechō,Greek,51
G0575,away from,apo,Greek,4193
G0576,to get out,apobainō,Greek,21
G0578,to look ahead,apoblepō,Greek,8
G0579,rejected,apoblētos,Greek,1
G0581,to cease to be,apogenomenos,Greek,1
G0582,census,apografē,Greek,2
G0583,to register,apografō,Greek,7
G0584,to display,apodeiknumi,Greek,7
G0585,demonstration,apodeixis,Greek,1
G0586,to tithe,apodekatoō,Greek,10
G0587,pleasing,apodektos,Greek,2
G0588,to receive,apodechomai,Greek,8
G0589,to go abroad,apodēmeō,Greek,6
G0590,absent,apodēmos,Greek,1
G0592,to divide,apodiorizō,Greek,1
G0593,to reject,apodokimazō,Greek,18
G0594,acceptance,apodochē,Greek,2
G0595,removal,apothesis,Greek,2
G0596,storehouse,apothēkē,Greek,18
G0597,to store up,apothēsaurizō,Greek,1
G0599,to die,apothnēskō,Greek,585
G0600,to restore,apokathistēmi,Greek,40
G0601,to reveal,apokaluptō,Greek,130
G0602,revelation,apokalupsis,Greek,20
G0605,restoration,apokatastasis,Greek,1
G0606,to lay up,apokeimai,Greek,6
G0607,to behead,apokefalizō,Greek,6
G0608,to shut,apokleiō,Greek,28
G0609,to cut off,apokoptō,Greek,15
G0610,verdict,apokrima,Greek,1
G0611,to answer,apokrinō,Greek,490
G0612,answer,apokrisis,Greek,14
G0613,to conceal,apokruptō,Greek,16
G0614,concealed,apokrufos,Greek,16
G0615,to kill,apokteinō,Greek,244
G0616,to generate,apokueō,Greek,2
G0617,to roll away,apokuliō,Greek,7
G0619,enjoyment,apolausis,Greek,2
G0620,to leave,apoleipō,Greek,22
G0621,to lick,apoleichō,Greek,1
G0622,to destroy,apolluō,Greek,367
G0623,Apollyon,apolluōn,Greek,1
G0624,Apollonia,apollōnia,Greek,1
G0625,Apollos,apollōs,Greek,11
G0626,to defend oneself,apologeomai,Greek,12
G0627,defence,apologia,Greek,8
G0628,to wash off,apolouō,Greek,3
G0629,redemption,apolutrōsis,Greek,10
G0630G,to release: release,apoluō,Greek,76
G0630H,to release: divorce,apoluō,Greek,12
G0631,to wipe off,apomassō,Greek,1
G0632,to render as due,aponemō,Greek,2
G0633,to wash off,aponiptō,Greek,4
G0634,to fall from,apopiptō,Greek,9
G0635,to mislead,apoplanaō,Greek,5
G0636,to set sail,apopleō,Greek,4
G0640,perplexity,aporia,Greek,9
G0641,to throw off,aporriptō,Greek,46
G0642,to orphan,aporfanizō,Greek,1
G0644,shadow,aposkiasma,Greek,1
G0645,to draw away,apospaō,Greek,9
G0647,divorce,apostasion,Greek,7
G0648,to unroof,apostegazō,Greek,1
G0649,to send,apostellō,Greek,661
G0650,to defraud,apostereō,Greek,8
G0651,apostleship,apostolē,Greek,10
G0652,apostle,apostolos,Greek,83
G0653,to interrogate,apostomatizō,Greek,1
G0654,to turn away,apostrefō,Greek,423
G0655,to abhor,apostugeō,Greek,1
G0656,excommunicated,aposunagōgos,Greek,3
G0657,to leave,apotassō,Greek,8
G0658,to complete,apoteleō,Greek,2
G0659,to put aside,apotithēmi,Greek,23
G0660,to shake off,apotinassō,Greek,5
G0661,to repay,apotinō,Greek,32
G0663,severity,apotomia,Greek,2
G0664,severely,apotomōs,Greek,2
G0665,to avoid,apotrepō,Greek,1
G0666,absence,apousia,Greek,1
G0667,to carry off,apoferō,Greek,24
G0668,to escape,apofeugō,Greek,3
G0669,to declare,apofthengomai,Greek,10
G0670,to unload,apofortizomai,Greek,1
G0671,using up,apochrēsis,Greek,1
G0672,to leave,apochōreō,Greek,4
G0673,to separate from,apochōrizō,Greek,3
G0675, Appius,appios,Greek,1
G0676,unapproachable,aprositos,Greek,1
G0678,impartially,aprosōpolēptōs,Greek,1
G0681,to touch,haptō,Greek,42
G0683,to reject,apōtheō,Greek,75
G0684,destruction,apōleia,Greek,94
G0685,curse,ara,Greek,32
G0686,therefore,ara,Greek,93
G0687,no?,ara,Greek,3
G0688,Arabia,arabia,Greek,21
G0690,Arabian,araps,Greek,5
G0691,be idle,argeō,Greek,4
G0692,idle,argos,Greek,10
G0693,silver,argureos,Greek,89
G0694,money,argurion,Greek,338
G0695,silversmith,argurokopos,Greek,2
G0696,silver,arguros,Greek,16
G0697,Areopagus,areios pagos,Greek,4
G0698,Areopagite,areopagitēs,Greek,1
G0699,pleasing,areskeia,Greek,2
G0700,to please,areskō,Greek,65
G0703,virtue,aretē,Greek,11
G0705,to number,arithmeō,Greek,37
G0706,number,arithmos,Greek,159
G0707,Arimathea,arimathaia,Greek,4
G0708,Aristarchus,aristarchos,Greek,5
G0709,to eat early meal,aristaō,Greek,6
G0710,left,aristeros,Greek,63
G0711,Aristobulus,aristoboulos,Greek,1
G0712,early meal,ariston,Greek,5
G0713,sufficient,arketos,Greek,3
G0714,be sufficient,arkeō,Greek,17
G0715,bear,arktos,Greek,13
G0716,chariot,harma,Greek,160
G0717,Armageddon,armageddōn,Greek,4
G0718,to betroth,harmozō,Greek,7
G0719,joint,harmos,Greek,1
G0720,to deny,arneomai,Greek,34
G0721,lamb,arnion,Greek,34
G0722,to plow,arotriaō,Greek,17
G0723,plow,arotron,Greek,5
G0725,something to grasp,harpagmos,Greek,1
G0727,rapacious,harpax,Greek,6
G0728,guarantee,arrabōn,Greek,6
G0729,seamless,arrafos,Greek,1
G0730,male,arrēn arsēn,Greek,61
G0731,inexpressible,arrētos,Greek,1
G0732,ill,arrōstos,Greek,7
G0733,sodomite,arsenokoitēs,Greek,2
G0734,Artemas,artemas,Greek,1
G0735,Artemis,artemis,Greek,6
G0737,now,arti,Greek,39
G0738,newborn,artigennētos,Greek,1
G0739,competent,artios,Greek,1
G0740,bread,artos,Greek,373
G0741,to season,artuō,Greek,3
G0743,archangel,archangelos,Greek,2
G0744,ancient,archaios,Greek,28
G0745,Archelaus,archelaos,Greek,1
G0748,high-priestly,archieratikos,Greek,1
G0749,high-priest,archiereus,Greek,130
G0750,chief shepherd,archipoimēn,Greek,1
G0751,Archippus,archippos,Greek,2
G0752,synagogue leader,archisunagōgos,Greek,9
G0753,master-builder,architektōn,Greek,2
G0754,chief tax collector,architelōnēs,Greek,1
G0755,head waiter,architriklinos,Greek,3
G0759,spices,arōma,Greek,22
G0761,unshakable,asaleutos,Greek,5
G0762,unquenchable,asbestos,Greek,4
G0763,ungodlinessness,asebeia,Greek,74
G0764,be ungodly,asebeō,Greek,31
G0765,ungodly,asebēs,Greek,202
G0767,insignificant,asēmos,Greek,3
G0768,Asher,asēr,Greek,47
G0773,Asia,asia,Greek,20
G0775,Asiarch,asiarchēs,Greek,1
G0776,fasting,asitia,Greek,1
G0777,fasting,asitos,Greek,2
G0778,to strive,askeō,Greek,1
G0779,wineskin,askos,Greek,26
G0780,gladly,asmenōs,Greek,2
G0782,to pay respects to,aspazomai,Greek,62
G0783,salutation,aspasmos,Greek,10
G0784,spotless,aspilos,Greek,4
G0785,asp,aspis,Greek,22
G0786,irreconcilable,aspondos,Greek,2
G0787,assarion,assarion,Greek,2
G0788,nearer,asson,Greek,1
G0789,Assos,assos,Greek,2
G0790,be unsettled,astateō,Greek,1
G0791,beautiful,asteios,Greek,5
G0792,star,astēr,Greek,44
G0793,unstable,astēriktos,Greek,2
G0794,unfeeling,astorgos,Greek,2
G0795,to deviate,astocheō,Greek,3
G0796,lightning,astrapē,Greek,27
G0797,to flash,astraptō,Greek,4
G0798,star,astron,Greek,28
G0799,Asyncritus,asunkritos,Greek,1
G0800,discordant,asumfōnos,Greek,1
G0803,security,asfaleia,Greek,12
G0804,secure,asfalēs,Greek,8
G0805,to secure,asfalizō,Greek,8
G0806,securely,asfalōs,Greek,4
G0807,to act improperly,aschēmoneō,Greek,7
G0809,indecent,aschēmōn,Greek,3
G0812,be idle,atakteō,Greek,1
G0813,disorderly,ataktos,Greek,1
G0814,idly,ataktōs,Greek,2
G0815,childless,ateknos,Greek,8
G0816,to gaze,atenizō,Greek,14
G0817,without,ater,Greek,8
G0820,dishonored,atimos,Greek,9
G0822,vapor,atmis,Greek,7
G0823,instant,atomos,Greek,1
G0825,Attalia,attaleia,Greek,1
G0826,to see,augazō,Greek,8
G0827,daybreak,augē,Greek,2
G0832,to play the flute,auleō,Greek,3
G0833,palace/courtyard,aulē,Greek,179
G0834,flute player,aulētēs,Greek,2
G0835,to spend the night,aulizomai,Greek,39
G0836,flute,aulos,Greek,6
G0837,to grow,auxanō,Greek,59
G0838,growth,auxēsis,Greek,2
G0839,tomorrow,aurion,Greek,74
G0840,severe,austēros,Greek,2
G0844,by itself,automatos,Greek,7
G0845,eyewitness,autoptēs,Greek,1
G0846,it/s/he,autos,Greek,10000
G0847,there,autou,Greek,9
G0850,dingy,auchmēros,Greek,1
G0851,to remove,afaireō,Greek,150
G0852,hidden,afanēs,Greek,2
G0853,to destroy,afanizō,Greek,82
G0854,disappearance,afanismos,Greek,51
G0855,disappearing,afantos,Greek,1
G0857,unsparing,afeidia,Greek,1
G0858,sincerity,afelotēs,Greek,1
G0860,joint,hafē,Greek,72
G0862,incorruptible,afthartos,Greek,8
G0864,to reach,afikneomai,Greek,9
G0867,departure,afixis,Greek,1
G0868,to leave,afistēmi,Greek,167
G0869,suddenly,afnō,Greek,9
G0871,to make like,afomoioō,Greek,1
G0872,to consider,aforaō,Greek,2
G0873,to separate,aforizō,Greek,98
G0874,opportunity,aformē,Greek,9
G0875,to foam,afrizō,Greek,2
G0876,foam,afros,Greek,1
G0879,to fall sleep,afupnoō,Greek,1
G0882,Achaia,achaia,Greek,11
G0883,Achaicus,achaikos,Greek,2
G0884,ungrateful,acharistos,Greek,2
G0886,not man-made,acheiropoiētos,Greek,3
G0887,mist,achlus,Greek,1
G0888,worthless,achreios,Greek,3
G0889,to make worthless,achreioō,Greek,5
G0891,until,achri,Greek,53
G0893,not a liar,apseudēs,Greek,1
G0894,wormwood,apsinthos,Greek,2
G0896,Baal,baal,Greek,92
G0897,Babylon,babulōn,Greek,274
G0898,standing,bathmos,Greek,7
G0899,depth,bathos,Greek,28
G0900,to dig deep,bathunō,Greek,3
G0901,deep,bathus,Greek,21
G0902,palm branch,baion,Greek,3
