strong,stepGloss,language,cluster_code,cluster_short_name,source,created_at
G0145,sense,Greek,M15,Wisdom,old-system-migration,2026-08-11T15:45:16Z
G0150,shameful,Greek,M07,Shame,old-system-migration,2026-08-11T15:45:16Z
G0152,shame,Greek,M07,Shame,old-system-migration,2026-08-11T15:45:16Z
G0153,be ashamed,Greek,M07,Shame,old-system-migration,2026-08-11T15:45:16Z
G0156,cause/charge,Greek,M26,Righteousness,old-system-migration,2026-08-11T15:45:16Z
G0159,causer,Greek,M26,Righteousness,old-system-migration,2026-08-11T15:45:16Z
G0167,impurity,Greek,M10,Sin,old-system-migration,2026-08-11T15:45:16Z
G0169,unclean,Greek,M10,Sin,old-system-migration,2026-08-11T15:45:16Z
G0172,innocent,Greek,M12,Purity,old-system-migration,2026-08-11T15:45:16Z
G0178,uncondemned,Greek,M12,Purity,old-system-migration,2026-08-11T15:45:16Z
G0189,hearing,Greek,M41,Remembrance,old-system-migration,2026-08-11T15:45:16Z
G0192,self-indulgence,Greek,M28,Envy,old-system-migration,2026-08-11T15:45:16Z
G0193,intemperate,Greek,M08,Pride,old-system-migration,2026-08-11T15:45:16Z
G0194,undiluted,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0212,boasting,Greek,M08,Pride,old-system-migration,2026-08-11T15:45:16Z
G0213,braggart,Greek,M08,Pride,old-system-migration,2026-08-11T15:45:16Z
G0218,to anoint,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0220,rooster,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0225,truth,Greek,M13,Truth,old-system-migration,2026-08-11T15:45:16Z
G0226,be truthful,Greek,M13,Truth,old-system-migration,2026-08-11T15:45:16Z
G0227,true,Greek,M13,Truth,old-system-migration,2026-08-11T15:45:16Z
G0228,true,Greek,M13,Truth,old-system-migration,2026-08-11T15:45:16Z
G0230,truly,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0236,to change,Greek,M45,Transformation,old-system-migration,2026-08-11T15:45:16Z
G0253,without anxiety,Greek,M33,Peace,old-system-migration,2026-08-11T15:45:16Z
G0264,to sin,Greek,M10,Sin,old-system-migration,2026-08-11T15:45:16Z
G0265,sin,Greek,M10,Sin,old-system-migration,2026-08-11T15:45:16Z
G0266,sin,Greek,M10,Sin,old-system-migration,2026-08-11T15:45:16Z
G0268,sinful,Greek,M10,Sin,old-system-migration,2026-08-11T15:45:16Z
G0275,untroubled,Greek,M18,Hope,old-system-migration,2026-08-11T15:45:16Z
G0276,unchangeable,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0278,irrevocable,Greek,M13,Truth,old-system-migration,2026-08-11T15:45:16Z
G0303,each,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0315,to compel,Greek,M23,Strength,old-system-migration,2026-08-11T15:45:16Z
G0316,necessary,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0317,necessarily,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0318,necessity,Greek,M01,Fear,old-system-migration,2026-08-11T15:45:16Z
G0329,to rekindle,Greek,M45,Transformation,old-system-migration,2026-08-11T15:45:16Z
G0338,innocent,Greek,M12,Purity,old-system-migration,2026-08-11T15:45:16Z
G0341,to renew,Greek,M45,Transformation,old-system-migration,2026-08-11T15:45:16Z
G0342,renewal,Greek,M45,Transformation,old-system-migration,2026-08-11T15:45:16Z
G0361,sinless,Greek,M12,Purity,old-system-migration,2026-08-11T15:45:16Z
G0363,to remind,Greek,M41,Remembrance,old-system-migration,2026-08-11T15:45:16Z
G0364,remembrance,Greek,M41,Remembrance,old-system-migration,2026-08-11T15:45:16Z
G0415,merciless,Greek,M05,Love,old-system-migration,2026-08-11T15:45:16Z
G0420,not resentful,Greek,M05,Love,old-system-migration,2026-08-11T15:45:16Z
G0425,rest,Greek,M33,Peace,old-system-migration,2026-08-11T15:45:16Z
G0430,to endure,Greek,M35,Testing,old-system-migration,2026-08-11T15:45:16Z
G0448,merciless,Greek,M05,Love,old-system-migration,2026-08-11T15:45:16Z
G0456,to rebuild,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0458,lawlessness,Greek,M30,Obedience,old-system-migration,2026-08-11T15:45:16Z
G0462,unholy,Greek,M12,Purity,old-system-migration,2026-08-11T15:45:16Z
G0463,tolerance,Greek,M05,Love,old-system-migration,2026-08-11T15:45:16Z
G0464,to struggle,Greek,M34,Perseverance,old-system-migration,2026-08-11T15:45:16Z
G0467,to repay,Greek,M26,Righteousness,old-system-migration,2026-08-11T15:45:16Z
G0476,opponent,Greek,M06,Hate,old-system-migration,2026-08-11T15:45:16Z
G0485,dispute,Greek,M02,Anger,old-system-migration,2026-08-11T15:45:16Z
G0500,antichrist,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0505,genuine,Greek,M12,Purity,old-system-migration,2026-08-11T15:45:16Z
G0514,worthy,Greek,M22,Praise,old-system-migration,2026-08-11T15:45:16Z
G0515,to deem worthy,Greek,M26,Righteousness,old-system-migration,2026-08-11T15:45:16Z
G0524,to become callous,Greek,M30,Obedience,old-system-migration,2026-08-11T15:45:16Z
G0539,deceit,Greek,M14,Deceit,old-system-migration,2026-08-11T15:45:16Z
G0543,disobedience,Greek,M30,Obedience,old-system-migration,2026-08-11T15:45:16Z
G0544,to disobey,Greek,M30,Obedience,old-system-migration,2026-08-11T15:45:16Z
G0552,unacquainted,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0560,to despair,Greek,M18,Hope,old-system-migration,2026-08-11T15:45:16Z
G0563,undistracted,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0569,to disbelieve,Greek,M31,Faith,old-system-migration,2026-08-11T15:45:16Z
G0570,unbelief,Greek,M31,Faith,old-system-migration,2026-08-11T15:45:16Z
G0571,unbelieving,Greek,M31,Faith,old-system-migration,2026-08-11T15:45:16Z
G0572,openness,Greek,M05,Love,old-system-migration,2026-08-11T15:45:16Z
G0573,sound,Greek,M13,Truth,old-system-migration,2026-08-11T15:45:16Z
G0574,without reserve,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0577,to throw away,Greek,M07,Shame,old-system-migration,2026-08-11T15:45:16Z
G0580,deprivation,Greek,M11,Repentance,old-system-migration,2026-08-11T15:45:16Z
G0591,to pay,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0598,to crowd up to,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0603,eager expectation,Greek,M18,Hope,old-system-migration,2026-08-11T15:45:16Z
G0604,to reconcile,Greek,M11,Repentance,old-system-migration,2026-08-11T15:45:16Z
G0618,to get back,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0639,be perplexed,Greek,M20,Doubt,old-system-migration,2026-08-11T15:45:16Z
G0646,apostasy,Greek,M10,Sin,old-system-migration,2026-08-11T15:45:16Z
G0662,be bold,Greek,M34,Perseverance,old-system-migration,2026-08-11T15:45:16Z
G0674,to faint,Greek,M24,Weakness,old-system-migration,2026-08-11T15:45:16Z
G0677,not stumbling,Greek,M35,Testing,old-system-migration,2026-08-11T15:45:16Z
G0679,without falling,Greek,M34,Perseverance,old-system-migration,2026-08-11T15:45:16Z
G0701,pleasing,Greek,M04,Joy,old-system-migration,2026-08-11T15:45:16Z
G0724,plunder,Greek,M24,Weakness,old-system-migration,2026-08-11T15:45:16Z
G0726,to seize,Greek,M24,Weakness,old-system-migration,2026-08-11T15:45:16Z
G0746,beginning,Greek,M17,Counsel,old-system-migration,2026-08-11T15:45:16Z
G0747,founder,Greek,FLAG,Flag,old-system-migration,2026-08-11T15:45:16Z
G0747,founder,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0757,be first,Greek,M08,Pride,old-system-migration,2026-08-11T15:45:16Z
G0758,ruler,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0766,debauchery,Greek,M28,Envy,old-system-migration,2026-08-11T15:45:16Z
G0769G,weakness: weak,Greek,M24,Weakness,old-system-migration,2026-08-11T15:45:16Z
G0769H,weakness: ill,Greek,M24,Weakness,old-system-migration,2026-08-11T15:45:16Z
G0770G,be weak: weak,Greek,M24,Weakness,old-system-migration,2026-08-11T15:45:16Z
G0770H,be weak: ill,Greek,M24,Weakness,old-system-migration,2026-08-11T15:45:16Z
G0771,weakness,Greek,M24,Weakness,old-system-migration,2026-08-11T15:45:16Z
G0772G,weak,Greek,M24,Weakness,old-system-migration,2026-08-11T15:45:16Z
G0772H,weak: ill,Greek,M24,Weakness,old-system-migration,2026-08-11T15:45:16Z
G0781,unwise,Greek,M15,Wisdom,old-system-migration,2026-08-11T15:45:16Z
G0801,senseless,Greek,M15,Wisdom,old-system-migration,2026-08-11T15:45:16Z
G0802,untrustworthy,Greek,M14,Deceit,old-system-migration,2026-08-11T15:45:16Z
G0808,indecency,Greek,M07,Shame,old-system-migration,2026-08-11T15:45:16Z
G0810,debauchery,Greek,M28,Envy,old-system-migration,2026-08-11T15:45:16Z
G0811,wildly,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0818,to dishonor,Greek,M07,Shame,old-system-migration,2026-08-11T15:45:16Z
G0819,dishonour,Greek,M07,Shame,old-system-migration,2026-08-11T15:45:16Z
G0824,wrong,Greek,M10,Sin,old-system-migration,2026-08-11T15:45:16Z
G0829,self-willed,Greek,M08,Pride,old-system-migration,2026-08-11T15:45:16Z
G0830,self-chosen,Greek,M29,Desire,old-system-migration,2026-08-11T15:45:16Z
G0831,to domineer,Greek,M23,Strength,old-system-migration,2026-08-11T15:45:16Z
G0841,self-sufficiency,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0842,self-sufficient,Greek,M46,Abundance,old-system-migration,2026-08-11T15:45:16Z
G0843,self-condemned,Greek,M26,Righteousness,old-system-migration,2026-08-11T15:45:16Z
G0859,forgiveness,Greek,M11,Repentance,old-system-migration,2026-08-11T15:45:16Z
G0861,incorruptibility,Greek,M12,Purity,old-system-migration,2026-08-11T15:45:16Z
G0863G,to release: leave,Greek,M11,Repentance,old-system-migration,2026-08-11T15:45:16Z
G0863H,to release: forgive,Greek,M11,Repentance,old-system-migration,2026-08-11T15:45:16Z
G0863I,to release: permit,Greek,M11,Repentance,old-system-migration,2026-08-11T15:45:16Z
G0865,hating good,Greek,M06,Hate,old-system-migration,2026-08-11T15:45:16Z
G0866,not greedy,Greek,M05,Love,old-system-migration,2026-08-11T15:45:16Z
G0870,fearlessly,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0877,foolishness,Greek,M16,Folly,old-system-migration,2026-08-11T15:45:16Z
G0878,foolish,Greek,M16,Folly,old-system-migration,2026-08-11T15:45:16Z
G0880,mute,Greek,M07,Shame,old-system-migration,2026-08-11T15:45:16Z
G0895,lifeless,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G0928G,to torture: torture,Greek,M03,Grief,old-system-migration,2026-08-11T15:45:16Z
G0928H,to torture: anguish,Greek,M03,Grief,old-system-migration,2026-08-11T15:45:16Z
G0929,torment,Greek,M03,Grief,old-system-migration,2026-08-11T15:45:16Z
G0929,torment,Greek,M35,Testing,old-system-migration,2026-08-11T15:45:16Z
G0930,torturer,Greek,M03,Grief,old-system-migration,2026-08-11T15:45:16Z
G0930,torturer,Greek,M27,Evil,old-system-migration,2026-08-11T15:45:16Z
G0931,torment,Greek,M03,Grief,old-system-migration,2026-08-11T15:45:16Z
G0932,kingdom,Greek,M23,Strength,old-system-migration,2026-08-11T15:45:16Z
G0933,palace,Greek,M23,Strength,old-system-migration,2026-08-11T15:45:16Z
G0934,kingly,Greek,M23,Strength,old-system-migration,2026-08-11T15:45:16Z
G0936,to reign,Greek,M23,Strength,old-system-migration,2026-08-11T15:45:16Z
G0937,royal,Greek,M23,Strength,old-system-migration,2026-08-11T15:45:16Z
G0938G,queen,Greek,M23,Strength,old-system-migration,2026-08-11T15:45:16Z
G0946,abomination,Greek,M10,Sin,old-system-migration,2026-08-11T15:45:16Z
G0947,abominable,Greek,M10,Sin,old-system-migration,2026-08-11T15:45:16Z
G0948,to abhor,Greek,M06,Hate,old-system-migration,2026-08-11T15:45:16Z
G0949,firm,Greek,M19,Trust,old-system-migration,2026-08-11T15:45:16Z
G0950,to confirm,Greek,M13,Truth,old-system-migration,2026-08-11T15:45:16Z
G0951,confirmation,Greek,M13,Truth,old-system-migration,2026-08-11T15:45:16Z
G0984,to hurt,Greek,M24,Weakness,old-system-migration,2026-08-11T15:45:16Z
G0987,to blaspheme,Greek,M10,Sin,old-system-migration,2026-08-11T15:45:16Z
G0988,blasphemy,Greek,M10,Sin,old-system-migration,2026-08-11T15:45:16Z
G0989,blasphemous,Greek,M10,Sin,old-system-migration,2026-08-11T15:45:16Z
G1000,throwing,Greek,M24,Weakness,old-system-migration,2026-08-11T15:45:16Z
G1011,to plan,Greek,M15,Wisdom,old-system-migration,2026-08-11T15:45:16Z
G1012,plan,Greek,M17,Counsel,old-system-migration,2026-08-11T15:45:16Z
G1013,plan,Greek,M17,Counsel,old-system-migration,2026-08-11T15:45:16Z
G1014,to plan,Greek,M15,Wisdom,old-system-migration,2026-08-11T15:45:16Z
G1067,hell: Gehenna,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G1096,to be,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G1100,tongue,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G1106,resolution,Greek,M15,Wisdom,old-system-migration,2026-08-11T15:45:16Z
G1128,to train,Greek,M15,Wisdom,old-system-migration,2026-08-11T15:45:16Z
G1130,be naked,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G1131,naked,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G1132,nakedness,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G1161,then,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G1162,petition,Greek,M21,Prayer,old-system-migration,2026-08-11T15:45:16Z
G1167,timidity,Greek,M01,Fear,old-system-migration,2026-08-11T15:45:16Z
G1168,be timid,Greek,M01,Fear,old-system-migration,2026-08-11T15:45:16Z
G1169,timid,Greek,M01,Fear,old-system-migration,2026-08-11T15:45:16Z
G1185,to entice,Greek,M10,Sin,old-system-migration,2026-08-11T15:45:16Z
G1189,to pray,Greek,M21,Prayer,old-system-migration,2026-08-11T15:45:16Z
G1211,so,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G1226,to insist,Greek,M15,Wisdom,old-system-migration,2026-08-11T15:45:16Z
G1231,to decide,Greek,M15,Wisdom,old-system-migration,2026-08-11T15:45:16Z
G1239,to distribute,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G1242,covenant,Greek,M44,Relational,old-system-migration,2026-08-11T15:45:16Z
G1251,to give a hearing,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G1252,to judge/doubt,Greek,M15,Wisdom,old-system-migration,2026-08-11T15:45:16Z
G1253,discernment,Greek,M43,Prophecy,old-system-migration,2026-08-11T15:45:16Z
G1256,to dispute,Greek,M15,Wisdom,old-system-migration,2026-08-11T15:45:16Z
G1258,language,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G1259,be reconciled,Greek,M33,Peace,old-system-migration,2026-08-11T15:45:16Z
G1260,to discuss,Greek,M15,Wisdom,old-system-migration,2026-08-11T15:45:16Z
G1261,reasoning,Greek,M15,Wisdom,old-system-migration,2026-08-11T15:45:16Z
G1266,to divide,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G1267,division,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G1270,thought,Greek,M15,Wisdom,old-system-migration,2026-08-11T15:45:16Z
G1271,mind,Greek,M47,Constitution,old-system-migration,2026-08-11T15:45:16Z
G1280,be perplexed,Greek,M20,Doubt,old-system-migration,2026-08-11T15:45:16Z
G1291,to give orders,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G1296,ordinance,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G1297,edict,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G1299,to direct,Greek,M09,Humility,old-system-migration,2026-08-11T15:45:16Z
G1303,to make a covenant,Greek,M21,Prayer,old-system-migration,2026-08-11T15:45:16Z
G1311,to destroy,Greek,M10,Sin,old-system-migration,2026-08-11T15:45:16Z
G1312,decay,Greek,M25,Life,old-system-migration,2026-08-11T15:45:16Z
G1328,interpreter,Greek,M15,Wisdom,old-system-migration,2026-08-11T15:45:16Z
G1329,to interpret,Greek,M43,Prophecy,old-system-migration,2026-08-11T15:45:16Z
G1341,justice,Greek,M26,Righteousness,old-system-migration,2026-08-11T15:45:16Z
G1342,just,Greek,M26,Righteousness,old-system-migration,2026-08-11T15:45:16Z
G1343,righteousness,Greek,M26,Righteousness,old-system-migration,2026-08-11T15:45:16Z
G1344,to justify,Greek,M26,Righteousness,old-system-migration,2026-08-11T15:45:16Z
G1345,righteous act,Greek,M26,Righteousness,old-system-migration,2026-08-11T15:45:16Z
G1346,rightly,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G1347,justification,Greek,M26,Righteousness,old-system-migration,2026-08-11T15:45:16Z
G1348,magistrate,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G1349,condemnation,Greek,M26,Righteousness,old-system-migration,2026-08-11T15:45:16Z
G1365,to doubt,Greek,M20,Doubt,old-system-migration,2026-08-11T15:45:16Z
G1374,double-minded,Greek,M20,Doubt,old-system-migration,2026-08-11T15:45:16Z
G1375,persecution,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G1377,to pursue,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G1381,to test,Greek,M35,Testing,old-system-migration,2026-08-11T15:45:16Z
G1382,test,Greek,M35,Testing,old-system-migration,2026-08-11T15:45:16Z
G1383,testing,Greek,M35,Testing,old-system-migration,2026-08-11T15:45:16Z
G1384,tested,Greek,M35,Testing,old-system-migration,2026-08-11T15:45:16Z
G1386,deceitful,Greek,M14,Deceit,old-system-migration,2026-08-11T15:45:16Z
G1387,to deceive,Greek,M14,Deceit,old-system-migration,2026-08-11T15:45:16Z
G1388,deceit,Greek,M14,Deceit,old-system-migration,2026-08-11T15:45:16Z
G1389,to distort,Greek,M14,Deceit,old-system-migration,2026-08-11T15:45:16Z
G1391,glory,Greek,M22,Praise,old-system-migration,2026-08-11T15:45:16Z
G1396,to enslave,Greek,M36,Service,old-system-migration,2026-08-11T15:45:16Z
G1397,slavery,Greek,M36,Service,old-system-migration,2026-08-11T15:45:16Z
G1398,be a slave,Greek,M36,Service,old-system-migration,2026-08-11T15:45:16Z
G1399,female slave,Greek,M36,Service,old-system-migration,2026-08-11T15:45:16Z
G1401,slave,Greek,M36,Service,old-system-migration,2026-08-11T15:45:16Z
G1402,to enslave,Greek,M36,Service,old-system-migration,2026-08-11T15:45:16Z
G1410,be able,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G1411,power,Greek,M23,Strength,old-system-migration,2026-08-11T15:45:16Z
G1412,to empower,Greek,M23,Strength,old-system-migration,2026-08-11T15:45:16Z
G1413,ruler,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G1414,be able,Greek,M23,Strength,old-system-migration,2026-08-11T15:45:16Z
G1414,be able,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G1415,able,Greek,M23,Strength,old-system-migration,2026-08-11T15:45:16Z
G1415,able,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G1421,hard to interpret,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G1426,slander,Greek,M14,Deceit,old-system-migration,2026-08-11T15:45:16Z
G1431,free gift,Greek,M38,Salvation,old-system-migration,2026-08-11T15:45:16Z
G1433,to give,Greek,M05,Love,old-system-migration,2026-08-11T15:45:16Z
G1434,free gift,Greek,M38,Salvation,old-system-migration,2026-08-11T15:45:16Z
G1435,gift,Greek,M39,Blessing,old-system-migration,2026-08-11T15:45:16Z
G1457,to inaugurate,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G1460,to live among,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G1466,self-control,Greek,M19,Trust,old-system-migration,2026-08-11T15:45:16Z
G1467,to self-control,Greek,M19,Trust,old-system-migration,2026-08-11T15:45:16Z
G1468,self-controlled,Greek,M19,Trust,old-system-migration,2026-08-11T15:45:16Z
G1472,to rub on,Greek,M12,Purity,old-system-migration,2026-08-11T15:45:16Z
G1493,idol's temple,Greek,M27,Evil,old-system-migration,2026-08-11T15:45:16Z
G1494,sacrificed to idols,Greek,M27,Evil,old-system-migration,2026-08-11T15:45:16Z
G1495,idolatry,Greek,M27,Evil,old-system-migration,2026-08-11T15:45:16Z
G1496,idolater,Greek,M27,Evil,old-system-migration,2026-08-11T15:45:16Z
G1497,idol,Greek,M27,Evil,old-system-migration,2026-08-11T15:45:16Z
G1503,to resemble,Greek,M15,Wisdom,old-system-migration,2026-08-11T15:45:16Z
G1504,image,Greek,M43,Prophecy,old-system-migration,2026-08-11T15:45:16Z
G1505,sincerity,Greek,M13,Truth,old-system-migration,2026-08-11T15:45:16Z
G1506,pure,Greek,M12,Purity,old-system-migration,2026-08-11T15:45:16Z
G1510,to be,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G1514,be at peace,Greek,M33,Peace,old-system-migration,2026-08-11T15:45:16Z
G1515,peace,Greek,M33,Peace,old-system-migration,2026-08-11T15:45:16Z
G1516,peaceful,Greek,M33,Peace,old-system-migration,2026-08-11T15:45:16Z
G1517,to make peace,Greek,M05,Love,old-system-migration,2026-08-11T15:45:16Z
G1518,peacemaker,Greek,M33,Peace,old-system-migration,2026-08-11T15:45:16Z
G1522,to listen to,Greek,M21,Prayer,old-system-migration,2026-08-11T15:45:16Z
G1537,out from,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G1554,to lease,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G1556,to avenge,Greek,M26,Righteousness,old-system-migration,2026-08-11T15:45:16Z
G1557,vengeance,Greek,M26,Righteousness,old-system-migration,2026-08-11T15:45:16Z
G1558,avenging,Greek,M26,Righteousness,old-system-migration,2026-08-11T15:45:16Z
G1568,be awe-struck,Greek,M01,Fear,old-system-migration,2026-08-11T15:45:16Z
G1569,astonished,Greek,M01,Fear,old-system-migration,2026-08-11T15:45:16Z
G1573,to lose heart,Greek,M20,Doubt,old-system-migration,2026-08-11T15:45:16Z
G1577,assembly,Greek,M05,Love,old-system-migration,2026-08-11T15:45:16Z
G1598,to test/tempt,Greek,M35,Testing,old-system-migration,2026-08-11T15:45:16Z
G1629,to terrify,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
G1630,terrified,Greek,M01,Fear,old-system-migration,2026-08-11T15:45:16Z
G1634,to expire,Greek,M24,Weakness,old-system-migration,2026-08-11T15:45:16Z
G1652,pitiful,Greek,M05,Love,old-system-migration,2026-08-11T15:45:16Z
G1653,to have mercy,Greek,M05,Love,old-system-migration,2026-08-11T15:45:16Z
G1654,charity,Greek,M05,Love,old-system-migration,2026-08-11T15:45:16Z
G1654,charity,Greek,T2,Supplementary,old-system-migration,2026-08-11T15:45:16Z
